ARE,Date
8.202547073364258,1997-05-28
8.349023818969727,1997-05-29
8.59315013885498,1997-05-30
8.59315013885498,1997-06-02
8.641974449157715,1997-06-03
8.54432487487793,1997-06-04
8.54432487487793,1997-06-05
8.397850036621094,1997-06-06
8.397850036621094,1997-06-09
8.495500564575195,1997-06-10
8.300204277038574,1997-06-11
8.349023818969727,1997-06-12
8.300204277038574,1997-06-13
8.446678161621094,1997-06-16
8.349023818969727,1997-06-17
8.397850036621094,1997-06-18
8.397850036621094,1997-06-19
8.446678161621094,1997-06-20
8.349023818969727,1997-06-23
8.397850036621094,1997-06-24
8.446678161621094,1997-06-25
8.446678161621094,1997-06-26
8.495500564575195,1997-06-27
8.54432487487793,1997-06-30
8.78844928741455,1997-07-01
8.78844928741455,1997-07-02
8.886100769042969,1997-07-03
8.886100769042969,1997-07-07
8.886100769042969,1997-07-08
8.886100769042969,1997-07-09
8.886100769042969,1997-07-10
8.934922218322754,1997-07-11
9.179044723510742,1997-07-14
9.276692390441895,1997-07-15
9.374344825744629,1997-07-16
9.325523376464844,1997-07-17
9.325523376464844,1997-07-18
9.374344825744629,1997-07-21
9.374344825744629,1997-07-22
9.471994400024414,1997-07-23
9.374344825744629,1997-07-24
9.471994400024414,1997-07-25
9.471994400024414,1997-07-28
9.520825386047363,1997-07-29
9.5696439743042,1997-07-30
9.618467330932617,1997-07-31
9.667295455932617,1997-08-01
10.057888984680176,1997-08-04
9.960236549377441,1997-08-05
9.91141128540039,1997-08-06
9.960236549377441,1997-08-07
10.155540466308594,1997-08-08
10.009066581726074,1997-08-11
9.960236549377441,1997-08-12
9.960236549377441,1997-08-13
10.009066581726074,1997-08-14
9.960236549377441,1997-08-15
9.960236549377441,1997-08-18
10.155540466308594,1997-08-19
10.155540466308594,1997-08-20
10.155540466308594,1997-08-21
10.204367637634277,1997-08-22
10.253190040588379,1997-08-25
10.009066581726074,1997-08-26
10.057888984680176,1997-08-27
10.204367637634277,1997-08-28
10.204367637634277,1997-08-29
10.204367637634277,1997-09-02
10.546138763427734,1997-09-03
10.790262222290039,1997-09-04
11.132038116455078,1997-09-05
10.741436958312988,1997-09-08
10.546138763427734,1997-09-09
10.204367637634277,1997-09-10
10.30201530456543,1997-09-11
10.204367637634277,1997-09-12
10.448488235473633,1997-09-15
10.643787384033203,1997-09-16
10.546138763427734,1997-09-17
10.546138763427734,1997-09-18
10.399666786193848,1997-09-19
10.546138763427734,1997-09-22
10.594959259033203,1997-09-23
10.448488235473633,1997-09-24
10.594959259033203,1997-09-25
10.643787384033203,1997-09-26
10.83908748626709,1997-09-29
11.132038116455078,1997-09-30
11.327332496643066,1997-10-01
11.180859565734863,1997-10-02
11.180859565734863,1997-10-03
11.132038116455078,1997-10-06
11.229684829711914,1997-10-07
10.936738014221191,1997-10-08
10.985563278198242,1997-10-09
11.083211898803711,1997-10-10
11.132038116455078,1997-10-13
11.083211898803711,1997-10-14
11.034384727478027,1997-10-15
11.132038116455078,1997-10-16
10.83908748626709,1997-10-17
