SWK,Date
1.7838164567947388,1980-03-17
1.7696592807769775,1980-03-18
1.7838164567947388,1980-03-19
1.7838164567947388,1980-03-20
1.7979742288589478,1980-03-21
1.7413442134857178,1980-03-24
1.7271878719329834,1980-03-25
1.7059516906738281,1980-03-26
1.557300329208374,1980-03-27
1.5856152772903442,1980-03-28
1.642244577407837,1980-03-31
1.6847153902053833,1980-04-01
1.7696592807769775,1980-04-02
1.7979742288589478,1980-04-03
1.7271878719329834,1980-04-07
1.7130316495895386,1980-04-08
1.6988734006881714,1980-04-09
1.7130316495895386,1980-04-10
1.6847153902053833,1980-04-11
1.6847153902053833,1980-04-14
1.642244577407837,1980-04-15
1.6564003229141235,1980-04-16
1.6564003229141235,1980-04-17
1.670559048652649,1980-04-18
1.613928198814392,1980-04-21
1.670559048652649,1980-04-22
1.6564003229141235,1980-04-23
1.6493223905563354,1980-04-24
1.6493223905563354,1980-04-25
1.6564003229141235,1980-04-28
1.6493223905563354,1980-04-29
1.606850504875183,1980-04-30
1.6280865669250488,1980-05-01
1.642244577407837,1980-05-02
1.6351656913757324,1980-05-05
1.6210070848464966,1980-05-06
1.642244577407837,1980-05-07
1.7130316495895386,1980-05-08
1.7130316495895386,1980-05-09
1.6564003229141235,1980-05-12
1.613928198814392,1980-05-13
1.6351656913757324,1980-05-14
1.642244577407837,1980-05-15
1.670559048652649,1980-05-16
1.6988734006881714,1980-05-19
1.7059516906738281,1980-05-20
1.7130316495895386,1980-05-21
1.8262888193130493,1980-05-22
1.9253900051116943,1980-05-23
1.8687597513198853,1980-05-27
1.8121306896209717,1980-05-28
1.7555028200149536,1980-05-29
1.7555028200149536,1980-05-30
1.8121306896209717,1980-06-02
1.8404462337493896,1980-06-03
1.8404462337493896,1980-06-04
1.8546028137207031,1980-06-05
1.7838164567947388,1980-06-06
1.7838164567947388,1980-06-09
1.8262888193130493,1980-06-10
1.8262888193130493,1980-06-11
1.8404462337493896,1980-06-12
1.882918357849121,1980-06-13
1.93954598903656,1980-06-16
1.93954598903656,1980-06-17
1.9253900051116943,1980-06-18
1.9112322330474854,1980-06-19
1.9253900051116943,1980-06-20
1.93954598903656,1980-06-23
2.0669617652893066,1980-06-24
2.010333776473999,1980-06-25
1.9820187091827393,1980-06-26
1.9820187091827393,1980-06-27
1.9678617715835571,1980-06-30
2.010333776473999,1980-07-01
1.9537041187286377,1980-07-02
1.9253900051116943,1980-07-03
1.9678617715835571,1980-07-07
1.9961762428283691,1980-07-08
2.010333776473999,1980-07-09
1.9820187091827393,1980-07-10
1.9820187091827393,1980-07-11
2.0386486053466797,1980-07-14
2.024489402770996,1980-07-15
1.9537041187286377,1980-07-16
2.0386486053466797,1980-07-17
2.024489402770996,1980-07-18
2.0528056621551514,1980-07-21
2.0528056621551514,1980-07-22
2.0386486053466797,1980-07-23
2.0811188220977783,1980-07-24
2.0669617652893066,1980-07-25
2.0386486053466797,1980-07-28
2.0528056621551514,1980-07-29
2.0669617652893066,1980-07-30
2.0669617652893066,1980-07-31
2.123591184616089,1980-08-01
2.1519052982330322,1980-08-04
2.19437837600708,1980-08-05
2.2368483543395996,1980-08-06
2.2226929664611816,1980-08-07
2.1519052982330322,1980-08-08
2.180220127105713,1980-08-11
2.1094343662261963,1980-08-12
2.0952773094177246,1980-08-13
