Date,LEXEA
2018-05-31,43.41
2018-05-30,42.56
2018-05-29,42.32
2018-05-25,42.4
2018-05-24,41.85
2018-05-23,40.92
2018-05-22,41.19
2018-05-21,41.03
2018-05-18,40.77
2018-05-17,40.87
2018-05-16,40.85
2018-05-15,40.43
2018-05-14,40.54
2018-05-11,40.42
2018-05-10,40.71
2018-05-09,40.03
2018-05-08,39.05
2018-05-07,39.53
2018-05-04,38.85
2018-05-03,39.25
2018-05-02,40.39
2018-05-01,40.22
2018-04-30,40.8
2018-04-27,40.96
2018-04-26,38.31
2018-04-25,39.13
2018-04-24,39.65
2018-04-23,39.88
2018-04-20,39.82
2018-04-19,40.36
2018-04-18,40.09
2018-04-17,39.68
2018-04-16,39.17
2018-04-13,38.64
2018-04-12,38.99
2018-04-11,38.97
2018-04-10,39.56
2018-04-09,39.11
2018-04-06,38.97
2018-04-05,39.99
2018-04-04,39.59
2018-04-03,38.62
2018-04-02,38.42
2018-03-29,39.28
2018-03-28,38.02
2018-03-27,37.78
2018-03-26,38.35
2018-03-23,37.87
2018-03-22,38.28
2018-03-21,39.46
2018-03-20,39.66
2018-03-19,40.11
2018-03-16,40.85
2018-03-15,40.67
2018-03-14,41.3
2018-03-13,40.17
2018-03-12,41.91
2018-03-09,41.38
2018-03-08,40.86
2018-03-07,41.39
2018-03-06,40.56
2018-03-05,39.99
2018-03-02,38.76
2018-03-01,38.52
2018-02-28,39.26
2018-02-27,38.58
2018-02-26,39.49
2018-02-23,39.58
2018-02-22,38.8
2018-02-21,38.43
2018-02-20,38.59
2018-02-16,38.49
2018-02-15,38.16
2018-02-14,37.03
2018-02-13,37.32
2018-02-12,36.96
2018-02-09,37.79
2018-02-08,44.91
2018-02-07,47.24
2018-02-06,46.45
2018-02-05,45.79
2018-02-02,45.93
2018-02-01,47.16
2018-01-31,46.89
2018-01-30,47.3
2018-01-29,48.01
2018-01-26,48.6
2018-01-25,48.28
2018-01-24,48.09
2018-01-23,47.46
2018-01-22,47.11
2018-01-19,46.39
2018-01-18,47.01
2018-01-17,48.33
2018-01-16,48.29
2018-01-12,48.87
2018-01-11,47.86
2018-01-10,46.72
2018-01-09,46.85
2018-01-08,47.32
2018-01-05,46.77
2018-01-04,46.3
2018-01-03,46.42
2018-01-02,44.85
2017-12-29,44.33
2017-12-28,44.83
2017-12-27,44.47
2017-12-26,44.21
2017-12-22,45.02
2017-12-21,44.72
2017-12-20,44.79
2017-12-19,45.29
2017-12-18,45.24
2017-12-15,44.97
2017-12-14,44.65
2017-12-13,44.33
2017-12-12,44.17
2017-12-11,43.51
2017-12-08,43.75
2017-12-07,44.13
2017-12-06,43.98
2017-12-05,44.9
2017-12-04,45.29
2017-12-01,45.07
2017-11-30,45.08
2017-11-29,45.05
2017-11-28,45.83
2017-11-27,46.08
2017-11-24,46.62
2017-11-22,46.89
2017-11-21,46.17
2017-11-20,45.74
2017-11-17,46.09
2017-11-16,45.67
2017-11-15,44.95
2017-11-14,44.95
2017-11-13,44.46
2017-11-10,44.94
2017-11-09,43.9
2017-11-08,44.15
2017-11-07,44.35
2017-11-06,45.46
2017-11-03,45.33
2017-11-02,45.55
2017-11-01,45.54
2017-10-31,46.1
2017-10-30,44.58
2017-10-27,46.15
2017-10-26,53.75
2017-10-25,54.43
2017-10-24,55.57
2017-10-23,55.88
2017-10-20,56.51
2017-10-19,56.51
2017-10-18,56.17
2017-10-17,55.44
2017-10-16,54.94
2017-10-13,55.41
2017-10-12,54.83
2017-10-11,54.23
2017-10-10,54.13
2017-10-09,54.34
2017-10-06,55.04
2017-10-05,55.02
2017-10-04,54.43
2017-10-03,53.99
2017-10-02,54.2
2017-09-29,53.11
2017-09-28,52.66
2017-09-27,53.66
2017-09-26,52.87
2017-09-25,52.69
2017-09-22,54.06
2017-09-21,52.85
2017-09-20,52.99
2017-09-19,52.55
2017-09-18,52.42
2017-09-15,52.63
2017-09-14,52.86
2017-09-13,53.77
2017-09-12,53.56
2017-09-11,53.04
2017-09-08,52.25
2017-09-07,53.09
2017-09-06,53.18
2017-09-05,54.33
2017-09-01,54.5
2017-08-31,54.69
2017-08-30,53.38
2017-08-29,52.81
2017-08-28,51.94
2017-08-25,53.69
2017-08-24,54.31
2017-08-23,53.49
2017-08-22,53.17
2017-08-21,52.29
2017-08-18,51.93
2017-08-17,51.93
2017-08-16,53.64
2017-08-15,53.06
2017-08-14,53.7
2017-08-11,52.89
2017-08-10,52.45
2017-08-09,53.92
2017-08-08,53.25
2017-08-07,54.73
2017-08-04,55.58
2017-08-03,56.01
2017-08-02,55.46
2017-08-01,55.76
2017-07-31,57.05
2017-07-28,57.67
2017-07-27,56.0
2017-07-26,57.27
2017-07-25,55.86
2017-07-24,56.02
2017-07-21,55.6
2017-07-20,55.79
2017-07-19,56.2
2017-07-18,55.9
2017-07-17,55.76
2017-07-14,55.9
2017-07-13,55.19
2017-07-12,55.06
2017-07-11,54.45
2017-07-10,54.36
2017-07-07,54.62
2017-07-06,54.01
2017-07-05,54.08
2017-07-03,54.04
2017-06-30,54.02
2017-06-29,53.35
2017-06-28,54.01
2017-06-27,53.21
2017-06-26,54.64
2017-06-23,54.94
2017-06-22,53.91
2017-06-21,53.27
2017-06-20,52.86
2017-06-19,52.42
2017-06-16,51.75
2017-06-15,51.16
2017-06-14,51.81
2017-06-13,51.47
2017-06-12,50.64
2017-06-09,50.51
2017-06-08,53.0
2017-06-07,52.4
2017-06-06,52.89
2017-06-05,53.24
2017-06-02,52.86
2017-06-01,52.94
2017-05-31,52.17
2017-05-30,52.29
2017-05-26,52.25
2017-05-25,52.47
2017-05-24,51.69
2017-05-23,51.19
2017-05-22,51.22
2017-05-19,51.05
2017-05-18,50.9
2017-05-17,50.78
2017-05-16,52.44
2017-05-15,51.72
2017-05-12,50.93
2017-05-11,50.97
2017-05-10,51.18
2017-05-09,50.64
2017-05-08,50.51
2017-05-05,50.62
2017-05-04,50.58
2017-05-03,49.87
2017-05-02,50.23
2017-05-01,49.47
2017-04-28,48.31
2017-04-27,48.79
2017-04-26,48.47
2017-04-25,48.45
2017-04-24,47.97
2017-04-21,47.29
2017-04-20,47.26
2017-04-19,46.74
2017-04-18,46.88
2017-04-17,46.87
2017-04-13,46.33
2017-04-12,46.47
2017-04-11,46.36
2017-04-10,46.45
2017-04-07,45.65
2017-04-06,45.61
2017-04-05,45.07
2017-04-04,45.28
2017-04-03,45.62
2017-03-31,45.48
2017-03-30,46.42
2017-03-29,46.69
2017-03-28,46.3
2017-03-27,46.02
2017-03-24,46.0
2017-03-23,45.58
2017-03-22,45.96
2017-03-21,45.88
2017-03-20,46.7
2017-03-17,47.05
2017-03-16,46.72
2017-03-15,46.11
2017-03-14,45.44
2017-03-13,45.35
2017-03-10,44.89
2017-03-09,44.56
2017-03-08,44.82
2017-03-07,43.89
2017-03-06,43.54
2017-03-03,43.25
2017-03-02,43.14
2017-03-01,44.04
2017-02-28,43.28
2017-02-27,43.61
2017-02-24,43.42
2017-02-23,43.33
2017-02-22,43.87
2017-02-21,43.61
2017-02-17,43.71
2017-02-16,43.82
2017-02-15,44.28
2017-02-14,43.26
2017-02-13,43.8
2017-02-10,44.53
2017-02-09,44.52
2017-02-08,44.2
2017-02-07,44.3
2017-02-06,44.02
2017-02-03,44.24
2017-02-02,43.88
2017-02-01,43.8
2017-01-31,44.01
2017-01-30,43.41
2017-01-27,43.57
2017-01-26,43.41
2017-01-25,43.52
2017-01-24,43.37
2017-01-23,43.3
2017-01-20,43.33
2017-01-19,42.68
2017-01-18,43.0
2017-01-17,42.71
2017-01-13,42.48
2017-01-12,41.91
2017-01-11,42.05
2017-01-10,42.19
2017-01-09,42.07
