OKE,Date
0.5735828280448914,1980-10-01
0.6220545768737793,1980-10-02
0.6321526765823364,1980-10-03
0.6139757633209229,1980-10-06
0.6018582582473755,1980-10-07
0.6200347542762756,1980-10-08
0.6240741610527039,1980-10-09
0.6361920237541199,1980-10-10
0.6483103632926941,1980-10-13
0.6705265045166016,1980-10-14
0.6503298282623291,1980-10-15
0.6442707777023315,1980-10-16
0.6786048412322998,1980-10-17
0.7008213400840759,1980-10-20
0.6705265045166016,1980-10-21
0.6705265045166016,1980-10-22
0.6866838335990906,1980-10-23
0.6745659112930298,1980-10-24
0.6543689966201782,1980-10-27
0.6624475717544556,1980-10-28
0.6503298282623291,1980-10-29
0.630133330821991,1980-10-30
0.6462908387184143,1980-10-31
0.630133330821991,1980-11-03
0.6361920237541199,1980-11-05
0.6159952282905579,1980-11-06
0.6038777232170105,1980-11-07
0.6099368929862976,1980-11-10
0.6159952282905579,1980-11-11
0.6422513723373413,1980-11-12
0.6584091186523438,1980-11-13
0.6846640110015869,1980-11-14
0.6745659112930298,1980-11-17
0.6947622299194336,1980-11-18
0.7068802118301392,1980-11-19
0.7008213400840759,1980-11-20
0.6866838335990906,1980-11-21
0.6745659112930298,1980-11-24
0.6846640110015869,1980-11-25
0.6786048412322998,1980-11-26
0.6725460886955261,1980-11-28
0.6664872169494629,1980-12-01
0.6765852570533752,1980-12-02
0.6745659112930298,1980-12-03
0.6705265045166016,1980-12-04
0.6664872169494629,1980-12-05
0.6402312517166138,1980-12-08
0.6260939836502075,1980-12-09
0.6099368929862976,1980-12-10
0.57762211561203,1980-12-11
0.5796418786048889,1980-12-12
0.6180151700973511,1980-12-15
0.6018582582473755,1980-12-16
0.6079170107841492,1980-12-17
0.6159952282905579,1980-12-18
0.6200347542762756,1980-12-19
0.6180151700973511,1980-12-22
0.6159952282905579,1980-12-23
0.6099368929862976,1980-12-24
0.6058974266052246,1980-12-26
0.6119565367698669,1980-12-29
0.6099368929862976,1980-12-30
0.6099368929862976,1980-12-31
0.6180151700973511,1981-01-02
0.6422513723373413,1981-01-05
0.6563887596130371,1981-01-06
0.6361920237541199,1981-01-07
0.6321526765823364,1981-01-08
0.6402312517166138,1981-01-09
0.6523494124412537,1981-01-12
0.6402312517166138,1981-01-13
0.6361920237541199,1981-01-14
0.6361920237541199,1981-01-15
0.6402312517166138,1981-01-16
0.6341724991798401,1981-01-19
0.6321526765823364,1981-01-20
0.6240741610527039,1981-01-21
0.6139757633209229,1981-01-22
0.6099368929862976,1981-01-23
0.6038777232170105,1981-01-26
0.6200347542762756,1981-01-27
0.6180151700973511,1981-01-28
0.6200347542762756,1981-01-29
0.630133330821991,1981-01-30
0.6139757633209229,1981-02-02
0.6119565367698669,1981-02-03
0.5957995653152466,1981-02-04
0.5998384952545166,1981-02-05
0.6099368929862976,1981-02-06
0.6119565367698669,1981-02-09
0.6018582582473755,1981-02-10
0.5816612839698792,1981-02-11
0.5695435404777527,1981-02-12
0.5634843707084656,1981-02-13
0.5634843707084656,1981-02-17
0.5614648461341858,1981-02-18
0.5614648461341858,1981-02-19
0.5574251413345337,1981-02-20
0.5493474006652832,1981-02-23
0.5513662695884705,1981-02-24
0.5473272204399109,1981-02-25
0.545307457447052,1981-02-26
0.5473272204399109,1981-02-27
0.5614648461341858,1981-03-02
0.5735828280448914,1981-03-03
0.5735828280448914,1981-03-04
0.5594452619552612,1981-03-05
0.5493474006652832,1981-03-06
0.545307457447052,1981-03-09
0.5513662695884705,1981-03-10
0.5291503071784973,1981-03-11
0.5816612839698792,1981-03-12
0.5836811065673828,1981-03-13
0.57762211561203,1981-03-16
0.5857011079788208,1981-03-17
0.5756022930145264,1981-03-18
0.5735828280448914,1981-03-19
0.5715630650520325,1981-03-20
0.5675238966941833,1981-03-23
0.5554060935974121,1981-03-24
0.5473272204399109,1981-03-25
0.5271307229995728,1981-03-26
0.5513662695884705,1981-03-27
0.5574251413345337,1981-03-30
0.5655041337013245,1981-03-31
0.5917598605155945,1981-04-01
0.593779444694519,1981-04-02
0.5857011079788208,1981-04-03
0.5796418786048889,1981-04-06
0.5816612839698792,1981-04-07
0.587720513343811,1981-04-08
0.587720513343811,1981-04-09
0.5836811065673828,1981-04-10
0.5857011079788208,1981-04-13
0.5796418786048889,1981-04-14
0.5735828280448914,1981-04-15
0.5655041337013245,1981-04-16
0.5594452619552612,1981-04-20
0.5372292399406433,1981-04-21
0.5392485857009888,1981-04-22
0.5392485857009888,1981-04-23
0.5311699509620667,1981-04-24
0.5311699509620667,1981-04-27
0.5291503071784973,1981-04-28
0.5230910181999207,1981-04-29
0.5291503071784973,1981-04-30
0.5271307229995728,1981-05-01
0.5291503071784973,1981-05-04
0.5251108407974243,1981-05-05
0.5251108407974243,1981-05-06
0.5230910181999207,1981-05-07
0.5311699509620667,1981-05-08
0.5230910181999207,1981-05-11
0.5230910181999207,1981-05-12
0.5291503071784973,1981-05-13
0.5311699509620667,1981-05-14
0.5412685871124268,1981-05-15
0.5352093577384949,1981-05-18
0.5412685871124268,1981-05-19
0.5271307229995728,1981-05-20
0.5372292399406433,1981-05-21
0.5412685871124268,1981-05-22
0.5412685871124268,1981-05-26
0.533190131187439,1981-05-27
0.5251108407974243,1981-05-28
0.5271307229995728,1981-05-29
0.5129928588867188,1981-06-01
0.4847177565097809,1981-06-02
0.48269808292388916,1981-06-03
0.49279704689979553,1981-06-04
0.48875704407691956,1981-06-05
0.4766393303871155,1981-06-08
0.4907766878604889,1981-06-09
0.4988554120063782,1981-06-10
0.5109732151031494,1981-06-11
