K,Date
0.5161683559417725,1973-02-21
0.5206181406974792,1973-02-22
0.5028194189071655,1973-02-23
0.4989992678165436,1973-02-26
0.5057423710823059,1973-02-27
0.5124857425689697,1973-02-28
0.5259720087051392,1973-03-01
0.5237244963645935,1973-03-02
0.5214768052101135,1973-03-05
0.5214768052101135,1973-03-06
0.5214768052101135,1973-03-07
0.5214768052101135,1973-03-08
0.5169813632965088,1973-03-09
0.5169813632965088,1973-03-12
0.5192290544509888,1973-03-13
0.5102381110191345,1973-03-14
0.5079904198646545,1973-03-15
0.5192290544509888,1973-03-16
0.5259720087051392,1973-03-19
0.5327152609825134,1973-03-20
0.5237244963645935,1973-03-21
0.5124857425689697,1973-03-22
0.5304675102233887,1973-03-23
0.5304675102233887,1973-03-26
0.5439543128013611,1973-03-27
0.5439543128013611,1973-03-28
0.548449695110321,1973-03-29
0.56418377161026,1973-03-30
0.5664318203926086,1973-04-02
0.5731750130653381,1973-04-03
0.5619357824325562,1973-04-04
0.5799181461334229,1973-04-05
0.5664318203926086,1973-04-06
0.5731750130653381,1973-04-09
0.5709271430969238,1973-04-10
0.5686792731285095,1973-04-11
0.5619357824325562,1973-04-12
0.5664318203926086,1973-04-13
0.5731750130653381,1973-04-16
0.5799181461334229,1973-04-17
0.5754224061965942,1973-04-18
0.5754224061965942,1973-04-19
0.5731750130653381,1973-04-23
0.5731750130653381,1973-04-24
0.5686792731285095,1973-04-25
0.5619357824325562,1973-04-26
0.5529450178146362,1973-04-27
0.5619357824325562,1973-04-30
0.5529450178146362,1973-05-01
0.5709271430969238,1973-05-02
0.5934045314788818,1973-05-03
0.624873161315918,1973-05-04
0.5978997945785522,1973-05-07
0.6113866567611694,1973-05-08
0.6023953557014465,1973-05-09
0.5978997945785522,1973-05-10
0.6113866567611694,1973-05-11
0.6023953557014465,1973-05-14
0.5889087915420532,1973-05-15
0.5799181461334229,1973-05-16
0.5754224061965942,1973-05-17
0.5664318203926086,1973-05-18
0.5799181461334229,1973-05-21
0.5889087915420532,1973-05-22
0.5844134092330933,1973-05-23
0.5889087915420532,1973-05-24
0.5844134092330933,1973-05-25
0.5889087915420532,1973-05-29
0.5664318203926086,1973-05-30
0.5394584536552429,1973-05-31
0.5574404001235962,1973-06-01
0.548449695110321,1973-06-04
0.548449695110321,1973-06-05
0.5709271430969238,1973-06-06
0.5754224061965942,1973-06-07
0.5978997945785522,1973-06-08
0.5934045314788818,1973-06-11
0.5934045314788818,1973-06-12
0.5934045314788818,1973-06-13
0.5664318203926086,1973-06-14
0.5529450178146362,1973-06-15
0.5619357824325562,1973-06-18
0.5619357824325562,1973-06-19
0.5664318203926086,1973-06-20
0.5664318203926086,1973-06-21
0.5754224061965942,1973-06-22
0.5664318203926086,1973-06-25
0.5304675102233887,1973-06-26
0.49000808596611023,1973-06-27
0.5079904198646545,1973-06-28
0.5079904198646545,1973-06-29
0.4989992678165436,1973-07-02
0.5214768052101135,1973-07-03
0.5034945011138916,1973-07-05
0.4989992678165436,1973-07-06
0.4989992678165436,1973-07-09
0.5079904198646545,1973-07-10
0.5169813632965088,1973-07-11
0.4989992678165436,1973-07-12
0.4989992678165436,1973-07-13
0.5214768052101135,1973-07-16
0.5034945011138916,1973-07-17
0.49000808596611023,1973-07-18
0.5034945011138916,1973-07-19
0.5349634289741516,1973-07-20
0.5214768052101135,1973-07-23
0.5214768052101135,1973-07-24
0.5124857425689697,1973-07-25
0.5304675102233887,1973-07-26
0.5214768052101135,1973-07-27
0.5169813632965088,1973-07-30
0.5124857425689697,1973-07-31
0.5124857425689697,1973-08-01
0.5169813632965088,1973-08-02
0.5214768052101135,1973-08-03
0.5304675102233887,1973-08-06
0.5034945011138916,1973-08-07
0.4989992678165436,1973-08-08
0.4989992678165436,1973-08-09
0.4989992678165436,1973-08-10
0.49000808596611023,1973-08-13
0.4989992678165436,1973-08-14
0.5079904198646545,1973-08-15
0.5034945011138916,1973-08-16
0.5034945011138916,1973-08-17
0.5034945011138916,1973-08-20
0.4989992678165436,1973-08-21
0.4989992678165436,1973-08-22
0.4989992678165436,1973-08-23
0.5034945011138916,1973-08-24
0.4989992678165436,1973-08-27
0.5169813632965088,1973-08-28
0.5079904198646545,1973-08-29
0.5079904198646545,1973-08-30
0.5259720087051392,1973-08-31
0.5349634289741516,1973-09-04
0.5394584536552429,1973-09-05
0.5349634289741516,1973-09-06
0.5394584536552429,1973-09-07
0.5394584536552429,1973-09-10
0.5349634289741516,1973-09-11
0.5349634289741516,1973-09-12
0.5304675102233887,1973-09-13
0.5439543128013611,1973-09-14
0.5394584536552429,1973-09-17
0.548449695110321,1973-09-18
0.548449695110321,1973-09-19
0.5394584536552429,1973-09-20
0.5349634289741516,1973-09-21
0.5394584536552429,1973-09-24
0.548449695110321,1973-09-25
0.5439543128013611,1973-09-26
0.5349634289741516,1973-09-27
0.5214768052101135,1973-09-28
0.5124857425689697,1973-10-01
0.5349634289741516,1973-10-02
0.5304675102233887,1973-10-03
0.5529450178146362,1973-10-04
0.5439543128013611,1973-10-05
0.5439543128013611,1973-10-08
0.5529450178146362,1973-10-09
0.5439543128013611,1973-10-10
0.5574404001235962,1973-10-11
0.5439543128013611,1973-10-12
0.5394584536552429,1973-10-15
0.5304675102233887,1973-10-16
0.5259720087051392,1973-10-17
0.5394584536552429,1973-10-18
0.5439543128013611,1973-10-19
0.548449695110321,1973-10-22
0.5439543128013611,1973-10-23
0.5394584536552429,1973-10-24
0.5394584536552429,1973-10-25
0.5574404001235962,1973-10-26
0.5529450178146362,1973-10-29
0.5439543128013611,1973-10-30
0.5394584536552429,1973-10-31
0.5394584536552429,1973-11-01
0.5394584536552429,1973-11-02
0.5304675102233887,1973-11-05
0.5349634289741516,1973-11-06
0.5259720087051392,1973-11-07
0.5439543128013611,1973-11-08
0.5349634289741516,1973-11-09
0.548449695110321,1973-11-12
0.5394584536552429,1973-11-13
0.5394584536552429,1973-11-14
0.5394584536552429,1973-11-15
0.5394584536552429,1973-11-16
0.5349634289741516,1973-11-19
0.5349634289741516,1973-11-20
0.5394584536552429,1973-11-21
0.5304675102233887,1973-11-23
0.5304675102233887,1973-11-26
0.5214768052101135,1973-11-27
0.5259720087051392,1973-11-28
0.5259720087051392,1973-11-29
0.5124857425689697,1973-11-30
0.5304675102233887,1973-12-03
0.5439543128013611,1973-12-04
0.5304675102233887,1973-12-05
0.5304675102233887,1973-12-06
0.5349634289741516,1973-12-07
0.548449695110321,1973-12-10
0.5394584536552429,1973-12-11
0.5439543128013611,1973-12-12
0.5394584536552429,1973-12-13
0.5439543128013611,1973-12-14
0.5439543128013611,1973-12-17
0.5349634289741516,1973-12-18
0.5529450178146362,1973-12-19
0.5394584536552429,1973-12-20
0.5439543128013611,1973-12-21
0.5394584536552429,1973-12-24
0.5439543128013611,1973-12-26
0.548449695110321,1973-12-27
0.5664318203926086,1973-12-28
0.5574404001235962,1973-12-31
0.5439543128013611,1974-01-02
0.5754224061965942,1974-01-03
