ROST,Date
0.41811686754226685,1985-08-08
0.4122275114059448,1985-08-09
0.40633878111839294,1985-08-12
0.3945610225200653,1985-08-13
0.3945610225200653,1985-08-14
0.3945610225200653,1985-08-15
0.39161595702171326,1985-08-16
0.39161595702171326,1985-08-19
0.39750510454177856,1985-08-20
0.4004496932029724,1985-08-21
0.4033939242362976,1985-08-22
0.4004496932029724,1985-08-23
0.39750510454177856,1985-08-26
0.39161595702171326,1985-08-27
0.3945610225200653,1985-08-28
0.3945610225200653,1985-08-29
0.39161595702171326,1985-08-30
0.3886716067790985,1985-09-03
0.3886716067790985,1985-09-04
0.3886716067790985,1985-09-05
0.3945610225200653,1985-09-06
0.3945610225200653,1985-09-09
0.3945610225200653,1985-09-10
0.3886716067790985,1985-09-11
0.38572728633880615,1985-09-12
0.3474492132663727,1985-09-13
0.33567142486572266,1985-09-16
0.30622607469558716,1985-09-17
0.34155991673469543,1985-09-18
0.3621714115142822,1985-09-19
0.35922712087631226,1985-09-20
0.35922712087631226,1985-09-23
0.35922712087631226,1985-09-24
0.35922712087631226,1985-09-25
0.35922712087631226,1985-09-26
0.353337824344635,1985-09-30
0.353337824344635,1985-10-01
0.35922712087631226,1985-10-02
0.35922712087631226,1985-10-03
0.35628217458724976,1985-10-04
0.35628217458724976,1985-10-07
0.35628217458724976,1985-10-08
0.353337824344635,1985-10-09
0.353337824344635,1985-10-10
0.35628217458724976,1985-10-11
0.3680599331855774,1985-10-14
0.3651156425476074,1985-10-15
0.3680599331855774,1985-10-16
0.38572728633880615,1985-10-17
0.38572728633880615,1985-10-18
0.3827829957008362,1985-10-21
0.3827829957008362,1985-10-22
0.4004496932029724,1985-10-23
0.3827829957008362,1985-10-24
0.3827829957008362,1985-10-25
0.373949259519577,1985-10-28
0.373949259519577,1985-10-29
0.37983793020248413,1985-10-30
0.38572728633880615,1985-10-31
0.3827829957008362,1985-11-01
0.3827829957008362,1985-11-04
0.38572728633880615,1985-11-05
0.39750510454177856,1985-11-06
0.40928325057029724,1985-11-07
0.41811686754226685,1985-11-08
0.41811686754226685,1985-11-11
0.41811686754226685,1985-11-12
0.42106106877326965,1985-11-13
0.42106106877326965,1985-11-14
0.42106106877326965,1985-11-15
0.42106106877326965,1985-11-18
0.42400550842285156,1985-11-19
0.42106106877326965,1985-11-20
0.42400550842285156,1985-11-21
0.42400550842285156,1985-11-22
0.42106106877326965,1985-11-25
0.42400550842285156,1985-11-26
0.45345062017440796,1985-11-27
0.474061518907547,1985-11-29
0.46817252039909363,1985-12-02
0.4711170196533203,1985-12-03
0.46522852778434753,1985-12-04
0.46817252039909363,1985-12-05
0.46522852778434753,1985-12-06
0.46228352189064026,1985-12-09
0.4328390061855316,1985-12-10
0.4475613832473755,1985-12-11
0.45933905243873596,1985-12-12
0.456394761800766,1985-12-13
0.4475613832473755,1985-12-16
0.43578317761421204,1985-12-17
0.42694970965385437,1985-12-18
0.42694970965385437,1985-12-19
0.42400550842285156,1985-12-20
0.4004496932029724,1985-12-23
0.40633878111839294,1985-12-24
0.40633878111839294,1985-12-26
0.40928325057029724,1985-12-27
0.4151717722415924,1985-12-30
0.42400550842285156,1985-12-31
0.42400550842285156,1986-01-02
0.42989465594291687,1986-01-03
0.4151717722415924,1986-01-06
0.4122275114059448,1986-01-07
0.4122275114059448,1986-01-08
0.4122275114059448,1986-01-09
0.32978200912475586,1986-01-10
0.2915039360523224,1986-01-13
0.30622607469558716,1986-01-14
0.32094845175743103,1986-01-15
0.3180040419101715,1986-01-16
0.3180040419101715,1986-01-17
0.3180040419101715,1986-01-20
0.30622607469558716,1986-01-21
0.30917036533355713,1986-01-22
0.2915039360523224,1986-01-23
0.2973926067352295,1986-01-24
0.30917036533355713,1986-01-27
0.30328169465065,1986-01-28
0.300337553024292,1986-01-29
0.30622607469558716,1986-01-30
0.30622607469558716,1986-01-31
0.30622607469558716,1986-02-03
0.30917036533355713,1986-02-04
0.3180040419101715,1986-02-05
0.33861565589904785,1986-02-06
0.33567142486572266,1986-02-07
0.32094845175743103,1986-02-10
0.3121154010295868,1986-02-11
0.28561463952064514,1986-02-12
0.2944480776786804,1986-02-13
0.2944480776786804,1986-02-14
0.300337553024292,1986-02-18
0.2944480776786804,1986-02-19
0.2915039360523224,1986-02-20
0.27678167819976807,1986-02-21
0.2679481506347656,1986-02-24
0.2708923816680908,1986-02-25
0.27678167819976807,1986-02-26
0.2797258794307709,1986-02-27
0.28267019987106323,1986-02-28
0.28855958580970764,1986-03-03
0.3180040419101715,1986-03-04
0.315059632062912,1986-03-05
0.3121154010295868,1986-03-06
0.30622607469558716,1986-03-07
0.30328169465065,1986-03-10
0.2973926067352295,1986-03-11
0.30622607469558716,1986-03-12
0.300337553024292,1986-03-13
0.2973926067352295,1986-03-14
0.2973926067352295,1986-03-17
0.2973926067352295,1986-03-18
0.2973926067352295,1986-03-19
0.2973926067352295,1986-03-20
0.2797258794307709,1986-03-21
0.27383649349212646,1986-03-24
0.28561463952064514,1986-03-25
0.28855958580970764,1986-03-26
0.30622607469558716,1986-03-27
0.30622607469558716,1986-03-31
0.2973926067352295,1986-04-01
0.300337553024292,1986-04-02
0.30622607469558716,1986-04-03
0.300337553024292,1986-04-04
0.300337553024292,1986-04-07
0.2944480776786804,1986-04-08
0.300337553024292,1986-04-09
0.28855958580970764,1986-04-10
0.28561463952064514,1986-04-11
0.2915039360523224,1986-04-14
0.2915039360523224,1986-04-15
0.2944480776786804,1986-04-16
0.2973926067352295,1986-04-17
0.2944480776786804,1986-04-18
