GFS,Date
46.400001525878906,2021-10-28
48.7400016784668,2021-10-29
53.869998931884766,2021-11-01
56.41999816894531,2021-11-02
59.0,2021-11-03
62.68000030517578,2021-11-04
63.630001068115234,2021-11-05
59.36000061035156,2021-11-08
59.83000183105469,2021-11-09
57.720001220703125,2021-11-10
56.189998626708984,2021-11-11
55.959999084472656,2021-11-12
59.599998474121094,2021-11-15
61.66999816894531,2021-11-16
62.70000076293945,2021-11-17
64.2699966430664,2021-11-18
62.11000061035156,2021-11-19
63.9900016784668,2021-11-22
63.779998779296875,2021-11-23
68.97000122070312,2021-11-24
67.29000091552734,2021-11-26
70.54000091552734,2021-11-29
69.23999786376953,2021-11-30
66.26000213623047,2021-12-01
65.80999755859375,2021-12-02
69.02999877929688,2021-12-03
64.91999816894531,2021-12-06
67.86000061035156,2021-12-07
65.7699966430664,2021-12-08
63.70000076293945,2021-12-09
63.83000183105469,2021-12-10
61.209999084472656,2021-12-13
60.13999938964844,2021-12-14
60.970001220703125,2021-12-15
60.65999984741211,2021-12-16
60.0,2021-12-17
59.900001525878906,2021-12-20
62.2400016784668,2021-12-21
62.43000030517578,2021-12-22
61.709999084472656,2021-12-23
64.0,2021-12-27
65.37999725341797,2021-12-28
63.79999923706055,2021-12-29
64.48999786376953,2021-12-30
64.97000122070312,2021-12-31
66.7300033569336,2022-01-03
65.70999908447266,2022-01-04
62.54999923706055,2022-01-05
61.5099983215332,2022-01-06
60.0099983215332,2022-01-07
59.7599983215332,2022-01-10
62.13999938964844,2022-01-11
62.04999923706055,2022-01-12
59.349998474121094,2022-01-13
59.599998474121094,2022-01-14
57.939998626708984,2022-01-18
56.66999816894531,2022-01-19
53.529998779296875,2022-01-20
51.25,2022-01-21
50.439998626708984,2022-01-24
46.869998931884766,2022-01-25
47.599998474121094,2022-01-26
44.709999084472656,2022-01-27
46.09000015258789,2022-01-28
49.34000015258789,2022-01-31
50.09000015258789,2022-02-01
50.349998474121094,2022-02-02
49.34000015258789,2022-02-03
52.06999969482422,2022-02-04
54.4900016784668,2022-02-07
56.04999923706055,2022-02-08
57.0,2022-02-09
57.790000915527344,2022-02-10
53.47999954223633,2022-02-11
54.470001220703125,2022-02-14
55.16999816894531,2022-02-15
52.93000030517578,2022-02-16
48.95000076293945,2022-02-17
49.709999084472656,2022-02-18
49.33000183105469,2022-02-22
47.95000076293945,2022-02-23
54.79999923706055,2022-02-24
57.029998779296875,2022-02-25
60.779998779296875,2022-02-28
58.220001220703125,2022-03-01
59.599998474121094,2022-03-02
62.47999954223633,2022-03-03
60.689998626708984,2022-03-04
55.790000915527344,2022-03-07
56.439998626708984,2022-03-08
58.150001525878906,2022-03-09
58.880001068115234,2022-03-10
58.459999084472656,2022-03-11
58.40999984741211,2022-03-14
65.79000091552734,2022-03-15
