ROL,Date
0.10221904516220093,1980-03-17
0.10280335694551468,1980-03-18
0.10105078667402267,1980-03-19
0.10163512825965881,1980-03-20
0.10163512825965881,1980-03-21
0.09345753490924835,1980-03-24
0.09112106263637543,1980-03-25
0.09170492738485336,1980-03-26
0.08411172777414322,1980-03-27
0.09345753490924835,1980-03-28
0.09637783467769623,1980-03-31
0.09696220606565475,1980-04-01
0.09813044220209122,1980-04-02
0.09579397737979889,1980-04-03
0.08703247457742691,1980-04-07
0.08995284140110016,1980-04-08
0.09287314116954803,1980-04-09
0.09228935837745667,1980-04-10
0.09754610061645508,1980-04-11
0.09520959854125977,1980-04-14
0.09579397737979889,1980-04-15
0.09287314116954803,1980-04-16
0.09579397737979889,1980-04-17
0.10280335694551468,1980-04-18
0.11448516696691513,1980-04-21
0.11098099499940872,1980-04-22
0.10981282591819763,1980-04-23
0.11448516696691513,1980-04-24
0.10981282591819763,1980-04-25
0.10864456743001938,1980-04-28
0.10630804300308228,1980-04-29
0.1051398366689682,1980-04-30
0.11915817111730576,1980-05-01
0.11740607023239136,1980-05-02
0.11331704258918762,1980-05-05
0.11390133947134018,1980-05-06
0.11331704258918762,1980-05-07
0.11390133947134018,1980-05-08
0.11214925348758698,1980-05-09
0.1103966161608696,1980-05-12
0.11214925348758698,1980-05-13
0.1103966161608696,1980-05-14
0.11156483739614487,1980-05-15
0.11506956815719604,1980-05-16
0.11682166904211044,1980-05-19
0.11623784154653549,1980-05-20
0.11331704258918762,1980-05-21
0.11506956815719604,1980-05-22
0.11623784154653549,1980-05-23
0.11448516696691513,1980-05-27
0.11331704258918762,1980-05-28
0.1103966161608696,1980-05-29
0.11506956815719604,1980-05-30
0.11623784154653549,1980-06-02
0.11390133947134018,1980-06-03
0.12733568251132965,1980-06-04
0.12499919533729553,1980-06-05
0.1325930505990982,1980-06-06
0.13025662302970886,1980-06-09
0.1320086419582367,1980-06-10
0.13551338016986847,1980-06-11
0.13492949306964874,1980-06-12
0.1325930505990982,1980-06-13
0.13551338016986847,1980-06-16
0.13668163120746613,1980-06-17
0.13376128673553467,1980-06-18
0.13317690789699554,1980-06-19
0.13317690789699554,1980-06-20
0.13376128673553467,1980-06-23
0.1325930505990982,1980-06-24
0.1308404505252838,1980-06-25
0.13025662302970886,1980-06-26
0.13025662302970886,1980-06-27
0.13317690789699554,1980-06-30
0.13726550340652466,1980-07-01
0.13668163120746613,1980-07-02
0.13726550340652466,1980-07-03
0.13317690789699554,1980-07-07
0.13317690789699554,1980-07-08
0.13668163120746613,1980-07-09
0.1343451291322708,1980-07-10
0.14485915005207062,1980-07-11
0.1507004201412201,1980-07-14
0.14369095861911774,1980-07-15
0.13551338016986847,1980-07-16
0.1401863843202591,1980-07-17
0.1320086419582367,1980-07-18
0.13142475485801697,1980-07-21
0.1308404505252838,1980-07-22
0.13492949306964874,1980-07-23
0.13668163120746613,1980-07-24
0.13726550340652466,1980-07-25
0.1325930505990982,1980-07-28
0.1308404505252838,1980-07-29
0.13376128673553467,1980-07-30
0.13317690789699554,1980-07-31
0.13142475485801697,1980-08-01
0.13142475485801697,1980-08-04
0.1343451291322708,1980-08-05
0.13317690789699554,1980-08-06
0.13376128673553467,1980-08-07
0.12792007625102997,1980-08-08
0.13376128673553467,1980-08-11
0.1320086419582367,1980-08-12
0.13317690789699554,1980-08-13
0.1343451291322708,1980-08-14
0.13668163120746613,1980-08-15
0.13492949306964874,1980-08-18
0.13376128673553467,1980-08-19
0.13668163120746613,1980-08-20
0.13843366503715515,1980-08-21
0.13960188627243042,1980-08-22
0.13551338016986847,1980-08-25
0.13492949306964874,1980-08-26
0.13492949306964874,1980-08-27
0.13376128673553467,1980-08-28
0.13376128673553467,1980-08-29
0.13551338016986847,1980-09-02
0.1401863843202591,1980-09-03
0.1413545310497284,1980-09-04
0.14485915005207062,1980-09-05
0.14252282679080963,1980-09-08
0.14544306695461273,1980-09-09
0.14719566702842712,1980-09-10
0.1530369520187378,1980-09-11
0.15420514345169067,1980-09-12
0.15654167532920837,1980-09-15
0.16004572808742523,1980-09-16
0.16238228976726532,1980-09-17
0.1571253538131714,1980-09-18
0.15770982205867767,1980-09-19
0.1559571474790573,1980-09-22
0.1530369520187378,1980-09-23
0.15654167532920837,1980-09-24
0.15537334978580475,1980-09-25
0.15420514345169067,1980-09-26
0.1507004201412201,1980-09-29
0.1530369520187378,1980-09-30
0.15186871588230133,1980-10-01
0.1507004201412201,1980-10-02
0.1559571474790573,1980-10-03
0.1635504812002182,1980-10-06
0.16880770027637482,1980-10-07
0.16880770027637482,1980-10-08
0.17172807455062866,1980-10-09
0.17055977880954742,1980-10-10
0.17055977880954742,1980-10-13
0.17055977880954742,1980-10-14
0.16822345554828644,1980-10-15
0.16880770027637482,1980-10-16
0.16647133231163025,1980-10-17
0.16822345554828644,1980-10-20
0.17231245338916779,1980-10-21
0.17172807455062866,1980-10-22
0.16880770027637482,1980-10-23
0.16822345554828644,1980-10-24
0.16471874713897705,1980-10-27
0.1612139642238617,1980-10-28
0.1612139642238617,1980-10-29
0.1612139642238617,1980-10-30
0.1629665642976761,1980-10-31
0.16063012182712555,1980-11-03
0.16705504059791565,1980-11-05
0.1635504812002182,1980-11-06
0.16063012182712555,1980-11-07
0.1588774472475052,1980-11-10
0.16705504059791565,1980-11-11
0.16822345554828644,1980-11-12
0.177569180727005,1980-11-13
0.17406441271305084,1980-11-14
0.17523275315761566,1980-11-17
0.17873743176460266,1980-11-18
0.181073859333992,1980-11-19
0.18224212527275085,1980-11-20
