JD,Date
19.523862838745117,2014-05-22
18.776538848876953,2014-05-23
21.45756721496582,2014-05-27
23.14838981628418,2014-05-28
23.727563858032227,2014-05-29
23.35390281677246,2014-05-30
22.980241775512695,2014-06-02
23.44732093811035,2014-06-03
22.924192428588867,2014-06-04
24.08254623413086,2014-06-05
24.82986831665039,2014-06-06
26.558059692382812,2014-06-09
26.483325958251953,2014-06-10
27.090526580810547,2014-06-11
25.38102149963379,2014-06-12
25.9601993560791,2014-06-13
25.119457244873047,2014-06-16
25.23996353149414,2014-06-17
24.773820877075195,2014-06-18
24.129253387451172,2014-06-19
23.774272918701172,2014-06-20
24.633699417114258,2014-06-23
25.25958251953125,2014-06-24
25.28760528564453,2014-06-25
26.436616897583008,2014-06-26
26.165714263916016,2014-06-27
26.632789611816406,2014-06-30
27.735095977783203,2014-07-01
27.053159713745117,2014-07-02
25.9601993560791,2014-07-03
25.810733795166016,2014-07-07
24.72711181640625,2014-07-08
24.624357223510742,2014-07-09
25.876123428344727,2014-07-10
25.25958251953125,2014-07-11
26.193740844726562,2014-07-14
26.352542877197266,2014-07-15
27.19328498840332,2014-07-16
25.745342254638672,2014-07-17
25.988224029541016,2014-07-18
26.660816192626953,2014-07-21
26.83830451965332,2014-07-22
26.04427146911621,2014-07-23
27.13723373413086,2014-07-24
27.118553161621094,2014-07-25
27.548263549804688,2014-07-28
27.669706344604492,2014-07-29
27.15591812133789,2014-07-30
26.698183059692383,2014-07-31
26.100322723388672,2014-08-01
25.9601993560791,2014-08-04
25.90414810180664,2014-08-05
25.69863510131836,2014-08-06
25.670608520507812,2014-08-07
26.49266815185547,2014-08-08
26.352542877197266,2014-08-11
26.875673294067383,2014-08-12
28.463735580444336,2014-08-13
28.034025192260742,2014-08-14
27.632339477539062,2014-08-15
28.06205177307129,2014-08-18
28.220855712890625,2014-08-19
28.893449783325195,2014-08-20
28.790691375732422,2014-08-21
28.921472549438477,2014-08-22
29.27645492553711,2014-08-25
29.902334213256836,2014-08-26
30.490854263305664,2014-08-27
29.369869232177734,2014-08-28
29.818262100219727,2014-08-29
29.02423095703125,2014-09-02
28.781349182128906,2014-09-03
28.26756477355957,2014-09-04
27.118553161621094,2014-09-05
27.21196746826172,2014-09-08
27.146575927734375,2014-09-09
26.483325958251953,2014-09-10
27.202627182006836,2014-09-11
27.324066162109375,2014-09-12
26.96908950805664,2014-09-15
25.96953773498535,2014-09-16
26.249786376953125,2014-09-17
27.604312896728516,2014-09-18
26.483325958251953,2014-09-19
25.194189071655273,2014-09-22
24.820528030395508,2014-09-23
25.390365600585938,2014-09-24
24.820528030395508,2014-09-25
25.156824111938477,2014-09-26
24.596330642700195,2014-09-29
24.119911193847656,2014-09-30
23.372587203979492,2014-10-01
23.998472213745117,2014-10-02
24.26937484741211,2014-10-03
24.250694274902344,2014-10-06
23.680856704711914,2014-10-07
24.661720275878906,2014-10-08
23.97044563293457,2014-10-09
23.363245010375977,2014-10-10
22.47579574584961,2014-10-13
22.326330184936523,2014-10-14
22.699993133544922,2014-10-15
23.372587203979492,2014-10-16
23.419294357299805,2014-10-17
23.736907958984375,2014-10-20
23.727563858032227,2014-10-21
23.76493263244629,2014-10-22
23.036291122436523,2014-10-23
22.438430786132812,2014-10-24
22.54118537902832,2014-10-27
23.14838981628418,2014-10-28
22.513164520263672,2014-10-29
22.307647705078125,2014-10-30
22.31698989868164,2014-10-31
23.13904571533203,2014-11-03
23.269826889038086,2014-11-04
22.335670471191406,2014-11-05
22.91485023498535,2014-11-06
23.111021041870117,2014-11-07
24.52159881591797,2014-11-10
24.11056900024414,2014-11-11
25.829416275024414,2014-11-12
25.52114486694336,2014-11-13
25.231557846069336,2014-11-14
23.35390281677246,2014-11-17
23.736907958984375,2014-11-18
22.886823654174805,2014-11-19
22.186208724975586,2014-11-20
22.494478225708008,2014-11-21
22.45711326599121,2014-11-24
22.223575592041016,2014-11-25
22.214235305786133,2014-11-26
21.971351623535156,2014-11-28
20.52341079711914,2014-12-01
22.335670471191406,2014-12-02
22.980241775512695,2014-12-03
22.85879898071289,2014-12-04
22.279624938964844,2014-12-05
21.709789276123047,2014-12-08
23.74625015258789,2014-12-09
23.120363235473633,2014-12-10
23.157730102539062,2014-12-11
22.391721725463867,2014-12-12
21.728471755981445,2014-12-15
21.60702896118164,2014-12-16
21.952667236328125,2014-12-17
22.67197036743164,2014-12-18
22.95221519470215,2014-12-19
23.260486602783203,2014-12-22
23.101680755615234,2014-12-23
22.98958396911621,2014-12-24
22.942874908447266,2014-12-26
22.494478225708008,2014-12-29
21.71912956237793,2014-12-30
21.616371154785156,2014-12-31
22.438430786132812,2015-01-02
22.961557388305664,2015-01-05
22.91485023498535,2015-01-06
23.17641258239746,2015-01-07
23.428634643554688,2015-01-08
23.297853469848633,2015-01-09
22.522504806518555,2015-01-12
22.270282745361328,2015-01-13
22.251598358154297,2015-01-14
21.78451919555664,2015-01-15
22.485137939453125,2015-01-16
22.942874908447266,2015-01-20
22.868141174316406,2015-01-21
22.73736000061035,2015-01-22
23.026948928833008,2015-01-23
23.363245010375977,2015-01-26
23.67151641845703,2015-01-27
24.278715133666992,2015-01-28
23.064315795898438,2015-01-29
23.204437255859375,2015-01-30
23.802297592163086,2015-02-02
24.586990356445312,2015-02-03
24.951309204101562,2015-02-04
25.044723510742188,2015-02-05
24.717769622802734,2015-02-06
24.857894897460938,2015-02-09
24.586990356445312,2015-02-10
24.708431243896484,2015-02-11
24.755136489868164,2015-02-12
24.50291633605957,2015-02-13
25.502460479736328,2015-02-17
26.1563720703125,2015-02-18
25.9975643157959,2015-02-19
26.352542877197266,2015-02-20
26.25912857055664,2015-02-23
25.679950714111328,2015-02-24
25.502460479736328,2015-02-25
26.1563720703125,2015-02-26
25.848098754882812,2015-02-27
26.296493530273438,2015-03-02
25.717317581176758,2015-03-03
25.894807815551758,2015-03-04
27.090526580810547,2015-03-05
26.73554801940918,2015-03-06
27.01579475402832,2015-03-09
26.389909744262695,2015-03-10
25.69863510131836,2015-03-11
26.343202590942383,2015-03-12
26.231103897094727,2015-03-13
25.894807815551758,2015-03-16
26.651473999023438,2015-03-17
27.099868774414062,2015-03-18
27.03447914123535,2015-03-19
27.19328498840332,2015-03-20
27.090526580810547,2015-03-23
27.781801223754883,2015-03-24
27.7537784576416,2015-03-25
27.819168090820312,2015-03-26
28.099416732788086,2015-03-27
27.7911434173584,2015-03-30
27.445505142211914,2015-03-31
27.29604148864746,2015-04-01
27.548263549804688,2015-04-02
28.052709579467773,2015-04-06
28.958839416503906,2015-04-07
30.509538650512695,2015-04-08
30.537561416625977,2015-04-09
31.042009353637695,2015-04-10
31.864065170288086,2015-04-13
31.03266716003418,2015-04-14
31.3409366607666,2015-04-15
31.714601516723633,2015-04-16
31.004640579223633,2015-04-17
30.827150344848633,2015-04-20
31.499746322631836,2015-04-21
31.537107467651367,2015-04-22
31.443696975708008,2015-04-23
32.433902740478516,2015-04-24
32.957027435302734,2015-04-27
32.714149475097656,2015-04-28
31.94814109802246,2015-04-29
31.350282669067383,2015-04-30
31.322250366210938,2015-05-01
32.0322151184082,2015-05-04
31.48105812072754,2015-05-05
30.34139060974121,2015-05-06
30.901885986328125,2015-05-07
31.518428802490234,2015-05-08
32.19102096557617,2015-05-11
30.612295150756836,2015-05-12
30.60295295715332,2015-05-13
31.182132720947266,2015-05-14
31.200817108154297,2015-05-15
31.677236557006836,2015-05-18
31.901430130004883,2015-05-19
31.50908660888672,2015-05-20
31.630525588989258,2015-05-21
32.592708587646484,2015-05-22
31.95747947692871,2015-05-26
31.994844436645508,2015-05-27
31.779991149902344,2015-05-28
31.46237564086914,2015-05-29
32.47126388549805,2015-06-01
32.50863265991211,2015-06-02
32.48060989379883,2015-06-03
