DELL,Date
11.387267112731934,2016-08-17
11.321063041687012,2016-08-18
11.519676208496094,2016-08-19
11.55940055847168,2016-08-22
11.91690731048584,2016-08-23
12.075799942016602,2016-08-24
12.025484085083008,2016-08-25
12.115522384643555,2016-08-26
12.261173248291016,2016-08-29
11.956631660461426,2016-08-30
11.832165718078613,2016-08-31
11.519676208496094,2016-09-01
11.38197135925293,2016-09-02
12.036076545715332,2016-09-06
12.711368560791016,2016-09-07
13.323101043701172,2016-09-08
12.997373580932617,2016-09-09
13.082117080688477,2016-09-12
12.843777656555176,2016-09-13
12.804057121276855,2016-09-14
12.947057723999023,2016-09-15
12.835832595825195,2016-09-16
12.91263198852539,2016-09-19
12.904685974121094,2016-09-20
12.822591781616211,2016-09-21
12.71931266784668,2016-09-22
12.714016914367676,2016-09-23
12.682239532470703,2016-09-26
12.655755996704102,2016-09-27
12.674293518066406,2016-09-28
12.597495079040527,2016-09-29
12.658404350280762,2016-09-30
12.692831039428711,2016-10-03
12.674293518066406,2016-10-04
12.835832595825195,2016-10-05
12.814647674560547,2016-10-06
12.72990608215332,2016-10-07
12.58425521850586,2016-10-10
12.483623504638672,2016-10-11
12.475677490234375,2016-10-12
12.480975151062012,2016-10-13
12.510104179382324,2016-10-14
12.549827575683594,2016-10-17
12.626625061035156,2016-10-18
12.63456916809082,2016-10-19
12.631922721862793,2016-10-20
12.510104179382324,2016-10-21
12.695479393005371,2016-10-24
12.443899154663086,2016-10-25
12.372397422790527,2016-10-26
12.798758506774902,2016-10-27
12.941761016845703,2016-10-28
13.00002384185791,2016-10-31
12.835832595825195,2016-11-01
12.976188659667969,2016-11-02
12.915278434753418,2016-11-03
12.875556945800781,2016-11-04
13.113895416259766,2016-11-07
13.156265258789062,2016-11-08
13.074172019958496,2016-11-09
13.045042037963867,2016-11-10
13.015912055969238,2016-11-11
12.973539352416992,2016-11-14
13.262194633483887,2016-11-15
13.413141250610352,2016-11-16
13.717684745788574,2016-11-17
13.768001556396484,2016-11-18
13.88716983795166,2016-11-21
13.794482231140137,2016-11-22
13.648832321166992,2016-11-23
13.820964813232422,2016-11-25
13.807723045349121,2016-11-28
14.10697078704834,2016-11-29
14.183767318725586,2016-11-30
13.738869667053223,2016-12-01
13.96926498413086,2016-12-02
14.051359176635742,2016-12-05
14.133452415466309,2016-12-06
14.273807525634766,2016-12-07
14.279104232788086,2016-12-08
14.292344093322754,2016-12-09
14.273807525634766,2016-12-12
14.239380836486816,2016-12-13
14.355899810791016,2016-12-14
15.031192779541016,2016-12-15
14.946451187133789,2016-12-16
14.933209419250488,2016-12-19
15.107990264892578,2016-12-20
15.171547889709473,2016-12-21
14.787557601928711,2016-12-22
14.853763580322266,2016-12-23
14.843171119689941,2016-12-27
14.65514850616455,2016-12-28
14.63396167755127,2016-12-29
14.557164192199707,2016-12-30
14.451236724853516,2017-01-03
14.565109252929688,2017-01-04
14.636611938476562,2017-01-05
15.03913688659668,2017-01-06
14.959691047668457,2017-01-09
15.092101097106934,2017-01-10
15.248343467712402,2017-01-11
15.26423454284668,2017-01-12
15.40458869934082,2017-01-13
15.343679428100586,2017-01-17
15.510519981384277,2017-01-18
15.574074745178223,2017-01-19
15.693245887756348,2017-01-20
15.43371868133545,2017-01-23
15.828304290771484,2017-01-24
15.905097007751465,2017-01-25
15.785931587219238,2017-01-26
16.56450080871582,2017-01-27
16.535371780395508,2017-01-30
16.68102264404297,2017-01-31
16.710153579711914,2017-02-01
16.937896728515625,2017-02-02
17.041181564331055,2017-02-03
17.11532974243164,2017-02-06
17.176237106323242,2017-02-07
17.17093849182129,2017-02-08
17.21331214904785,2017-02-09
17.141807556152344,2017-02-10
17.168292999267578,2017-02-13
17.173587799072266,2017-02-14
17.24509048461914,2017-02-15
17.24509048461914,2017-02-16
17.104736328125,2017-02-17
17.23979377746582,2017-02-21
17.15239906311035,2017-02-22
16.980268478393555,2017-02-23
17.012048721313477,2017-02-24
16.95908546447754,2017-02-27
16.813434600830078,2017-02-28
16.969676971435547,2017-03-01
16.808135986328125,2017-03-02
16.800193786621094,2017-03-03
16.606876373291016,2017-03-06
16.69691276550293,2017-03-07
16.82137680053711,2017-03-08
16.718095779418945,2017-03-09
16.81078338623047,2017-03-10
16.816082000732422,2017-03-13
16.813434600830078,2017-03-14
16.876991271972656,2017-03-15
16.948488235473633,2017-03-16
16.998807907104492,2017-03-17
16.967025756835938,2017-03-20
16.535371780395508,2017-03-21
16.67837142944336,2017-03-22
16.704856872558594,2017-03-23
16.781654357910156,2017-03-24
16.781654357910156,2017-03-27
16.834617614746094,2017-03-28
16.922012329101562,2017-03-29
16.945842742919922,2017-03-30
16.969676971435547,2017-03-31
16.908767700195312,2017-04-03
16.996156692504883,2017-04-04
16.953786849975586,2017-04-05
17.001453399658203,2017-04-06
17.178884506225586,2017-04-07
17.189477920532227,2017-04-10
17.242441177368164,2017-04-11
16.922012329101562,2017-04-12
16.927303314208984,2017-04-13
17.014692306518555,2017-04-17
17.051773071289062,2017-04-18
17.08884620666504,2017-04-19
17.186830520629883,2017-04-20
17.05971336364746,2017-04-21
17.52579689025879,2017-04-24
17.570819854736328,2017-04-25
17.758840560913086,2017-04-26
17.856822967529297,2017-04-27
17.772083282470703,2017-04-28
17.89389991760254,2017-05-01
17.724414825439453,2017-05-02
17.523151397705078,2017-05-03
17.562875747680664,2017-05-04
17.819751739501953,2017-05-05
17.909788131713867,2017-05-08
17.806509017944336,2017-05-09
17.737655639648438,2017-05-10
17.50461196899414,2017-05-11
17.200071334838867,2017-05-12
17.546981811523438,2017-05-15
17.621135711669922,2017-05-16
17.184179306030273,2017-05-17
17.123271942138672,2017-05-18
17.192123413085938,2017-05-19
17.843582153320312,2017-05-22
17.843582153320312,2017-05-23
18.026309967041016,2017-05-24
18.182554244995117,2017-05-25
18.219627380371094,2017-05-26
18.20638656616211,2017-05-30
18.375871658325195,2017-05-31
18.34674072265625,2017-06-01
18.073974609375,2017-06-02
17.639671325683594,2017-06-05
17.777376174926758,2017-06-06
17.962751388549805,2017-06-07
17.23979377746582,2017-06-08
16.567150115966797,2017-06-09
16.482404708862305,2017-06-12
16.636001586914062,2017-06-13
16.463869094848633,2017-06-14
16.379127502441406,2017-06-15
16.450626373291016,2017-06-16
16.596277236938477,2017-06-19
16.47975730895996,2017-06-20
16.768415451049805,2017-06-21
16.831968307495117,2017-06-22
16.847858428955078,2017-06-23
16.802837371826172,2017-06-26
16.413555145263672,2017-06-27
16.604225158691406,2017-06-28
16.101064682006836,2017-06-29
16.18315887451172,2017-06-30
15.984543800354004,2017-07-03
16.101064682006836,2017-07-05
16.11166000366211,2017-07-06
16.289087295532227,2017-07-07
16.286439895629883,2017-07-10
16.291736602783203,2017-07-11
16.310272216796875,2017-07-12
16.233476638793945,2017-07-13
16.206993103027344,2017-07-14
16.65983772277832,2017-07-17
16.61216926574707,2017-07-18
16.850505828857422,2017-07-19
16.93260383605957,2017-07-20
16.850505828857422,2017-07-21
16.861101150512695,2017-07-24
16.87169075012207,2017-07-25
16.953786849975586,2017-07-26
16.824024200439453,2017-07-27
16.874340057373047,2017-07-28
17.019990921020508,2017-07-31
17.072956085205078,2017-08-01
16.908767700195312,2017-08-02
16.951141357421875,2017-08-03
17.051773071289062,2017-08-04
17.06766128540039,2017-08-07
17.06766128540039,2017-08-08
16.980268478393555,2017-08-09
16.728689193725586,2017-08-10
16.694265365600586,2017-08-11
17.938919067382812,2017-08-14
17.533742904663086,2017-08-15
17.801212310791016,2017-08-16
17.58405876159668,2017-08-17
17.6926326751709,2017-08-18
17.76148796081543,2017-08-21
18.1957950592041,2017-08-22
18.3255558013916,2017-08-23
18.516225814819336,2017-08-24
18.998201370239258,2017-08-25
19.278907775878906,2017-08-28
19.315982818603516,2017-08-29
19.657602310180664,2017-08-30
19.842975616455078,2017-08-31
19.79795265197754,2017-09-01
19.808549880981445,2017-09-05
19.776771545410156,2017-09-06
19.721158981323242,2017-09-07
19.665546417236328,2017-09-08
19.98332977294922,2017-09-11
20.192537307739258,2017-09-12
20.319650650024414,2017-09-13
20.48649024963379,2017-09-14
20.38585662841797,2017-09-15
20.351430892944336,2017-09-18
20.343486785888672,2017-09-19
20.346132278442383,2017-09-20
20.285226821899414,2017-09-21
20.393802642822266,2017-09-22
20.10779571533203,2017-09-25
20.158111572265625,2017-09-26
20.422931671142578,2017-09-27
20.430875778198242,2017-09-28
20.446765899658203,2017-09-29
20.640085220336914,2017-10-02
20.727476119995117,2017-10-03
20.714231491088867,2017-10-04
20.931385040283203,2017-10-05
20.931385040283203,2017-10-06
20.989646911621094,2017-10-09
20.941978454589844,2017-10-10
21.016130447387695,2017-10-11
21.262407302856445,2017-10-12
21.36568832397461,2017-10-13
21.47691535949707,2017-10-16
21.447784423828125,2017-10-17
