KMI,Date
16.852561950683594,2011-02-11
16.662595748901367,2011-02-14
16.792861938476562,2011-02-15
16.673450469970703,2011-02-16
16.581180572509766,2011-02-17
17.026247024536133,2011-02-18
16.673450469970703,2011-02-22
16.5106258392334,2011-02-23
16.532337188720703,2011-02-24
16.554048538208008,2011-02-25
16.554048538208008,2011-02-28
16.526912689208984,2011-03-01
16.592039108276367,2011-03-02
16.70058822631836,2011-03-03
16.744014739990234,2011-03-04
16.77114486694336,2011-03-07
16.80914306640625,2011-03-08
16.689741134643555,2011-03-09
16.336942672729492,2011-03-10
16.336942672729492,2011-03-11
16.277246475219727,2011-03-14
16.217538833618164,2011-03-15
16.309804916381836,2011-03-16
16.364078521728516,2011-03-17
16.554048538208008,2011-03-18
16.727725982666016,2011-03-21
16.662595748901367,2011-03-22
16.293521881103516,2011-03-23
16.309804916381836,2011-03-24
16.022140502929688,2011-03-25
16.0764217376709,2011-03-28
16.168691635131836,2011-03-29
16.114416122436523,2011-03-30
16.087278366088867,2011-03-31
16.011287689208984,2011-04-01
15.978728294372559,2011-04-04
15.978728294372559,2011-04-05
15.989583015441895,2011-04-06
15.85931396484375,2011-04-07
15.919023513793945,2011-04-08
15.875598907470703,2011-04-11
15.593371391296387,2011-04-12
15.6476469039917,2011-04-13
15.805037498474121,2011-04-14
15.67478084564209,2011-04-15
15.479387283325195,2011-04-18
15.62050724029541,2011-04-19
15.984155654907227,2011-04-20
16.08184814453125,2011-04-21
15.935302734375,2011-04-25
15.805037498474121,2011-04-26
15.663923263549805,2011-04-27
15.723922729492188,2011-04-28
15.587573051452637,2011-04-29
15.718465805053711,2011-05-02
15.374860763549805,2011-05-03
15.249418258666992,2011-05-04
15.260326385498047,2011-05-05
15.27124309539795,2011-05-06
15.429404258728027,2011-05-09
15.55484676361084,2011-05-10
15.440308570861816,2011-05-11
15.516674041748047,2011-05-12
15.233059883117676,2011-05-13
15.020354270935059,2011-05-16
14.998540878295898,2011-05-17
15.031262397766113,2011-05-18
15.429404258728027,2011-05-19
15.543940544128418,2011-05-20
15.451214790344238,2011-05-23
15.849366188049316,2011-05-24
15.827543258666992,2011-05-25
15.647564888000488,2011-05-26
15.91481876373291,2011-05-27
15.974809646606445,2011-05-31
15.816642761230469,2011-06-01
16.023893356323242,2011-06-02
16.225688934326172,2011-06-03
16.100242614746094,2011-06-06
16.24750518798828,2011-06-07
16.21478271484375,2011-06-08
16.19296646118164,2011-06-09
16.105701446533203,2011-06-10
16.062068939208984,2011-06-13
16.089336395263672,2011-06-14
16.012981414794922,2011-06-15
15.931163787841797,2011-06-16
16.198415756225586,2011-06-17
16.149333953857422,2011-06-20
16.154787063598633,2011-06-21
16.154787063598633,2011-06-22
15.871182441711426,2011-06-23
15.59847354888916,2011-06-24
15.413044929504395,2011-06-27
15.434854507446289,2011-06-28
15.489397048950195,2011-06-29
15.669377326965332,2011-06-30
15.963898658752441,2011-07-01
15.958443641662598,2011-07-05
15.876633644104004,2011-07-06
15.805731773376465,2011-07-07
15.773004531860352,2011-07-08
