LOW,Date
0.2790747284889221,1980-03-17
0.27203917503356934,1980-03-18
0.27203917503356934,1980-03-19
0.27203917503356934,1980-03-20
0.26734909415245056,1980-03-21
0.25327789783477783,1980-03-24
0.2579684555530548,1980-03-25
0.2579684555530548,1980-03-26
0.2556229531764984,1980-03-27
0.2509327530860901,1980-03-28
0.2579684555530548,1980-03-31
0.26734909415245056,1980-04-01
0.27672988176345825,1980-04-02
0.2814198136329651,1980-04-03
0.2861105799674988,1980-04-07
0.2814198136329651,1980-04-08
0.28376489877700806,1980-04-09
0.2954910397529602,1980-04-10
0.2978362739086151,1980-04-11
0.2954910397529602,1980-04-14
0.29314571619033813,1980-04-15
0.2908005118370056,1980-04-16
0.2814198136329651,1980-04-17
0.27672988176345825,1980-04-18
0.2626585066318512,1980-04-21
0.265003502368927,1980-04-22
0.26734909415245056,1980-04-23
0.26734909415245056,1980-04-24
0.2696942090988159,1980-04-25
0.2790747284889221,1980-04-28
0.2790747284889221,1980-04-29
0.2814198136329651,1980-04-30
0.2861105799674988,1980-05-01
0.3095618486404419,1980-05-02
0.3048718273639679,1980-05-05
0.3001812994480133,1980-05-06
0.3072170317173004,1980-05-07
0.3025262951850891,1980-05-08
0.3095618486404419,1980-05-09
0.3025262951850891,1980-05-12
0.3072170317173004,1980-05-13
0.3095618486404419,1980-05-14
0.31190693378448486,1980-05-15
0.3095618486404419,1980-05-16
0.3072170317173004,1980-05-19
0.3072170317173004,1980-05-20
0.3165976107120514,1980-05-21
0.3095618486404419,1980-05-22
0.3142523765563965,1980-05-23
0.3283231258392334,1980-05-27
0.3212875723838806,1980-05-28
0.31894242763519287,1980-05-29
0.3165976107120514,1980-05-30
0.3142523765563965,1980-06-02
0.31190693378448486,1980-06-03
0.31190693378448486,1980-06-04
0.3165976107120514,1980-06-05
0.31894242763519287,1980-06-06
0.3142523765563965,1980-06-09
0.31894242763519287,1980-06-10
0.3212875723838806,1980-06-11
0.31190693378448486,1980-06-12
0.3142523765563965,1980-06-13
0.3142523765563965,1980-06-16
0.3165976107120514,1980-06-17
0.3283231258392334,1980-06-18
0.31894242763519287,1980-06-19
0.3165976107120514,1980-06-20
0.3165976107120514,1980-06-23
0.3236331343650818,1980-06-24
0.34004876017570496,1980-06-25
0.34239447116851807,1980-06-26
0.34239447116851807,1980-06-27
0.33770373463630676,1980-06-30
0.34239447116851807,1980-07-01
0.34004876017570496,1980-07-02
0.33535870909690857,1980-07-03
0.3447393774986267,1980-07-07
0.34239447116851807,1980-07-08
0.3705366849899292,1980-07-09
0.3681906759738922,1980-07-10
0.3635006248950958,1980-07-11
0.3799171447753906,1980-07-14
0.37288162112236023,1980-07-15
0.38226214051246643,1980-07-16
0.3869520127773285,1980-07-17
0.398678183555603,1980-07-18
0.41978490352630615,1980-07-21
0.43151044845581055,1980-07-22
0.4362010061740875,1980-07-23
0.43151044845581055,1980-07-24
0.4268203377723694,1980-07-25
0.43854597210884094,1980-07-28
0.43385550379753113,1980-07-29
0.4268203377723694,1980-07-30
0.42916545271873474,1980-07-31
0.43854597210884094,1980-08-01
0.43385550379753113,1980-08-04
0.43385550379753113,1980-08-05
0.4362010061740875,1980-08-06
0.4432360529899597,1980-08-07
0.44089117646217346,1980-08-08
0.44089117646217346,1980-08-11
0.44792675971984863,1980-08-12
0.44792675971984863,1980-08-13
0.4455820322036743,1980-08-14
0.43151044845581055,1980-08-15
0.4244747459888458,1980-08-18
0.4057134687900543,1980-08-19
0.398678183555603,1980-08-20
0.4057134687900543,1980-08-21
0.417439728975296,1980-08-22
0.4150940477848053,1980-08-25
0.417439728975296,1980-08-26
0.4127492904663086,1980-08-27
0.4127492904663086,1980-08-28
0.40805917978286743,1980-08-29
0.4010234773159027,1980-09-02
0.40805917978286743,1980-09-03
0.4033684730529785,1980-09-04
0.398678183555603,1980-09-05
0.3916427195072174,1980-09-08
0.39398789405822754,1980-09-09
0.3892980217933655,1980-09-10
0.39398789405822754,1980-09-11
0.39398789405822754,1980-09-12
0.39398789405822754,1980-09-15
0.39398789405822754,1980-09-16
0.417439728975296,1980-09-17
0.42916545271873474,1980-09-18
0.43854597210884094,1980-09-19
0.4362010061740875,1980-09-22
0.45730727910995483,1980-09-23
0.45730727910995483,1980-09-24
0.4502718448638916,1980-09-25
0.44089117646217346,1980-09-26
0.4244747459888458,1980-09-29
0.42212972044944763,1980-09-30
0.417439728975296,1980-10-01
0.42212972044944763,1980-10-02
0.4104040265083313,1980-10-03
0.42212972044944763,1980-10-06
0.43151044845581055,1980-10-07
0.4362010061740875,1980-10-08
0.43151044845581055,1980-10-09
0.42212972044944763,1980-10-10
0.42212972044944763,1980-10-13
0.4268203377723694,1980-10-14
0.43385550379753113,1980-10-15
0.4268203377723694,1980-10-16
0.42212972044944763,1980-10-17
0.41978490352630615,1980-10-20
0.4150940477848053,1980-10-21
0.4104040265083313,1980-10-22
0.4033684730529785,1980-10-23
0.4010234773159027,1980-10-24
0.39398789405822754,1980-10-27
0.3799171447753906,1980-10-28
0.3846071660518646,1980-10-29
0.3799171447753906,1980-10-30
0.3752267360687256,1980-10-31
0.3705366849899292,1980-11-03
0.3799171447753906,1980-11-05
0.37288162112236023,1980-11-06
0.3705366849899292,1980-11-07
0.3705366849899292,1980-11-10
0.3799171447753906,1980-11-11
0.3799171447753906,1980-11-12
0.3799171447753906,1980-11-13
0.38226214051246643,1980-11-14
0.3799171447753906,1980-11-17
0.3892980217933655,1980-11-18
0.3892980217933655,1980-11-19
0.4010234773159027,1980-11-20
0.4057134687900543,1980-11-21
