ZM,Date
62.0,2019-04-18
65.69999694824219,2019-04-22
69.0,2019-04-23
63.20000076293945,2019-04-24
65.0,2019-04-25
66.22000122070312,2019-04-26
68.16999816894531,2019-04-29
72.47000122070312,2019-04-30
72.76000213623047,2019-05-01
75.5,2019-05-02
79.18000030517578,2019-05-03
78.23999786376953,2019-05-06
73.33000183105469,2019-05-07
77.68000030517578,2019-05-08
75.20999908447266,2019-05-09
79.62999725341797,2019-05-10
72.54000091552734,2019-05-13
73.13999938964844,2019-05-14
79.76000213623047,2019-05-15
83.4000015258789,2019-05-16
89.9800033569336,2019-05-17
84.66999816894531,2019-05-20
85.44000244140625,2019-05-21
82.43000030517578,2019-05-22
78.76000213623047,2019-05-23
76.25,2019-05-24
77.7699966430664,2019-05-28
75.7699966430664,2019-05-29
80.41999816894531,2019-05-30
79.7300033569336,2019-05-31
75.9000015258789,2019-06-03
78.73999786376953,2019-06-04
78.04000091552734,2019-06-05
79.43000030517578,2019-06-06
94.05000305175781,2019-06-07
102.0,2019-06-10
94.87000274658203,2019-06-11
102.7699966430664,2019-06-12
100.94999694824219,2019-06-13
100.29000091552734,2019-06-14
98.11000061035156,2019-06-17
99.63999938964844,2019-06-18
102.38999938964844,2019-06-19
102.30000305175781,2019-06-20
100.47000122070312,2019-06-21
89.41000366210938,2019-06-24
85.02999877929688,2019-06-25
86.33000183105469,2019-06-26
90.2699966430664,2019-06-27
88.79000091552734,2019-06-28
86.86000061035156,2019-07-01
85.12999725341797,2019-07-02
90.44999694824219,2019-07-03
91.87999725341797,2019-07-05
90.76000213623047,2019-07-08
90.93000030517578,2019-07-09
92.72000122070312,2019-07-10
91.4000015258789,2019-07-11
93.30000305175781,2019-07-12
99.80000305175781,2019-07-15
97.0999984741211,2019-07-16
99.7300033569336,2019-07-17
95.19000244140625,2019-07-18
93.37999725341797,2019-07-19
96.66999816894531,2019-07-22
97.38999938964844,2019-07-23
95.94000244140625,2019-07-24
97.11000061035156,2019-07-25
102.19999694824219,2019-07-26
96.47000122070312,2019-07-29
95.48999786376953,2019-07-30
95.51000213623047,2019-07-31
95.0999984741211,2019-08-01
93.66000366210938,2019-08-02
89.69000244140625,2019-08-05
90.43000030517578,2019-08-06
92.44999694824219,2019-08-07
95.7699966430664,2019-08-08
94.19999694824219,2019-08-09
92.16000366210938,2019-08-12
95.44999694824219,2019-08-13
92.6500015258789,2019-08-14
90.63999938964844,2019-08-15
92.52999877929688,2019-08-16
93.16999816894531,2019-08-19
91.41000366210938,2019-08-20
93.01000213623047,2019-08-21
93.87999725341797,2019-08-22
91.62999725341797,2019-08-23
91.76000213623047,2019-08-26
91.7300033569336,2019-08-27
90.16000366210938,2019-08-28
90.87000274658203,2019-08-29
91.66999816894531,2019-08-30
92.45999908447266,2019-09-03
93.52999877929688,2019-09-04
92.69000244140625,2019-09-05
85.41000366210938,2019-09-06
78.6500015258789,2019-09-09
80.3499984741211,2019-09-10
80.70999908447266,2019-09-11
81.52999877929688,2019-09-12
78.8499984741211,2019-09-13
80.66999816894531,2019-09-16
84.63999938964844,2019-09-17
84.55000305175781,2019-09-18
84.62000274658203,2019-09-19
82.62999725341797,2019-09-20
82.62000274658203,2019-09-23
80.0199966430664,2019-09-24
79.5999984741211,2019-09-25
79.75,2019-09-26
76.04000091552734,2019-09-27
76.19999694824219,2019-09-30
75.80999755859375,2019-10-01
73.8499984741211,2019-10-02
76.83000183105469,2019-10-03
76.52999877929688,2019-10-04
76.98999786376953,2019-10-07
73.58999633789062,2019-10-08
72.86000061035156,2019-10-09
71.01000213623047,2019-10-10
71.3499984741211,2019-10-11
70.80000305175781,2019-10-14
71.11000061035156,2019-10-15
67.69000244140625,2019-10-16
67.02999877929688,2019-10-17
66.08000183105469,2019-10-18
65.7699966430664,2019-10-21
62.0,2019-10-22
62.060001373291016,2019-10-23
64.5199966430664,2019-10-24
63.45000076293945,2019-10-25
66.55999755859375,2019-10-28
65.48999786376953,2019-10-29
70.0,2019-10-30
69.88999938964844,2019-10-31
70.38999938964844,2019-11-01
70.12000274658203,2019-11-04
66.88999938964844,2019-11-05
66.83000183105469,2019-11-06
66.80999755859375,2019-11-07
69.8499984741211,2019-11-08
68.38999938964844,2019-11-11
68.0,2019-11-12
68.01000213623047,2019-11-13
67.73999786376953,2019-11-14
70.01000213623047,2019-11-15
70.08000183105469,2019-11-18
69.63999938964844,2019-11-19
70.98999786376953,2019-11-20
69.91999816894531,2019-11-21
73.16000366210938,2019-11-22
74.55000305175781,2019-11-25
75.16000366210938,2019-11-26
74.08000183105469,2019-11-27
74.5,2019-11-29
68.93000030517578,2019-12-02
70.0199966430664,2019-12-03
69.95999908447266,2019-12-04
69.66999816894531,2019-12-05
62.7400016784668,2019-12-06
