MS,Date
3.691047430038452,1993-02-23
3.7952322959899902,1993-02-24
3.8845317363739014,1993-02-25
3.944064140319824,1993-02-26
3.8101139068603516,1993-03-01
3.914297103881836,1993-03-02
3.8994140625,1993-03-03
3.8845317363739014,1993-03-04
3.9589459896087646,1993-03-05
3.944064140319824,1993-03-08
4.063133239746094,1993-03-09
4.226845741271973,1993-03-10
4.226845741271973,1993-03-11
4.301260948181152,1993-03-12
4.226845741271973,1993-03-15
4.137545108795166,1993-03-16
4.182194232940674,1993-03-17
4.286379337310791,1993-03-18
4.241726875305176,1993-03-19
4.226845741271973,1993-03-22
4.137545108795166,1993-03-23
4.0928955078125,1993-03-24
4.0928955078125,1993-03-25
4.360794544219971,1993-03-26
4.405441761016846,1993-03-29
4.569162845611572,1993-03-30
4.569162845611572,1993-03-31
4.405441761016846,1993-04-01
4.241726875305176,1993-04-02
4.316145420074463,1993-04-05
4.256613254547119,1993-04-06
4.316145420074463,1993-04-07
4.301260948181152,1993-04-08
4.405441761016846,1993-04-12
4.539394855499268,1993-04-13
4.658461093902588,1993-04-14
4.464975833892822,1993-04-15
4.450092315673828,1993-04-16
4.345911979675293,1993-04-19
4.21196174621582,1993-04-20
4.152429103851318,1993-04-21
4.152429103851318,1993-04-22
4.0928955078125,1993-04-23
4.003597259521484,1993-04-26
4.048249244689941,1993-04-27
4.12266206741333,1993-04-28
4.107779026031494,1993-04-29
4.613808631896973,1993-04-30
4.375676155090332,1993-05-03
4.405441761016846,1993-05-04
4.360794544219971,1993-05-05
4.331029415130615,1993-05-06
4.345911979675293,1993-05-07
4.405441761016846,1993-05-10
4.390560626983643,1993-05-11
4.390560626983643,1993-05-12
4.286379337310791,1993-05-13
4.167314529418945,1993-05-14
4.241726875305176,1993-05-17
4.197078704833984,1993-05-18
4.241726875305176,1993-05-19
4.167314529418945,1993-05-20
4.048249244689941,1993-05-21
4.12266206741333,1993-05-24
4.119675159454346,1993-05-25
4.373424053192139,1993-05-26
4.19430685043335,1993-05-27
4.104752063751221,1993-05-28
4.1346049308776855,1993-06-01
4.164454936981201,1993-06-02
4.089824199676514,1993-06-03
4.0450439453125,1993-06-04
4.0450439453125,1993-06-07
4.0450439453125,1993-06-08
4.104752063751221,1993-06-09
4.059971809387207,1993-06-10
4.089824199676514,1993-06-11
4.104752063751221,1993-06-14
4.059971809387207,1993-06-15
4.179382801055908,1993-06-16
4.19430685043335,1993-06-17
4.074896335601807,1993-06-18
4.0450439453125,1993-06-21
4.0450439453125,1993-06-22
4.0450439453125,1993-06-23
4.19430685043335,1993-06-24
4.328647136688232,1993-06-25
4.627173900604248,1993-06-28
4.448055267333984,1993-06-29
4.47791051864624,1993-06-30
4.418203353881836,1993-07-01
4.448055267333984,1993-07-02
4.403278350830078,1993-07-06
4.403278350830078,1993-07-07
4.388350963592529,1993-07-08
4.388350963592529,1993-07-09
4.627173900604248,1993-07-12
4.403278350830078,1993-07-13
4.2540154457092285,1993-07-14
4.283867835998535,1993-07-15
4.268940448760986,1993-07-16
4.3435750007629395,1993-07-19
4.537615776062012,1993-07-20
4.612248420715332,1993-07-21
4.507762432098389,1993-07-22
4.462985038757324,1993-07-23
4.597320556640625,1993-07-26
4.522687911987305,1993-07-27
4.507762432098389,1993-07-28
4.448055267333984,1993-07-29
4.448055267333984,1993-07-30
4.418203353881836,1993-08-02
4.373424053192139,1993-08-03
4.403278350830078,1993-08-04
4.373424053192139,1993-08-05
4.522687911987305,1993-08-06
4.597320556640625,1993-08-09
4.567470073699951,1993-08-10
4.448055267333984,1993-08-11
4.448055267333984,1993-08-12
4.403278350830078,1993-08-13
4.388350963592529,1993-08-16
4.358499526977539,1993-08-17
4.403278350830078,1993-08-18
4.373424053192139,1993-08-19
4.418203353881836,1993-08-20
4.47791051864624,1993-08-23
4.701807498931885,1993-08-24
4.671952247619629,1993-08-25
4.668961048126221,1993-08-26
4.579171657562256,1993-08-27
4.728817939758301,1993-08-30
4.653995990753174,1993-08-31
4.713852405548096,1993-09-01
4.773713111877441,1993-09-02
4.713852405548096,1993-09-03
4.668961048126221,1993-09-07
4.579171657562256,1993-09-08
4.6090989112854,1993-09-09
4.668961048126221,1993-09-10
4.728817939758301,1993-09-13
4.6390299797058105,1993-09-14
4.668961048126221,1993-09-15
4.848535060882568,1993-09-16
4.938323497772217,1993-09-17
5.117898464202881,1993-09-20
5.117898464202881,1993-09-21
5.342367172241211,1993-09-22
5.357331275939941,1993-09-23
5.2825093269348145,1993-09-24
5.222651481628418,1993-09-27
5.2525787353515625,1993-09-28
5.222651481628418,1993-09-29
5.267543315887451,1993-09-30
5.357331275939941,1993-10-01
5.387264251708984,1993-10-04
5.536908149719238,1993-10-05
5.477049827575684,1993-10-06
5.387264251708984,1993-10-07
5.297474384307861,1993-10-08
5.2825093269348145,1993-10-11
5.357331275939941,1993-10-12
5.3722968101501465,1993-10-13
5.312436580657959,1993-10-14
5.237614631652832,1993-10-15
5.028111457824707,1993-10-18
4.833571434020996,1993-10-19
4.743783473968506,1993-10-20
4.908392429351807,1993-10-21
4.953286170959473,1993-10-22
4.803644180297852,1993-10-25
4.773713111877441,1993-10-26
4.803644180297852,1993-10-27
4.863500595092773,1993-10-28
4.923358917236328,1993-10-29
4.833571434020996,1993-11-01
4.788675785064697,1993-11-02
4.6390299797058105,1993-11-03
4.579171657562256,1993-11-04
4.5492448806762695,1993-11-05
4.62406587600708,1993-11-08
4.713852405548096,1993-11-09
4.62406587600708,1993-11-10
4.6390299797058105,1993-11-11
4.668961048126221,1993-11-12
4.579171657562256,1993-11-15
4.5492448806762695,1993-11-16
4.579171657562256,1993-11-17
4.5492448806762695,1993-11-18
4.354702472686768,1993-11-19
4.220023155212402,1993-11-22
4.489382266998291,1993-11-23
4.486384391784668,1993-11-24
