VMC,Date
0.563019871711731,1973-02-21
0.5525938272476196,1973-02-22
0.5473804473876953,1973-02-23
0.5473804473876953,1973-02-26
0.5473804473876953,1973-02-27
0.5421670079231262,1973-02-28
0.5421670079231262,1973-03-01
0.5421670079231262,1973-03-02
0.5473804473876953,1973-03-05
0.5473804473876953,1973-03-06
0.5473804473876953,1973-03-07
0.5473804473876953,1973-03-08
0.5525938272476196,1973-03-09
0.5525938272476196,1973-03-12
0.5473804473876953,1973-03-13
0.5578067898750305,1973-03-14
0.563019871711731,1973-03-15
0.5708395838737488,1973-03-16
0.563019871711731,1973-03-19
0.5525938272476196,1973-03-20
0.5473804473876953,1973-03-21
0.5369545817375183,1973-03-22
0.531741201877594,1973-03-23
0.531741201877594,1973-03-26
0.5343472361564636,1973-03-27
0.5525938272476196,1973-03-28
0.5552002787590027,1973-03-29
0.5552002787590027,1973-03-30
0.5525938272476196,1973-04-02
0.5682332515716553,1973-04-03
0.5838727951049805,1973-04-04
0.5786594152450562,1973-04-05
0.5786594152450562,1973-04-06
0.5786594152450562,1973-04-09
0.5552002787590027,1973-04-10
0.5552002787590027,1973-04-11
0.5499868988990784,1973-04-12
0.5499868988990784,1973-04-13
0.5604135990142822,1973-04-16
0.5473804473876953,1973-04-17
0.5473804473876953,1973-04-18
0.563019871711731,1973-04-19
0.5604135990142822,1973-04-23
0.563019871711731,1973-04-24
0.5525938272476196,1973-04-25
0.5499868988990784,1973-04-26
0.5473804473876953,1973-04-27
0.5421670079231262,1973-04-30
0.544774055480957,1973-05-01
0.5421670079231262,1973-05-02
0.5473804473876953,1973-05-03
0.5473804473876953,1973-05-04
0.5473804473876953,1973-05-07
0.5473804473876953,1973-05-08
0.5473804473876953,1973-05-09
0.5473804473876953,1973-05-10
0.5421670079231262,1973-05-11
0.5369545817375183,1973-05-14
0.5369545817375183,1973-05-15
0.5369545817375183,1973-05-16
0.563019871711731,1973-05-17
0.5369545817375183,1973-05-18
0.5213150382041931,1973-05-21
0.5213150382041931,1973-05-22
0.5265278816223145,1973-05-23
0.5265278816223145,1973-05-24
0.531741201877594,1973-05-25
0.5421670079231262,1973-05-29
0.5369545817375183,1973-05-30
0.5265278816223145,1973-05-31
0.5213150382041931,1973-06-01
0.5056756138801575,1973-06-04
0.5056756138801575,1973-06-05
0.5161013603210449,1973-06-06
0.5108882188796997,1973-06-07
0.5108882188796997,1973-06-08
0.5161013603210449,1973-06-11
0.5056756138801575,1973-06-12
0.5213150382041931,1973-06-13
0.5161013603210449,1973-06-14
0.5056756138801575,1973-06-15
0.5108882188796997,1973-06-18
0.531741201877594,1973-06-19
0.5213150382041931,1973-06-20
0.5004622340202332,1973-06-21
0.5161013603210449,1973-06-22
0.5213150382041931,1973-06-25
0.5161013603210449,1973-06-26
0.5213150382041931,1973-06-27
0.5213150382041931,1973-06-28
0.5213150382041931,1973-06-29
0.5108882188796997,1973-07-02
0.49524885416030884,1973-07-03
0.4796092212200165,1973-07-05
0.49524885416030884,1973-07-06
0.5004622340202332,1973-07-09
0.5161013603210449,1973-07-10
0.5161013603210449,1973-07-11
0.5265278816223145,1973-07-12
0.5421670079231262,1973-07-13
0.5578067898750305,1973-07-16
0.563019871711731,1973-07-17
0.5578067898750305,1973-07-18
0.5786594152450562,1973-07-19
0.5838727951049805,1973-07-20
0.5578067898750305,1973-07-23
0.5421670079231262,1973-07-24
0.5369545817375183,1973-07-25
0.5421670079231262,1973-07-26
0.5473804473876953,1973-07-27
0.5578067898750305,1973-07-30
0.5525938272476196,1973-07-31
0.5473804473876953,1973-08-01
0.5369545817375183,1973-08-02
0.5369545817375183,1973-08-03
0.5265278816223145,1973-08-06
0.531741201877594,1973-08-07
0.531741201877594,1973-08-08
0.5421670079231262,1973-08-09
0.531741201877594,1973-08-10
0.5369545817375183,1973-08-13
0.5265278816223145,1973-08-14
0.531741201877594,1973-08-15
0.5213150382041931,1973-08-16
0.5213150382041931,1973-08-17
0.5265278816223145,1973-08-20
0.5161013603210449,1973-08-21
0.5056756138801575,1973-08-22
0.5108882188796997,1973-08-23
0.5108882188796997,1973-08-24
0.5108882188796997,1973-08-27
0.5161013603210449,1973-08-28
0.5056756138801575,1973-08-29
0.5161013603210449,1973-08-30
0.5161013603210449,1973-08-31
0.5213150382041931,1973-09-04
0.5213150382041931,1973-09-05
0.5265278816223145,1973-09-06
0.5213150382041931,1973-09-07
0.531741201877594,1973-09-10
0.5213150382041931,1973-09-11
0.5161013603210449,1973-09-12
0.5161013603210449,1973-09-13
0.5161013603210449,1973-09-14
0.5108882188796997,1973-09-17
0.5265278816223145,1973-09-18
0.531741201877594,1973-09-19
0.5213150382041931,1973-09-20
0.5213150382041931,1973-09-21
0.5369545817375183,1973-09-24
0.5421670079231262,1973-09-25
0.5473804473876953,1973-09-26
0.5525938272476196,1973-09-27
0.5682332515716553,1973-09-28
0.5838727951049805,1973-10-01
0.5578067898750305,1973-10-02
0.5682332515716553,1973-10-03
0.5682332515716553,1973-10-04
0.5682332515716553,1973-10-05
0.5734461545944214,1973-10-08
0.5786594152450562,1973-10-09
0.563019871711731,1973-10-10
0.5734461545944214,1973-10-11
0.5838727951049805,1973-10-12
0.5734461545944214,1973-10-15
0.5786594152450562,1973-10-16
0.5838727951049805,1973-10-17
0.5890854597091675,1973-10-18
0.599511981010437,1973-10-19
0.5890854597091675,1973-10-22
0.5786594152450562,1973-10-23
0.5786594152450562,1973-10-24
0.5786594152450562,1973-10-25
0.599511981010437,1973-10-26
0.6099382638931274,1973-10-29
