KDP,Date
2.861065149307251,2008-05-07
2.8498451709747314,2008-05-08
2.8318932056427,2008-05-09
2.8689186573028564,2008-05-12
2.905944347381592,2008-05-13
2.9362385272979736,2008-05-14
2.9205307960510254,2008-05-15
2.9732635021209717,2008-05-16
2.9250173568725586,2008-05-19
2.8666739463806152,2008-05-20
2.862186908721924,2008-05-21
2.8857476711273193,2008-05-22
2.8520891666412354,2008-05-23
2.847599983215332,2008-05-27
2.8285276889801025,2008-05-28
2.7993555068969727,2008-05-29
2.825161933898926,2008-05-30
2.706230401992798,2008-06-02
2.715207099914551,2008-06-03
2.681546926498413,2008-06-04
2.8677966594696045,2008-06-05
2.8027219772338867,2008-06-06
2.8015990257263184,2008-06-09
2.797111988067627,2008-06-10
2.7297921180725098,2008-06-11
2.7129623889923096,2008-06-12
2.767939805984497,2008-06-13
2.6602296829223633,2008-06-16
2.632178544998169,2008-06-17
2.669206142425537,2008-06-18
2.680424451828003,2008-06-19
2.6927664279937744,2008-06-20
2.647887706756592,2008-06-23
2.528956651687622,2008-06-24
2.528956651687622,2008-06-25
2.487442970275879,2008-06-26
2.423490524291992,2008-06-27
2.3539276123046875,2008-06-30
2.3112919330596924,2008-07-01
2.3943183422088623,2008-07-02
2.3494389057159424,2008-07-03
2.392075538635254,2008-07-07
2.4122705459594727,2008-07-08
2.4291014671325684,2008-07-09
2.45154070854187,2008-07-10
2.427978038787842,2008-07-11
2.4448087215423584,2008-07-14
2.3561699390411377,2008-07-15
2.359537124633789,2008-07-16
2.288851737976074,2008-07-17
2.266411542892456,2008-07-18
2.3068039417266846,2008-07-21
2.3292436599731445,2008-07-22
2.267533779144287,2008-07-23
2.294461727142334,2008-07-24
2.276510238647461,2008-07-25
2.2641677856445312,2008-07-28
2.272021770477295,2008-07-29
2.3191466331481934,2008-07-30
2.3191466331481934,2008-07-31
2.347195863723755,2008-08-01
2.3247551918029785,2008-08-04
2.3561699390411377,2008-08-05
2.3640248775482178,2008-08-06
2.3640248775482178,2008-08-07
2.462759494781494,2008-08-08
2.466125726699829,2008-08-11
2.4302213191986084,2008-08-12
2.5570061206817627,2008-08-13
2.6086184978485107,2008-08-14
2.6725716590881348,2008-08-15
2.679302215576172,2008-08-18
2.6894004344940186,2008-08-19
2.691645383834839,2008-08-20
2.6950109004974365,2008-08-21
2.726426839828491,2008-08-22
2.7118403911590576,2008-08-25
2.7095963954925537,2008-08-26
2.793745279312134,2008-08-27
2.7836480140686035,2008-08-28
2.772427558898926,2008-08-29
2.836380958557129,2008-09-02
2.838625431060791,2008-09-03
2.82179594039917,2008-09-04
2.8229176998138428,2008-09-05
2.8734068870544434,2008-09-08
2.8633100986480713,2008-09-09
2.8532111644744873,2008-09-10
2.8801381587982178,2008-09-11
2.9755067825317383,2008-09-12
2.8408679962158203,2008-09-15
2.8105759620666504,2008-09-16
2.7769157886505127,2008-09-17
2.7656965255737305,2008-09-18
2.8262832164764404,2008-09-19
2.8049659729003906,2008-09-22
2.748866558074951,2008-09-23
2.7421345710754395,2008-09-24
2.745500326156616,2008-09-25
2.8487231731414795,2008-09-26
2.724182605743408,2008-09-29
2.971019744873047,2008-09-30
2.931749105453491,2008-10-01
2.845357656478882,2008-10-02
2.82179594039917,2008-10-03
2.793745279312134,2008-10-06
2.686034917831421,2008-10-07
2.669206142425537,2008-10-08
2.5794460773468018,2008-10-09
2.5267133712768555,2008-10-10
2.669206142425537,2008-10-13
2.5805680751800537,2008-10-14
2.366270065307617,2008-10-15
2.3427066802978516,2008-10-16
2.347195863723755,2008-10-17
2.4156360626220703,2008-10-20
2.4111487865448,2008-10-21
2.3460726737976074,2008-10-22
2.2709007263183594,2008-10-23
2.150847911834717,2008-10-24
2.1564581394195557,2008-10-27
2.4324662685394287,2008-10-28
2.4739792346954346,2008-10-29
2.4593939781188965,2008-10-30
2.5693488121032715,2008-10-31
2.5323219299316406,2008-11-03
2.615349054336548,2008-11-04
2.5233476161956787,2008-11-05
2.4582717418670654,2008-11-06
2.5446643829345703,2008-11-07
2.5547633171081543,2008-11-10
2.398806571960449,2008-11-11
2.3460726737976074,2008-11-12
2.0408926010131836,2008-11-13
1.9702081680297852,2008-11-14
1.921962857246399,2008-11-17
1.8658634424209595,2008-11-18
1.8580093383789062,2008-11-19
1.6481980085372925,2008-11-20
1.7469327449798584,2008-11-21
1.7940561771392822,2008-11-24
1.7873244285583496,2008-11-25
1.8198614120483398,2008-11-26
1.8108856678009033,2008-11-28
1.663905382156372,2008-12-01
1.6672712564468384,2008-12-02
1.6897114515304565,2008-12-03
1.546096920967102,2008-12-04
1.62351393699646,2008-12-05
1.6201475858688354,2008-12-08
1.6425880193710327,2008-12-09
1.722249150276184,2008-12-10
1.711028814315796,2008-12-11
1.7446882724761963,2008-12-12
1.770493745803833,2008-12-15
1.8075200319290161,2008-12-16
1.799666166305542,2008-12-17
1.8793272972106934,2008-12-18
1.902888536453247,2008-12-19
1.914108157157898,2008-12-22
1.8916691541671753,2008-12-23
1.8972781896591187,2008-12-24
1.895034670829773,2008-12-26
1.8692289590835571,2008-12-29
1.8445454835891724,2008-12-30
1.8232275247573853,2008-12-31
1.8568872213363647,2009-01-02
1.8972781896591187,2009-01-05
1.933181643486023,2009-01-06
1.8467891216278076,2009-01-07
1.8636188507080078,2009-01-08
1.827715516090393,2009-01-09
1.770493745803833,2009-01-12
1.780592441558838,2009-01-13
1.7626399993896484,2009-01-14
1.772737979888916,2009-01-15
1.8456676006317139,2009-01-16
1.7906901836395264,2009-01-20
1.8344473838806152,2009-01-21
1.8131301403045654,2009-01-22
1.7884464263916016,2009-01-23
1.8512773513793945,2009-01-26
1.8613749742507935,2009-01-27
1.8860596418380737,2009-01-28
1.8815709352493286,2009-01-29
1.8456676006317139,2009-01-30
1.782835841178894,2009-02-02
1.8164958953857422,2009-02-03
1.7581524848937988,2009-02-04
1.8063980340957642,2009-02-05
1.8647418022155762,2009-02-06
1.8299590349197388,2009-02-09
1.7357125282287598,2009-02-10
1.797422170639038,2009-02-11
1.8322032690048218,2009-02-12
1.8624974489212036,2009-02-13
1.7794700860977173,2009-02-17
1.8153736591339111,2009-02-18
1.797422170639038,2009-02-19
1.7368348836898804,2009-02-20
1.681857705116272,2009-02-23
1.715516448020935,2009-02-24
1.6594178676605225,2009-02-25
1.6156601905822754,2009-02-26
1.5763905048370361,2009-02-27
1.5124377012252808,2009-03-02
1.473167896270752,2009-03-03
1.4698020219802856,2009-03-04
1.3587251901626587,2009-03-05
1.3699451684951782,2009-03-06
1.3351634740829468,2009-03-09
1.5057051181793213,2009-03-10
1.5135592222213745,2009-03-11
