DOV,Date
0.6796349287033081,1980-03-17
0.6723793745040894,1980-03-18
0.6627047657966614,1980-03-19
0.6578676700592041,1980-03-20
0.6578676700592041,1980-03-21
0.6578676700592041,1980-03-24
0.6578676700592041,1980-03-25
0.6481928825378418,1980-03-26
0.6385185122489929,1980-03-27
0.653030276298523,1980-03-28
0.6723793745040894,1980-03-31
0.682053804397583,1980-04-01
0.6868911385536194,1980-04-02
0.696565568447113,1980-04-03
0.696565568447113,1980-04-07
0.6844726800918579,1980-04-08
0.682053804397583,1980-04-09
0.6917285323143005,1980-04-10
0.696565568447113,1980-04-11
0.6917285323143005,1980-04-14
0.6917285323143005,1980-04-15
0.696565568447113,1980-04-16
0.6868911385536194,1980-04-17
0.6772165298461914,1980-04-18
0.6675420999526978,1980-04-21
0.6868911385536194,1980-04-22
0.6917285323143005,1980-04-23
0.7014028429985046,1980-04-24
0.696565568447113,1980-04-25
0.696565568447113,1980-04-28
0.6917285323143005,1980-04-29
0.6941471695899963,1980-04-30
0.6772165298461914,1980-05-01
0.6675420999526978,1980-05-02
0.6481928825378418,1980-05-05
0.6481928825378418,1980-05-06
0.6554487943649292,1980-05-07
0.6578676700592041,1980-05-08
0.6457738280296326,1980-05-09
0.6506115794181824,1980-05-12
0.6481928825378418,1980-05-13
0.6578676700592041,1980-05-14
0.6602859497070312,1980-05-15
0.6578676700592041,1980-05-16
0.653030276298523,1980-05-19
0.6675420999526978,1980-05-20
0.6675420999526978,1980-05-21
0.6675420999526978,1980-05-22
0.6627047657966614,1980-05-23
0.6723793745040894,1980-05-27
0.6578676700592041,1980-05-28
0.6747980117797852,1980-05-29
0.6627047657966614,1980-05-30
0.6651235222816467,1980-06-02
0.6627047657966614,1980-06-03
0.6675420999526978,1980-06-04
0.6796349287033081,1980-06-05
0.7014028429985046,1980-06-06
0.7207520008087158,1980-06-09
0.7207520008087158,1980-06-10
0.7255893349647522,1980-06-11
0.7304266095161438,1980-06-12
0.7255893349647522,1980-06-13
0.7110776901245117,1980-06-16
0.73284512758255,1980-06-17
0.7352637052536011,1980-06-18
0.7255893349647522,1980-06-19
0.73284512758255,1980-06-20
0.7401010394096375,1980-06-23
0.7255893349647522,1980-06-24
0.7401010394096375,1980-06-25
0.7473567128181458,1980-06-26
0.7449384927749634,1980-06-27
0.7449384927749634,1980-06-30
0.7425196766853333,1980-07-01
0.7691248059272766,1980-07-02
0.7933105826377869,1980-07-03
0.8271715044975281,1980-07-07
0.82475346326828,1980-07-08
0.8150787353515625,1980-07-09
0.8078227639198303,1980-07-10
0.8029853701591492,1980-07-11
0.82475346326828,1980-07-14
0.8320085406303406,1980-07-15
0.8392652273178101,1980-07-16
0.8320085406303406,1980-07-17
0.829590916633606,1980-07-18
0.8174975514411926,1980-07-21
0.8320085406303406,1980-07-22
0.8102419376373291,1980-07-23
0.8174975514411926,1980-07-24
0.8174975514411926,1980-07-25
0.8320085406303406,1980-07-28
0.8465208411216736,1980-07-29
0.8465208411216736,1980-07-30
0.8441019058227539,1980-07-31
0.8489396572113037,1980-08-01
0.8586136698722839,1980-08-04
0.870707094669342,1980-08-05
0.916661262512207,1980-08-06
0.960196316242218,1980-08-07
0.9408475160598755,1980-08-08
0.9408475160598755,1980-08-11
0.928754448890686,1980-08-12
0.9094051122665405,1980-08-13
0.9118238091468811,1980-08-14
0.9094051122665405,1980-08-15
0.8803813457489014,1980-08-18
0.8658697605133057,1980-08-19
0.8416832089424133,1980-08-20
0.8803813457489014,1980-08-21
0.9094051122665405,1980-08-22
0.8997306227684021,1980-08-25
0.8997306227684021,1980-08-26
0.8852190375328064,1980-08-27
0.890056312084198,1980-08-28
0.8876376152038574,1980-08-29
0.890056312084198,1980-09-02
0.9456844925880432,1980-09-03
0.977127194404602,1980-09-04
0.967452347278595,1980-09-05
0.9481037259101868,1980-09-08
0.9481037259101868,1980-09-09
0.9481037259101868,1980-09-10
0.9795457124710083,1980-09-11
0.9868011474609375,1980-09-12
0.9819639325141907,1980-09-15
1.0109877586364746,1980-09-16
0.9964767098426819,1980-09-17
0.9916393756866455,1980-09-18
1.006150484085083,1980-09-19
1.0013139247894287,1980-09-22
1.006150484085083,1980-09-23
1.006150484085083,1980-09-24
1.0134063959121704,1980-09-25
1.003731369972229,1980-09-26
0.967452347278595,1980-09-29
0.977127194404602,1980-09-30
0.9868011474609375,1980-10-01
0.967452347278595,1980-10-02
0.9868011474609375,1980-10-03
0.9964767098426819,1980-10-06
0.9722896218299866,1980-10-07
0.9626152515411377,1980-10-08
0.960196316242218,1980-10-09
0.9384287595748901,1980-10-10
0.9626152515411377,1980-10-13
1.0158251523971558,1980-10-14
1.0448484420776367,1980-10-15
1.061779260635376,1980-10-16
1.0835471153259277,1980-10-17
1.0835471153259277,1980-10-20
1.0932213068008423,1980-10-21
1.0980583429336548,1980-10-22
1.0932213068008423,1980-10-23
1.0932213068008423,1980-10-24
1.0738728046417236,1980-10-27
1.0738728046417236,1980-10-28
1.0666162967681885,1980-10-29
1.054522156715393,1980-10-30
1.0496861934661865,1980-10-31
1.0932213068008423,1980-11-03
1.1125704050064087,1980-11-05
1.0835471153259277,1980-11-06
1.0932213068008423,1980-11-07
1.095639944076538,1980-11-10
1.0835471153259277,1980-11-11
1.0835471153259277,1980-11-12
1.0980583429336548,1980-11-13
1.0835471153259277,1980-11-14
1.0932213068008423,1980-11-17
1.1198259592056274,1980-11-18
1.1415938138961792,1980-11-19
1.131919503211975,1980-11-20
1.102895736694336,1980-11-21
1.0908029079437256,1980-11-24
