TMO,Date
1.6880483627319336,1980-03-17
1.652132511138916,1980-03-18
1.7239654064178467,1980-03-19
1.6880483627319336,1980-03-20
1.6880483627319336,1980-03-21
1.5803014039993286,1980-03-24
1.6162174940109253,1980-03-25
1.6162174940109253,1980-03-26
1.436637043952942,1980-03-27
1.6341750621795654,1980-03-28
1.7239654064178467,1980-03-31
1.7060078382492065,1980-04-01
1.7060078382492065,1980-04-02
1.6880483627319336,1980-04-03
1.5982595682144165,1980-04-07
1.6162174940109253,1980-04-08
1.6880483627319336,1980-04-09
1.7598817348480225,1980-04-10
1.7598817348480225,1980-04-11
1.6880483627319336,1980-04-14
1.670090675354004,1980-04-15
1.6880483627319336,1980-04-16
1.670090675354004,1980-04-17
1.652132511138916,1980-04-18
1.6162174940109253,1980-04-21
1.7060078382492065,1980-04-22
1.7239654064178467,1980-04-23
1.7957966327667236,1980-04-24
1.7598817348480225,1980-04-25
1.7957966327667236,1980-04-28
1.8317134380340576,1980-04-29
1.8496705293655396,1980-04-30
1.7957966327667236,1980-05-01
1.7957966327667236,1980-05-02
1.8137545585632324,1980-05-05
1.7957966327667236,1980-05-06
1.741923213005066,1980-05-07
1.670090675354004,1980-05-08
1.6880483627319336,1980-05-09
1.6880483627319336,1980-05-12
1.7239654064178467,1980-05-13
1.7598817348480225,1980-05-14
1.7598817348480225,1980-05-15
1.8137545585632324,1980-05-16
1.8317134380340576,1980-05-19
1.7598817348480225,1980-05-20
1.7598817348480225,1980-05-21
1.7957966327667236,1980-05-22
1.8317134380340576,1980-05-23
1.8317134380340576,1980-05-27
1.8137545585632324,1980-05-28
1.7778398990631104,1980-05-29
1.7957966327667236,1980-05-30
1.7957966327667236,1980-06-02
1.7778398990631104,1980-06-03
1.7778398990631104,1980-06-04
1.7598817348480225,1980-06-05
1.8137545585632324,1980-06-06
1.8137545585632324,1980-06-09
1.9394598007202148,1980-06-10
2.047208070755005,1980-06-11
2.029250383377075,1980-06-12
2.0651659965515137,1980-06-13
2.029250383377075,1980-06-16
1.9574177265167236,1980-06-17
1.9394598007202148,1980-06-18
1.7239654064178467,1980-06-19
1.8137545585632324,1980-06-20
1.8137545585632324,1980-06-23
1.7957966327667236,1980-06-24
1.9215021133422852,1980-06-25
1.9035446643829346,1980-06-26
1.8855865001678467,1980-06-27
1.7957966327667236,1980-06-30
1.7778398990631104,1980-07-01
1.8496705293655396,1980-07-02
1.9394598007202148,1980-07-03
1.9394598007202148,1980-07-07
1.9394598007202148,1980-07-08
1.9215021133422852,1980-07-09
1.9035446643829346,1980-07-10
1.9394598007202148,1980-07-11
2.029250383377075,1980-07-14
1.9933339357376099,1980-07-15
1.9574177265167236,1980-07-16
1.9574177265167236,1980-07-17
1.9394598007202148,1980-07-18
1.9574177265167236,1980-07-21
1.9035446643829346,1980-07-22
1.9035446643829346,1980-07-23
1.9035446643829346,1980-07-24
1.9753761291503906,1980-07-25
2.0651659965515137,1980-07-28
2.1190402507781982,1980-07-29
2.208829879760742,1980-07-30
2.1549556255340576,1980-07-31
2.1729142665863037,1980-08-01
2.208829879760742,1980-08-04
2.1908721923828125,1980-08-05
2.1908721923828125,1980-08-06
2.496157169342041,1980-08-07
2.3884103298187256,1980-08-08
2.3704512119293213,1980-08-11
2.334536075592041,1980-08-12
2.3704512119293213,1980-08-13
2.4243252277374268,1980-08-14
2.4422833919525146,1980-08-15
2.406367778778076,1980-08-18
2.3524930477142334,1980-08-19
2.4243252277374268,1980-08-20
2.6577789783477783,1980-08-21
2.6398210525512695,1980-08-22
2.60390567779541,1980-08-25
2.60390567779541,1980-08-26
2.567988872528076,1980-08-27
2.5051357746124268,1980-08-28
2.4782004356384277,1980-08-29
2.4782004356384277,1980-09-02
2.5141146183013916,1980-09-03
2.469221353530884,1980-09-04
2.4871785640716553,1980-09-05
2.4512622356414795,1980-09-08
2.4512622356414795,1980-09-09
2.4512622356414795,1980-09-10
2.5769686698913574,1980-09-11
2.567988872528076,1980-09-12
2.567988872528076,1980-09-15
2.6308417320251465,1980-09-16
2.792463541030884,1980-09-17
2.7026731967926025,1980-09-18
2.7565486431121826,1980-09-19
2.7385902404785156,1980-09-22
2.6218621730804443,1980-09-23
2.7296106815338135,1980-09-24
2.693694591522217,1980-09-25
2.6398210525512695,1980-09-26
2.4782004356384277,1980-09-29
2.5410516262054443,1980-09-30
2.496157169342041,1980-10-01
2.5230941772460938,1980-10-02
2.60390567779541,1980-10-03
2.7296106815338135,1980-10-06
2.684715509414673,1980-10-07
2.684715509414673,1980-10-08
2.693694591522217,1980-10-09
2.693694591522217,1980-10-10
2.693694591522217,1980-10-13
2.7026731967926025,1980-10-14
2.684715509414673,1980-10-15
2.5769686698913574,1980-10-16
2.5230941772460938,1980-10-17
2.5320725440979004,1980-10-20
2.567988872528076,1980-10-21
2.60390567779541,1980-10-22
2.5590100288391113,1980-10-23
2.5590100288391113,1980-10-24
2.5141146183013916,1980-10-27
2.4871785640716553,1980-10-28
2.4422833919525146,1980-10-29
2.397388458251953,1980-10-30
2.406367778778076,1980-10-31
2.496157169342041,1980-11-03
2.5051357746124268,1980-11-05
2.3704512119293213,1980-11-06
2.3165786266326904,1980-11-07
2.226787567138672,1980-11-10
2.3165786266326904,1980-11-11
2.4153459072113037,1980-11-12
2.5500316619873047,1980-11-13
2.6398210525512695,1980-11-14
2.5859475135803223,1980-11-17
2.5859475135803223,1980-11-18
2.5320725440979004,1980-11-19
2.5141146183013916,1980-11-20
2.4782004356384277,1980-11-21
2.3884103298187256,1980-11-24
2.433305501937866,1980-11-25
2.406367778778076,1980-11-26
2.379429817199707,1980-11-28
2.262702703475952,1980-12-01
2.235766887664795,1980-12-02
2.262702703475952,1980-12-03
2.2806613445281982,1980-12-04
2.2716825008392334,1980-12-05
2.136997699737549,1980-12-08
2.1818931102752686,1980-12-09
2.1729142665863037,1980-12-10
2.0741453170776367,1980-12-11
2.1549556255340576,1980-12-12
2.1908721923828125,1980-12-15
2.0651659965515137,1980-12-16
2.1190402507781982,1980-12-17
2.136997699737549,1980-12-18
2.1100616455078125,1980-12-19
2.092102527618408,1980-12-22
2.0112931728363037,1980-12-23
2.0741453170776367,1980-12-24
2.092102527618408,1980-12-26
2.1729142665863037,1980-12-29
2.208829879760742,1980-12-30
2.208829879760742,1980-12-31
2.208829879760742,1981-01-02
2.217808723449707,1981-01-05
2.307598829269409,1981-01-06
2.1998517513275146,1981-01-07
2.1908721923828125,1981-01-08
2.226787567138672,1981-01-09
2.217808723449707,1981-01-12
2.1549556255340576,1981-01-13
2.1729142665863037,1981-01-14
2.1010823249816895,1981-01-15
2.1190402507781982,1981-01-16
2.244746685028076,1981-01-19
2.3165786266326904,1981-01-20
2.4153459072113037,1981-01-21
2.4512622356414795,1981-01-22
2.4243252277374268,1981-01-23
2.4153459072113037,1981-01-26
2.406367778778076,1981-01-27
2.379429817199707,1981-01-28
2.3884103298187256,1981-01-29
2.3884103298187256,1981-01-30
2.244746685028076,1981-02-02
2.262702703475952,1981-02-03
2.262702703475952,1981-02-04
2.1908721923828125,1981-02-05
2.208829879760742,1981-02-06
2.1549556255340576,1981-02-09
2.1908721923828125,1981-02-10
2.1818931102752686,1981-02-11
2.136997699737549,1981-02-12
2.1639349460601807,1981-02-13
2.145977258682251,1981-02-17
2.136997699737549,1981-02-18
2.1100616455078125,1981-02-19
2.136997699737549,1981-02-20
2.136997699737549,1981-02-23
2.1729142665863037,1981-02-24
2.235766887664795,1981-02-25
2.2896406650543213,1981-02-26
2.3524930477142334,1981-02-27
2.334536075592041,1981-03-02
2.298619508743286,1981-03-03
2.3614726066589355,1981-03-04
2.4153459072113037,1981-03-05
2.4512622356414795,1981-03-06
2.5230941772460938,1981-03-09
2.496157169342041,1981-03-10
2.469221353530884,1981-03-11
2.496157169342041,1981-03-12
2.4782004356384277,1981-03-13
2.469221353530884,1981-03-16
2.4512622356414795,1981-03-17
2.4422833919525146,1981-03-18
2.4512622356414795,1981-03-19
2.4602420330047607,1981-03-20
2.469221353530884,1981-03-23
2.469221353530884,1981-03-24
2.496157169342041,1981-03-25
2.469221353530884,1981-03-26
2.4512622356414795,1981-03-27
2.4153459072113037,1981-03-30
2.4243252277374268,1981-03-31
2.433305501937866,1981-04-01
2.4602420330047607,1981-04-02
2.433305501937866,1981-04-03
2.4153459072113037,1981-04-06
2.4153459072113037,1981-04-07
2.406367778778076,1981-04-08
2.4602420330047607,1981-04-09
2.5410516262054443,1981-04-10
2.5769686698913574,1981-04-13
2.5590100288391113,1981-04-14
2.5410516262054443,1981-04-15
2.567988872528076,1981-04-16
2.567988872528076,1981-04-20
2.5859475135803223,1981-04-21
2.60390567779541,1981-04-22
2.6577789783477783,1981-04-23
2.711653470993042,1981-04-24
2.7655270099639893,1981-04-27
2.6487996578216553,1981-04-28
2.60390567779541,1981-04-29
2.6218621730804443,1981-04-30
2.5859475135803223,1981-05-01
2.5410516262054443,1981-05-04
2.469221353530884,1981-05-05
2.4871785640716553,1981-05-06
2.4422833919525146,1981-05-07
2.406367778778076,1981-05-08
2.3704512119293213,1981-05-11
2.406367778778076,1981-05-12
2.379429817199707,1981-05-13
2.3884103298187256,1981-05-14
2.3704512119293213,1981-05-15
2.3614726066589355,1981-05-18
2.334536075592041,1981-05-19
