WY,Date
1.3448573350906372,1973-05-03
1.3859659433364868,1973-05-04
1.3800932168960571,1973-05-07
1.3800932168960571,1973-05-08
1.3859659433364868,1973-05-09
1.3683477640151978,1973-05-10
1.3507297039031982,1973-05-11
1.330175518989563,1973-05-14
1.3448573350906372,1973-05-15
1.3595397472381592,1973-05-16
1.3595397472381592,1973-05-17
1.3507297039031982,1973-05-18
1.3272392749786377,1973-05-21
1.330175518989563,1973-05-22
1.3507297039031982,1973-05-23
1.383029580116272,1973-05-24
1.4065208435058594,1973-05-25
1.362475037574768,1973-05-29
1.3595397472381592,1973-05-30
1.3272392749786377,1973-05-31
1.3360474109649658,1973-06-01
1.3272392749786377,1973-06-04
1.3331117630004883,1973-06-05
1.3272392749786377,1973-06-06
1.3389841318130493,1973-06-07
1.3771573305130005,1973-06-08
1.3977116346359253,1973-06-11
1.415330171585083,1973-06-12
1.3977116346359253,1973-06-13
1.3947745561599731,1973-06-14
1.3859659433364868,1973-06-15
1.3566025495529175,1973-06-18
1.3595397472381592,1973-06-19
1.362475037574768,1973-06-20
1.3566025495529175,1973-06-21
1.3507297039031982,1973-06-22
1.3448573350906372,1973-06-25
1.3566025495529175,1973-06-26
1.3566025495529175,1973-06-27
1.3800932168960571,1973-06-28
1.3800932168960571,1973-06-29
1.383029580116272,1973-07-02
1.409456729888916,1973-07-03
1.4212026596069336,1973-07-05
1.4300117492675781,1973-07-06
1.4505666494369507,1973-07-09
1.4799309968948364,1973-07-10
1.5122292041778564,1973-07-11
1.5034205913543701,1973-07-12
1.4769928455352783,1973-07-13
1.4858031272888184,1973-07-16
1.4916752576828003,1973-07-17
1.4828667640686035,1973-07-18
1.4916752576828003,1973-07-19
1.5122292041778564,1973-07-20
1.5181025266647339,1973-07-23
1.5239746570587158,1973-07-24
1.5885761976242065,1973-07-25
1.585639238357544,1973-07-26
1.550403118133545,1973-07-27
1.5298478603363037,1973-07-30
1.5122292041778564,1973-07-31
1.5269129276275635,1973-08-01
1.5269129276275635,1973-08-02
1.5474668741226196,1973-08-03
1.5827025175094604,1973-08-06
1.609130620956421,1973-08-07
1.6326218843460083,1973-08-08
1.6531755924224854,1973-08-09
1.6678575277328491,1973-08-10
1.6561130285263062,1973-08-13
1.6003206968307495,1973-08-14
1.620875597000122,1973-08-15
1.6150025129318237,1973-08-16
1.6003206968307495,1973-08-17
1.585639238357544,1973-08-20
1.5885761976242065,1973-08-21
1.5885761976242065,1973-08-22
1.64436674118042,1973-08-23
1.638493299484253,1973-08-24
1.6326218843460083,1973-08-27
1.626747488975525,1973-08-28
1.626747488975525,1973-08-29
1.626747488975525,1973-08-30
1.609130620956421,1973-08-31
1.585639238357544,1973-09-04
1.5944479703903198,1973-09-05
1.6061937808990479,1973-09-06
1.6003206968307495,1973-09-07
1.5944479703903198,1973-09-10
1.5738935470581055,1973-09-11
1.5298478603363037,1973-09-12
1.5357205867767334,1973-09-13
1.5562758445739746,1973-09-14
1.5738935470581055,1973-09-17
1.5680214166641235,1973-09-18
1.6326218843460083,1973-09-19
1.6590479612350464,1973-09-20
1.64436674118042,1973-09-21
1.6326218843460083,1973-09-24
1.6003206968307495,1973-09-25
1.620875597000122,1973-09-26
1.6590479612350464,1973-09-27
1.6502395868301392,1973-09-28
1.6502395868301392,1973-10-01
1.688410997390747,1973-10-02
1.7412660121917725,1973-10-03
1.7412660121917725,1973-10-04
1.7559497356414795,1973-10-05
1.776502251625061,1973-10-08
1.8029292821884155,1973-10-09
1.8264226913452148,1973-10-10
1.8822128772735596,1973-10-11
1.8792752027511597,1973-10-12
1.8675310611724854,1973-10-15
1.838167428970337,1973-10-16
1.8117403984069824,1973-10-17
1.8205479383468628,1973-10-18
1.758884072303772,1973-10-19
1.7383311986923218,1973-10-22
1.7559497356414795,1973-10-23
1.7794400453567505,1973-10-24
1.7794400453567505,1973-10-25
1.7853118181228638,1973-10-26
1.8088047504425049,1973-10-29
1.7823759317398071,1973-10-30
1.758884072303772,1973-10-31
1.7383311986923218,1973-11-01
1.6854757070541382,1973-11-02
1.670794129371643,1973-11-05
1.7030941247940063,1973-11-06
1.7295215129852295,1973-11-07
1.7676942348480225,1973-11-08
1.7236497402191162,1973-11-09
1.7500742673873901,1973-11-12
1.7530118227005005,1973-11-13
1.7295215129852295,1973-11-14
1.7295215129852295,1973-11-15
1.73539400100708,1973-11-16
1.6942847967147827,1973-11-19
1.720712661743164,1973-11-20
1.7530118227005005,1973-11-21
1.758884072303772,1973-11-23
1.7236497402191162,1973-11-26
1.7089667320251465,1973-11-27
1.726584553718567,1973-11-28
1.714839220046997,1973-11-29
1.670794129371643,1973-11-30
1.626747488975525,1973-12-03
1.64436674118042,1973-12-04
1.626747488975525,1973-12-05
1.67666757106781,1973-12-06
1.7500742673873901,1973-12-07
1.849912405014038,1973-12-10
1.870468020439148,1973-12-11
1.8088047504425049,1973-12-12
1.8264226913452148,1973-12-13
1.8440390825271606,1973-12-14
1.8088047504425049,1973-12-17
1.8205479383468628,1973-12-18
1.7383311986923218,1973-12-19
1.7735670804977417,1973-12-20
1.7383311986923218,1973-12-21
1.7735670804977417,1973-12-24
1.8264226913452148,1973-12-26
1.8440390825271606,1973-12-27
1.8264226913452148,1973-12-28
1.838167428970337,1973-12-31
1.838167428970337,1974-01-02
1.9497485160827637,1974-01-03
1.9497485160827637,1974-01-04
1.9203855991363525,1974-01-07
1.8557846546173096,1974-01-08
1.7383311986923218,1974-01-09
1.7324579954147339,1974-01-10
1.7794400453567505,1974-01-11
1.7559497356414795,1974-01-14
1.7676942348480225,1974-01-15
1.8088047504425049,1974-01-16
1.8264226913452148,1974-01-17
1.7735670804977417,1974-01-18
1.7676942348480225,1974-01-21
1.7853118181228638,1974-01-22
1.8088047504425049,1974-01-23
1.7970577478408813,1974-01-24
1.7911841869354248,1974-01-25
1.8264226913452148,1974-01-28
1.8440390825271606,1974-01-29
1.838167428970337,1974-01-30
1.8264226913452148,1974-01-31
1.7911841869354248,1974-02-01
1.726584553718567,1974-02-04
1.714839220046997,1974-02-05
1.6678575277328491,1974-02-06
1.5797667503356934,1974-02-07
1.5797667503356934,1974-02-08
1.5562758445739746,1974-02-11
1.6678575277328491,1974-02-12
1.6854757070541382,1974-02-13
1.6678575277328491,1974-02-14
1.6854757070541382,1974-02-15
1.7089667320251465,1974-02-19
1.7383311986923218,1974-02-20
1.7559497356414795,1974-02-21
1.7853118181228638,1974-02-22
1.7911841869354248,1974-02-25
1.838167428970337,1974-02-26
1.914511799812317,1974-02-27
1.8968942165374756,1974-02-28
1.8557846546173096,1974-03-01
1.8264226913452148,1974-03-04
1.8792752027511597,1974-03-05
1.8675310611724854,1974-03-06
1.8440390825271606,1974-03-07
1.8616564273834229,1974-03-08
1.8675310611724854,1974-03-11
1.8968942165374756,1974-03-12
1.914511799812317,1974-03-13
1.8968942165374756,1974-03-14
1.9203855991363525,1974-03-15
1.9086395502090454,1974-03-18
1.9086395502090454,1974-03-19
1.914511799812317,1974-03-20
1.932130217552185,1974-03-21
1.9614936113357544,1974-03-22
1.9849853515625,1974-03-25
2.03783917427063,1974-03-26
2.0084760189056396,1974-03-27
1.9438763856887817,1974-03-28
1.9497485160827637,1974-03-29
1.9497485160827637,1974-04-01
1.9497485160827637,1974-04-02
1.9673662185668945,1974-04-03
1.9673662185668945,1974-04-04
1.9262574911117554,1974-04-05
1.891021490097046,1974-04-08
1.9497485160827637,1974-04-09
2.0084760189056396,1974-04-10
2.0084760189056396,1974-04-11
1.9967304468154907,1974-04-15
2.026094913482666,1974-04-16
2.014347791671753,1974-04-17
2.178786516189575,1974-04-18
2.0789496898651123,1974-04-19
2.061330795288086,1974-04-22
2.0319666862487793,1974-04-23
2.0319666862487793,1974-04-24
2.03783917427063,1974-04-25
2.1024391651153564,1974-04-26
2.108313798904419,1974-04-29
2.1024391651153564,1974-04-30
2.108313798904419,1974-05-01
2.1024391651153564,1974-05-02
2.073077440261841,1974-05-03
2.0319666862487793,1974-05-06
2.0554585456848145,1974-05-07
2.0672028064727783,1974-05-08
2.026094913482666,1974-05-09
2.0026040077209473,1974-05-10
2.0084760189056396,1974-05-13
2.0495855808258057,1974-05-14
2.03783917427063,1974-05-15
2.0202221870422363,1974-05-16
1.9673662185668945,1974-05-17
1.9614936113357544,1974-05-20
1.9908567667007446,1974-05-21
1.932130217552185,1974-05-22
1.8968942165374756,1974-05-23
1.9614936113357544,1974-05-24
2.0084760189056396,1974-05-28
1.9497485160827637,1974-05-29
1.9203855991363525,1974-05-30
1.7970577478408813,1974-05-31
1.8205479383468628,1974-06-03
1.8264226913452148,1974-06-04
1.7676942348480225,1974-06-05
1.838167428970337,1974-06-06
1.849912405014038,1974-06-07
1.849912405014038,1974-06-10
1.8675310611724854,1974-06-11
1.8205479383468628,1974-06-12
1.8968942165374756,1974-06-13
1.8675310611724854,1974-06-14
1.8616564273834229,1974-06-17
1.8675310611724854,1974-06-18
1.849912405014038,1974-06-19
1.8205479383468628,1974-06-20
1.8088047504425049,1974-06-21
1.8440390825271606,1974-06-24
1.8088047504425049,1974-06-25
1.7559497356414795,1974-06-26
1.714839220046997,1974-06-27
1.726584553718567,1974-06-28
1.7559497356414795,1974-07-01
1.7383311986923218,1974-07-02
1.6796026229858398,1974-07-03
1.64436674118042,1974-07-05
1.597383737564087,1974-07-08
1.620875597000122,1974-07-09
1.626747488975525,1974-07-10
1.64436674118042,1974-07-11
1.7089667320251465,1974-07-12
1.726584553718567,1974-07-15
1.7559497356414795,1974-07-16
1.8029292821884155,1974-07-17
1.7970577478408813,1974-07-18
1.7911841869354248,1974-07-19
1.7735670804977417,1974-07-22
1.7970577478408813,1974-07-23
1.7383311986923218,1974-07-24
1.6796026229858398,1974-07-25
1.6678575277328491,1974-07-26
1.6561130285263062,1974-07-29
1.6619846820831299,1974-07-30
1.6619846820831299,1974-07-31
1.6150025129318237,1974-08-01
1.609130620956421,1974-08-02
1.620875597000122,1974-08-05
1.64436674118042,1974-08-06
1.714839220046997,1974-08-07
1.726584553718567,1974-08-08
1.7089667320251465,1974-08-09
1.6502395868301392,1974-08-12
1.626747488975525,1974-08-13
1.5738935470581055,1974-08-14
1.5445287227630615,1974-08-15
1.4858031272888184,1974-08-16
1.4858031272888184,1974-08-19
1.4975484609603882,1974-08-20
1.4799309968948364,1974-08-21
1.4388210773468018,1974-08-22
1.4388210773468018,1974-08-23
1.4799309968948364,1974-08-26
1.4505666494369507,1974-08-27
1.456439733505249,1974-08-28
1.4388210773468018,1974-08-29
1.5151656866073608,1974-08-30
1.4505666494369507,1974-09-03
1.415330171585083,1974-09-04
1.4446930885314941,1974-09-05
1.4505666494369507,1974-09-06
1.415330171585083,1974-09-09
1.409456729888916,1974-09-10
1.4212026596069336,1974-09-11
1.3977116346359253,1974-09-12
1.3448573350906372,1974-09-13
1.3683477640151978,1974-09-16
1.3742209672927856,1974-09-17
1.3507297039031982,1974-09-18
1.456439733505249,1974-09-19
1.4446930885314941,1974-09-20
1.427075743675232,1974-09-23
1.3389841318130493,1974-09-24
1.3272392749786377,1974-09-25
1.245019793510437,1974-09-26
1.2215297222137451,1974-09-27
1.1862932443618774,1974-09-30
1.1745480298995972,1974-10-01
1.1451836824417114,1974-10-02
1.1334383487701416,1974-10-03
1.1862932443618774,1974-10-04
1.3154939413070679,1974-10-07
1.3096203804016113,1974-10-08
