CDW,Date
16.45692253112793,2013-06-27
16.680892944335938,2013-06-28
16.4300479888916,2013-07-01
17.218400955200195,2013-07-02
17.092979431152344,2013-07-03
17.218400955200195,2013-07-05
17.22736167907715,2013-07-08
17.46924591064453,2013-07-09
17.110898971557617,2013-07-10
17.540912628173828,2013-07-11
17.478199005126953,2013-07-12
17.522998809814453,2013-07-15
18.006763458251953,2013-07-16
18.248638153076172,2013-07-17
18.66073226928711,2013-07-18
18.669692993164062,2013-07-19
18.221771240234375,2013-07-22
18.11426544189453,2013-07-23
18.427812576293945,2013-07-24
19.690967559814453,2013-07-25
19.341585159301758,2013-07-26
19.44013214111328,2013-07-29
19.350540161132812,2013-07-30
19.26095962524414,2013-07-31
19.404298782348633,2013-08-01
20.09410858154297,2013-08-02
20.416622161865234,2013-08-05
20.434534072875977,2013-08-06
20.55995750427246,2013-08-07
20.66745948791504,2013-08-08
20.6495418548584,2013-08-09
20.748090744018555,2013-08-12
20.96309471130371,2013-08-13
20.927255630493164,2013-08-14
20.604755401611328,2013-08-15
20.6495418548584,2013-08-16
20.685373306274414,2013-08-19
20.703296661376953,2013-08-20
20.63162612915039,2013-08-21
20.613710403442383,2013-08-22
20.846637725830078,2013-08-23
20.58682632446289,2013-08-26
19.905982971191406,2013-08-27
19.690967559814453,2013-08-28
19.780559539794922,2013-08-29
19.646181106567383,2013-08-30
20.183696746826172,2013-09-03
20.613710403442383,2013-09-04
20.89142608642578,2013-09-05
20.81975555419922,2013-09-06
20.568910598754883,2013-09-09
20.63162612915039,2013-09-10
20.981006622314453,2013-09-11
20.685373306274414,2013-09-12
21.05268096923828,2013-09-13
21.384153366088867,2013-09-16
20.8107967376709,2013-09-17
21.312471389770508,2013-09-18
21.0168399810791,2013-09-19
20.506202697753906,2013-09-20
21.375186920166016,2013-09-23
21.769367218017578,2013-09-24
21.617067337036133,2013-09-25
21.49164581298828,2013-09-26
21.482690811157227,2013-09-27
20.452451705932617,2013-09-30
20.783924102783203,2013-10-01
20.40765953063965,2013-10-02
20.89142608642578,2013-10-03
20.91829490661621,2013-10-04
20.6495418548584,2013-10-07
20.712247848510742,2013-10-08
20.318073272705078,2013-10-09
20.6495418548584,2013-10-10
20.595792770385742,2013-10-11
20.40765953063965,2013-10-14
20.29119873046875,2013-10-15
20.309110641479492,2013-10-16
20.40765953063965,2013-10-17
20.595792770385742,2013-10-18
20.210569381713867,2013-10-21
20.425573348999023,2013-10-22
20.353904724121094,2013-10-23
19.717851638793945,2013-10-24
19.843271255493164,2013-10-25
19.75368309020996,2013-10-28
19.66409683227539,2013-10-29
19.798473358154297,2013-10-30
19.699932098388672,2013-10-31
19.75368309020996,2013-11-01
20.55099105834961,2013-11-04
20.604755401611328,2013-11-05
20.595792770385742,2013-11-06
20.58682632446289,2013-11-07
20.55995750427246,2013-11-08
19.45804786682129,2013-11-11
18.893661499023438,2013-11-12
18.662952423095703,2013-11-13
18.546253204345703,2013-11-14
19.372127532958984,2013-11-15
19.13872718811035,2013-11-18
19.084863662719727,2013-11-19
19.50678062438965,2013-11-20
19.740175247192383,2013-11-21
19.901762008666992,2013-11-22
20.01846694946289,2013-11-25
19.937665939331055,2013-11-26
19.928688049316406,2013-11-27
20.01846694946289,2013-11-29
20.162099838256836,2013-12-02
20.162099838256836,2013-12-03
20.557079315185547,2013-12-04
20.20697784423828,2013-12-05
20.278797149658203,2013-12-06
20.305727005004883,2013-12-09
20.189023971557617,2013-12-10
20.063350677490234,2013-12-11
20.24288558959961,2013-12-12
19.973583221435547,2013-12-13
20.153112411499023,2013-12-16
19.883813858032227,2013-12-17
20.099252700805664,2013-12-18
19.803016662597656,2013-12-19
20.081298828125,2013-12-20
20.00948715209961,2013-12-23
20.305727005004883,2013-12-24
20.557079315185547,2013-12-26
20.64684295654297,2013-12-27
20.844329833984375,2013-12-30
20.970008850097656,2013-12-31
20.98797035217285,2014-01-02
20.97899627685547,2014-01-03
21.320112228393555,2014-01-06
21.526580810546875,2014-01-07
21.526580810546875,2014-01-08
21.993375778198242,2014-01-09
22.33450698852539,2014-01-10
22.1639461517334,2014-01-13
21.975419998168945,2014-01-14
21.957469940185547,2014-01-15
21.96644401550293,2014-01-16
21.93951988220215,2014-01-17
22.2626895904541,2014-01-21
21.993375778198242,2014-01-22
21.858732223510742,2014-01-23
21.203411102294922,2014-01-24
20.91615104675293,2014-01-27
21.275226593017578,2014-01-28
20.628896713256836,2014-01-29
21.158538818359375,2014-01-30
21.248302459716797,2014-01-31
20.718658447265625,2014-02-03
20.97899627685547,2014-02-04
20.91615104675293,2014-02-05
21.005918502807617,2014-02-06
21.140581130981445,2014-02-07
20.772520065307617,2014-02-10
20.718658447265625,2014-02-11
21.248302459716797,2014-02-12
22.298603057861328,2014-02-13
21.822816848754883,2014-02-14
22.137008666992188,2014-02-18
22.17291831970215,2014-02-19
22.226778030395508,2014-02-20
22.16653060913086,2014-02-21
22.157535552978516,2014-02-24
21.842805862426758,2014-02-25
22.23847007751465,2014-02-26
22.96686363220215,2014-02-27
23.533395767211914,2014-02-28
23.317564010620117,2014-03-03
23.50640869140625,2014-03-04
24.009990692138672,2014-03-05
24.099918365478516,2014-03-06
23.15570640563965,2014-03-07
23.092756271362305,2014-03-10
23.01182746887207,2014-03-11
22.831968307495117,2014-03-12
22.34638023376465,2014-03-13
22.292417526245117,2014-03-14
22.90390968322754,2014-03-17
22.876935958862305,2014-03-18
22.930896759033203,2014-03-19
22.831968307495117,2014-03-20
22.76902961730957,2014-03-21
22.74205207824707,2014-03-24
23.605331420898438,2014-03-25
23.668275833129883,2014-03-26
23.704252243041992,2014-03-27
24.018985748291016,2014-03-28
24.67544174194336,2014-03-31
25.565689086914062,2014-04-01
25.718564987182617,2014-04-02
25.23297119140625,2014-04-03
25.152040481567383,2014-04-04
24.783349990844727,2014-04-07
24.61248779296875,2014-04-08
25.412818908691406,2014-04-09
