CPT,Date
4.602784633636475,1993-07-22
4.65281343460083,1993-07-23
4.552755355834961,1993-07-26
4.552755355834961,1993-07-27
4.602784633636475,1993-07-28
4.5777668952941895,1993-07-29
4.5777668952941895,1993-07-30
4.552755355834961,1993-08-02
4.602784633636475,1993-08-03
4.627798557281494,1993-08-04
4.5777668952941895,1993-08-05
4.602784633636475,1993-08-06
4.5777668952941895,1993-08-09
4.502722263336182,1993-08-10
4.477707386016846,1993-08-11
4.452692985534668,1993-08-12
4.477707386016846,1993-08-13
4.477707386016846,1993-08-16
4.502722263336182,1993-08-17
4.427676200866699,1993-08-18
4.477707386016846,1993-08-19
4.452692985534668,1993-08-20
4.552755355834961,1993-08-23
4.70284366607666,1993-08-24
4.70284366607666,1993-08-25
4.677829742431641,1993-08-26
4.70284366607666,1993-08-27
4.70284366607666,1993-08-30
4.8029046058654785,1993-08-31
4.902963161468506,1993-09-01
4.852935791015625,1993-09-02
4.902963161468506,1993-09-03
4.902963161468506,1993-09-07
4.902963161468506,1993-09-08
4.902963161468506,1993-09-09
4.952993392944336,1993-09-10
5.003025531768799,1993-09-13
5.003025531768799,1993-09-14
5.1281023025512695,1993-09-15
5.1281023025512695,1993-09-16
5.178131103515625,1993-09-17
5.1281023025512695,1993-09-20
5.103085041046143,1993-09-21
5.103085041046143,1993-09-22
5.103085041046143,1993-09-23
5.078072547912598,1993-09-24
5.1281023025512695,1993-09-27
5.303208827972412,1993-09-28
5.353235244750977,1993-09-29
5.478312015533447,1993-09-30
5.478312015533447,1993-10-01
5.3782525062561035,1993-10-04
5.328221797943115,1993-10-05
5.278191566467285,1993-10-06
5.233691692352295,1993-10-07
5.233691692352295,1993-10-08
5.309545040130615,1993-10-11
5.4359612464904785,1993-10-12
5.360108375549316,1993-10-13
5.309545040130615,1993-10-14
5.360108375549316,1993-10-15
5.385395050048828,1993-10-18
5.309545040130615,1993-10-19
5.309545040130615,1993-10-20
5.3348259925842285,1993-10-21
5.360108375549316,1993-10-22
5.360108375549316,1993-10-25
5.309545040130615,1993-10-26
5.183128833770752,1993-10-27
5.107273578643799,1993-10-28
5.233691692352295,1993-10-29
5.233691692352295,1993-11-01
5.284259796142578,1993-11-02
5.25897741317749,1993-11-03
5.25897741317749,1993-11-04
5.233691692352295,1993-11-05
5.233691692352295,1993-11-08
5.309545040130615,1993-11-09
5.309545040130615,1993-11-10
5.25897741317749,1993-11-11
5.233691692352295,1993-11-12
5.157841682434082,1993-11-15
5.1325602531433105,1993-11-16
5.031423091888428,1993-11-17
4.854438781738281,1993-11-18
4.8797221183776855,1993-11-19
4.778589248657227,1993-11-22
4.854438781738281,1993-11-23
4.854438781738281,1993-11-24
4.8797221183776855,1993-11-26
4.854438781738281,1993-11-29
4.854438781738281,1993-11-30
4.905008316040039,1993-12-01
4.930290699005127,1993-12-02
4.8797221183776855,1993-12-03
4.905008316040039,1993-12-06
4.80387020111084,1993-12-07
4.778589248657227,1993-12-08
4.7027387619018555,1993-12-09
4.753306865692139,1993-12-10
4.728021144866943,1993-12-13
4.626888275146484,1993-12-14
4.728021144866943,1993-12-15
4.80387020111084,1993-12-16
4.854438781738281,1993-12-17
4.80387020111084,1993-12-20
4.778589248657227,1993-12-21
4.753306865692139,1993-12-22
4.728021144866943,1993-12-23
4.758890151977539,1993-12-27
4.913235187530518,1993-12-28
5.0161285400390625,1993-12-29
5.067577362060547,1993-12-30
5.196194171905518,1993-12-31
5.093299865722656,1994-01-03
5.093299865722656,1994-01-04
5.093299865722656,1994-01-05
5.067577362060547,1994-01-06
5.041850566864014,1994-01-07
5.0161285400390625,1994-01-10
4.964680194854736,1994-01-11
4.938955307006836,1994-01-12
5.041850566864014,1994-01-13
4.9904046058654785,1994-01-14
4.938955307006836,1994-01-17
4.938955307006836,1994-01-18
4.938955307006836,1994-01-19
4.938955307006836,1994-01-20
4.938955307006836,1994-01-21
4.938955307006836,1994-01-24
4.913235187530518,1994-01-25
5.041850566864014,1994-01-26
5.041850566864014,1994-01-27
5.041850566864014,1994-01-28
4.964680194854736,1994-01-31
5.067577362060547,1994-02-01
4.9904046058654785,1994-02-02
5.0161285400390625,1994-02-03
4.9904046058654785,1994-02-04
5.0161285400390625,1994-02-07
5.14474630355835,1994-02-08
5.221918106079102,1994-02-09
5.247641086578369,1994-02-10
5.196194171905518,1994-02-11
5.170468807220459,1994-02-14
5.221918106079102,1994-02-15
5.273367881774902,1994-02-16
5.376259803771973,1994-02-17
5.401984691619873,1994-02-18
5.504880428314209,1994-02-22
5.5563273429870605,1994-02-23
5.530601501464844,1994-02-24
5.427705764770508,1994-02-25
5.453429222106934,1994-02-28
5.479156494140625,1994-03-01
5.401984691619873,1994-03-02
5.479156494140625,1994-03-03
5.453429222106934,1994-03-04
5.453429222106934,1994-03-07
5.453429222106934,1994-03-08
5.299088478088379,1994-03-09
5.376259803771973,1994-03-10
5.350536823272705,1994-03-11
5.299088478088379,1994-03-14
5.350536823272705,1994-03-15
5.401984691619873,1994-03-16
5.401984691619873,1994-03-17
5.401984691619873,1994-03-18
5.453429222106934,1994-03-21
5.453429222106934,1994-03-22
5.427705764770508,1994-03-23
5.479156494140625,1994-03-24
5.4927568435668945,1994-03-25
5.545065879821777,1994-03-28
5.4404449462890625,1994-03-29
5.388132095336914,1994-03-30
5.309664249420166,1994-03-31
5.2050395011901855,1994-04-04
5.178884983062744,1994-04-05
5.1527299880981445,1994-04-06
5.1527299880981445,1994-04-07
5.178884983062744,1994-04-08
5.0481038093566895,1994-04-11
5.126571178436279,1994-04-12
5.0481038093566895,1994-04-13
5.021946907043457,1994-04-14
5.07426118850708,1994-04-15
5.0481038093566895,1994-04-18
5.07426118850708,1994-04-19
5.07426118850708,1994-04-20
5.07426118850708,1994-04-21
5.100417137145996,1994-04-22
5.126571178436279,1994-04-25
5.1527299880981445,1994-04-26
5.07426118850708,1994-04-28
5.100417137145996,1994-04-29
5.100417137145996,1994-05-02
