LLY,Date
0.9078953862190247,1972-06-01
0.9184119701385498,1972-06-02
0.9061431288719177,1972-06-05
0.8973793387413025,1972-06-06
0.9078953862190247,1972-06-07
0.8973793387413025,1972-06-08
0.9078953862190247,1972-06-09
0.9061431288719177,1972-06-12
0.914906919002533,1972-06-13
0.9341855645179749,1972-06-14
0.9394444823265076,1972-06-15
0.9289274215698242,1972-06-16
0.9219169020652771,1972-06-19
0.9341855645179749,1972-06-20
0.9254226088523865,1972-06-21
0.9324332475662231,1972-06-22
0.93593829870224,1972-06-23
0.9464548230171204,1972-06-26
0.9411969184875488,1972-06-27
0.9254226088523865,1972-06-28
0.9201642274856567,1972-06-29
0.9324332475662231,1972-06-30
0.9429497122764587,1972-07-03
0.9534654021263123,1972-07-05
0.9709925055503845,1972-07-06
0.9937775135040283,1972-07-07
0.9832621812820435,1972-07-10
0.9867666363716125,1972-07-11
0.9955307245254517,1972-07-12
0.9955307245254517,1972-07-13
1.0130577087402344,1972-07-14
0.9955307245254517,1972-07-17
0.9885193705558777,1972-07-18
0.9990360736846924,1972-07-19
1.0095516443252563,1972-07-20
1.0253262519836426,1972-07-21
1.0428528785705566,1972-07-24
1.03408944606781,1972-07-25
1.0603803396224976,1972-07-26
1.0603803396224976,1972-07-27
1.0586273670196533,1972-07-28
1.0463581085205078,1972-07-31
1.0586273670196533,1972-08-01
1.055121660232544,1972-08-02
1.0586273670196533,1972-08-03
1.0516164302825928,1972-08-04
1.054174780845642,1972-08-07
1.0576884746551514,1972-08-08
1.054174780845642,1972-08-09
1.0594451427459717,1972-08-10
1.0612024068832397,1972-08-11
1.0805299282073975,1972-08-14
1.0647169351577759,1972-08-15
1.0489031076431274,1972-08-16
1.0453896522521973,1972-08-17
1.0629591941833496,1972-08-18
1.0857996940612793,1972-08-21
1.0910706520080566,1972-08-22
1.0822865962982178,1972-08-23
1.069987177848816,1972-08-24
1.0489031076431274,1972-08-25
1.0453896522521973,1972-08-28
1.054174780845642,1972-08-29
1.0506607294082642,1972-08-30
1.0506607294082642,1972-08-31
1.054174780845642,1972-09-01
1.0471466779708862,1972-09-05
1.0418753623962402,1972-09-06
1.043632984161377,1972-09-07
1.033091425895691,1972-09-08
1.0172780752182007,1972-09-11
1.0014662742614746,1972-09-12
0.9944377541542053,1972-09-13
1.0190351009368896,1972-09-14
1.01376473903656,1972-09-15
1.0102508068084717,1972-09-18
1.0243068933486938,1972-09-19
1.0243068933486938,1972-09-20
1.01376473903656,1972-09-21
1.012007236480713,1972-09-22
1.0084936618804932,1972-09-25
1.0049793720245361,1972-09-26
1.006737232208252,1972-09-27
1.0102508068084717,1972-09-28
1.0155216455459595,1972-09-29
1.0014662742614746,1972-10-02
1.0049793720245361,1972-10-03
0.9979520440101624,1972-10-04
0.9803817868232727,1972-10-05
0.9821394681930542,1972-10-06
0.9926815629005432,1972-10-09
0.9944377541542053,1972-10-10
0.9874099493026733,1972-10-11
0.989166796207428,1972-10-12
0.9838955998420715,1972-10-13
0.9768686890602112,1972-10-16
0.9874099493026733,1972-10-17
1.012007236480713,1972-10-18
1.033091425895691,1972-10-19
1.0453896522521973,1972-10-20
1.0453896522521973,1972-10-23
1.0787718296051025,1972-10-24
1.0822865962982178,1972-10-25
1.106882095336914,1972-10-26
1.0875574350357056,1972-10-27
1.0910706520080566,1972-10-30
1.1103968620300293,1972-10-31
1.1139106750488281,1972-11-01
1.1139106750488281,1972-11-02
1.106882095336914,1972-11-03
1.1086406707763672,1972-11-06
1.0963419675827026,1972-11-08
1.0893139839172363,1972-11-09
1.0752581357955933,1972-11-10
1.0672547817230225,1972-11-13
1.0848674774169922,1972-11-14
1.0971951484680176,1972-11-15
1.0971951484680176,1972-11-16
1.0883893966674805,1972-11-17
1.0760608911514282,1972-11-20
1.0743001699447632,1972-11-21
1.0725393295288086,1972-11-22
1.0813440084457397,1972-11-24
1.0760608911514282,1972-11-27
1.0619722604751587,1972-11-28
1.065494418144226,1972-11-29
1.0690165758132935,1972-11-30
1.0672547817230225,1972-12-01
1.0707781314849854,1972-12-04
1.065494418144226,1972-12-05
1.0725393295288086,1972-12-06
1.0690165758132935,1972-12-07
1.0743001699447632,1972-12-08
1.0743001699447632,1972-12-11
1.0743001699447632,1972-12-12
1.0883893966674805,1972-12-13
1.0954334735870361,1972-12-14
1.0866280794143677,1972-12-15
1.0795828104019165,1972-12-18
1.058449387550354,1972-12-19
1.0672547817230225,1972-12-20
1.0672547817230225,1972-12-21
1.0848674774169922,1972-12-22
1.0919114351272583,1972-12-26
1.102479338645935,1972-12-27
1.1218514442443848,1972-12-29
1.114806890487671,1973-01-02
1.1200897693634033,1973-01-03
1.1112840175628662,1973-01-04
1.116567850112915,1973-01-05
1.114806890487671,1973-01-08
1.1130459308624268,1973-01-09
1.114806890487671,1973-01-10
1.1112840175628662,1973-01-11
1.1112840175628662,1973-01-12
1.098955750465393,1973-01-15
1.0883893966674805,1973-01-16
1.0866280794143677,1973-01-17
1.0883893966674805,1973-01-18
1.0848674774169922,1973-01-19
1.0813440084457397,1973-01-22
1.0760608911514282,1973-01-23
1.0690165758132935,1973-01-24
1.0531662702560425,1973-01-26
1.024987816810608,1973-01-29
1.0214654207229614,1973-01-30
1.0285099744796753,1973-01-31
1.0602117776870728,1973-02-01
1.0619722604751587,1973-02-02
1.0672547817230225,1973-02-05
1.0707781314849854,1973-02-06
1.0848674774169922,1973-02-07
1.090151309967041,1973-02-08
1.114005446434021,1973-02-09
1.1298946142196655,1973-02-12
1.1687345504760742,1973-02-13
1.1493149995803833,1973-02-14
1.165203332901001,1973-02-15
1.1969817876815796,1973-02-16
1.2005133628845215,1973-02-20
1.1916859149932861,1973-02-21
1.207573652267456,1973-02-22
1.1952165365219116,1973-02-23
1.175796389579773,1973-02-26
1.175796389579773,1973-02-27
1.1881543397903442,1973-02-28
1.1969817876815796,1973-03-01
1.2146364450454712,1973-03-02
1.216401219367981,1973-03-05
1.2252296209335327,1973-03-06
1.2676007747650146,1973-03-07
1.2464146614074707,1973-03-08
1.2322912216186523,1973-03-09
1.251711368560791,1973-03-12
1.2481803894042969,1973-03-13
1.2640693187713623,1973-03-14
1.2711315155029297,1973-03-15
1.2640693187713623,1973-03-16
1.2287607192993164,1973-03-19
1.2146364450454712,1973-03-20
1.1828582286834717,1973-03-21
1.1263636350631714,1973-03-22
1.1510794162750244,1973-03-23
1.193451166152954,1973-03-26
1.207573652267456,1973-03-27
1.204043984413147,1973-03-28
1.235822081565857,1973-03-29
1.2111060619354248,1973-03-30
1.207573652267456,1973-04-02
1.1969817876815796,1973-04-03
1.1687345504760742,1973-04-04
1.1616718769073486,1973-04-05
1.17756187915802,1973-04-06
1.2005133628845215,1973-04-09
1.2005133628845215,1973-04-10
1.198747992515564,1973-04-11
1.1863892078399658,1973-04-12
1.1828582286834717,1973-04-13
1.17756187915802,1973-04-16
1.179327130317688,1973-04-17
1.1863892078399658,1973-04-18
1.1899203062057495,1973-04-19
1.1881543397903442,1973-04-23
1.1846237182617188,1973-04-24
1.1581412553787231,1973-04-25
1.1475484371185303,1973-04-26
1.1281288862228394,1973-04-27
1.1351909637451172,1973-04-30
1.1404870748519897,1973-05-01
1.179327130317688,1973-05-02
1.1969817876815796,1973-05-03
1.198747992515564,1973-05-04
1.1863892078399658,1973-05-07
1.204043984413147,1973-05-08
1.202278733253479,1973-05-09
1.198747992515564,1973-05-10
1.1810932159423828,1973-05-11
1.167843222618103,1973-05-14
1.1855379343032837,1973-05-15
1.2050026655197144,1973-05-16
1.1996934413909912,1973-05-17
1.1819984912872314,1973-05-18
1.1536872386932373,1973-05-21
1.1660737991333008,1973-05-22
1.1890770196914673,1973-05-23
1.2262356281280518,1973-05-24
1.238621473312378,1973-05-25
1.229774832725525,1973-05-29
1.219157338142395,1973-05-30
1.2244656085968018,1973-05-31
1.197924017906189,1973-06-01
1.1837687492370605,1973-06-04
1.1996934413909912,1973-06-05
1.1890770196914673,1973-06-06
1.1908459663391113,1973-06-07
1.217387080192566,1973-06-08
1.2067716121673584,1973-06-11
1.2456998825073242,1973-06-12
1.2510082721710205,1973-06-13
1.24923837184906,1973-06-14
1.219157338142395,1973-06-15
1.219157338142395,1973-06-18
1.2315444946289062,1973-06-19
1.2244656085968018,1973-06-20
1.2014628648757935,1973-06-21
1.2138495445251465,1973-06-22
1.1660737991333008,1973-06-25
1.1589964628219604,1973-06-26
1.1519190073013306,1973-06-27
1.176689863204956,1973-06-28
1.1819984912872314,1973-06-29
1.1890770196914673,1973-07-02
1.167843222618103,1973-07-03
1.1483793258666992,1973-07-05
1.1165293455123901,1973-07-06
1.1129907369613647,1973-07-09
1.132454752922058,1973-07-10
1.1749205589294434,1973-07-11
1.1943858861923218,1973-07-12
1.2050026655197144,1973-07-13
1.2067716121673584,1973-07-16
1.219157338142395,1973-07-17
1.2085411548614502,1973-07-18
1.217387080192566,1973-07-19
1.2103095054626465,1973-07-20
1.217387080192566,1973-07-23
1.2580857276916504,1973-07-24
1.2970144748687744,1973-07-25
1.2899353504180908,1973-07-26
1.274010419845581,1973-07-27
1.2651640176773071,1973-07-30
1.2510082721710205,1973-07-31
1.2262356281280518,1973-08-01
1.24923837184906,1973-08-02
1.256316900253296,1973-08-03
1.1837687492370605,1973-08-06
1.1926158666610718,1973-08-07
1.1908459663391113,1973-08-08
1.1943858861923218,1973-08-09
1.1837687492370605,1973-08-10
1.176063060760498,1973-08-13
1.16364586353302,1973-08-14
1.1530025005340576,1973-08-15
1.122848391532898,1973-08-16
1.108656644821167,1973-08-17
1.0997873544692993,1973-08-20
1.0891443490982056,1973-08-21
1.1033354997634888,1973-08-22
1.1281688213348389,1973-08-23
1.1600977182388306,1973-08-24
1.1654199361801147,1973-08-27
1.1725151538848877,1973-08-28
1.1352649927139282,1973-08-29
1.1033354997634888,1973-08-30
1.0785011053085327,1973-08-31
1.0660847425460815,1973-09-04
1.0625360012054443,1973-09-05
1.0501203536987305,1973-09-06
1.0146429538726807,1973-09-07
1.0235114097595215,1973-09-10
1.051894187927246,1973-09-11
1.0714057683944702,1973-09-12
1.0962400436401367,1973-09-13
1.0909183025360107,1973-09-14
1.0820493698120117,1973-09-17
1.0785011053085327,1973-09-18
1.1476820707321167,1973-09-19
1.1352649927139282,1973-09-20
1.108656644821167,1973-09-21
1.1352649927139282,1973-09-24
1.1157528162002563,1973-09-25
1.108656644821167,1973-09-26
1.1352649927139282,1973-09-27
1.1352649927139282,1973-09-28
1.1122041940689087,1973-10-01
1.1157528162002563,1973-10-02
1.0891443490982056,1973-10-03
1.0731799602508545,1973-10-04
1.0962400436401367,1973-10-05
1.1157528162002563,1973-10-08
1.1352649927139282,1973-10-09
1.121073842048645,1973-10-10
1.1352649927139282,1973-10-11
1.1299430131912231,1973-10-12
1.1530025005340576,1973-10-15
1.1476820707321167,1973-10-16
1.1459074020385742,1973-10-17
1.1459074020385742,1973-10-18
1.1849327087402344,1973-10-19
1.1778373718261719,1973-10-22
1.186706304550171,1973-10-23
1.1849327087402344,1973-10-24
1.2079917192459106,1973-10-25
1.2186353206634521,1973-10-26
1.2026703357696533,1973-10-29
1.1725151538848877,1973-10-30
1.1654199361801147,1973-10-31
1.1654199361801147,1973-11-01
1.1618722677230835,1973-11-02
1.1600977182388306,1973-11-05
1.1600977182388306,1973-11-06
1.1618722677230835,1973-11-07
1.1725151538848877,1973-11-08
1.1778373718261719,1973-11-09
1.1807823181152344,1973-11-12
1.1896734237670898,1973-11-13
1.2003432512283325,1973-11-14
1.2038992643356323,1973-11-15
1.2199045419692993,1973-11-16
1.182559847831726,1973-11-19
1.150551676750183,1973-11-20
1.1647772789001465,1973-11-21
1.1487724781036377,1973-11-23
1.1238770484924316,1973-11-26
1.1096508502960205,1973-11-27
1.0936460494995117,1973-11-28
1.0811976194381714,1973-11-29
1.0989810228347778,1973-11-30
1.0776416063308716,1973-12-03
1.075863242149353,1973-12-04
1.0705277919769287,1973-12-05
1.1025371551513672,1973-12-06
1.1274337768554688,1973-12-07
1.132768154144287,1973-12-10
1.0989810228347778,1973-12-11
1.0616364479064941,1973-12-12
0.9976184964179993,1973-12-13
1.011845588684082,1973-12-14
1.0438542366027832,1973-12-17
1.0811976194381714,1973-12-18
1.0936460494995117,1973-12-19
1.0296269655227661,1973-12-20
1.0207359790802002,1973-12-21
1.00473153591156,1973-12-24
1.049188494682312,1973-12-26
1.0705277919769287,1973-12-27
1.054524302482605,1973-12-28
1.052746057510376,1973-12-31
1.0438542366027832,1974-01-02
1.0438542366027832,1974-01-03
1.0242921113967896,1974-01-04
0.9958395957946777,1974-01-07
0.9869488477706909,1974-01-08
0.9549395442008972,1974-01-09
0.9300435781478882,1974-01-10
0.937156617641449,1974-01-11
0.9389346837997437,1974-01-14
0.9389346837997437,1974-01-15
0.9389346837997437,1974-01-16
0.9727228879928589,1974-01-17
0.994061291217804,1974-01-18
0.9976184964179993,1974-01-21
1.0171798467636108,1974-01-22
1.0296269655227661,1974-01-23
1.03496253490448,1974-01-24
1.0189576148986816,1974-01-25
1.0171798467636108,1974-01-28
0.9976184964179993,1974-01-29
1.011845588684082,1974-01-30
1.0171798467636108,1974-01-31
1.0011751651763916,1974-02-01
0.9780570864677429,1974-02-04
0.9620529413223267,1974-02-05
0.960274338722229,1974-02-06
0.9389346837997437,1974-02-07
0.9387208819389343,1974-02-08
0.9030279517173767,1974-02-11
0.885181725025177,1974-02-12
0.876258909702301,1974-02-13
0.856627345085144,1974-02-14
0.8655510544776917,1974-02-15
0.9012432098388672,1974-02-19
0.9440743923187256,1974-02-20
0.9815521836280823,1974-02-21
0.9637058973312378,1974-02-22
0.9583517909049988,1974-02-25
0.9886911511421204,1974-02-26
0.9815521836280823,1974-02-27
0.9744138121604919,1974-02-28
0.9565669894218445,1974-03-01
0.9815521836280823,1974-03-04
0.9922599196434021,1974-03-05
0.9993984699249268,1974-03-06
0.9797675013542175,1974-03-07
0.9976135492324829,1974-03-08
0.9993984699249268,1974-03-11
1.0065370798110962,1974-03-12
1.0225986242294312,1974-03-13
1.0475844144821167,1974-03-14
1.0386605262756348,1974-03-15
1.03687584400177,1974-03-18
1.0333062410354614,1974-03-19
1.0529377460479736,1974-03-20
1.0475844144821167,1974-03-21
1.0529377460479736,1974-03-22
1.04401433467865,1974-03-25
1.0529377460479736,1974-03-26
1.058292031288147,1974-03-27
1.0172450542449951,1974-03-28
1.0065370798110962,1974-03-29
0.9993984699249268,1974-04-01
0.9958291053771973,1974-04-02
1.0136759281158447,1974-04-03
1.0315223932266235,1974-04-04
1.0279526710510254,1974-04-05
1.0154609680175781,1974-04-08
1.029737114906311,1974-04-09
1.0475844144821167,1974-04-10
1.0404455661773682,1974-04-11
1.0565080642700195,1974-04-15
1.0547224283218384,1974-04-16
1.0689990520477295,1974-04-17
1.0797078609466553,1974-04-18
1.0565080642700195,1974-04-19
1.0565080642700195,1974-04-22
1.03687584400177,1974-04-23
1.001183032989502,1974-04-24
1.0047526359558105,1974-04-25
1.0333062410354614,1974-04-26
1.0457993745803833,1974-04-29
1.0618616342544556,1974-04-30
1.0850611925125122,1974-05-01
1.0797078609466553,1974-05-02
1.058292031288147,1974-05-03
1.0475844144821167,1974-05-06
1.0814924240112305,1974-05-07
1.0975542068481445,1974-05-08
1.1154004335403442,1974-05-09
1.1046929359436035,1974-05-10
1.0776264667510986,1974-05-13
1.1008976697921753,1974-05-14
1.0991076231002808,1974-05-15
1.0812065601348877,1974-05-16
1.0740463733673096,1974-05-17
1.0686763525009155,1974-05-20
1.0829970836639404,1974-05-21
1.0847874879837036,1974-05-22
1.0847874879837036,1974-05-23
1.091947317123413,1974-05-24
1.0937367677688599,1974-05-28
1.088366985321045,1974-05-29
1.0776264667510986,1974-05-30
1.0758368968963623,1974-05-31
1.0812065601348877,1974-06-03
1.097317099571228,1974-06-04
1.117008924484253,1974-06-05
1.1331197023391724,1974-06-06
1.1402795314788818,1974-06-07
1.1313292980194092,1974-06-10
1.1402795314788818,1974-06-11
1.145650029182434,1974-06-12
1.176080584526062,1974-06-13
1.158180832862854,1974-06-14
1.149229884147644,1974-06-17
1.1563897132873535,1974-06-18
1.167130470275879,1974-06-19
1.154600977897644,1974-06-20
1.149229884147644,1974-06-21
1.145650029182434,1974-06-24
1.1635500192642212,1974-06-25
1.149229884147644,1974-06-26
1.1402795314788818,1974-06-27
1.117008924484253,1974-06-28
1.1098476648330688,1974-07-01
1.091947317123413,1974-07-02
1.0937367677688599,1974-07-03
1.0668864250183105,1974-07-05
1.0507757663726807,1974-07-08
1.031084418296814,1974-07-09
1.0024433135986328,1974-07-10
1.0042333602905273,1974-07-11
1.034664511680603,1974-07-12
1.0650966167449951,1974-07-15
1.052565336227417,1974-07-16
1.0561455488204956,1974-07-17
1.0812065601348877,1974-07-18
1.0829970836639404,1974-07-19
1.0740463733673096,1974-07-22
1.088366985321045,1974-07-23
1.0650966167449951,1974-07-24
1.048985242843628,1974-07-25
1.0257142782211304,1974-07-26
0.9917035102844238,1974-07-29
0.9773826003074646,1974-07-30
0.9523211717605591,1974-07-31
0.9505324363708496,1974-08-01
0.9362102746963501,1974-08-02
0.9541119337081909,1974-08-05
0.9827522039413452,1974-08-06
0.9845427870750427,1974-08-07
0.9612716436386108,1974-08-08
0.9344202280044556,1974-08-09
0.948795735836029,1974-08-12
0.9200446009635925,1974-08-13
0.8984811902046204,1974-08-14
0.880511462688446,1974-08-15
0.8643392324447632,1974-08-16
0.8427756428718567,1974-08-19
0.862541913986206,1974-08-20
0.862541913986206,1974-08-21
0.8409788608551025,1974-08-22
0.8463690876960754,1974-08-23
0.8661359548568726,1974-08-26
0.8499626517295837,1974-08-27
0.8571504950523376,1974-08-28
0.8661359548568726,1974-08-29
0.9056690335273743,1974-08-30
0.8984811902046204,1974-09-03
0.875120997428894,1974-09-04
0.9362178444862366,1974-09-05
0.9380136132240295,1974-09-06
0.9056690335273743,1974-09-09
0.9074661135673523,1974-09-10
0.9038722515106201,1974-09-11
0.875120997428894,1974-09-12
0.8212121725082397,1974-09-13
0.8499626517295837,1974-09-16
0.9038722515106201,1974-09-17
0.8912937045097351,1974-09-18
0.9002782702445984,1974-09-19
0.9254353046417236,1974-09-20
0.9326232671737671,1974-09-23
0.9200446009635925,1974-09-24
0.9146540760993958,1974-09-25
0.875120997428894,1974-09-26
0.8391814231872559,1974-09-27
0.8086326718330383,1974-09-30
0.8230090737342834,1974-10-01
0.8409788608551025,1974-10-02
0.830196738243103,1974-10-03
0.824805736541748,1974-10-04
0.8409788608551025,1974-10-07
0.8266021609306335,1974-10-08
0.8679331541061401,1974-10-09
0.8912937045097351,1974-10-10
0.9002782702445984,1974-10-11
0.9613742232322693,1974-10-14
0.948795735836029,1974-10-15
0.9236389994621277,1974-10-16
0.9380136132240295,1974-10-17
0.9452021718025208,1974-10-18
0.9703593850135803,1974-10-21
0.9901268482208252,1974-10-22
0.9469992518424988,1974-10-23
0.9398109912872314,1974-10-24
0.9613742232322693,1974-10-25
0.9649685621261597,1974-10-28
1.0134868621826172,1974-10-29
1.035049557685852,1974-10-30
1.0386449098587036,1974-10-31
1.0116901397705078,1974-11-01
1.0045011043548584,1974-11-04
1.0476291179656982,1974-11-05
1.0476291179656982,1974-11-06
1.0602076053619385,1974-11-07
1.0511926412582397,1974-11-08
1.065617322921753,1974-11-11
1.0475857257843018,1974-11-12
1.0241464376449585,1974-11-13
1.016933798789978,1974-11-14
0.9754639267921448,1974-11-15
0.9430079460144043,1974-11-18
0.9520230293273926,1974-11-19
0.9574334025382996,1974-11-20
0.9682506322860718,1974-11-21
0.9916908740997314,1974-11-22
1.0061153173446655,1974-11-25
0.9989034533500671,1974-11-26
1.0097218751907349,1974-11-27
1.0097218751907349,1974-11-29
0.9520230293273926,1974-12-02
