ITUB,Date
0.6212059855461121,2002-02-25
0.6413512825965881,2002-02-26
0.6406156420707703,2002-02-27
0.6325154304504395,2002-02-28
0.6185249090194702,2002-03-01
0.6229432225227356,2002-03-04
0.5905440449714661,2002-03-05
0.5846542119979858,2002-03-06
0.5934895277023315,2002-03-07
0.5927537679672241,2002-03-08
0.5889248251914978,2002-03-11
0.6089646220207214,2002-03-12
0.6053858995437622,2002-03-13
0.6098594665527344,2002-03-14
0.6131398677825928,2002-03-15
0.6202967166900635,2002-03-18
0.6173149347305298,2002-03-19
0.6176127791404724,2002-03-20
0.5949482321739197,2002-03-21
0.5915192365646362,2002-03-22
0.5874934196472168,2002-03-25
0.5939233899116516,2002-03-26
0.604216992855072,2002-03-27
0.5982497334480286,2002-03-28
0.6146607995033264,2002-04-01
0.607201099395752,2002-04-02
0.5848226547241211,2002-04-03
0.6027254462242126,2002-04-04
0.6086928248405457,2002-04-05
0.6094387173652649,2002-04-08
0.6288334131240845,2002-04-09
0.6527037620544434,2002-04-10
0.6444984078407288,2002-04-11
0.6385308504104614,2002-04-12
0.6149581074714661,2002-04-15
0.604216992855072,2002-04-16
0.604216992855072,2002-04-17
0.604216992855072,2002-04-18
0.6057089567184448,2002-04-19
0.6004878282546997,2002-04-22
0.5982497334480286,2002-04-23
0.5975033044815063,2002-04-24
0.5855687856674194,2002-04-25
0.5844045877456665,2002-04-26
0.5881364345550537,2002-04-29
0.5955997705459595,2002-04-30
0.5948536396026611,2002-05-01
0.5732086896896362,2002-05-02
0.5582815408706665,2002-05-03
0.5523108839988708,2002-05-06
0.5545496344566345,2002-05-07
0.5635057091712952,2002-05-08
0.5320094227790833,2002-05-09
0.5276805758476257,2002-05-10
0.5045434236526489,2002-05-13
0.5082751512527466,2002-05-14
0.5269344449043274,2002-05-15
0.5448466539382935,2002-05-16
0.5396224856376648,2002-05-17
0.5354430675506592,2002-05-20
0.5366373062133789,2002-05-21
0.5239488482475281,2002-05-22
0.5273820757865906,2002-05-23
0.5251429080963135,2002-05-24
0.5179771184921265,2002-05-28
0.5287314057350159,2002-05-29
0.5317192077636719,2002-05-30
0.5190232396125793,2002-05-31
0.5175297260284424,2002-06-03
0.5024445652961731,2002-06-04
0.4921388030052185,2002-06-05
0.45330536365509033,2002-06-06
0.460026353597641,2002-06-07
0.4839234948158264,2002-06-10
0.4622670114040375,2002-06-11
0.4391164779663086,2002-06-12
0.44658446311950684,2002-06-13
0.4255247116088867,2002-06-14
0.4443437457084656,2002-06-17
0.44792860746383667,2002-06-18
0.4249274432659149,2002-06-19
0.39729559421539307,2002-06-20
0.3853472173213959,2002-06-21
0.4025231599807739,2002-06-24
0.4174593687057495,2002-06-25
0.40427738428115845,2002-06-26
0.4121990203857422,2002-06-27
0.41847559809684753,2002-06-28
0.41100263595581055,2002-07-01
0.4133943021297455,2002-07-02
0.40950822830200195,2002-07-03
0.3885841965675354,2002-07-05
0.399046391248703,2002-07-08
0.40382906794548035,2002-07-09
0.39680472016334534,2002-07-10
0.4138426184654236,2002-07-11
0.42893776297569275,2002-07-12
0.41847559809684753,2002-07-15
0.42146480083465576,2002-07-16
0.4257988929748535,2002-07-17
0.44238847494125366,2002-07-18
0.4364100992679596,2002-07-19
0.40427738428115845,2002-07-22
0.3833540678024292,2002-07-23
0.37588101625442505,2002-07-24
0.3347802460193634,2002-07-25
0.31535103917121887,2002-07-26
0.28569069504737854,2002-07-29
0.25861725211143494,2002-07-30
0.2660960555076599,2002-07-31
0.2903275191783905,2002-08-01
0.33131125569343567,2002-08-02
0.30513572692871094,2002-08-05
0.3298158049583435,2002-08-06
0.36272215843200684,2002-08-07
0.3814191222190857,2002-08-08
0.3470171093940735,2002-08-09
0.31111839413642883,2002-08-12
0.29616087675094604,2002-08-13
0.2889486849308014,2002-08-14
0.2836673855781555,2002-08-15
0.2942295968532562,2002-08-16
0.2993602454662323,2002-08-19
0.29347485303878784,2002-08-20
0.30101916193962097,2002-08-21
0.3109781742095947,2002-08-22
0.3139956295490265,2002-08-23
0.33723247051239014,2002-08-26
0.3455308973789215,2002-08-27
0.3436591923236847,2002-08-28
0.3525678813457489,2002-08-29
0.36766713857650757,2002-08-30
0.3510574996471405,2002-09-03
0.3429041802883148,2002-09-04
0.3297678232192993,2002-09-05
0.3178395628929138,2002-09-06
0.3281068801879883,2002-09-09
0.33142879605293274,2002-09-10
0.3478866219520569,2002-09-11
0.3435077667236328,2002-09-12
0.3416960835456848,2002-09-13
0.32025521993637085,2002-09-16
0.3057600259780884,2002-09-17
0.2874894142150879,2002-09-18
0.2823561131954193,2002-09-19
0.29670026898384094,2002-09-20
0.2643882632255554,2002-09-23
0.2486845999956131,2002-09-24
0.2506476938724518,2002-09-25
0.23889949917793274,2002-09-26
0.22226692736148834,2002-09-27
0.23678241670131683,2002-09-30
0.26838383078575134,2002-10-01
0.2630917429924011,2002-10-02
0.27458322048187256,2002-10-03
0.2717100977897644,2002-10-04
0.2570433020591736,2002-10-07
0.2540198564529419,2002-10-08
0.2343631386756897,2002-10-09
0.23058350384235382,2002-10-10
0.2393529862165451,2002-10-11
0.2343631386756897,2002-10-14
0.23103681206703186,2002-10-15
0.22529105842113495,2002-10-16
0.24524973332881927,2002-10-17
0.24267929792404175,2002-10-18
0.24041146039962769,2002-10-21
0.24494723975658417,2002-10-22
0.2726173996925354,2002-10-23
0.28804004192352295,2002-10-24
0.3048231601715088,2002-10-25
0.29182004928588867,2002-10-28
0.293075829744339,2002-10-29
0.3206125795841217,2002-10-30
0.33544108271598816,2002-10-31
0.33407917618751526,2002-11-01
0.33211204409599304,2002-11-04
0.31743550300598145,2002-11-05
0.2957994341850281,2002-11-06
0.31123194098472595,2002-11-07
0.31683042645454407,2002-11-08
0.32379016280174255,2002-11-11
0.3224286139011383,2002-11-12
0.30941641330718994,2002-11-13
0.31168603897094727,2002-11-14
0.31123194098472595,2002-11-15
0.32227739691734314,2002-11-18
0.318948894739151,2002-11-19
0.32303386926651,2002-11-20
0.3283296525478363,2002-11-21
0.31925109028816223,2002-11-22
0.3184952139854431,2002-11-25
0.31416410207748413,2002-11-26
0.3149213194847107,2002-11-27
0.31764647364616394,2002-11-29
0.3361183702945709,2002-12-02
0.3194632828235626,2002-12-03
0.31567856669425964,2002-12-04
0.2996293008327484,2002-12-05
0.3138616383075714,2002-12-06
0.3028089702129364,2002-12-09
0.2997807264328003,2002-12-10
0.3164358139038086,2002-12-11
0.3202209770679474,2002-12-12
0.3164358139038086,2002-12-13
0.33202990889549255,2002-12-16
0.33263567090034485,2002-12-17
0.346716046333313,2002-12-18
0.37245532870292664,2002-12-19
0.37926775217056274,2002-12-20
0.370941162109375,2002-12-23
0.370184063911438,2002-12-24
0.3532266914844513,2002-12-26
0.3574657440185547,2002-12-27
0.364581823348999,2002-12-30
0.360342800617218,2002-12-31
0.365339070558548,2003-01-02
0.375482976436615,2003-01-03
0.400011271238327,2003-01-06
0.3956201672554016,2003-01-07
0.3830535411834717,2003-01-08
0.3886551856994629,2003-01-09
0.3909265398979187,2003-01-10
0.39213740825653076,2003-01-13
0.3953172266483307,2003-01-14
0.38608136773109436,2003-01-15
0.3936516344547272,2003-01-16
0.381085067987442,2003-01-17
0.3527727723121643,2003-01-21
0.3253687620162964,2003-01-22
0.3255199193954468,2003-01-23
0.32203730940818787,2003-01-24
0.3164358139038086,2003-01-27
0.31779828667640686,2003-01-28
0.33036473393440247,2003-01-29
0.3323327898979187,2003-01-30
0.33430129289627075,2003-01-31
0.3474735915660858,2003-02-03
0.3389948308467865,2003-02-04
0.3361183702945709,2003-02-05
0.332181453704834,2003-02-06
0.32763949036598206,2003-02-07
0.32854801416397095,2003-02-10
0.33657222986221313,2003-02-11
0.3397516906261444,2003-02-12
0.33006203174591064,2003-02-13
0.3224915564060211,2003-02-14
0.3308190107345581,2003-02-18
0.31779828667640686,2003-02-19
0.3224915564060211,2003-02-20
0.3199172914028168,2003-02-21
0.3165869414806366,2003-02-24
0.3164358139038086,2003-02-25
0.31764647364616394,2003-02-26
0.32340022921562195,2003-02-27
0.33172714710235596,2003-02-28
0.34686776995658875,2003-03-03
0.33748090267181396,2003-03-04
0.336874783039093,2003-03-05
0.3639763593673706,2003-03-06
0.3600401282310486,2003-03-07
0.3580721616744995,2003-03-10
0.3626140356063843,2003-03-11
0.3656421899795532,2003-03-12
0.3815392255783081,2003-03-13
0.3845673203468323,2003-03-14
0.3824474811553955,2003-03-17
0.3906237483024597,2003-03-18
0.39435243606567383,2003-03-19
