YUM,Date
3.6715800762176514,1997-09-17
3.797642946243286,1997-09-18
3.8134026527404785,1997-09-19
3.7818875312805176,1997-09-22
3.7818875312805176,1997-09-23
3.7818875312805176,1997-09-24
3.837038278579712,1997-09-25
3.9315853118896484,1997-09-26
3.986739158630371,1997-09-29
4.081286430358887,1997-09-30
3.9079501628875732,1997-10-01
3.8921892642974854,1997-10-02
3.947343349456787,1997-10-03
4.034010887145996,1997-10-06
3.9237074851989746,1997-10-07
3.8685550689697266,1997-10-08
4.026132583618164,1997-10-09
3.97885799407959,1997-10-10
4.041891098022461,1997-10-13
4.018255233764648,1997-10-14
4.002494812011719,1997-10-15
4.002494812011719,1997-10-16
3.9315853118896484,1997-10-17
4.065526485443115,1997-10-20
4.230985164642334,1997-10-21
4.160074234008789,1997-10-22
4.160074234008789,1997-10-23
4.160074234008789,1997-10-24
3.9237074851989746,1997-10-27
3.9000699520111084,1997-10-28
3.821279525756836,1997-10-29
3.718853712081909,1997-10-30
3.821279525756836,1997-10-31
3.844918727874756,1997-11-03
3.797642946243286,1997-11-04
3.8055219650268555,1997-11-05
3.986739158630371,1997-11-06
4.034010887145996,1997-11-07
4.262500286102295,1997-11-10
4.223106384277344,1997-11-11
4.136436462402344,1997-11-12
4.223106384277344,1997-11-13
4.443716049194336,1997-11-14
4.451595306396484,1997-11-17
4.262500286102295,1997-11-18
4.286137104034424,1997-11-19
4.301896572113037,1997-11-20
4.349167346954346,1997-11-21
4.223106384277344,1997-11-24
4.128557205200195,1997-11-25
4.183711051940918,1997-11-26
4.262500286102295,1997-11-28
4.286137104034424,1997-12-01
4.294015407562256,1997-12-02
4.372806072235107,1997-12-03
4.38856315612793,1997-12-04
4.364925861358643,1997-12-05
4.349167346954346,1997-12-08
4.309772968292236,1997-12-09
4.065526485443115,1997-12-10
3.9237074851989746,1997-12-11
3.829160451889038,1997-12-12
3.8055219650268555,1997-12-15
3.8764336109161377,1997-12-16
3.829160451889038,1997-12-17
3.7661285400390625,1997-12-18
3.758248805999756,1997-12-19
3.758248805999756,1997-12-22
3.5770316123962402,1997-12-23
3.62430739402771,1997-12-24
3.5691545009613037,1997-12-26
3.5770316123962402,1997-12-29
3.695216417312622,1997-12-30
3.6637020111083984,1997-12-31
3.6715800762176514,1998-01-02
3.561276912689209,1998-01-05
3.4115757942199707,1998-01-06
3.403697967529297,1998-01-07
3.2697560787200928,1998-01-08
3.2776336669921875,1998-01-09
3.2933919429779053,1998-01-12
3.2933919429779053,1998-01-13
3.2933919429779053,1998-01-14
3.372180223464966,1998-01-15
3.3958184719085693,1998-01-16
3.4982423782348633,1998-01-20
3.4509708881378174,1998-01-21
3.419456720352173,1998-01-22
3.372180223464966,1998-01-23
3.356423854827881,1998-01-26
3.348545789718628,1998-01-27
3.4509708881378174,1998-01-28
3.4588499069213867,1998-01-29
3.443091630935669,1998-01-30
3.5140023231506348,1998-02-02
3.4824860095977783,1998-02-03
3.5770316123962402,1998-02-04
