LNCR,Date
1.2083300352096558,1992-03-19
1.1875300407409668,1992-03-20
1.1979299783706665,1992-03-23
1.1875300407409668,1992-03-24
1.229200005531311,1992-03-25
1.1979299783706665,1992-03-26
1.2083300352096558,1992-03-27
1.2083300352096558,1992-03-30
1.2083300352096558,1992-03-31
1.229200005531311,1992-04-01
1.2083300352096558,1992-04-02
1.1875300407409668,1992-04-03
1.1875300407409668,1992-04-06
1.2083300352096558,1992-04-07
1.0833300352096558,1992-04-08
1.1666699647903442,1992-04-09
1.1875300407409668,1992-04-10
1.1875300407409668,1992-04-13
1.2187999486923218,1992-04-14
1.1875300407409668,1992-04-15
1.1771299839019775,1992-04-16
1.1666699647903442,1992-04-20
1.1458699703216553,1992-04-21
1.1354700326919556,1992-04-22
1.1562700271606445,1992-04-23
1.1666699647903442,1992-04-24
1.125,1992-04-27
1.1666699647903442,1992-04-28
1.1458699703216553,1992-04-29
1.125,1992-04-30
1.125,1992-05-01
1.125,1992-05-04
1.1875300407409668,1992-05-05
1.1979299783706665,1992-05-06
1.2083300352096558,1992-05-07
1.2083300352096558,1992-05-08
1.25,1992-05-11
1.2708699703216553,1992-05-12
1.229200005531311,1992-05-13
1.2708699703216553,1992-05-14
1.2708699703216553,1992-05-15
1.229200005531311,1992-05-18
1.2916699647903442,1992-05-19
1.25,1992-05-20
1.2708699703216553,1992-05-21
1.2916699647903442,1992-05-22
1.2812700271606445,1992-05-26
1.3021299839019775,1992-05-27
1.375,1992-05-28
1.5,1992-05-29
1.3958699703216553,1992-06-01
1.4166699647903442,1992-06-02
1.4166699647903442,1992-06-03
1.4583300352096558,1992-06-04
1.4375300407409668,1992-06-05
1.4375300407409668,1992-06-08
1.4583300352096558,1992-06-09
1.4375300407409668,1992-06-10
1.375,1992-06-11
1.3958699703216553,1992-06-12
1.3958699703216553,1992-06-15
1.4375300407409668,1992-06-16
1.4166699647903442,1992-06-17
1.354200005531311,1992-06-18
1.4583300352096558,1992-06-19
1.3333300352096558,1992-06-22
1.375,1992-06-23
1.375,1992-06-24
1.375,1992-06-25
1.375,1992-06-26
1.375,1992-06-29
1.4583300352096558,1992-06-30
1.4166699647903442,1992-07-01
1.3958699703216553,1992-07-02
1.3958699703216553,1992-07-06
1.3958699703216553,1992-07-07
1.3958699703216553,1992-07-08
1.3958699703216553,1992-07-09
1.4166699647903442,1992-07-10
1.479200005531311,1992-07-13
1.5104700326919556,1992-07-14
1.604200005531311,1992-07-15
1.604200005531311,1992-07-16
1.604200005531311,1992-07-17
1.5416699647903442,1992-07-20
1.5833300352096558,1992-07-21
1.5625300407409668,1992-07-22
1.5625300407409668,1992-07-23
1.5625300407409668,1992-07-24
1.604200005531311,1992-07-27
1.604200005531311,1992-07-28
1.604200005531311,1992-07-29
1.604200005531311,1992-07-30
1.604200005531311,1992-07-31
1.6458699703216553,1992-08-03
1.6666699647903442,1992-08-04
1.6666699647903442,1992-08-05
1.6875300407409668,1992-08-06
1.6666699647903442,1992-08-07
1.6875300407409668,1992-08-10
1.7083300352096558,1992-08-11
1.7083300352096558,1992-08-12
1.7708699703216553,1992-08-13
1.7916699647903442,1992-08-14
1.854200005531311,1992-08-17
1.854200005531311,1992-08-18
1.8333300352096558,1992-08-19
1.8333300352096558,1992-08-20
1.8333300352096558,1992-08-21
1.8333300352096558,1992-08-24
1.8021299839019775,1992-08-25
1.8021299839019775,1992-08-26
1.8125300407409668,1992-08-27
1.854200005531311,1992-08-28
1.854200005531311,1992-08-31
1.875,1992-09-01
1.9062700271606445,1992-09-02
1.9166699647903442,1992-09-03
1.9062700271606445,1992-09-04
1.9375300407409668,1992-09-08
1.9166699647903442,1992-09-09
1.9166699647903442,1992-09-10
1.9166699647903442,1992-09-11
1.9583300352096558,1992-09-14
1.979200005531311,1992-09-15
1.979200005531311,1992-09-16
1.979200005531311,1992-09-17
1.979200005531311,1992-09-18
1.9583300352096558,1992-09-21
1.9375300407409668,1992-09-22
1.9375300407409668,1992-09-23
1.9583300352096558,1992-09-24
1.729200005531311,1992-09-25
1.7708699703216553,1992-09-28
1.729200005531311,1992-09-29
1.729200005531311,1992-09-30
1.6458699703216553,1992-10-01
1.6458699703216553,1992-10-02
1.5104700326919556,1992-10-05
1.6145999431610107,1992-10-06
1.6458699703216553,1992-10-07
1.5833300352096558,1992-10-08
1.5833300352096558,1992-10-09
1.625,1992-10-12
1.7708699703216553,1992-10-13
1.8125300407409668,1992-10-14
1.8125300407409668,1992-10-15
1.8125300407409668,1992-10-16
1.729200005531311,1992-10-19
1.875,1992-10-20
2.0,1992-10-21
1.979200005531311,1992-10-22
1.9583300352096558,1992-10-23
1.9166699647903442,1992-10-26
1.9166699647903442,1992-10-27
1.979200005531311,1992-10-28
1.8958699703216553,1992-10-29
1.9583300352096558,1992-10-30
2.0208699703216553,1992-11-02
2.0,1992-11-03
2.083329916000366,1992-11-04
2.083329916000366,1992-11-05
2.083329916000366,1992-11-06
2.1458699703216553,1992-11-09
2.208329916000366,1992-11-10
2.291670083999634,1992-11-11
2.25,1992-11-12
2.322930097579956,1992-11-13
2.312530040740967,1992-11-16
2.291670083999634,1992-11-17
2.3541998863220215,1992-11-18
2.4271299839019775,1992-11-19
2.5,1992-11-20
2.416670083999634,1992-11-23
2.437530040740967,1992-11-24
2.458329916000366,1992-11-25
2.4688000679016113,1992-11-27
2.4791998863220215,1992-11-30
2.4791998863220215,1992-12-01
2.4791998863220215,1992-12-02
2.3541998863220215,1992-12-03
2.312530040740967,1992-12-04
2.333329916000366,1992-12-07
2.333329916000366,1992-12-08
2.416670083999634,1992-12-09
2.437530040740967,1992-12-10
2.4791998863220215,1992-12-11
2.458329916000366,1992-12-14
2.3541998863220215,1992-12-15
2.375,1992-12-16
2.458329916000366,1992-12-17
2.416670083999634,1992-12-18
2.416670083999634,1992-12-21
2.437530040740967,1992-12-22
2.437530040740967,1992-12-23
2.416670083999634,1992-12-24
2.437530040740967,1992-12-28
2.4791998863220215,1992-12-29
2.4791998863220215,1992-12-30
2.541670083999634,1992-12-31
2.5208699703216553,1993-01-04
2.5,1993-01-05
2.5,1993-01-06
2.5,1993-01-07
2.4791998863220215,1993-01-08
2.416670083999634,1993-01-11
2.5208699703216553,1993-01-12
2.5208699703216553,1993-01-13
2.5,1993-01-14
2.5,1993-01-15
2.5208699703216553,1993-01-18
2.4791998863220215,1993-01-19
2.458329916000366,1993-01-20
2.4791998863220215,1993-01-21
2.5,1993-01-22
2.4791998863220215,1993-01-25
2.510469913482666,1993-01-26
2.5,1993-01-27
2.5,1993-01-28
2.5208699703216553,1993-01-29
2.625,1993-02-01
2.7291998863220215,1993-02-02
2.75,1993-02-03
2.708329916000366,1993-02-04
2.708329916000366,1993-02-05
2.708329916000366,1993-02-08
2.7291998863220215,1993-02-09
2.708329916000366,1993-02-10
2.7708699703216553,1993-02-11
2.7708699703216553,1993-02-12
2.458329916000366,1993-02-16
2.166670083999634,1993-02-17
2.2708699703216553,1993-02-18
1.9166699647903442,1993-02-19
1.7708699703216553,1993-02-22
1.75,1993-02-23
2.0,1993-02-24
2.1041998863220215,1993-02-25
2.041670083999634,1993-02-26
2.0,1993-03-01
2.0208699703216553,1993-03-02
2.0208699703216553,1993-03-03
2.0208699703216553,1993-03-04
1.9375300407409668,1993-03-05
2.0,1993-03-08
1.9166699647903442,1993-03-09
2.041670083999634,1993-03-10
2.0,1993-03-11
2.010469913482666,1993-03-12
2.062530040740967,1993-03-15
2.1041998863220215,1993-03-16
2.0,1993-03-17
1.979200005531311,1993-03-18
2.062530040740967,1993-03-19
1.9583300352096558,1993-03-22
2.041670083999634,1993-03-23
2.041670083999634,1993-03-24
2.0208699703216553,1993-03-25
2.125,1993-03-26
2.125,1993-03-29
2.1041998863220215,1993-03-30
2.2291998863220215,1993-03-31
2.1041998863220215,1993-04-01
2.083329916000366,1993-04-02
2.0938000679016113,1993-04-05
2.083329916000366,1993-04-06
2.083329916000366,1993-04-07
2.125,1993-04-08
2.083329916000366,1993-04-12
2.1458699703216553,1993-04-13
2.062530040740967,1993-04-14
2.062530040740967,1993-04-15
2.083329916000366,1993-04-16
2.083329916000366,1993-04-19
2.083329916000366,1993-04-20
2.2291998863220215,1993-04-21
2.25,1993-04-22
2.375,1993-04-23
2.208329916000366,1993-04-26
2.125,1993-04-27
2.135469913482666,1993-04-28
2.0938000679016113,1993-04-29
2.083329916000366,1993-04-30
2.083329916000366,1993-05-03
2.187530040740967,1993-05-04
2.2708699703216553,1993-05-05
2.2708699703216553,1993-05-06
2.312530040740967,1993-05-07
2.2395999431610107,1993-05-10
2.1458699703216553,1993-05-11
2.291670083999634,1993-05-12
2.166670083999634,1993-05-13
2.166670083999634,1993-05-14
2.197930097579956,1993-05-17
2.166670083999634,1993-05-18
2.2291998863220215,1993-05-19
2.166670083999634,1993-05-20
2.135469913482666,1993-05-21
2.2291998863220215,1993-05-24
2.166670083999634,1993-05-25
2.2291998863220215,1993-05-26
2.2291998863220215,1993-05-27
2.166670083999634,1993-05-28
2.083329916000366,1993-06-01
2.1771299839019775,1993-06-02
2.166670083999634,1993-06-03
2.166670083999634,1993-06-04
2.1145999431610107,1993-06-07
2.1041998863220215,1993-06-08
2.1041998863220215,1993-06-09
2.187530040740967,1993-06-10
2.1041998863220215,1993-06-11
2.1041998863220215,1993-06-14
2.166670083999634,1993-06-15
2.1041998863220215,1993-06-16
2.125,1993-06-17
2.1041998863220215,1993-06-18
2.0208699703216553,1993-06-21
2.0312700271606445,1993-06-22
2.041670083999634,1993-06-23
2.0208699703216553,1993-06-24
2.072930097579956,1993-06-25
2.083329916000366,1993-06-28
2.1041998863220215,1993-06-29
2.083329916000366,1993-06-30
2.083329916000366,1993-07-01
2.208329916000366,1993-07-02
2.166670083999634,1993-07-06
2.25,1993-07-07
2.3021299839019775,1993-07-08
2.25,1993-07-09
2.322930097579956,1993-07-12
2.312530040740967,1993-07-13
2.416670083999634,1993-07-14
2.312530040740967,1993-07-15
2.416670083999634,1993-07-16
2.291670083999634,1993-07-19
2.4791998863220215,1993-07-20
2.437530040740967,1993-07-21
2.416670083999634,1993-07-22
2.4791998863220215,1993-07-23
2.437530040740967,1993-07-26
2.437530040740967,1993-07-27
2.5,1993-07-28
2.5,1993-07-29
2.4791998863220215,1993-07-30
2.3958699703216553,1993-08-02
2.5,1993-08-03
2.5,1993-08-04
2.5,1993-08-05
2.4791998863220215,1993-08-06
2.4791998863220215,1993-08-09
2.5,1993-08-10
2.541670083999634,1993-08-11
2.583329916000366,1993-08-12
2.572930097579956,1993-08-13
2.583329916000366,1993-08-16
2.6041998863220215,1993-08-17
2.6041998863220215,1993-08-18
2.541670083999634,1993-08-19
2.541670083999634,1993-08-20
2.5938000679016113,1993-08-23
2.708329916000366,1993-08-24
2.687530040740967,1993-08-25
2.6458699703216553,1993-08-26
2.7708699703216553,1993-08-27
2.708329916000366,1993-08-30
2.697930097579956,1993-08-31
2.833329916000366,1993-09-01
2.9791998863220215,1993-09-02
3.0312700271606445,1993-09-03
2.9791998863220215,1993-09-07
3.0,1993-09-08
3.062530040740967,1993-09-09
3.0,1993-09-10
3.010469913482666,1993-09-13
3.0208699703216553,1993-09-14
3.166670083999634,1993-09-15
3.187530040740967,1993-09-16
3.1458699703216553,1993-09-17
3.187530040740967,1993-09-20
3.1458699703216553,1993-09-21
3.166670083999634,1993-09-22
3.125,1993-09-23
3.166670083999634,1993-09-24
3.208329916000366,1993-09-27
3.166670083999634,1993-09-28
3.208329916000366,1993-09-29
3.187530040740967,1993-09-30
3.312530040740967,1993-10-01
3.3541998863220215,1993-10-04
3.6041998863220215,1993-10-05
3.562530040740967,1993-10-06
3.583329916000366,1993-10-07
3.5,1993-10-08
3.562530040740967,1993-10-11
3.5,1993-10-12
3.5208699703216553,1993-10-13
3.5208699703216553,1993-10-14
3.6041998863220215,1993-10-15
4.062530040740967,1993-10-18
3.791670083999634,1993-10-19
3.75,1993-10-20
3.7291998863220215,1993-10-21
3.666670083999634,1993-10-22
3.708329916000366,1993-10-25
3.6458699703216553,1993-10-26
3.708329916000366,1993-10-27
3.666670083999634,1993-10-28
3.6458699703216553,1993-10-29
3.6771299839019775,1993-11-01
3.708329916000366,1993-11-02
3.666670083999634,1993-11-03
3.666670083999634,1993-11-04
3.6458699703216553,1993-11-05
3.6458699703216553,1993-11-08
3.562530040740967,1993-11-09
3.541670083999634,1993-11-10
3.666670083999634,1993-11-11
3.708329916000366,1993-11-12
3.666670083999634,1993-11-15
3.708329916000366,1993-11-16
3.625,1993-11-17
3.6041998863220215,1993-11-18
3.5208699703216553,1993-11-19
3.437530040740967,1993-11-22
3.3958699703216553,1993-11-23
3.437530040740967,1993-11-24
3.4062700271606445,1993-11-26
3.4791998863220215,1993-11-29
3.5,1993-11-30
3.375,1993-12-01
3.375,1993-12-02
3.166670083999634,1993-12-03
3.2291998863220215,1993-12-06
3.25,1993-12-07
3.291670083999634,1993-12-08
3.333329916000366,1993-12-09
3.375,1993-12-10
3.458329916000366,1993-12-13
3.541670083999634,1993-12-14
3.6041998863220215,1993-12-15
3.75,1993-12-16
3.833329916000366,1993-12-17
3.75,1993-12-20
3.833329916000366,1993-12-21
3.833329916000366,1993-12-22
3.708329916000366,1993-12-23
3.666670083999634,1993-12-27
3.708329916000366,1993-12-28
3.833329916000366,1993-12-29
4.125,1993-12-30
4.145870208740234,1993-12-31
4.0,1994-01-03
4.0,1994-01-04
3.937530040740967,1994-01-05
3.875,1994-01-06
3.833329916000366,1994-01-07
3.875,1994-01-10
3.916670083999634,1994-01-11
3.875,1994-01-12
3.875,1994-01-13
3.875,1994-01-14
3.916670083999634,1994-01-17
3.916670083999634,1994-01-18
3.916670083999634,1994-01-19
3.916670083999634,1994-01-20
3.916670083999634,1994-01-21
3.875,1994-01-24
3.958329916000366,1994-01-25
3.916670083999634,1994-01-26
3.916670083999634,1994-01-27
3.6458699703216553,1994-01-28
3.666670083999634,1994-01-31
3.833329916000366,1994-02-01
4.0,1994-02-02
4.0,1994-02-03
3.916670083999634,1994-02-04
4.041669845581055,1994-02-07
4.125,1994-02-08
4.208330154418945,1994-02-09
4.125,1994-02-10
4.208330154418945,1994-02-11
4.208330154418945,1994-02-14
4.083330154418945,1994-02-15
4.0,1994-02-16
4.041669845581055,1994-02-17
4.208330154418945,1994-02-18
4.208330154418945,1994-02-22
4.083330154418945,1994-02-23
4.041669845581055,1994-02-24
4.083330154418945,1994-02-25
4.208330154418945,1994-02-28
4.187530040740967,1994-03-01
4.166669845581055,1994-03-02
4.208330154418945,1994-03-03
4.208330154418945,1994-03-04
4.125,1994-03-07
4.083330154418945,1994-03-08
4.041669845581055,1994-03-09
4.020870208740234,1994-03-10
4.0,1994-03-11
4.0,1994-03-14
4.020870208740234,1994-03-15
4.020870208740234,1994-03-16
4.041669845581055,1994-03-17
3.958329916000366,1994-03-18
3.958329916000366,1994-03-21
3.958329916000366,1994-03-22
3.9791998863220215,1994-03-23
4.041669845581055,1994-03-24
4.041669845581055,1994-03-25
4.041669845581055,1994-03-28
3.791670083999634,1994-03-29
3.625,1994-03-30
3.625,1994-03-31
3.437530040740967,1994-04-04
3.583329916000366,1994-04-05
3.708329916000366,1994-04-06
3.708329916000366,1994-04-07
3.666670083999634,1994-04-08
3.666670083999634,1994-04-11
3.708329916000366,1994-04-12
3.625,1994-04-13
3.666670083999634,1994-04-14
3.583329916000366,1994-04-15
3.666670083999634,1994-04-18
3.666670083999634,1994-04-19
3.583329916000366,1994-04-20
3.666670083999634,1994-04-21
3.625,1994-04-22
3.666670083999634,1994-04-25
3.791670083999634,1994-04-26
3.75,1994-04-28
3.812530040740967,1994-04-29
3.708329916000366,1994-05-02
3.791670083999634,1994-05-03
3.791670083999634,1994-05-04
3.791670083999634,1994-05-05
3.791670083999634,1994-05-06
3.75,1994-05-09
3.666670083999634,1994-05-10
3.708329916000366,1994-05-11
3.708329916000366,1994-05-12
3.7291998863220215,1994-05-13
3.708329916000366,1994-05-16
3.75,1994-05-17
3.625,1994-05-18
3.75,1994-05-19
3.666670083999634,1994-05-20
3.625,1994-05-23
3.687530040740967,1994-05-24
3.625,1994-05-25
3.791670083999634,1994-05-26
3.791670083999634,1994-05-27
3.833329916000366,1994-05-31
3.791670083999634,1994-06-01
3.708329916000366,1994-06-02
