ROP,Date
1.6529465913772583,1992-02-13
1.8169782161712646,1992-02-14
1.6655641794204712,1992-02-18
1.7412710189819336,1992-02-19
1.7917433977127075,1992-02-20
1.8422151803970337,1992-02-21
1.8674514293670654,1992-02-24
1.8422151803970337,1992-02-25
1.8926876783370972,1992-02-26
1.9431591033935547,1992-02-27
2.044102191925049,1992-02-28
2.069337844848633,1992-03-02
1.99363112449646,1992-03-03
1.9683953523635864,1992-03-04
1.8926876783370972,1992-03-05
1.8926876783370972,1992-03-06
1.9305413961410522,1992-03-09
1.9683953523635864,1992-03-10
1.9810118675231934,1992-03-11
1.9683953523635864,1992-03-12
2.044102191925049,1992-03-13
2.069337844848633,1992-03-16
1.99363112449646,1992-03-17
1.99363112449646,1992-03-18
1.9683953523635864,1992-03-19
2.044102191925049,1992-03-20
2.0062475204467773,1992-03-23
1.9683953523635864,1992-03-24
1.99363112449646,1992-03-25
1.9431591033935547,1992-03-26
2.018866539001465,1992-03-27
1.99363112449646,1992-03-30
2.018866539001465,1992-03-31
1.9683953523635864,1992-04-01
1.99363112449646,1992-04-02
1.99363112449646,1992-04-03
1.9683953523635864,1992-04-06
2.018866539001465,1992-04-07
2.018866539001465,1992-04-08
1.99363112449646,1992-04-09
1.99363112449646,1992-04-10
1.99363112449646,1992-04-13
1.99363112449646,1992-04-14
1.9683953523635864,1992-04-15
1.9683953523635864,1992-04-16
1.9218666553497314,1992-04-20
1.9218666553497314,1992-04-21
1.9977293014526367,1992-04-22
1.9218666553497314,1992-04-23
1.947153091430664,1992-04-24
1.8965779542922974,1992-04-27
1.8207130432128906,1992-04-28
1.8460018634796143,1992-04-29
1.8207130432128906,1992-04-30
1.8712899684906006,1992-05-01
1.8712899684906006,1992-05-04
1.8207130432128906,1992-05-05
1.7701385021209717,1992-05-06
1.7195638418197632,1992-05-07
1.7448502779006958,1992-05-08
1.8207130432128906,1992-05-11
1.7954262495040894,1992-05-12
1.8080716133117676,1992-05-13
1.7954262495040894,1992-05-14
1.7954262495040894,1992-05-15
1.7954262495040894,1992-05-18
1.7954262495040894,1992-05-19
1.7448502779006958,1992-05-20
1.6942753791809082,1992-05-21
1.6689878702163696,1992-05-22
1.5551936626434326,1992-05-26
1.5931251049041748,1992-05-27
1.5299060344696045,1992-05-28
1.5172622203826904,1992-05-29
1.5172622203826904,1992-06-01
1.5046181678771973,1992-06-02
1.4666863679885864,1992-06-03
1.5172622203826904,1992-06-04
1.5172622203826904,1992-06-05
1.5425503253936768,1992-06-08
1.4793307781219482,1992-06-09
1.4666863679885864,1992-06-10
1.5172622203826904,1992-06-11
1.4666863679885864,1992-06-12
1.416110634803772,1992-06-15
1.4413986206054688,1992-06-16
1.4034674167633057,1992-06-17
1.3655354976654053,1992-06-18
1.416110634803772,1992-06-19
1.3655354976654053,1992-06-22
1.3949567079544067,1992-06-23
1.3569120168685913,1992-06-24
1.3188680410385132,1992-06-25
1.268142580986023,1992-06-26
1.293505311012268,1992-06-29
1.2808235883712769,1992-06-30
1.293505311012268,1992-07-01
1.3188680410385132,1992-07-02
1.3188680410385132,1992-07-06
1.268142580986023,1992-07-07
1.2300981283187866,1992-07-08
1.24277925491333,1992-07-09
1.331550121307373,1992-07-10
1.2808235883712769,1992-07-13
1.268142580986023,1992-07-14
1.331550121307373,1992-07-15
1.2808235883712769,1992-07-16
1.2047351598739624,1992-07-17
1.2174171209335327,1992-07-20
1.24277925491333,1992-07-21
1.1666911840438843,1992-07-22
1.24277925491333,1992-07-23
1.2047351598739624,1992-07-24
1.24277925491333,1992-07-27
1.1920537948608398,1992-07-28
1.24277925491333,1992-07-29
1.3188680410385132,1992-07-30
1.268142580986023,1992-07-31
1.3695940971374512,1992-08-03
1.3188680410385132,1992-08-04
1.3695940971374512,1992-08-05
1.382275104522705,1992-08-06
1.3442308902740479,1992-08-07
1.382275104522705,1992-08-10
1.3188680410385132,1992-08-11
1.3188680410385132,1992-08-12
1.2554614543914795,1992-08-13
1.293505311012268,1992-08-14
1.24277925491333,1992-08-17
1.2554614543914795,1992-08-18
1.2554614543914795,1992-08-19
1.2554614543914795,1992-08-20
1.268142580986023,1992-08-21
1.293505311012268,1992-08-24
1.2300981283187866,1992-08-25
1.2300981283187866,1992-08-26
1.2047351598739624,1992-08-27
1.24277925491333,1992-08-28
1.1920537948608398,1992-08-31
1.2174171209335327,1992-09-01
1.1920537948608398,1992-09-02
1.268142580986023,1992-09-03
1.2808235883712769,1992-09-04
1.2300981283187866,1992-09-08
1.2808235883712769,1992-09-09
1.24277925491333,1992-09-10
1.3695940971374512,1992-09-11
1.5471336841583252,1992-09-14
1.5724965333938599,1992-09-15
1.73735511302948,1992-09-16
1.5978593826293945,1992-09-17
1.6232225894927979,1992-09-18
1.673948049545288,1992-09-21
1.6359035968780518,1992-09-22
1.673948049545288,1992-09-23
1.6485856771469116,1992-09-24
1.6232225894927979,1992-09-25
1.5851776599884033,1992-09-28
1.673948049545288,1992-09-29
1.5724965333938599,1992-09-30
1.673948049545288,1992-10-01
1.673948049545288,1992-10-02
1.614454984664917,1992-10-05
1.5763179063796997,1992-10-06
1.6271668672561646,1992-10-07
1.6525918245315552,1992-10-08
1.6017422676086426,1992-10-09
1.5763179063796997,1992-10-12
1.703440546989441,1992-10-13
1.7161530256271362,1992-10-14
1.6780160665512085,1992-10-15
1.7288647890090942,1992-10-16
1.703440546989441,1992-10-19
1.7161530256271362,1992-10-20
1.7415772676467896,1992-10-21
1.6780160665512085,1992-10-22
1.7288647890090942,1992-10-23
1.7542895078659058,1992-10-26
1.855987310409546,1992-10-27
1.9322612285614014,1992-10-28
1.9322612285614014,1992-10-29
1.830562949180603,1992-10-30
