MEDI,Date
20.267953872680664,2023-03-27
20.16465187072754,2023-03-28
20.206369400024414,2023-03-29
20.24808692932129,2023-03-30
20.427871704101562,2023-03-31
20.174585342407227,2023-04-03
20.16266441345215,2023-04-04
20.349401473999023,2023-04-05
20.47256851196289,2023-04-06
20.554018020629883,2023-04-10
20.776514053344727,2023-04-11
20.819223403930664,2023-04-12
21.062580108642578,2023-04-13
20.85696792602539,2023-04-14
21.15495491027832,2023-04-17
21.016889572143555,2023-04-18
21.062580108642578,2023-04-19
20.950336456298828,2023-04-20
21.13111686706543,2023-04-21
21.141048431396484,2023-04-24
20.92451286315918,2023-04-25
20.58977699279785,2023-04-26
20.770553588867188,2023-04-27
20.869882583618164,2023-04-28
21.37248420715332,2023-05-01
21.16091537475586,2023-05-02
21.55624008178711,2023-05-03
21.59398651123047,2023-05-04
21.742977142333984,2023-05-05
21.702255249023438,2023-05-08
21.61385154724121,2023-05-09
21.616832733154297,2023-05-10
21.60491180419922,2023-05-11
21.67742156982422,2023-05-12
21.736024856567383,2023-05-15
21.589019775390625,2023-05-16
21.616832733154297,2023-05-17
21.492671966552734,2023-05-18
21.648616790771484,2023-05-19
21.654577255249023,2023-05-22
21.356590270996094,2023-05-23
21.192699432373047,2023-05-24
21.07449722290039,2023-05-25
21.141048431396484,2023-05-26
20.975170135498047,2023-05-30
21.08840560913086,2023-05-31
21.341691970825195,2023-06-01
21.66252326965332,2023-06-02
21.76483154296875,2023-06-05
21.83038902282715,2023-06-06
21.641664505004883,2023-06-07
21.7608585357666,2023-06-08
21.730066299438477,2023-06-09
21.850252151489258,2023-06-12
21.92673683166504,2023-06-13
21.563194274902344,2023-06-14
21.889984130859375,2023-06-15
21.74993133544922,2023-06-16
21.90190315246582,2023-06-20
21.887996673583984,2023-06-21
21.936668395996094,2023-06-22
21.803569793701172,2023-06-23
21.847274780273438,2023-06-26
21.99129867553711,2023-06-27
21.92971420288086,2023-06-28
22.06976890563965,2023-06-29
22.35384750366211,2023-06-30
22.06976890563965,2023-07-03
22.011165618896484,2023-07-05
21.813501358032227,2023-07-06
21.657556533813477,2023-07-07
21.893957138061523,2023-07-10
21.774765014648438,2023-07-11
21.676427841186523,2023-07-12
21.728078842163086,2023-07-13
22.16810417175293,2023-07-14
22.12738037109375,2023-07-17
22.180023193359375,2023-07-18
22.2684268951416,2023-07-19
22.28531265258789,2023-07-20
22.442249298095703,2023-07-21
22.183996200561523,2023-07-24
22.27935218811035,2023-07-25
22.20684242248535,2023-07-26
22.182010650634766,2023-07-27
22.46906852722168,2023-07-28
22.246572494506836,2023-07-31
22.148239135742188,2023-08-01
22.062816619873047,2023-08-02
21.981365203857422,2023-08-03
21.9356746673584,2023-08-04
21.8631649017334,2023-08-07
22.165124893188477,2023-08-08
22.16611671447754,2023-08-09
22.098573684692383,2023-08-10
22.207834243774414,2023-08-11
22.403512954711914,2023-08-14
22.388614654541016,2023-08-15
22.113473892211914,2023-08-16
21.69927406311035,2023-08-17
21.85223960876465,2023-08-18
21.981365203857422,2023-08-21
21.98236083984375,2023-08-22
21.954547882080078,2023-08-23
21.87409210205078,2023-08-24
22.042949676513672,2023-08-25
22.044937133789062,2023-08-28
22.273391723632812,2023-08-29
22.352853775024414,2023-08-30
22.185983657836914,2023-08-31
22.30021095275879,2023-09-01
22.089635848999023,2023-09-05
22.2038631439209,2023-09-06
22.163137435913086,2023-09-07
21.97640037536621,2023-09-08
22.220748901367188,2023-09-11
22.25352668762207,2023-09-12
22.242599487304688,2023-09-13
22.455163955688477,2023-09-14
22.66971206665039,2023-09-15
22.574356079101562,2023-09-18
22.436290740966797,2023-09-19
22.354841232299805,2023-09-20
21.960506439208984,2023-09-21
21.9058780670166,2023-09-22
21.979379653930664,2023-09-25
21.921770095825195,2023-09-26
22.038976669311523,2023-09-27
22.187969207763672,2023-09-28
21.93170166015625,2023-09-29
21.787675857543945,2023-10-02
21.451946258544922,2023-10-03
21.429100036621094,2023-10-04
21.67940902709961,2023-10-05
21.940643310546875,2023-10-06
21.92474937438965,2023-10-09
22.159164428710938,2023-10-10
22.021099090576172,2023-10-11
21.676427841186523,2023-10-12
21.87409210205078,2023-10-13
22.165124893188477,2023-10-16
22.139297485351562,2023-10-17
21.919784545898438,2023-10-18
21.76979637145996,2023-10-19
21.681394577026367,2023-10-20
21.38936996459961,2023-10-23
21.734039306640625,2023-10-24
21.300966262817383,2023-10-25
21.137075424194336,2023-10-26
20.981128692626953,2023-10-27
21.019868850708008,2023-10-30
21.12714385986328,2023-10-31
21.360563278198242,2023-11-01
21.484724044799805,2023-11-02
21.96348762512207,2023-11-03
21.850252151489258,2023-11-06
22.038976669311523,2023-11-07
21.795623779296875,2023-11-08
21.34467315673828,2023-11-09
21.436054229736328,2023-11-10
21.681394577026367,2023-11-13
22.22174072265625,2023-11-14
22.16214370727539,2023-11-15
22.178035736083984,2023-11-16
22.2763729095459,2023-11-17
22.321069717407227,2023-11-20
22.28531265258789,2023-11-21
22.449203491210938,2023-11-22
22.534626007080078,2023-11-24
22.490921020507812,2023-11-27
22.31113624572754,2023-11-28
22.479995727539062,2023-11-29
22.854463577270508,2023-11-30
23.12860870361328,2023-12-01
23.45440673828125,2023-12-04
23.516983032226562,2023-12-05
23.58452606201172,2023-12-06
23.790136337280273,2023-12-07
23.766298294067383,2023-12-08
23.733518600463867,2023-12-11
24.040443420410156,2023-12-12
24.620521545410156,2023-12-13
24.628467559814453,2023-12-14
24.592710494995117,2023-12-15
24.42583656311035,2023-12-18
24.671178817749023,2023-12-19
24.253999710083008,2023-12-20
24.2189998626709,2023-12-21
24.48699951171875,2023-12-22
24.746000289916992,2023-12-26
24.844999313354492,2023-12-27
24.893999099731445,2023-12-28
24.804000854492188,2023-12-29
24.974000930786133,2024-01-02
24.667999267578125,2024-01-03
24.780000686645508,2024-01-04
24.840999603271484,2024-01-05
25.343000411987305,2024-01-08
25.30500030517578,2024-01-09
25.322999954223633,2024-01-10
25.184999465942383,2024-01-11
24.871999740600586,2024-01-12
24.829999923706055,2024-01-16
24.80500030517578,2024-01-17
24.650999069213867,2024-01-18
24.520000457763672,2024-01-19
24.937000274658203,2024-01-22
25.084999084472656,2024-01-23
24.844999313354492,2024-01-24
24.566999435424805,2024-01-25
24.677000045776367,2024-01-26
24.93400001525879,2024-01-29
24.719999313354492,2024-01-30
24.6299991607666,2024-01-31
25.28700065612793,2024-02-01
25.170000076293945,2024-02-02
25.56599998474121,2024-02-05
25.770000457763672,2024-02-06
25.805999755859375,2024-02-07
25.94700050354004,2024-02-08
26.027999877929688,2024-02-09
26.218000411987305,2024-02-12
25.964000701904297,2024-02-13
26.308000564575195,2024-02-14
26.510000228881836,2024-02-15
26.844999313354492,2024-02-16
26.632999420166016,2024-02-20
26.583999633789062,2024-02-21
27.094999313354492,2024-02-22
27.253000259399414,2024-02-23
27.285999298095703,2024-02-26
27.340999603271484,2024-02-27
26.785999298095703,2024-02-28
26.60700035095215,2024-02-29
27.054000854492188,2024-03-01
26.795000076293945,2024-03-04
26.6299991607666,2024-03-05
26.690000534057617,2024-03-06
26.868999481201172,2024-03-07
26.80500030517578,2024-03-08
26.735000610351562,2024-03-11
27.04400062561035,2024-03-12
27.06800079345703,2024-03-13
26.770000457763672,2024-03-14
26.586000442504883,2024-03-15
26.649999618530273,2024-03-18
26.761999130249023,2024-03-19
26.655000686645508,2024-03-20
26.68400001525879,2024-03-21
26.648000717163086,2024-03-22
26.582000732421875,2024-03-25
26.82699966430664,2024-03-26
27.010000228881836,2024-03-27
27.14900016784668,2024-03-28
26.94700050354004,2024-04-01
26.280000686645508,2024-04-02
26.378000259399414,2024-04-03
25.9689998626709,2024-04-04
26.34000015258789,2024-04-05
26.290000915527344,2024-04-08
26.559999465942383,2024-04-09
