MEDI,Date
19.600465774536133,2022-11-17
19.955068588256836,2022-11-18
19.806076049804688,2022-11-21
20.0206241607666,2022-11-22
20.12889289855957,2022-11-23
20.172597885131836,2022-11-25
20.122934341430664,2022-11-28
20.040491104125977,2022-11-29
20.66824722290039,2022-11-30
20.73876953125,2022-12-01
20.883787155151367,2022-12-02
20.41495704650879,2022-12-05
20.22623634338379,2022-12-06
20.29278564453125,2022-12-07
20.46164321899414,2022-12-08
20.08419418334961,2022-12-09
20.396085739135742,2022-12-12
20.546072006225586,2022-12-13
20.526206970214844,2022-12-14
20.123926162719727,2022-12-15
19.9193115234375,2022-12-16
19.726613998413086,2022-12-19
19.85077476501465,2022-12-20
20.1805419921875,2022-12-21
20.046449661254883,2022-12-22
19.974933624267578,2022-12-23
19.78322982788086,2022-12-27
19.758398056030273,2022-12-28
20.16067886352539,2022-12-29
20.110021591186523,2022-12-30
19.98784637451172,2023-01-03
20.001750946044922,2023-01-04
19.77826499938965,2023-01-05
20.012680053710938,2023-01-06
19.485244750976562,2023-01-09
19.833887100219727,2023-01-10
20.086181640625,2023-01-11
20.24411392211914,2023-01-12
20.311656951904297,2023-01-13
20.37026023864746,2023-01-17
20.18451499938965,2023-01-18
20.278879165649414,2023-01-19
20.362314224243164,2023-01-20
20.45071792602539,2023-01-23
20.38019371032715,2023-01-24
20.349401473999023,2023-01-25
20.46760368347168,2023-01-26
20.430850982666016,2023-01-27
20.23517417907715,2023-01-30
20.54507827758789,2023-01-31
20.629507064819336,2023-02-01
20.41694450378418,2023-02-02
20.298744201660156,2023-02-03
20.231201171875,2023-02-06
20.510313034057617,2023-02-07
20.432836532592773,2023-02-08
20.405025482177734,2023-02-09
20.513294219970703,2023-02-10
20.637454986572266,2023-02-13
20.5361385345459,2023-02-14
20.510313034057617,2023-02-15
20.36330795288086,2023-02-16
20.574878692626953,2023-02-17
20.219282150268555,2023-02-21
20.249080657958984,2023-02-22
20.508325576782227,2023-02-23
20.30172348022461,2023-02-24
20.221267700195312,2023-02-27
20.16365623474121,2023-02-28
20.293777465820312,2023-03-01
20.514286041259766,2023-03-02
20.765586853027344,2023-03-03
20.64043426513672,2023-03-06
20.338476181030273,2023-03-07
20.2460994720459,2023-03-08
20.031551361083984,2023-03-09
19.602453231811523,2023-03-10
19.817995071411133,2023-03-13
20.098100662231445,2023-03-14
19.940170288085938,2023-03-15
20.251066207885742,2023-03-16
19.84084129333496,2023-03-17
20.104061126708984,2023-03-20
20.249080657958984,2023-03-21
19.931228637695312,2023-03-22
19.843820571899414,2023-03-23
20.010692596435547,2023-03-24
