GE,Date
0.7845817804336548,1962-01-02
0.7767103910446167,1962-01-03
0.7675257325172424,1962-01-04
0.7478458285331726,1962-01-05
0.7465343475341797,1962-01-08
0.7504701614379883,1962-01-09
0.7544059753417969,1962-01-10
0.7557181715965271,1962-01-11
0.7452224493026733,1962-01-12
0.7530937194824219,1962-01-15
0.7596538066864014,1962-01-16
0.7425980567932129,1962-01-17
0.7504701614379883,1962-01-18
0.7570300698280334,1962-01-19
0.7596538066864014,1962-01-22
0.7452224493026733,1962-01-23
0.7596538066864014,1962-01-24
0.7517817616462708,1962-01-25
0.7491584420204163,1962-01-26
0.7504701614379883,1962-01-29
0.7635897397994995,1962-01-30
0.7872064113616943,1962-01-31
0.7819585800170898,1962-02-01
0.7858940958976746,1962-02-02
0.7714621424674988,1962-02-05
0.7793341875076294,1962-02-06
0.7872064113616943,1962-02-07
0.7924544215202332,1962-02-08
0.7885181903839111,1962-02-09
0.7885181903839111,1962-02-12
0.797701895236969,1962-02-13
0.8042625188827515,1962-02-14
0.8160703778266907,1962-02-15
0.8108220100402832,1962-02-16
0.8042625188827515,1962-02-19
0.8029510974884033,1962-02-20
0.8003265857696533,1962-02-21
0.7924544215202332,1962-02-23
0.7819585800170898,1962-02-26
0.7872064113616943,1962-02-27
0.7832698822021484,1962-02-28
0.797701895236969,1962-03-01
0.8029510974884033,1962-03-02
0.8042625188827515,1962-03-05
0.7924544215202332,1962-03-06
0.797701895236969,1962-03-07
0.8095096945762634,1962-03-08
0.8213189840316772,1962-03-09
0.8226304650306702,1962-03-12
0.8239513039588928,1962-03-13
0.8199901580810547,1962-03-14
0.8226309418678284,1962-03-15
0.8279125094413757,1962-03-16
0.8186693787574768,1962-03-19
0.8186693787574768,1962-03-20
0.8173490762710571,1962-03-21
0.8133875131607056,1962-03-22
0.8239513039588928,1962-03-23
0.8107469081878662,1962-03-26
0.8173490762710571,1962-03-27
0.8226309418678284,1962-03-28
0.8213100433349609,1962-03-29
0.8120675086975098,1962-03-30
0.808106541633606,1962-04-02
0.7988625168800354,1962-04-03
0.8001828789710999,1962-04-04
0.8067854642868042,1962-04-05
0.801504373550415,1962-04-06
0.8001828789710999,1962-04-09
0.788299024105072,1962-04-10
0.7737743258476257,1962-04-11
0.7698128819465637,1962-04-12
0.7896191477775574,1962-04-13
0.7830174565315247,1962-04-16
0.7843376994132996,1962-04-17
0.7816974520683289,1962-04-18
0.7830174565315247,1962-04-19
0.7790563702583313,1962-04-23
0.7737743258476257,1962-04-24
0.7632108330726624,1962-04-25
0.7632108330726624,1962-04-26
0.7500069737434387,1962-04-27
0.7235983610153198,1962-04-30
0.7407636046409607,1962-05-01
0.7473658919334412,1962-05-02
0.7605701684951782,1962-05-03
0.7579292058944702,1962-05-04
0.7500069737434387,1962-05-07
0.7486864924430847,1962-05-08
0.7473658919334412,1962-05-09
0.7407636046409607,1962-05-10
0.7315211296081543,1962-05-11
0.7434045076370239,1962-05-14
0.7473658919334412,1962-05-15
0.7486864924430847,1962-05-16
0.7486864924430847,1962-05-17
0.7592495679855347,1962-05-18
0.7526475191116333,1962-05-21
0.7341617345809937,1962-05-22
0.7196365594863892,1962-05-23
0.7103939652442932,1962-05-24
0.6958686709403992,1962-05-25
0.6602171659469604,1962-05-28
0.6879464983940125,1962-05-29
0.6945489048957825,1962-05-31
0.6971890926361084,1962-06-01
0.6654987931251526,1962-06-04
0.6694598197937012,1962-06-05
0.6773831248283386,1962-06-06
0.6800236701965332,1962-06-07
0.6866259574890137,1962-06-08
0.685305118560791,1962-06-11
0.6533685922622681,1962-06-12
0.6520383358001709,1962-06-13
0.6480463147163391,1962-06-14
0.6680070161819458,1962-06-15
0.6573606133460999,1962-06-18
0.6533685922622681,1962-06-19
0.6387312412261963,1962-06-20
0.617440402507782,1962-06-21
0.5908262729644775,1962-06-22
0.5961491465568542,1962-06-25
0.5908262729644775,1962-06-26
0.6001410484313965,1962-06-27
0.6254242658615112,1962-06-28
0.6334089040756226,1962-06-29
0.6693371534347534,1962-07-02
0.6693371534347534,1962-07-03
0.6839746236801147,1962-07-05
0.6693371534347534,1962-07-06
0.6746597290039062,1962-07-09
0.6773211359977722,1962-07-10
0.6813132166862488,1962-07-11
0.690627932548523,1962-07-12
0.6853054165840149,1962-07-13
0.6839746236801147,1962-07-16
0.6640142202377319,1962-07-17
0.6546996831893921,1962-07-18
0.6653449535369873,1962-07-19
0.6680070161819458,1962-07-20
0.6773211359977722,1962-07-23
0.6680070161819458,1962-07-24
0.6653449535369873,1962-07-25
0.6786518096923828,1962-07-26
0.6773211359977722,1962-07-27
0.6892974972724915,1962-07-30
0.7065965533256531,1962-07-31
0.7026041746139526,1962-08-01
0.7079274654388428,1962-08-02
0.7132501602172852,1962-08-03
0.6999431848526001,1962-08-06
0.6986125707626343,1962-08-07
0.6986125707626343,1962-08-08
0.6999431848526001,1962-08-09
0.7065965533256531,1962-08-10
0.6999431848526001,1962-08-13
0.7185727953910828,1962-08-14
0.7159112691879272,1962-08-15
0.7185727953910828,1962-08-16
0.7252263426780701,1962-08-17
0.723895251750946,1962-08-20
