ADI,Date
0.45911189913749695,1980-03-17
0.45406675338745117,1980-03-18
0.45406675338745117,1980-03-19
0.45406675338745117,1980-03-20
0.4338860809803009,1980-03-21
0.4036148190498352,1980-03-24
0.38847920298576355,1980-03-25
0.4036148190498352,1980-03-26
0.38091158866882324,1980-03-27
0.4036148190498352,1980-03-28
0.4036148190498352,1980-03-31
0.4036148190498352,1980-04-01
0.4137052595615387,1980-04-02
0.40865978598594666,1980-04-03
0.39100179076194763,1980-04-07
0.3985694944858551,1980-04-08
0.4036148190498352,1980-04-09
0.4137052595615387,1980-04-10
0.4111824631690979,1980-04-11
0.3985694944858551,1980-04-14
0.39352449774742126,1980-04-15
0.39730846881866455,1980-04-16
0.39100179076194763,1980-04-17
0.38154205679893494,1980-04-18
0.38154205679893494,1980-04-21
0.40676799416542053,1980-04-22
0.4130745530128479,1980-04-23
0.40676799416542053,1980-04-24
0.40992119908332825,1980-04-25
0.41622790694236755,1980-04-28
0.4130745530128479,1980-04-29
0.41622790694236755,1980-04-30
0.40992119908332825,1980-05-01
0.40676799416542053,1980-05-02
0.40992119908332825,1980-05-05
0.4036148190498352,1980-05-06
0.4036148190498352,1980-05-07
0.40046170353889465,1980-05-08
0.39415502548217773,1980-05-09
0.40992119908332825,1980-05-12
0.41622790694236755,1980-05-13
0.42884090542793274,1980-05-14
0.42884090542793274,1980-05-15
0.4351471960544586,1980-05-16
0.4509134888648987,1980-05-19
0.49190542101860046,1980-05-20
0.48244577646255493,1980-05-21
0.47298598289489746,1980-05-22
0.4792926013469696,1980-05-23
0.48559898138046265,1980-05-27
0.49190542101860046,1980-05-28
0.49190542101860046,1980-05-29
0.49190542101860046,1980-05-30
0.48559898138046265,1980-06-02
0.4887523055076599,1980-06-03
0.48559898138046265,1980-06-04
0.5076718926429749,1980-06-05
0.5234381556510925,1980-06-06
0.5265910625457764,1980-06-09
0.5202845335006714,1980-06-10
0.529744565486908,1980-06-11
0.5234381556510925,1980-06-12
0.5392042994499207,1980-06-13
0.5360506772994995,1980-06-16
0.529744565486908,1980-06-17
0.5328975915908813,1980-06-18
0.5234381556510925,1980-06-19
0.5108250379562378,1980-06-20
0.5328975915908813,1980-06-23
0.5360506772994995,1980-06-24
0.5360506772994995,1980-06-25
0.548663854598999,1980-06-26
0.5518171787261963,1980-06-27
0.5549700856208801,1980-06-30
0.5360506772994995,1980-07-01
0.542357325553894,1980-07-02
0.5549700856208801,1980-07-03
0.5612768530845642,1980-07-07
0.5675833225250244,1980-07-08
0.5549700856208801,1980-07-09
0.542357325553894,1980-07-10
0.5518171787261963,1980-07-11
0.5801963210105896,1980-07-14
0.5991156697273254,1980-07-15
0.6054221987724304,1980-07-16
0.6054221987724304,1980-07-17
0.6054221987724304,1980-07-18
0.6274949312210083,1980-07-21
0.6243417263031006,1980-07-22
0.630648136138916,1980-07-23
0.630648136138916,1980-07-24
0.621188223361969,1980-07-25
0.6180351972579956,1980-07-28
0.6243417263031006,1980-07-29
0.6590272784233093,1980-07-30
0.7031726837158203,1980-07-31
0.7820035815238953,1980-08-01
0.747317910194397,1980-08-04
0.7504713535308838,1980-08-05
0.7504713535308838,1980-08-06
0.7630841135978699,1980-08-07
0.7504713535308838,1980-08-08
0.7567780613899231,1980-08-11
0.7630841135978699,1980-08-12
0.753624677658081,1980-08-13
0.7410116791725159,1980-08-14
0.7567780613899231,1980-08-15
0.7567780613899231,1980-08-18
0.7662372589111328,1980-08-19
0.7820035815238953,1980-08-20
0.8135359883308411,1980-08-21
0.8387621641159058,1980-08-22
0.8702943921089172,1980-08-25
0.8955200910568237,1980-08-26
0.879754364490509,1980-08-27
0.7851570844650269,1980-08-28
0.7504713535308838,1980-08-29
0.7630841135978699,1980-09-02
0.7820035815238953,1980-09-03
0.7914633750915527,1980-09-04
0.8009234070777893,1980-09-05
0.7977698445320129,1980-09-08
0.7946169376373291,1980-09-09
0.7977698445320129,1980-09-10
0.7914633750915527,1980-09-11
0.8040764927864075,1980-09-12
0.8040764927864075,1980-09-15
0.8072296380996704,1980-09-16
0.8166892528533936,1980-09-17
0.8166892528533936,1980-09-18
0.8135359883308411,1980-09-19
0.8135359883308411,1980-09-22
0.8229959011077881,1980-09-23
0.8072296380996704,1980-09-24
0.7851570844650269,1980-09-25
0.7441649436950684,1980-09-26
0.700019359588623,1980-09-29
0.7347054481506348,1980-09-30
0.7410116791725159,1980-10-01
0.747317910194397,1980-10-02
0.7599310874938965,1980-10-03
0.7820035815238953,1980-10-06
0.7946169376373291,1980-10-07
0.8009234070777893,1980-10-08
0.8198423981666565,1980-10-09
0.7977698445320129,1980-10-10
0.7820035815238953,1980-10-13
0.7820035815238953,1980-10-14
0.7914633750915527,1980-10-15
0.7693908214569092,1980-10-16
0.747317910194397,1980-10-17
0.7504713535308838,1980-10-20
0.753624677658081,1980-10-21
0.7630841135978699,1980-10-22
0.7567780613899231,1980-10-23
0.753624677658081,1980-10-24
0.7504713535308838,1980-10-27
0.747317910194397,1980-10-28
0.7347054481506348,1980-10-29
0.7283986210823059,1980-10-30
0.7441649436950684,1980-10-31
0.7599310874938965,1980-11-03
0.7756971716880798,1980-11-05
0.7630841135978699,1980-11-06
0.7567780613899231,1980-11-07
0.7756971716880798,1980-11-10
0.7756971716880798,1980-11-11
0.7977698445320129,1980-11-12
0.8639876246452332,1980-11-13
0.8955200910568237,1980-11-14
0.9238994121551514,1980-11-17
0.9270530939102173,1980-11-18
0.9396656155586243,1980-11-19
0.9270530939102173,1980-11-20
0.9018269777297974,1980-11-21
