ESS,Date
5.830403804779053,1994-06-07
5.792786121368408,1994-06-08
5.792786121368408,1994-06-09
5.755168914794922,1994-06-10
5.755168914794922,1994-06-13
5.792786121368408,1994-06-14
5.792786121368408,1994-06-15
5.755168914794922,1994-06-16
5.717554569244385,1994-06-17
5.755168914794922,1994-06-20
5.717554569244385,1994-06-21
5.717554569244385,1994-06-22
5.642323970794678,1994-06-23
5.529476165771484,1994-06-24
5.3790178298950195,1994-06-27
5.30378532409668,1994-06-28
5.3790178298950195,1994-06-29
5.30378532409668,1994-06-30
5.341401100158691,1994-07-01
5.3790178298950195,1994-07-05
5.30378532409668,1994-07-06
5.30378532409668,1994-07-07
5.30378532409668,1994-07-08
5.341401100158691,1994-07-11
5.341401100158691,1994-07-12
5.341401100158691,1994-07-13
5.3790178298950195,1994-07-14
5.416635513305664,1994-07-15
5.416635513305664,1994-07-18
5.567093372344971,1994-07-19
5.491864204406738,1994-07-20
5.491864204406738,1994-07-21
5.529476165771484,1994-07-22
5.567093372344971,1994-07-25
5.567093372344971,1994-07-26
5.491864204406738,1994-07-27
5.3790178298950195,1994-07-28
5.341401100158691,1994-07-29
5.30378532409668,1994-08-01
5.454248428344727,1994-08-02
5.529476165771484,1994-08-03
5.416635513305664,1994-08-04
5.416635513305664,1994-08-05
5.416635513305664,1994-08-08
5.341401100158691,1994-08-09
5.454248428344727,1994-08-10
5.3790178298950195,1994-08-11
5.416635513305664,1994-08-12
5.3790178298950195,1994-08-15
5.454248428344727,1994-08-16
5.454248428344727,1994-08-17
5.416635513305664,1994-08-18
5.416635513305664,1994-08-19
5.454248428344727,1994-08-22
5.454248428344727,1994-08-23
5.454248428344727,1994-08-24
5.341401100158691,1994-08-25
5.416635513305664,1994-08-26
5.454248428344727,1994-08-29
5.491864204406738,1994-08-30
5.529476165771484,1994-08-31
5.567093372344971,1994-09-01
5.717554569244385,1994-09-02
5.642323970794678,1994-09-06
5.642323970794678,1994-09-07
5.604711532592773,1994-09-08
5.604711532592773,1994-09-09
5.642323970794678,1994-09-12
5.567093372344971,1994-09-13
5.529476165771484,1994-09-14
5.604711532592773,1994-09-15
5.491864204406738,1994-09-16
5.567093372344971,1994-09-19
5.604711532592773,1994-09-20
5.529476165771484,1994-09-21
5.416635513305664,1994-09-22
5.3790178298950195,1994-09-23
5.416635513305664,1994-09-26
5.416635513305664,1994-09-27
5.228555202484131,1994-09-28
5.3790178298950195,1994-09-29
5.416635513305664,1994-09-30
5.341401100158691,1994-10-03
5.341401100158691,1994-10-04
5.115708351135254,1994-10-05
5.040477275848389,1994-10-06
5.115708351135254,1994-10-07
5.115708351135254,1994-10-10
5.040477275848389,1994-10-11
5.115708351135254,1994-10-12
5.040477275848389,1994-10-13
5.002862453460693,1994-10-14
5.078093528747559,1994-10-17
5.078093528747559,1994-10-18
5.040477275848389,1994-10-19
5.078093528747559,1994-10-20
5.153322696685791,1994-10-21
5.153322696685791,1994-10-24
5.078093528747559,1994-10-25
5.002862453460693,1994-10-26
5.002862453460693,1994-10-27
5.190938472747803,1994-10-28
5.30378532409668,1994-10-31
5.190938472747803,1994-11-01
5.266171455383301,1994-11-02
5.228555202484131,1994-11-03
5.228555202484131,1994-11-04
5.190938472747803,1994-11-07
5.153322696685791,1994-11-08
5.153322696685791,1994-11-09
5.078093528747559,1994-11-10
5.002862453460693,1994-11-11
5.002862453460693,1994-11-14
4.965244770050049,1994-11-15
4.777169704437256,1994-11-16
4.890016078948975,1994-11-17
5.002862453460693,1994-11-18
4.927628993988037,1994-11-21
4.965244770050049,1994-11-22
