L,Date
0.48500093817710876,1980-03-17
0.4860025644302368,1980-03-18
0.49702563881874084,1980-03-19
0.49502140283584595,1980-03-20
0.49101313948631287,1980-03-21
0.4749797284603119,1980-03-24
0.4679655432701111,1980-03-25
0.45894670486450195,1980-03-26
0.42988693714141846,1980-03-27
0.4489259719848633,1980-03-28
0.45594045519828796,1980-03-31
0.4719739854335785,1980-04-01
0.4960234463214874,1980-04-02
0.4890088140964508,1980-04-03
0.4890088140964508,1980-04-07
0.49201488494873047,1980-04-08
0.5010336637496948,1980-04-09
0.5100517868995667,1980-04-10
0.5110539793968201,1980-04-11
0.5070465207099915,1980-04-14
0.5070465207099915,1980-04-15
0.5110539793968201,1980-04-16
0.5090507864952087,1980-04-17
0.5100517868995667,1980-04-18
0.5080483555793762,1980-04-21
0.5210747718811035,1980-04-22
0.5230788588523865,1980-04-23
0.5511372685432434,1980-04-24
0.5411165356636047,1980-04-25
0.5270875692367554,1980-04-28
0.5280894637107849,1980-04-29
0.5240816473960876,1980-04-30
0.5210747718811035,1980-05-01
0.5210747718811035,1980-05-02
0.5240816473960876,1980-05-05
0.547128438949585,1980-05-06
0.5711783766746521,1980-05-07
0.5852074027061462,1980-05-08
0.5671700835227966,1980-05-09
0.578193187713623,1980-05-12
0.5491327047348022,1980-05-13
0.5541436672210693,1980-05-14
0.5591536164283752,1980-05-15
0.5621602535247803,1980-05-16
0.5611580610275269,1980-05-19
0.5611580610275269,1980-05-20
0.5531416535377502,1980-05-21
0.556147038936615,1980-05-22
0.5661681294441223,1980-05-23
0.5641633868217468,1980-05-27
0.5731824040412903,1980-05-28
0.5631624460220337,1980-05-29
0.5671700835227966,1980-05-30
0.5701764822006226,1980-06-02
0.5791950225830078,1980-06-03
0.578193187713623,1980-06-04
0.5771907567977905,1980-06-05
0.5741844177246094,1980-06-06
0.5741844177246094,1980-06-09
0.5771907567977905,1980-06-10
0.578193187713623,1980-06-11
0.5761891007423401,1980-06-12
0.5771907567977905,1980-06-13
0.5832028985023499,1980-06-16
0.5872114896774292,1980-06-17
0.599236786365509,1980-06-18
0.5942257642745972,1980-06-19
0.5902178883552551,1980-06-20
0.5902178883552551,1980-06-23
0.5852074027061462,1980-06-24
0.5952282547950745,1980-06-25
0.5902178883552551,1980-06-26
0.5862096548080444,1980-06-27
0.5892154574394226,1980-06-30
0.5962300300598145,1980-07-01
0.6002382636070251,1980-07-02
0.612263023853302,1980-07-03
0.62529057264328,1980-07-07
0.6192775368690491,1980-07-08
0.60725337266922,1980-07-09
0.5962300300598145,1980-07-10
0.593224048614502,1980-07-11
0.5942257642745972,1980-07-14
0.6012400388717651,1980-07-15
0.6052483916282654,1980-07-16
0.6292981505393982,1980-07-17
0.6222840547561646,1980-07-18
0.6242882609367371,1980-07-21
0.6232860684394836,1980-07-22
0.6222840547561646,1980-07-23
0.6202796101570129,1980-07-24
0.6142672300338745,1980-07-25
0.612263023853302,1980-07-28
0.6192775368690491,1980-07-29
0.6232860684394836,1980-07-30
0.6152697205543518,1980-07-31
0.6112608313560486,1980-08-01
0.6092568635940552,1980-08-04
0.6102585196495056,1980-08-05
0.6182750463485718,1980-08-06
0.6573560833930969,1980-08-07
0.673389196395874,1980-08-08
0.6824078559875488,1980-08-11
0.6553516387939453,1980-08-12
0.6463333964347839,1980-08-13
0.650341808795929,1980-08-14
0.6493395566940308,1980-08-15
0.6313023567199707,1980-08-18
0.6242882609367371,1980-08-19
0.6292981505393982,1980-08-20
0.6373149156570435,1980-08-21
0.6313023567199707,1980-08-22
0.6262922883033752,1980-08-25
0.6303002834320068,1980-08-26
0.6292981505393982,1980-08-27
0.62529057264328,1980-08-28
0.6192775368690491,1980-08-29
0.6363125443458557,1980-09-02
0.670383095741272,1980-09-03
0.677397608757019,1980-09-04
0.6763955950737,1980-09-05
0.6814053058624268,1980-09-08
0.6753931045532227,1980-09-09
0.6763955950737,1980-09-10
0.6763955950737,1980-09-11
0.677397608757019,1980-09-12
0.7054554224014282,1980-09-15
0.7305072546005249,1980-09-16
0.7365195155143738,1980-09-17
0.7024491429328918,1980-09-18
0.7154760956764221,1980-09-19
0.7315089702606201,1980-09-22
0.7034512162208557,1980-09-23
0.6954349875450134,1980-09-24
0.6864162683486938,1980-09-25
0.6583583354949951,1980-09-26
0.6353108882904053,1980-09-29
0.6423251032829285,1980-09-30
0.6463333964347839,1980-10-01
0.6483374238014221,1980-10-02
0.673389196395874,1980-10-03
0.6964368224143982,1980-10-06
0.6743909120559692,1980-10-07
0.6844120025634766,1980-10-08
0.691426157951355,1980-10-09
0.673389196395874,1980-10-10
0.6844120025634766,1980-10-13
0.6864162683486938,1980-10-14
0.6844120025634766,1980-10-15
0.6693813800811768,1980-10-16
0.6613646149635315,1980-10-17
0.6513438820838928,1980-10-20
0.6433272957801819,1980-10-21
