MDLZ,Date
11.843321800231934,2001-06-13
11.426436424255371,2001-06-14
11.596979141235352,2001-06-15
11.490861892700195,2001-06-18
11.5211820602417,2001-06-19
11.483280181884766,2001-06-20
11.369589805603027,2001-06-21
11.369589805603027,2001-06-22
11.426436424255371,2001-06-25
11.384750366210938,2001-06-26
11.346850395202637,2001-06-27
11.524967193603516,2001-06-28
11.748579025268555,2001-06-29
11.547707557678223,2001-07-02
11.581819534301758,2001-07-03
11.722046852111816,2001-07-05
11.61592960357666,2001-07-06
11.513604164123535,2001-07-09
11.50223445892334,2001-07-10
11.483280181884766,2001-07-11
11.710683822631836,2001-07-12
11.646245956420898,2001-07-13
11.638669967651367,2001-07-16
11.919120788574219,2001-07-17
11.934277534484863,2001-07-18
11.86984920501709,2001-07-19
11.824366569519043,2001-07-20
11.748579025268555,2001-07-23
11.775101661682129,2001-07-24
11.634881973266602,2001-07-25
11.794053077697754,2001-07-26
11.71446418762207,2001-07-27
11.596979141235352,2001-07-30
11.729623794555664,2001-07-31
11.665203094482422,2001-08-01
11.729623794555664,2001-08-02
11.634881973266602,2001-08-03
11.50223445892334,2001-08-06
11.559085845947266,2001-08-07
11.373381614685059,2001-08-08
11.509814262390137,2001-08-09
11.672781944274902,2001-08-10
11.78647518157959,2001-08-13
11.78647518157959,2001-08-14
11.740995407104492,2001-08-15
11.805423736572266,2001-08-16
11.881221771240234,2001-08-17
12.021446228027344,2001-08-20
12.157886505126953,2001-08-21
12.468652725219727,2001-08-22
12.46485424041748,2001-08-23
12.260204315185547,2001-08-24
12.24125862121582,2001-08-27
12.089662551879883,2001-08-28
12.237467765808105,2001-08-29
12.373906135559082,2001-08-30
12.22230339050293,2001-08-31
12.525501251220703,2001-09-04
12.639187812805176,2001-09-05
12.885536193847656,2001-09-06
12.885536193847656,2001-09-07
12.790787696838379,2001-09-10
12.468652725219727,2001-09-17
12.468652725219727,2001-09-18
12.279158592224121,2001-09-19
12.328424453735352,2001-09-20
12.127557754516602,2001-09-21
12.696043968200684,2001-09-24
12.620246887207031,2001-09-25
12.620246887207031,2001-09-26
12.699830055236816,2001-09-27
13.025757789611816,2001-09-28
12.855216979980469,2001-10-01
12.942381858825684,2001-10-02
13.150824546813965,2001-10-03
12.885536193847656,2001-10-04
12.783206939697266,2001-10-05
12.847631454467773,2001-10-08
12.866594314575195,2001-10-09
12.874159812927246,2001-10-10
12.50654411315918,2001-10-11
12.658141136169434,2001-10-12
12.639187812805176,2001-10-15
12.733941078186035,2001-10-16
12.885536193847656,2001-10-17
12.889322280883789,2001-10-18
13.08260726928711,2001-10-19
13.363049507141113,2001-10-22
13.412324905395508,2001-10-23
13.302416801452637,2001-10-24
13.2266206741333,2001-10-25
12.999231338500977,2001-10-26
12.707409858703613,2001-10-29
12.771842956542969,2001-10-30
12.790787696838379,2001-10-31
12.790787696838379,2001-11-01
13.075033187866211,2001-11-02
12.961333274841309,2001-11-05
13.1432466506958,2001-11-06
13.018182754516602,2001-11-07
13.275888442993164,2001-11-08
13.059876441955566,2001-11-09
13.044706344604492,2001-11-12
12.847631454467773,2001-11-13
12.866594314575195,2001-11-14
12.904480934143066,2001-11-15
12.885536193847656,2001-11-16
12.620246887207031,2001-11-19
12.61266803741455,2001-11-20
12.847631454467773,2001-11-21
12.775627136230469,2001-11-23
12.601289749145508,2001-11-26
12.453486442565918,2001-11-27
12.487597465515137,2001-11-28
12.813528060913086,2001-11-29
12.552022933959961,2001-11-30
12.733941078186035,2001-12-03
12.498970031738281,2001-12-04
12.50654411315918,2001-12-05
12.24125862121582,2001-12-06
12.127557754516602,2001-12-07
12.127557754516602,2001-12-10
12.210939407348633,2001-12-11
12.2488374710083,2001-12-12
12.317055702209473,2001-12-13
12.430747985839844,2001-12-14
12.61266803741455,2001-12-17
12.809728622436523,2001-12-18
12.877955436706543,2001-12-19
12.954041481018066,2001-12-20
13.307852745056152,2001-12-21
13.193721771240234,2001-12-24
12.954041481018066,2001-12-26
12.805672645568848,2001-12-27
12.858931541442871,2001-12-28
12.946433067321777,2001-12-31
13.220353126525879,2002-01-02
12.965455055236816,2002-01-03
12.558382987976074,2002-01-04
12.611651420593262,2002-01-07
12.740991592407227,2002-01-08
12.782842636108398,2002-01-09
12.820884704589844,2002-01-10
12.912192344665527,2002-01-11
12.931214332580566,2002-01-14
13.056764602661133,2002-01-15
13.014911651611328,2002-01-16
13.163278579711914,2002-01-17
13.159483909606934,2002-01-18
13.182307243347168,2002-01-22
13.087201118469238,2002-01-23
12.828502655029297,2002-01-24
12.935023307800293,2002-01-25
12.828502655029297,2002-01-28
12.950237274169922,2002-01-29
13.505685806274414,2002-01-30
14.099172592163086,2002-01-31
14.019278526306152,2002-02-01
14.266570091247559,2002-02-04
14.11439323425293,2002-02-05
14.198087692260742,2002-02-06
14.171451568603516,2002-02-07
14.16385269165039,2002-02-08
13.962210655212402,2002-02-11
14.266570091247559,2002-02-12
14.365476608276367,2002-02-13
14.380696296691895,2002-02-14
14.513853073120117,2002-02-15
14.59374713897705,2002-02-19
14.456798553466797,2002-02-20
14.491024017333984,2002-02-21
14.66602611541748,2002-02-22
14.94375228881836,2002-02-25
14.882882118225098,2002-02-26
14.768754959106445,2002-02-27
14.875276565551758,2002-02-28
14.829607963562012,2002-03-01
13.867105484008789,2002-03-04
14.289392471313477,2002-03-05
14.399721145629883,2002-03-06
14.464394569396973,2002-03-07
14.460588455200195,2002-03-08
14.270368576049805,2002-03-11
14.194280624389648,2002-03-12
14.335535049438477,2002-03-13
14.182836532592773,2002-03-14
14.373710632324219,2002-03-15
14.335535049438477,2002-03-18
14.43097972869873,2002-03-19
14.789846420288086,2002-03-20
14.984546661376953,2002-03-21
14.98073959350586,2002-03-22
14.850934982299805,2002-03-25
15.118169784545898,2002-03-26
15.022726058959961,2002-03-27
14.755494117736816,2002-03-28
14.873833656311035,2002-04-01
15.141072273254395,2002-04-02
15.213608741760254,2002-04-03
15.404498100280762,2002-04-04
15.69083023071289,2002-04-05
15.270883560180664,2002-04-08
14.908190727233887,2002-04-09
15.087630271911621,2002-04-10
15.270883560180664,2002-04-11
15.118169784545898,2002-04-12
15.442678451538086,2002-04-15
15.236520767211914,2002-04-16
14.789846420288086,2002-04-17
14.831840515136719,2002-04-18
15.286149978637695,2002-04-19
14.900562286376953,2002-04-22
15.312873840332031,2002-04-23
15.274697303771973,2002-04-24
15.38541030883789,2002-04-25
15.423589706420898,2002-04-26
15.404498100280762,2002-04-29
15.667919158935547,2002-04-30
15.748088836669922,2002-05-01
16.015335083007812,2002-05-02
15.404498100280762,2002-05-03
15.51140308380127,2002-05-06
15.236520767211914,2002-05-07
14.98073959350586,2002-05-08
15.186885833740234,2002-05-09
15.163984298706055,2002-05-10
15.499939918518066,2002-05-13
15.683198928833008,2002-05-14
15.732827186584473,2002-05-15
15.694648742675781,2002-05-16
15.687020301818848,2002-05-17
15.622112274169922,2002-05-20
15.488490104675293,2002-05-21
15.843541145324707,2002-05-22
15.87408447265625,2002-05-23
15.919894218444824,2002-05-24
15.923713684082031,2002-05-28
16.129863739013672,2002-05-29
16.23676300048828,2002-05-30
16.420005798339844,2002-05-31
15.862619400024414,2002-06-03
15.87025260925293,2002-06-04
15.919894218444824,2002-06-05
15.91225528717041,2002-06-06
15.961894035339355,2002-06-07
16.072601318359375,2002-06-10
16.63762855529785,2002-06-11
16.72161293029785,2002-06-12
16.58799171447754,2002-06-13
16.397106170654297,2002-06-14
16.58799171447754,2002-06-17
16.736875534057617,2002-06-18
16.17949867248535,2002-06-19
16.137500762939453,2002-06-20
16.007701873779297,2002-06-21
15.77481746673584,2002-06-24
15.507575988769531,2002-06-25
15.124581336975098,2002-06-26
15.120745658874512,2002-06-27
15.683759689331055,2002-06-28
15.752706527709961,2002-07-01
15.565031051635742,2002-07-02
15.147558212280273,2002-07-03
15.419488906860352,2002-07-05
15.29692268371582,2002-07-08
14.818178176879883,2002-07-09
14.48497486114502,2002-07-10
14.163259506225586,2002-07-11
13.784093856811523,2002-07-12
13.849197387695312,2002-07-15
13.787921905517578,2002-07-16
14.530926704406738,2002-07-17
13.454716682434082,2002-07-18
13.332145690917969,2002-07-19
13.584928512573242,2002-07-22
13.443221092224121,2002-07-23
14.247512817382812,2002-07-24
14.155598640441895,2002-07-25
14.182405471801758,2002-07-26
14.243690490722656,2002-07-29
14.155598640441895,2002-07-30
14.170915603637695,2002-07-31
14.40070915222168,2002-08-01
14.247512817382812,2002-08-02
14.496465682983398,2002-08-05
14.381563186645508,2002-08-06
14.56540298461914,2002-08-07
14.737751007080078,2002-08-08
14.906271934509277,2002-08-09
14.783707618713379,2002-08-12
14.68030834197998,2002-08-13
14.82200813293457,2002-08-14
15.128412246704102,2002-08-15
15.139902114868164,2002-08-16
15.36586856842041,2002-08-19
15.38119125366211,2002-08-20
15.036491394042969,2002-08-21
15.201175689697266,2002-08-22
15.047979354858398,2002-08-23
14.833501815795898,2002-08-26
14.864141464233398,2002-08-27
14.936917304992676,2002-08-28
15.189689636230469,2002-08-29
15.231815338134766,2002-08-30
14.783707618713379,2002-09-03
14.776050567626953,2002-09-04
15.036491394042969,2002-09-05
14.70328426361084,2002-09-06
14.890949249267578,2002-09-09
14.990533828735352,2002-09-10
15.128412246704102,2002-09-11
15.105340957641602,2002-09-12
15.18223762512207,2002-09-13
15.382158279418945,2002-09-16
14.893891334533691,2002-09-17
15.178388595581055,2002-09-18
14.997695922851562,2002-09-19
14.916953086853027,2002-09-20
15.086125373840332,2002-09-23
14.397948265075684,2002-09-24
14.27491283416748,2002-09-25
14.482518196105957,2002-09-26
14.032705307006836,2002-09-27
14.01732349395752,2002-09-30
