XRAY,Date
0.5406879186630249,1987-08-12
0.5829291343688965,1987-08-13
0.5829291343688965,1987-08-14
0.5913771986961365,1987-08-17
0.5744804739952087,1987-08-18
0.5575836896896362,1987-08-19
0.5575836896896362,1987-08-20
0.5575836896896362,1987-08-21
0.5660324096679688,1987-08-24
0.5660324096679688,1987-08-25
0.5660324096679688,1987-08-26
0.5660324096679688,1987-08-27
0.5660324096679688,1987-08-28
0.5660324096679688,1987-08-31
0.5660324096679688,1987-09-01
0.5660324096679688,1987-09-02
0.5660324096679688,1987-09-03
0.5660324096679688,1987-09-04
0.5322391390800476,1987-09-08
0.5322391390800476,1987-09-09
0.5322391390800476,1987-09-10
0.5322391390800476,1987-09-11
0.5322391390800476,1987-09-14
0.5406879186630249,1987-09-15
0.5406879186630249,1987-09-16
0.5406879186630249,1987-09-17
0.5406879186630249,1987-09-18
0.5406879186630249,1987-09-21
0.5322391390800476,1987-09-22
0.5237911939620972,1987-09-23
0.5322391390800476,1987-09-24
0.5322391390800476,1987-09-25
0.5322391390800476,1987-09-28
0.5322391390800476,1987-09-29
0.5322391390800476,1987-09-30
0.5406879186630249,1987-10-01
0.5406879186630249,1987-10-02
0.5406879186630249,1987-10-05
0.5660324096679688,1987-10-06
0.549135684967041,1987-10-07
0.549135684967041,1987-10-08
0.5660324096679688,1987-10-09
0.5744804739952087,1987-10-12
0.6082732677459717,1987-10-13
0.5744804739952087,1987-10-14
0.5744804739952087,1987-10-15
0.5744804739952087,1987-10-16
0.5744804739952087,1987-10-19
0.5913771986961365,1987-10-20
0.5913771986961365,1987-10-21
0.5744804739952087,1987-10-22
0.5237911939620972,1987-10-23
0.48999837040901184,1987-10-26
0.45620518922805786,1987-10-27
0.47310155630111694,1987-10-28
0.47310155630111694,1987-10-29
0.47310155630111694,1987-10-30
0.47310155630111694,1987-11-02
0.42241182923316956,1987-11-03
0.42241182923316956,1987-11-04
0.42241182923316956,1987-11-05
0.43930891156196594,1987-11-06
0.48999837040901184,1987-11-09
0.42241182923316956,1987-11-10
0.42241182923316956,1987-11-11
0.43930891156196594,1987-11-12
0.43930891156196594,1987-11-13
0.37172257900238037,1987-11-16
0.43930891156196594,1987-11-17
0.43930891156196594,1987-11-18
0.38861942291259766,1987-11-19
0.43930891156196594,1987-11-20
0.42241182923316956,1987-11-23
0.42241182923316956,1987-11-24
0.47310155630111694,1987-11-25
0.45620518922805786,1987-11-27
0.45620518922805786,1987-11-30
0.47310155630111694,1987-12-01
0.47310155630111694,1987-12-02
0.47310155630111694,1987-12-03
0.43930891156196594,1987-12-04
0.47310155630111694,1987-12-07
0.43930891156196594,1987-12-08
0.43930891156196594,1987-12-09
0.43930891156196594,1987-12-10
0.47310155630111694,1987-12-11
0.43930891156196594,1987-12-14
0.47310155630111694,1987-12-15
0.47310155630111694,1987-12-16
0.48999837040901184,1987-12-17
0.48999837040901184,1987-12-18
0.47310155630111694,1987-12-21
0.4477565884590149,1987-12-22
0.48999837040901184,1987-12-23
0.48999837040901184,1987-12-24
0.48999837040901184,1987-12-28
0.48999837040901184,1987-12-29
0.43930891156196594,1987-12-30
0.48999837040901184,1987-12-31
0.4646533727645874,1988-01-04
0.48999837040901184,1988-01-05
0.48999837040901184,1988-01-06
0.4815497100353241,1988-01-07
0.48999837040901184,1988-01-08
0.48999837040901184,1988-01-11
0.48999837040901184,1988-01-12
0.4815497100353241,1988-01-13
0.4815497100353241,1988-01-14
0.4815497100353241,1988-01-15
0.5068942904472351,1988-01-18
0.5322391390800476,1988-01-19
0.5406879186630249,1988-01-20
0.5068942904472351,1988-01-21
0.5406879186630249,1988-01-22
0.5406879186630249,1988-01-25
0.48999837040901184,1988-01-26
0.5406879186630249,1988-01-27
0.5406879186630249,1988-01-28
0.48999837040901184,1988-01-29
0.48999837040901184,1988-02-01
0.5068942904472351,1988-02-02
0.5068942904472351,1988-02-03
0.5406879186630249,1988-02-04
0.5575836896896362,1988-02-05
0.5406879186630249,1988-02-08
0.5744804739952087,1988-02-09
0.5406879186630249,1988-02-10
0.5237911939620972,1988-02-11
0.5744804739952087,1988-02-12
0.5237911939620972,1988-02-16
0.5237911939620972,1988-02-17
0.5237911939620972,1988-02-18
0.5322391390800476,1988-02-19
0.5406879186630249,1988-02-22
0.5406879186630249,1988-02-23
0.5575836896896362,1988-02-24
0.5575836896896362,1988-02-25
0.5744804739952087,1988-02-26
0.549135684967041,1988-02-29
0.5744804739952087,1988-03-01
0.5744804739952087,1988-03-02
0.5744804739952087,1988-03-03
0.5237911939620972,1988-03-04
0.5237911939620972,1988-03-07
0.5237911939620972,1988-03-08
0.5744804739952087,1988-03-09
0.5744804739952087,1988-03-10
0.549135684967041,1988-03-11
0.5575836896896362,1988-03-14
0.5406879186630249,1988-03-15
0.5406879186630249,1988-03-16
0.5575836896896362,1988-03-17
0.5744804739952087,1988-03-18
0.5744804739952087,1988-03-21
0.5744804739952087,1988-03-22
0.5406879186630249,1988-03-23
0.5575836896896362,1988-03-24
0.5575836896896362,1988-03-25
0.5744804739952087,1988-03-28
0.5913771986961365,1988-03-29
0.5575836896896362,1988-03-30
0.6251696348190308,1988-03-31
0.6251696348190308,1988-04-04
0.5744804739952087,1988-04-05
0.6251696348190308,1988-04-06
0.5744804739952087,1988-04-07
0.6251696348190308,1988-04-08
0.5913771986961365,1988-04-11
0.6251696348190308,1988-04-12
0.5575836896896362,1988-04-13
0.6082732677459717,1988-04-14
0.5744804739952087,1988-04-15
0.549135684967041,1988-04-18
0.5913771986961365,1988-04-19
