GNRC,Date
8.460628509521484,2010-02-11
8.836217880249023,2010-02-12
8.7769136428833,2010-02-16
8.7637357711792,2010-02-17
8.585824966430664,2010-02-18
8.717610359191895,2010-02-19
8.625361442565918,2010-02-22
8.6121826171875,2010-02-23
8.599003791809082,2010-02-24
8.697842597961426,2010-02-25
8.849395751953125,2010-02-26
8.730789184570312,2010-03-01
8.717610359191895,2010-03-02
8.658307075500488,2010-03-03
8.730789184570312,2010-03-04
8.631950378417969,2010-03-05
8.882342338562012,2010-03-08
8.948234558105469,2010-03-09
9.06025218963623,2010-03-10
9.21839427947998,2010-03-11
9.323822975158691,2010-03-12
9.87732219696045,2010-03-15
10.101357460021973,2010-03-16
10.147482872009277,2010-03-17
10.140893936157227,2010-03-18
10.147482872009277,2010-03-19
9.956393241882324,2010-03-22
9.98275089263916,2010-03-23
10.002519607543945,2010-03-24
9.897090911865234,2010-03-25
9.7191801071167,2010-03-26
9.501734733581543,2010-03-29
9.317234992980957,2010-03-30
9.231574058532715,2010-03-31
9.422662734985352,2010-04-01
9.488554954528809,2010-04-05
9.745536804199219,2010-04-06
9.818018913269043,2010-04-07
10.134305000305176,2010-04-08
10.088179588317871,2010-04-09
10.042055130004883,2010-04-12
10.028876304626465,2010-04-13
10.035465240478516,2010-04-14
10.08159065246582,2010-04-15
10.075000762939453,2010-04-16
10.048644065856934,2010-04-19
10.00910758972168,2010-04-20
10.088179588317871,2010-04-21
10.147482872009277,2010-04-22
10.114537239074707,2010-04-23
10.035465240478516,2010-04-26
10.022286415100098,2010-04-27
10.022286415100098,2010-04-28
10.048644065856934,2010-04-29
9.943215370178223,2010-04-30
10.002519607543945,2010-05-03
9.758715629577637,2010-05-04
9.679643630981445,2010-05-05
9.290877342224121,2010-05-06
8.908699989318848,2010-05-07
8.987771034240723,2010-05-10
9.304056167602539,2010-05-11
9.304056167602539,2010-05-12
9.073431015014648,2010-05-13
8.882342338562012,2010-05-14
8.63853931427002,2010-05-17
8.506753921508789,2010-05-18
8.552878379821777,2010-05-19
7.933486461639404,2010-05-20
7.788522243499756,2010-05-21
7.439291000366211,2010-05-24
7.1493635177612305,2010-05-25
7.169130802154541,2010-05-26
7.254791259765625,2010-05-27
7.241612434387207,2010-05-28
7.017577171325684,2010-06-01
7.861004829406738,2010-06-02
8.546289443969727,2010-06-03
8.190468788146973,2010-06-04
8.236593246459961,2010-06-07
8.414504051208496,2010-06-08
8.295897483825684,2010-06-09
8.460628509521484,2010-06-10
8.64512825012207,2010-06-11
8.829627990722656,2010-06-14
9.126145362854004,2010-06-15
8.92187786102295,2010-06-16
9.007537841796875,2010-06-17
9.093199729919434,2010-06-18
9.165680885314941,2010-06-21
9.106377601623535,2010-06-22
9.112966537475586,2010-06-23
9.139323234558105,2010-06-24
9.98275089263916,2010-06-25
10.022286415100098,2010-06-28
9.818018913269043,2010-06-29
9.231574058532715,2010-06-30
9.409483909606934,2010-07-01
9.402894973754883,2010-07-02
9.0800199508667,2010-07-06
9.613751411437988,2010-07-07
