CNP,Date
0.33444905281066895,1962-01-02
0.33118054270744324,1962-01-03
0.33118054270744324,1962-01-04
0.3231915831565857,1962-01-05
0.3195604383945465,1962-01-08
0.3195604383945465,1962-01-09
0.3195604383945465,1962-01-10
0.31810763478279114,1962-01-11
0.3210129737854004,1962-01-12
0.3210129737854004,1962-01-15
0.3210129737854004,1962-01-16
0.32028648257255554,1962-01-17
0.31810763478279114,1962-01-18
0.3188339173793793,1962-01-19
0.31447649002075195,1962-01-22
0.3195604383945465,1962-01-23
0.3152024745941162,1962-01-24
0.32246536016464233,1962-01-25
0.3239177167415619,1962-01-26
0.3231915831565857,1962-01-29
0.32537028193473816,1962-01-30
0.3290018141269684,1962-01-31
0.33335942029953003,1962-02-01
0.331906795501709,1962-02-02
0.3337225019931793,1962-02-05
0.3348117470741272,1962-02-06
0.3359012305736542,1962-02-07
0.3359012305736542,1962-02-08
0.33916953206062317,1962-02-09
0.33989593386650085,1962-02-12
0.33741798996925354,1962-02-13
0.33450308442115784,1962-02-14
0.33304545283317566,1962-02-15
0.33668947219848633,1962-02-16
0.33596035838127136,1962-02-19
0.33741798996925354,1962-02-20
0.3363249599933624,1962-02-21
0.33887574076652527,1962-02-23
0.3352319002151489,1962-02-26
0.33887574076652527,1962-02-27
0.3396044969558716,1962-02-28
0.34033316373825073,1962-03-01
0.34106191992759705,1962-03-02
0.34251946210861206,1962-03-05
0.34033316373825073,1962-03-06
0.34106191992759705,1962-03-07
0.34834930300712585,1962-03-08
0.34543460607528687,1962-03-09
0.3468921184539795,1962-03-12
0.34397682547569275,1962-03-13
0.3468921184539795,1962-03-14
0.34470564126968384,1962-03-15
0.346163272857666,1962-03-16
0.34397682547569275,1962-03-19
0.34106191992759705,1962-03-20
0.34324803948402405,1962-03-21
0.34324803948402405,1962-03-22
0.34251946210861206,1962-03-23
0.34397682547569275,1962-03-26
0.346163272857666,1962-03-27
0.34470564126968384,1962-03-28
0.34397682547569275,1962-03-29
0.346163272857666,1962-03-30
0.34251946210861206,1962-04-02
0.34324803948402405,1962-04-03
0.3436126410961151,1962-04-04
0.34324803948402405,1962-04-05
0.34324803948402405,1962-04-06
0.3428840935230255,1962-04-09
0.3428840935230255,1962-04-10
0.33668947219848633,1962-04-11
0.3264864385128021,1962-04-12
0.325757771730423,1962-04-13
0.3250289559364319,1962-04-16
0.3250289559364319,1962-04-17
0.3272152841091156,1962-04-18
0.33013060688972473,1962-04-19
0.33231669664382935,1962-04-23
0.3352319002151489,1962-04-24
0.3352319002151489,1962-04-25
0.3283083140850067,1962-04-26
0.3250289559364319,1962-04-27
0.3213852047920227,1962-04-30
0.30608105659484863,1962-05-01
0.31191107630729675,1962-05-02
0.30608105659484863,1962-05-03
0.3089962303638458,1962-05-04
0.3104538917541504,1962-05-07
0.3068099319934845,1962-05-08
0.3017086684703827,1962-05-09
0.2922345995903015,1962-05-10
0.29733601212501526,1962-05-11
0.3068099319934845,1962-05-14
0.311638206243515,1962-05-15
0.311638206243515,1962-05-16
0.30834633111953735,1962-05-17
0.3072487413883209,1962-05-18
0.3043229281902313,1962-05-21
0.29847046732902527,1962-05-22
0.29261815547943115,1962-05-23
0.27945026755332947,1962-05-24
0.26043015718460083,1962-05-25
0.24872522056102753,1962-05-28
0.2692084312438965,1962-05-29
0.27506083250045776,1962-05-31
0.2754267752170563,1962-06-01
0.2695743441581726,1962-06-04
0.2651849687099457,1962-06-05
0.2681112587451935,1962-06-06
0.26408788561820984,1962-06-07
0.2662826180458069,1962-06-08
0.2578697204589844,1962-06-11
0.2549436092376709,1962-06-12
0.2560407817363739,1962-06-13
0.24470193684101105,1962-06-14
0.2545778155326843,1962-06-15
0.2501882016658783,1962-06-18
0.2501882016658783,1962-06-19
0.24616487324237823,1962-06-20
0.2344602644443512,1962-06-21
0.23043665289878845,1962-06-22
0.22165820002555847,1962-06-25
0.22165820002555847,1962-06-26
0.2209264039993286,1962-06-27
0.22714471817016602,1962-06-28
0.23409438133239746,1962-06-29
0.24031256139278412,1962-07-02
0.24543339014053345,1962-07-03
0.2501882016658783,1962-07-05
0.2483595311641693,1962-07-06
0.25311464071273804,1962-07-09
0.2571379840373993,1962-07-10
0.26189306378364563,1962-07-11
0.26335620880126953,1962-07-12
0.26116177439689636,1962-07-13
0.26335620880126953,1962-07-16
0.26116177439689636,1962-07-17
0.25384610891342163,1962-07-18
0.26299044489860535,1962-07-19
0.26408788561820984,1962-07-20
0.2677454650402069,1962-07-23
0.2673797905445099,1962-07-24
0.2659164369106293,1962-07-25
0.2735978364944458,1962-07-26
0.2735978364944458,1962-07-27
0.28237634897232056,1962-07-30
0.2849367558956146,1962-07-31
0.27945026755332947,1962-08-01
0.2754267752170563,1962-08-02
0.277987003326416,1962-08-03
0.27945026755332947,1962-08-06
0.27835291624069214,1962-08-07
0.2787185311317444,1962-08-08
0.2812792956829071,1962-08-09
0.2816449999809265,1962-08-10
0.283108115196228,1962-08-13
0.2867658734321594,1962-08-14
0.2918863594532013,1962-08-15
0.28969183564186096,1962-08-16
0.29211682081222534,1962-08-17
0.29689380526542664,1962-08-20
0.30240529775619507,1962-08-21
0.29983335733413696,1962-08-22
0.29468902945518494,1962-08-23
0.29689380526542664,1962-08-24
0.29468902945518494,1962-08-27
0.29468902945518494,1962-08-28
0.2961588203907013,1962-08-29
0.298363596200943,1962-08-30
0.3013029992580414,1962-08-31
0.3057122528553009,1962-09-04
0.30424264073371887,1962-09-05
0.30424264073371887,1962-09-06
0.3057122528553009,1962-09-07
0.30424264073371887,1962-09-10
