VLO,Date
1.645660638809204,1982-01-04
1.620079755783081,1982-01-05
1.5262850522994995,1982-01-06
1.4921778440475464,1982-01-07
1.5007048845291138,1982-01-08
1.4069112539291382,1982-01-11
1.4410165548324585,1982-01-12
1.3813303709030151,1982-01-13
1.4239643812179565,1982-01-14
1.4665991067886353,1982-01-15
1.4580708742141724,1982-01-18
1.338696837425232,1982-01-19
1.3813303709030151,1982-01-20
1.3728039264678955,1982-01-21
1.3728039264678955,1982-01-22
1.3642770051956177,1982-01-25
1.3301701545715332,1982-01-26
1.3813303709030151,1982-01-27
1.4154374599456787,1982-01-28
1.4324913024902344,1982-01-29
1.3898581266403198,1982-02-01
1.3642770051956177,1982-02-02
1.3472238779067993,1982-02-03
1.355750322341919,1982-02-04
1.3441067934036255,1982-02-05
1.2841789722442627,1982-02-08
1.2756174802780151,1982-02-09
1.2156904935836792,1982-02-10
1.2071276903152466,1982-02-11
1.2328120470046997,1982-02-12
1.2242507934570312,1982-02-16
1.2242507934570312,1982-02-17
1.2670567035675049,1982-02-18
1.2584950923919678,1982-02-19
1.2156904935836792,1982-02-22
1.2242507934570312,1982-02-23
1.2413725852966309,1982-02-24
1.2670567035675049,1982-02-25
1.2841789722442627,1982-02-26
1.2756174802780151,1982-03-01
1.2328120470046997,1982-03-02
1.2071276903152466,1982-03-03
1.1215163469314575,1982-03-04
1.0958330631256104,1982-03-05
1.027343511581421,1982-03-08
1.0530270338058472,1982-03-09
1.0958330631256104,1982-03-10
1.1043940782546997,1982-03-11
1.1043940782546997,1982-03-12
1.1386383771896362,1982-03-15
1.1471998691558838,1982-03-16
1.1643223762512207,1982-03-17
1.2328120470046997,1982-03-18
1.2328120470046997,1982-03-19
1.2328120470046997,1982-03-22
1.2413725852966309,1982-03-23
1.17288339138031,1982-03-24
1.1900056600570679,1982-03-25
1.17288339138031,1982-03-26
1.1386383771896362,1982-03-29
1.1643223762512207,1982-03-30
1.2071276903152466,1982-03-31
1.2071276903152466,1982-04-01
1.2499343156814575,1982-04-02
1.2499343156814575,1982-04-05
1.2499343156814575,1982-04-06
1.2499343156814575,1982-04-07
1.2413725852966309,1982-04-08
1.1900056600570679,1982-04-12
1.1643223762512207,1982-04-13
1.1471998691558838,1982-04-14
1.1386383771896362,1982-04-15
1.1471998691558838,1982-04-16
1.1129553318023682,1982-04-19
1.1129553318023682,1982-04-20
1.1043940782546997,1982-04-21
1.1643223762512207,1982-04-22
1.2071276903152466,1982-04-23
1.2670567035675049,1982-04-26
1.2927402257919312,1982-04-27
1.3954752683639526,1982-04-28
1.3184233903884888,1982-04-29
1.3441067934036255,1982-04-30
1.3526690006256104,1982-05-03
1.3098628520965576,1982-05-04
1.2927402257919312,1982-05-05
1.315437912940979,1982-05-06
1.3670241832733154,1982-05-07
1.4014153480529785,1982-05-10
1.4701955318450928,1982-05-11
1.4873913526535034,1982-05-12
1.4787942171096802,1982-05-13
1.4787942171096802,1982-05-14
1.4186090230941772,1982-05-17
1.4014153480529785,1982-05-18
1.4100126028060913,1982-05-19
1.3756215572357178,1982-05-20
1.358426809310913,1982-05-21
1.3756215572357178,1982-05-24
1.392816185951233,1982-05-25
1.3498283624649048,1982-05-26
1.3240363597869873,1982-05-27
1.3326339721679688,1982-05-28
1.3412309885025024,1982-06-01
1.3756215572357178,1982-06-02
1.3670241832733154,1982-06-03
1.358426809310913,1982-06-04
1.3498283624649048,1982-06-07
1.3412309885025024,1982-06-08
1.3068413734436035,1982-06-09
1.2810475826263428,1982-06-10
1.3240363597869873,1982-06-11
1.3068413734436035,1982-06-14
1.2982430458068848,1982-06-15
1.2724498510360718,1982-06-16
1.186474084854126,1982-06-17
1.1348875761032104,1982-06-18
1.1348875761032104,1982-06-21
1.1434857845306396,1982-06-22
1.1778753995895386,1982-06-23
1.1950715780258179,1982-06-24
1.186474084854126,1982-06-25
1.2036685943603516,1982-06-28
1.1520828008651733,1982-06-29
1.1090950965881348,1982-06-30
1.0833014249801636,1982-07-01
1.0833014249801636,1982-07-02
1.0918992757797241,1982-07-06
1.0833014249801636,1982-07-07
1.1004970073699951,1982-07-08
1.1004970073699951,1982-07-09
1.0575095415115356,1982-07-12
1.0231187343597412,1982-07-13
1.0231187343597412,1982-07-14
1.0403143167495728,1982-07-15
1.0317161083221436,1982-07-16
1.0403143167495728,1982-07-19
1.0317161083221436,1982-07-20
1.0403143167495728,1982-07-21
1.1176927089691162,1982-07-22
1.1176927089691162,1982-07-23
1.1090950965881348,1982-07-26
1.0747038125991821,1982-07-27
1.0403143167495728,1982-07-28
1.0403143167495728,1982-07-29
1.0317161083221436,1982-07-30
1.0403143167495728,1982-08-02
1.0575095415115356,1982-08-03
1.0145206451416016,1982-08-04
0.9973250031471252,1982-08-05
1.0028585195541382,1982-08-06
0.9769229292869568,1982-08-09
0.9596324563026428,1982-08-10
0.9596324563026428,1982-08-11
0.9509870409965515,1982-08-12
0.9423410892486572,1982-08-13
0.9336963295936584,1982-08-16
1.0028585195541382,1982-08-17
1.0028585195541382,1982-08-18
0.9855680465698242,1982-08-19
1.01150381565094,1982-08-20
1.01150381565094,1982-08-23
1.0547305345535278,1982-08-24
1.175765037536621,1982-08-25
1.270863652229309,1982-08-26
1.2189922332763672,1982-08-27
1.175765037536621,1982-08-30
1.1584757566452026,1982-08-31
1.1411840915679932,1982-09-01
1.175765037536621,1982-09-02
1.1844106912612915,1982-09-03
1.175765037536621,1982-09-07
1.2449285984039307,1982-09-08
1.2795093059539795,1982-09-09
1.2622184753417969,1982-09-10
1.2276381254196167,1982-09-13
1.2622184753417969,1982-09-14
1.2276381254196167,1982-09-15
1.2449285984039307,1982-09-16
1.2276381254196167,1982-09-17
1.2103465795516968,1982-09-20
1.2449285984039307,1982-09-21
1.1930567026138306,1982-09-22
1.2276381254196167,1982-09-23
1.2535736560821533,1982-09-24
1.2968003749847412,1982-09-27
1.2968003749847412,1982-09-28
1.2535736560821533,1982-09-29
1.2362827062606812,1982-09-30
1.2362827062606812,1982-10-01
1.2276381254196167,1982-10-04
1.2276381254196167,1982-10-05
1.3227360248565674,1982-10-06
1.3313814401626587,1982-10-07
1.3486721515655518,1982-10-08
1.3313814401626587,1982-10-11
1.2622184753417969,1982-10-12
1.3659636974334717,1982-10-13
1.4351258277893066,1982-10-14
1.4178354740142822,1982-10-15
1.4697073698043823,1982-10-18
1.5042890310287476,1982-10-19
1.5561604499816895,1982-10-20
1.5734502077102661,1982-10-21
1.5561604499816895,1982-10-22
1.4437711238861084,1982-10-25
1.4264798164367676,1982-10-26
1.461060643196106,1982-10-27
1.4005439281463623,1982-10-28
1.3486721515655518,1982-10-29
1.4437711238861084,1982-11-01
1.5042890310287476,1982-11-02
1.5907412767410278,1982-11-03
1.5648057460784912,1982-11-04
1.5457007884979248,1982-11-05
1.5457007884979248,1982-11-08
1.5717524290084839,1982-11-09
1.5109673738479614,1982-11-10
1.4762320518493652,1982-11-11
1.4154459238052368,1982-11-12
1.44149649143219,1982-11-15
1.4588645696640015,1982-11-16
1.5196506977081299,1982-11-17
1.5978034734725952,1982-11-18
1.5717524290084839,1982-11-19
1.5630689859390259,1982-11-22
1.5543850660324097,1982-11-23
1.5457007884979248,1982-11-24
1.5717524290084839,1982-11-26
1.4936000108718872,1982-11-29
1.5457007884979248,1982-11-30
1.5109673738479614,1982-12-01
