HPE,Date
7.6706976890563965,2015-10-19
7.819014549255371,2015-10-20
7.638253211975098,2015-10-21
7.8560919761657715,2015-10-22
7.87926721572876,2015-10-23
7.610447883605957,2015-10-26
7.290640354156494,2015-10-27
7.545556545257568,2015-10-28
7.3926100730896,2015-10-29
6.822517395019531,2015-10-30
6.715917587280273,2015-11-02
6.655662536621094,2015-11-03
6.331223964691162,2015-11-04
6.155099391937256,2015-11-05
6.674203872680664,2015-11-06
6.581504821777344,2015-11-09
6.678838729858398,2015-11-10
6.539792060852051,2015-11-11
6.349762439727783,2015-11-12
6.206081390380859,2015-11-13
6.201447010040283,2015-11-16
6.127289295196533,2015-11-17
6.321951866149902,2015-11-18
6.386842250823975,2015-11-19
6.5861406326293945,2015-11-20
6.419285774230957,2015-11-23
6.345127582550049,2015-11-24
6.544426441192627,2015-11-25
6.651027202606201,2015-11-27
6.887407302856445,2015-11-30
7.235022068023682,2015-12-01
6.9291205406188965,2015-12-02
6.7761712074279785,2015-12-03
7.054263114929199,2015-12-04
7.186834335327148,2015-12-07
7.056588172912598,2015-12-08
6.907735824584961,2015-12-09
6.847260475158691,2015-12-10
6.596071720123291,2015-12-11
6.717014789581299,2015-12-14
6.772834300994873,2015-12-15
6.8379597663879395,2015-12-16
6.656542778015137,2015-12-17
6.586768627166748,2015-12-18
6.521646022796631,2015-12-21
6.540252208709717,2015-12-22
6.935643672943115,2015-12-23
6.98681116104126,2015-12-24
7.084498882293701,2015-12-28
7.070544242858887,2015-12-29
7.107755184173584,2015-12-30
7.070544242858887,2015-12-31
7.037981986999512,2016-01-04
6.991464138031006,2016-01-05
6.884477138519287,2016-01-06
6.377443790435791,2016-01-07
6.298367023468018,2016-01-08
6.168119430541992,2016-01-11
6.168119430541992,2016-01-12
5.930883884429932,2016-01-13
6.047176361083984,2016-01-14
5.833198070526123,2016-01-15
5.730861186981201,2016-01-19
5.609916687011719,2016-01-20
5.772726058959961,2016-01-21
6.209982872009277,2016-01-22
6.205331802368164,2016-01-25
6.32627534866333,2016-01-26
6.22859001159668,2016-01-27
