CTSH,Date
0.18997794389724731,1998-06-19
0.18997794389724731,1998-06-22
0.18997794389724731,1998-06-23
0.1947280615568161,1998-06-24
0.21372556686401367,1998-06-25
0.2303485870361328,1998-06-26
0.23628591001033783,1998-06-29
0.22916129231452942,1998-06-30
0.22559939324855804,1998-07-01
0.22797395288944244,1998-07-02
0.2303485870361328,1998-07-06
0.22916129231452942,1998-07-07
0.2303485870361328,1998-07-08
0.268344521522522,1998-07-09
0.27309367060661316,1998-07-10
0.262407124042511,1998-07-13
0.2873419523239136,1998-07-14
0.3039649426937103,1998-07-15
0.29684120416641235,1998-07-16
0.3063404858112335,1998-07-17
0.3205888271331787,1998-07-20
0.3395862877368927,1998-07-21
0.33008715510368347,1998-07-22
0.3205888271331787,1998-07-23
0.3063404858112335,1998-07-24
0.3063404858112335,1998-07-27
0.2920920252799988,1998-07-28
0.3039649426937103,1998-07-29
0.31108957529067993,1998-07-30
0.3039649426937103,1998-07-31
0.3015904426574707,1998-08-03
0.30277761816978455,1998-08-04
0.3146515190601349,1998-08-05
0.3051522374153137,1998-08-06
0.3229633867740631,1998-08-07
0.3241506516933441,1998-08-10
0.3205888271331787,1998-08-11
0.32533809542655945,1998-08-12
0.3324616253376007,1998-08-13
0.3395862877368927,1998-08-14
0.33008715510368347,1998-08-17
0.360958456993103,1998-08-18
0.35620933771133423,1998-08-19
0.34908556938171387,1998-08-20
0.3419608175754547,1998-08-21
0.3395862877368927,1998-08-24
0.35858386754989624,1998-08-25
0.3336489200592041,1998-08-26
0.2992158830165863,1998-08-27
0.29446667432785034,1998-08-28
0.22797395288944244,1998-08-31
0.28496745228767395,1998-09-01
0.28259286284446716,1998-09-02
0.2707190215587616,1998-09-03
0.2754681706428528,1998-09-04
0.30871498584747314,1998-09-08
0.29802846908569336,1998-09-09
0.2956539988517761,1998-09-10
0.2956539988517761,1998-09-11
0.2992158830165863,1998-09-14
0.28971657156944275,1998-09-15
0.28496745228767395,1998-09-16
0.27903100848197937,1998-09-17
0.28259286284446716,1998-09-18
0.29446667432785034,1998-09-21
0.2873419523239136,1998-09-22
0.3039649426937103,1998-09-23
0.2920920252799988,1998-09-24
0.2992158830165863,1998-09-25
0.2992158830165863,1998-09-28
0.3051522374153137,1998-09-29
0.29446667432785034,1998-09-30
0.2920920252799988,1998-10-01
0.3063404858112335,1998-10-02
0.29446667432785034,1998-10-05
0.24697144329547882,1998-10-06
0.23272310197353363,1998-10-07
0.1757296323776245,1998-10-08
0.2089763879776001,1998-10-09
0.2066018432378769,1998-10-12
0.23866045475006104,1998-10-13
0.23509860038757324,1998-10-14
0.24697144329547882,1998-10-15
0.254096120595932,1998-10-16
0.27784374356269836,1998-10-19
0.29446667432785034,1998-10-20
0.3146515190601349,1998-10-21
0.3324616253376007,1998-10-22
0.34671005606651306,1998-10-23
0.3918307423591614,1998-10-26
0.43220028281211853,1998-10-27
0.42032742500305176,1998-10-28
0.3989543914794922,1998-10-29
0.4238891899585724,1998-10-30
0.4369504153728485,1998-11-02
0.43220028281211853,1998-11-03
0.4286384582519531,1998-11-04
0.3847059905529022,1998-11-05
0.360958456993103,1998-11-06
0.3752067983150482,1998-11-09
0.3823314607143402,1998-11-10
0.3633340001106262,1998-11-11
0.3633340001106262,1998-11-12
0.37045761942863464,1998-11-13
0.36808302998542786,1998-11-16
0.36570852994918823,1998-11-17
0.36927032470703125,1998-11-18
0.3752067983150482,1998-11-19
