PGR,Date
0.029282910749316216,1980-03-17
0.02912757359445095,1980-03-18
0.029282910749316216,1980-03-19
0.028971733525395393,1980-03-20
0.027881311252713203,1980-03-21
0.026479197666049004,1980-03-24
0.026635047048330307,1980-03-25
0.026012174785137177,1980-03-26
0.023831337690353394,1980-03-27
0.024610057473182678,1980-03-28
0.025700457394123077,1980-03-31
0.026012174785137177,1980-04-01
0.02741377428174019,1980-04-02
0.02741377428174019,1980-04-03
0.02741377428174019,1980-04-07
0.0277254655957222,1980-04-08
0.02990630827844143,1980-04-09
0.030217481777071953,1980-04-10
0.030529186129570007,1980-04-11
0.030529186129570007,1980-04-14
0.030217481777071953,1980-04-15
0.02990630827844143,1980-04-16
0.02990630827844143,1980-04-17
0.02990630827844143,1980-04-18
0.02990630827844143,1980-04-21
0.03333289921283722,1980-04-22
0.03271001949906349,1980-04-23
0.03302120789885521,1980-04-24
0.03302120789885521,1980-04-25
0.03302120789885521,1980-04-28
0.03426748141646385,1980-04-29
0.034579161554574966,1980-04-30
0.03364461287856102,1980-05-01
0.03364461287856102,1980-05-02
0.03364461287856102,1980-05-05
0.03426748141646385,1980-05-06
0.03489033505320549,1980-05-07
0.0355137474834919,1980-05-08
0.0355137474834919,1980-05-09
0.035202037543058395,1980-05-12
0.035202037543058395,1980-05-13
0.0355137474834919,1980-05-14
0.037071168422698975,1980-05-15
0.03675949200987816,1980-05-16
0.03644828870892525,1980-05-19
0.03644828870892525,1980-05-20
0.03644828870892525,1980-05-21
0.03675949200987816,1980-05-22
0.037071168422698975,1980-05-23
0.038005754351615906,1980-05-27
0.038005754351615906,1980-05-28
0.038940344005823135,1980-05-29
0.038940344005823135,1980-05-30
0.038940344005823135,1980-06-02
0.038940344005823135,1980-06-03
0.038940344005823135,1980-06-04
0.038940344005823135,1980-06-05
0.038940344005823135,1980-06-06
0.038940344005823135,1980-06-09
0.038940344005823135,1980-06-10
0.039252012968063354,1980-06-11
0.039252012968063354,1980-06-12
0.042055729776620865,1980-06-13
0.042055729776620865,1980-06-16
0.04112118110060692,1980-06-17
0.04112118110060692,1980-06-18
0.04080945998430252,1980-06-19
0.04049777239561081,1980-06-20
0.04049777239561081,1980-06-23
0.039252012968063354,1980-06-24
0.039252012968063354,1980-06-25
0.03956320509314537,1980-06-26
0.03987489640712738,1980-06-27
0.03987489640712738,1980-06-30
0.03987489640712738,1980-07-01
0.03987489640712738,1980-07-02
0.03987489640712738,1980-07-03
0.04049777239561081,1980-07-07
0.04112118110060692,1980-07-08
0.04112118110060692,1980-07-09
0.04143235459923744,1980-07-10
0.04143235459923744,1980-07-11
0.042366933077573776,1980-07-14
0.042990293353796005,1980-07-15
0.04330147057771683,1980-07-16
0.04454774409532547,1980-07-17
0.04485892504453659,1980-07-18
0.045170631259679794,1980-07-21
0.04610521346330643,1980-07-22
0.04548231139779091,1980-07-23
0.047351472079753876,1980-07-24
0.04766267538070679,1980-07-25
0.04766267538070679,1980-07-28
0.04766267538070679,1980-07-29
0.04766267538070679,1980-07-30
0.04672809690237045,1980-07-31
0.0479743555188179,1980-08-01
0.04890890046954155,1980-08-04
0.049220602959394455,1980-08-05
0.049531806260347366,1980-08-06
0.05015521124005318,1980-08-07
0.049220602959394455,1980-08-08
0.049220602959394455,1980-08-11
0.04984349384903908,1980-08-12
0.049531806260347366,1980-08-13
0.049531806260347366,1980-08-14
0.049531806260347366,1980-08-15
0.049220602959394455,1980-08-18
0.049220602959394455,1980-08-19
0.04890890046954155,1980-08-20
0.04890890046954155,1980-08-21
0.04890890046954155,1980-08-22
0.0479743555188179,1980-08-25
0.0479743555188179,1980-08-26
0.0479743555188179,1980-08-27
0.0479743555188179,1980-08-28
0.04641690477728844,1980-08-29
0.04641690477728844,1980-09-02
0.04641690477728844,1980-09-03
0.04672809690237045,1980-09-04
0.04641690477728844,1980-09-05
0.04641690477728844,1980-09-08
0.04610521346330643,1980-09-09
0.04579351097345352,1980-09-10
0.04579351097345352,1980-09-11
0.04579351097345352,1980-09-12
0.04610521346330643,1980-09-15
0.04641690477728844,1980-09-16
0.04641690477728844,1980-09-17
0.04672809690237045,1980-09-18
0.04703975468873978,1980-09-19
0.04703975468873978,1980-09-22
0.04626105725765228,1980-09-23
0.04579351097345352,1980-09-24
0.04579351097345352,1980-09-25
0.04532649368047714,1980-09-26
0.04485892504453659,1980-09-29
0.04485892504453659,1980-09-30
0.04485892504453659,1980-10-01
0.04485892504453659,1980-10-02
0.04485892504453659,1980-10-03
0.04485892504453659,1980-10-06
0.04485892504453659,1980-10-07
0.04485892504453659,1980-10-08
0.04485892504453659,1980-10-09
0.04485892504453659,1980-10-10
0.04462543502449989,1980-10-13
0.044391900300979614,1980-10-14
0.04415839537978172,1980-10-15
0.04392489418387413,1980-10-16
0.04392489418387413,1980-10-17
0.04392489418387413,1980-10-20
0.04392489418387413,1980-10-21
0.042522773146629333,1980-10-22
0.042522773146629333,1980-10-23
0.042990293353796005,1980-10-24
0.042990293353796005,1980-10-27
0.044391900300979614,1980-10-28
0.04579351097345352,1980-10-29
0.04626105725765228,1980-10-30
0.04626105725765228,1980-10-31
0.04532649368047714,1980-11-03
0.04626105725765228,1980-11-05
0.04579351097345352,1980-11-06
0.04579351097345352,1980-11-07
0.04626105725765228,1980-11-10
0.04626105725765228,1980-11-11
0.04626105725765228,1980-11-12
0.04766267538070679,1980-11-13
0.04719562456011772,1980-11-14
0.04672809690237045,1980-11-17
0.04672809690237045,1980-11-18
0.04672809690237045,1980-11-19
0.04672809690237045,1980-11-20
