NRG,Date
7.477251052856445,2003-12-02
7.574358940124512,2003-12-03
7.865678310394287,2003-12-04
7.865678310394287,2003-12-05
8.467740058898926,2003-12-08
8.595926284790039,2003-12-09
8.739641189575195,2003-12-10
8.895015716552734,2003-12-11
8.914435386657715,2003-12-12
8.700803756713867,2003-12-15
8.526008605957031,2003-12-16
8.331790924072266,2003-12-17
8.370631217956543,2003-12-18
8.467740058898926,2003-12-19
8.409475326538086,2003-12-22
8.467740058898926,2003-12-23
8.487163543701172,2003-12-24
8.487163543701172,2003-12-26
8.467740058898926,2003-12-29
8.506585121154785,2003-12-30
8.506585121154785,2003-12-31
8.720222473144531,2004-01-02
8.700803756713867,2004-01-05
8.720222473144531,2004-01-06
8.642536163330078,2004-01-07
8.646419525146484,2004-01-08
8.215262413024902,2004-01-09
8.234685897827148,2004-01-12
8.156998634338379,2004-01-13
8.156998634338379,2004-01-14
8.098732948303223,2004-01-15
8.079312324523926,2004-01-16
8.156998634338379,2004-01-20
8.156998634338379,2004-01-21
8.351215362548828,2004-01-22
8.234685897827148,2004-01-23
8.098732948303223,2004-01-26
8.052123069763184,2004-01-27
7.962788105010986,2004-01-28
7.768572807312012,2004-01-29
7.768572807312012,2004-01-30
7.826837539672852,2004-02-02
7.885098934173584,2004-02-03
7.865678310394287,2004-02-04
7.787992477416992,2004-02-05
7.787992477416992,2004-02-06
7.768572807312012,2004-02-09
7.7802252769470215,2004-02-10
7.768572807312012,2004-02-11
7.768572807312012,2004-02-12
7.784108638763428,2004-02-13
7.690886497497559,2004-02-17
7.578239917755127,2004-02-18
7.589893817901611,2004-02-19
7.589893817901611,2004-02-20
7.477251052856445,2004-02-23
7.162624359130859,2004-02-24
7.457828521728516,2004-02-25
7.438408374786377,2004-02-26
7.4966721534729,2004-02-27
7.768572807312012,2004-03-01
7.729729175567627,2004-03-02
7.756917953491211,2004-03-03
7.690886497497559,2004-03-04
7.710308074951172,2004-03-05
7.574358940124512,2004-03-08
7.574358940124512,2004-03-09
7.535511493682861,2004-03-10
7.67146635055542,2004-03-11
7.749149322509766,2004-03-12
7.710308074951172,2004-03-15
7.729729175567627,2004-03-16
7.962788105010986,2004-03-17
8.001626014709473,2004-03-18
8.021047592163086,2004-03-19
8.059895515441895,2004-03-22
8.145347595214844,2004-03-23
8.273531913757324,2004-03-24
8.277411460876465,2004-03-25
8.281294822692871,2004-03-26
8.487163543701172,2004-03-29
8.541544914245605,2004-03-30
8.623113632202148,2004-03-31
