COMS,Date
81907.203125,2009-08-12
81907.203125,2009-08-13
81907.203125,2009-08-14
81907.203125,2009-08-17
81907.203125,2009-08-18
81907.203125,2009-08-19
54604.80078125,2009-08-20
42470.3984375,2009-08-21
39436.80078125,2009-08-24
27302.400390625,2009-08-25
27302.400390625,2009-08-26
24268.80078125,2009-08-27
24268.80078125,2009-08-28
18808.3203125,2009-08-31
21235.19921875,2009-09-01
23662.080078125,2009-09-02
23662.080078125,2009-09-03
23662.080078125,2009-09-04
23662.080078125,2009-09-08
23662.080078125,2009-09-09
23662.080078125,2009-09-10
12134.400390625,2009-09-11
23662.080078125,2009-09-14
18201.599609375,2009-09-15
25482.240234375,2009-09-16
30336.0,2009-09-17
24268.80078125,2009-09-18
21235.19921875,2009-09-21
18808.3203125,2009-09-22
23055.359375,2009-09-23
27302.400390625,2009-09-24
30336.0,2009-09-25
27302.400390625,2009-09-28
26695.6796875,2009-09-29
26695.6796875,2009-09-30
30336.0,2009-10-01
30336.0,2009-10-02
30336.0,2009-10-05
27302.400390625,2009-10-06
30336.0,2009-10-07
30336.0,2009-10-08
30336.0,2009-10-09
26695.6796875,2009-10-12
24268.80078125,2009-10-13
30336.0,2009-10-14
30336.0,2009-10-15
30336.0,2009-10-16
30336.0,2009-10-19
30336.0,2009-10-20
24268.80078125,2009-10-21
24268.80078125,2009-10-22
24268.80078125,2009-10-23
24268.80078125,2009-10-26
24268.80078125,2009-10-27
30336.0,2009-10-28
27302.400390625,2009-10-29
27302.400390625,2009-10-30
27302.400390625,2009-11-02
27302.400390625,2009-11-03
30336.0,2009-11-04
30336.0,2009-11-05
30336.0,2009-11-06
30336.0,2009-11-09
27302.400390625,2009-11-10
27302.400390625,2009-11-11
27302.400390625,2009-11-12
28515.83984375,2009-11-13
28515.83984375,2009-11-16
28515.83984375,2009-11-17
28515.83984375,2009-11-18
28515.83984375,2009-11-19
18201.599609375,2009-11-20
24268.80078125,2009-11-23
30336.0,2009-11-24
30336.0,2009-11-25
30336.0,2009-11-27
27302.400390625,2009-11-30
21235.19921875,2009-12-01
24268.80078125,2009-12-02
27302.400390625,2009-12-03
27302.400390625,2009-12-04
28515.83984375,2009-12-07
28515.83984375,2009-12-08
27302.400390625,2009-12-09
23662.080078125,2009-12-10
24268.80078125,2009-12-11
24268.80078125,2009-12-14
24875.51953125,2009-12-15
23662.080078125,2009-12-16
24268.80078125,2009-12-17
21235.19921875,2009-12-18
19415.0390625,2009-12-21
24268.80078125,2009-12-22
15168.0,2009-12-23
15168.0,2009-12-24
24268.80078125,2009-12-28
24268.80078125,2009-12-29
24268.80078125,2009-12-30
24268.80078125,2009-12-31
24268.80078125,2010-01-04
24268.80078125,2010-01-05
24268.80078125,2010-01-06
21235.19921875,2010-01-07
21235.19921875,2010-01-08
18201.599609375,2010-01-11
21235.19921875,2010-01-12
21235.19921875,2010-01-13
21235.19921875,2010-01-14
21235.19921875,2010-01-15
18201.599609375,2010-01-19
18201.599609375,2010-01-20
18201.599609375,2010-01-21
18201.599609375,2010-01-22
18201.599609375,2010-01-25
9100.7998046875,2010-01-26
9100.7998046875,2010-01-27
21235.19921875,2010-01-28
21235.19921875,2010-01-29
21235.19921875,2010-02-01
21235.19921875,2010-02-02
21235.19921875,2010-02-03
21235.19921875,2010-02-04
21235.19921875,2010-02-05
21235.19921875,2010-02-08
21235.19921875,2010-02-09
21235.19921875,2010-02-10
18201.599609375,2010-02-11
18201.599609375,2010-02-12
17594.880859375,2010-02-16
17594.880859375,2010-02-17
17594.880859375,2010-02-18
17594.880859375,2010-02-19
17594.880859375,2010-02-22
17594.880859375,2010-02-23
13954.5595703125,2010-02-24
13954.5595703125,2010-02-25
18201.599609375,2010-02-26
13954.5595703125,2010-03-01
13954.5595703125,2010-03-02
13954.5595703125,2010-03-03
16988.16015625,2010-03-04
16988.16015625,2010-03-05
20628.48046875,2010-03-08
18201.599609375,2010-03-09
17594.880859375,2010-03-10
17594.880859375,2010-03-11
17594.880859375,2010-03-12
18201.599609375,2010-03-15
17594.880859375,2010-03-16
17594.880859375,2010-03-17
17594.880859375,2010-03-18
15168.0,2010-03-19
15168.0,2010-03-22
17594.880859375,2010-03-23
17594.880859375,2010-03-24
15168.0,2010-03-25
15168.0,2010-03-26
30336.0,2010-03-29
24268.80078125,2010-03-30
24268.80078125,2010-03-31
24268.80078125,2010-04-01
24268.80078125,2010-04-05
24268.80078125,2010-04-06
21841.919921875,2010-04-07
24268.80078125,2010-04-08
24268.80078125,2010-04-09
24268.80078125,2010-04-12
24268.80078125,2010-04-13
24268.80078125,2010-04-14
24268.80078125,2010-04-15
30336.0,2010-04-16
20021.759765625,2010-04-19
27302.400390625,2010-04-20
21235.19921875,2010-04-21
21235.19921875,2010-04-22
21235.19921875,2010-04-23
21235.19921875,2010-04-26
21235.19921875,2010-04-27
21235.19921875,2010-04-28
21235.19921875,2010-04-29
18201.599609375,2010-04-30
20628.48046875,2010-05-03
13954.5595703125,2010-05-04
21235.19921875,2010-05-05
21235.19921875,2010-05-06
21235.19921875,2010-05-07
18201.599609375,2010-05-10
18201.599609375,2010-05-11
18201.599609375,2010-05-12
18201.599609375,2010-05-13
18201.599609375,2010-05-14
18201.599609375,2010-05-17
18201.599609375,2010-05-18
18201.599609375,2010-05-19
15168.0,2010-05-20
18201.599609375,2010-05-21
18201.599609375,2010-05-24
18201.599609375,2010-05-25
15168.0,2010-05-26
19415.0390625,2010-05-27
21235.19921875,2010-05-28
21235.19921875,2010-06-01
18201.599609375,2010-06-02
18201.599609375,2010-06-03
18201.599609375,2010-06-04
18201.599609375,2010-06-07
18201.599609375,2010-06-08
27302.400390625,2010-06-09
27302.400390625,2010-06-10
18201.599609375,2010-06-11
18201.599609375,2010-06-14
18201.599609375,2010-06-15
12134.400390625,2010-06-16
12134.400390625,2010-06-17
12134.400390625,2010-06-18
12134.400390625,2010-06-21
12134.400390625,2010-06-22
