Date,JOY
2015-06-23,38.81
2015-06-22,38.16
2015-06-19,38.57
2015-06-18,38.85
2015-06-17,38.71
2015-06-16,38.21
2015-06-15,38.27
2015-06-12,38.85
2015-06-11,39.45
2015-06-10,40.2
2015-06-09,39.07
2015-06-08,38.52
2015-06-05,38.85
2015-06-04,38.62
2015-06-03,38.93
2015-06-02,39.25
2015-06-01,38.95
2015-05-29,38.94
2015-05-28,39.65
2015-05-27,40.94
2015-05-26,41.01
2015-05-22,42.26
2015-05-21,42.64
2015-05-20,41.54
2015-05-19,41.61
2015-05-18,43.11
2015-05-15,42.82
2015-05-14,43.38
2015-05-13,43.2
2015-05-12,43.41
2015-05-11,44.22
2015-05-08,42.03
2015-05-07,41.68
2015-05-06,42.73
2015-05-05,43.4
2015-05-04,42.9
2015-05-01,42.91
2015-04-30,42.64
2015-04-29,42.64
2015-04-28,41.83
2015-04-27,42.02
2015-04-24,40.55
2015-04-23,40.39
2015-04-22,39.88
2015-04-21,39.62
2015-04-20,40.71
2015-04-17,40.8
2015-04-16,40.9
2015-04-15,40.07
2015-04-14,39.21
2015-04-13,38.51
2015-04-10,39.3
2015-04-09,39.19
2015-04-08,39.29
2015-04-07,38.9
2015-04-06,39.46
2015-04-02,39.05
2015-04-01,38.92
2015-03-31,39.18
2015-03-30,39.8
2015-03-27,38.59
2015-03-26,39.16
2015-03-25,39.97
2015-03-24,40.42
2015-03-23,40.66
2015-03-20,40.41
2015-03-19,39.15
2015-03-18,40.32
2015-03-17,39.18
2015-03-16,39.63
2015-03-13,39.03
2015-03-12,39.46
2015-03-11,38.01
2015-03-10,38.68
2015-03-09,39.0
2015-03-06,39.05
2015-03-05,39.94
2015-03-04,42.13
2015-03-03,42.97
2015-03-02,43.66
2015-02-27,44.32
2015-02-26,44.72
2015-02-25,45.07
2015-02-24,44.98
2015-02-23,44.68
2015-02-20,44.8
2015-02-19,44.16
2015-02-18,44.47
2015-02-17,44.29
2015-02-13,44.14
2015-02-12,43.79
2015-02-11,44.11
2015-02-10,43.84
2015-02-09,44.78
2015-02-06,44.75
2015-02-05,44.04
2015-02-04,43.37
2015-02-03,44.17
2015-02-02,43.24
2015-01-30,41.94
2015-01-29,42.48
2015-01-28,40.81
2015-01-27,41.29
2015-01-26,43.61
2015-01-23,43.15
