DRI,Date
3.296790599822998,1995-05-09
3.508124589920044,1995-05-10
3.5926592350006104,1995-05-11
3.55039119720459,1995-05-12
3.55039119720459,1995-05-15
3.55039119720459,1995-05-16
3.4658594131469727,1995-05-17
3.508124589920044,1995-05-18
3.508124589920044,1995-05-19
3.7617242336273193,1995-05-22
3.8039891719818115,1995-05-23
3.71945858001709,1995-05-24
3.6349246501922607,1995-05-25
3.677192211151123,1995-05-26
3.7617242336273193,1995-05-30
3.71945858001709,1995-05-31
3.677192211151123,1995-06-01
3.6349246501922607,1995-06-02
3.71945858001709,1995-06-05
3.71945858001709,1995-06-06
3.71945858001709,1995-06-07
3.7617242336273193,1995-06-08
3.71945858001709,1995-06-09
3.71945858001709,1995-06-12
3.7617242336273193,1995-06-13
3.7617242336273193,1995-06-14
3.8039891719818115,1995-06-15
3.7617242336273193,1995-06-16
3.8462576866149902,1995-06-19
3.8039891719818115,1995-06-20
3.677192211151123,1995-06-21
3.6349246501922607,1995-06-22
3.677192211151123,1995-06-23
3.6349246501922607,1995-06-26
3.7617242336273193,1995-06-27
3.8039891719818115,1995-06-28
3.7617242336273193,1995-06-29
3.677192211151123,1995-06-30
3.71945858001709,1995-07-03
3.7617242336273193,1995-07-05
3.677192211151123,1995-07-06
3.7617242336273193,1995-07-07
3.6349246501922607,1995-07-10
3.6349246501922607,1995-07-11
3.55039119720459,1995-07-12
3.55039119720459,1995-07-13
3.55039119720459,1995-07-14
3.508124589920044,1995-07-17
3.55039119720459,1995-07-18
3.508124589920044,1995-07-19
3.508124589920044,1995-07-20
3.508124589920044,1995-07-21
3.5926592350006104,1995-07-24
3.5926592350006104,1995-07-25
3.6349246501922607,1995-07-26
3.677192211151123,1995-07-27
3.5926592350006104,1995-07-28
3.677192211151123,1995-07-31
3.55039119720459,1995-08-01
3.55039119720459,1995-08-02
3.55039119720459,1995-08-03
3.4658594131469727,1995-08-04
3.55039119720459,1995-08-07
3.55039119720459,1995-08-08
3.4658594131469727,1995-08-09
3.3813252449035645,1995-08-10
3.3390579223632812,1995-08-11
3.3390579223632812,1995-08-14
3.3390579223632812,1995-08-15
3.3813252449035645,1995-08-16
3.4658594131469727,1995-08-17
3.5926592350006104,1995-08-18
3.4658594131469727,1995-08-21
3.71945858001709,1995-08-22
3.5926592350006104,1995-08-23
3.55039119720459,1995-08-24
3.508124589920044,1995-08-25
3.508124589920044,1995-08-28
3.4658594131469727,1995-08-29
3.4235923290252686,1995-08-30
3.4658594131469727,1995-08-31
3.3813252449035645,1995-09-01
3.4235923290252686,1995-09-05
3.677192211151123,1995-09-06
3.677192211151123,1995-09-07
3.8039891719818115,1995-09-08
3.9307901859283447,1995-09-11
3.9307901859283447,1995-09-12
3.888524055480957,1995-09-13
3.888524055480957,1995-09-14
3.71945858001709,1995-09-15
3.7617242336273193,1995-09-18
3.8462576866149902,1995-09-19
3.71945858001709,1995-09-20
3.71945858001709,1995-09-21
3.71945858001709,1995-09-22
3.8462576866149902,1995-09-25
3.888524055480957,1995-09-26
3.888524055480957,1995-09-27
3.9307901859283447,1995-09-28
3.888524055480957,1995-09-29
3.888524055480957,1995-10-02
3.888524055480957,1995-10-03
3.7617242336273193,1995-10-04
3.8601367473602295,1995-10-05
3.8601367473602295,1995-10-06
3.9025559425354004,1995-10-09
3.9449751377105713,1995-10-10
3.9449751377105713,1995-10-11
3.987393379211426,1995-10-12
3.9449751377105713,1995-10-13
3.9449751377105713,1995-10-16
3.9025559425354004,1995-10-17
3.9025559425354004,1995-10-18
3.987393379211426,1995-10-19
3.987393379211426,1995-10-20
4.029812335968018,1995-10-23
3.987393379211426,1995-10-24
3.9449751377105713,1995-10-25
3.8601367473602295,1995-10-26
3.817716360092163,1995-10-27
3.8601367473602295,1995-10-30
3.8601367473602295,1995-10-31
3.8601367473602295,1995-11-01
3.987393379211426,1995-11-02
3.987393379211426,1995-11-03
3.987393379211426,1995-11-06
3.987393379211426,1995-11-07
4.029812335968018,1995-11-08
4.029812335968018,1995-11-09
3.9449751377105713,1995-11-10
3.9449751377105713,1995-11-13
3.8601367473602295,1995-11-14
3.987393379211426,1995-11-15
3.9025559425354004,1995-11-16
3.9025559425354004,1995-11-17
3.9449751377105713,1995-11-20
3.9025559425354004,1995-11-21
3.817716360092163,1995-11-22
3.817716360092163,1995-11-24
3.9025559425354004,1995-11-27
3.987393379211426,1995-11-28
3.987393379211426,1995-11-29
3.9025559425354004,1995-11-30
3.987393379211426,1995-12-01
3.987393379211426,1995-12-04
3.987393379211426,1995-12-05
3.987393379211426,1995-12-06
3.9449751377105713,1995-12-07
3.9025559425354004,1995-12-08
3.9449751377105713,1995-12-11
3.9449751377105713,1995-12-12
3.9449751377105713,1995-12-13
4.114651679992676,1995-12-14
3.987393379211426,1995-12-15
4.029812335968018,1995-12-18
4.072233200073242,1995-12-19
3.987393379211426,1995-12-20
3.987393379211426,1995-12-21
3.9025559425354004,1995-12-22
3.9449751377105713,1995-12-26
3.9449751377105713,1995-12-27
3.9449751377105713,1995-12-28
4.029812335968018,1995-12-29
3.987393379211426,1996-01-02
3.9449751377105713,1996-01-03
3.9025559425354004,1996-01-04
3.817716360092163,1996-01-05
3.8601367473602295,1996-01-08
3.775296926498413,1996-01-09
3.690457344055176,1996-01-10
3.775296926498413,1996-01-11
3.987393379211426,1996-01-12
3.9449751377105713,1996-01-15
3.987393379211426,1996-01-16
3.9449751377105713,1996-01-17
3.9025559425354004,1996-01-18
3.9449751377105713,1996-01-19
3.987393379211426,1996-01-22
3.9449751377105713,1996-01-23
4.029812335968018,1996-01-24
3.987393379211426,1996-01-25
3.9449751377105713,1996-01-26
3.9025559425354004,1996-01-29
3.9025559425354004,1996-01-30
3.9025559425354004,1996-01-31
3.9025559425354004,1996-02-01
3.987393379211426,1996-02-02
4.072233200073242,1996-02-05
4.157069206237793,1996-02-06
4.326745986938477,1996-02-07
4.369164943695068,1996-02-08
4.326745986938477,1996-02-09
4.369164943695068,1996-02-12
4.157069206237793,1996-02-13
4.241909027099609,1996-02-14
4.241909027099609,1996-02-15
4.241909027099609,1996-02-16
4.114651679992676,1996-02-20
4.241909027099609,1996-02-21
4.241909027099609,1996-02-22
4.199488639831543,1996-02-23
4.157069206237793,1996-02-26
4.241909027099609,1996-02-27
4.241909027099609,1996-02-28
4.199488639831543,1996-02-29
4.241909027099609,1996-03-01
4.326745986938477,1996-03-04
4.326745986938477,1996-03-05
4.326745986938477,1996-03-06
4.284327030181885,1996-03-07
4.284327030181885,1996-03-08
4.411583423614502,1996-03-11
4.411583423614502,1996-03-12
4.454005241394043,1996-03-13
4.411583423614502,1996-03-14
4.496423721313477,1996-03-15
4.623680591583252,1996-03-18
4.623680591583252,1996-03-19
4.496423721313477,1996-03-20
4.454005241394043,1996-03-21
4.496423721313477,1996-03-22
4.454005241394043,1996-03-25
4.623680591583252,1996-03-26
4.496423721313477,1996-03-27
