BBWI,Date
0.6262622475624084,1982-04-01
0.6262622475624084,1982-04-02
0.6305814981460571,1982-04-05
0.6305814981460571,1982-04-06
0.6305814981460571,1982-04-07
0.6478578448295593,1982-04-08
0.6392198801040649,1982-04-12
0.6392198801040649,1982-04-13
0.6176243424415588,1982-04-14
0.6305814981460571,1982-04-15
0.6305814981460571,1982-04-16
0.6305814981460571,1982-04-19
0.6262622475624084,1982-04-20
0.6262622475624084,1982-04-21
0.6262622475624084,1982-04-22
0.6564960479736328,1982-04-23
0.686729371547699,1982-04-26
0.6694529056549072,1982-04-27
0.6392198801040649,1982-04-28
0.6003487706184387,1982-04-29
0.6737720966339111,1982-04-30
0.7126438021659851,1982-05-03
0.7083241939544678,1982-05-04
0.6694529056549072,1982-05-05
0.6608152389526367,1982-05-06
0.6651342511177063,1982-05-07
0.6521772146224976,1982-05-10
0.6651342511177063,1982-05-11
0.6521772146224976,1982-05-12
0.6694529056549072,1982-05-13
0.6910482048988342,1982-05-14
0.6824103593826294,1982-05-17
0.6824103593826294,1982-05-18
0.6737720966339111,1982-05-19
0.6737720966339111,1982-05-20
0.6824103593826294,1982-05-21
0.6824103593826294,1982-05-24
0.6953675746917725,1982-05-25
0.6910482048988342,1982-05-26
0.686729371547699,1982-05-27
0.6824103593826294,1982-05-28
0.6780908107757568,1982-06-01
0.6780908107757568,1982-06-02
0.6478578448295593,1982-06-03
0.6435387134552002,1982-06-04
0.6435387134552002,1982-06-07
0.6737720966339111,1982-06-08
0.6737720966339111,1982-06-09
0.686729371547699,1982-06-10
0.6824103593826294,1982-06-11
0.686729371547699,1982-06-14
0.6910482048988342,1982-06-15
0.6910482048988342,1982-06-16
0.6953675746917725,1982-06-17
0.6953675746917725,1982-06-18
0.6910482048988342,1982-06-21
0.686729371547699,1982-06-22
0.7040050029754639,1982-06-23
0.7083241939544678,1982-06-24
0.7083241939544678,1982-06-25
0.699686586856842,1982-06-28
0.6953675746917725,1982-06-29
0.6910482048988342,1982-06-30
0.6910482048988342,1982-07-01
0.686729371547699,1982-07-02
0.686729371547699,1982-07-06
0.686729371547699,1982-07-07
0.699686586856842,1982-07-08
0.699686586856842,1982-07-09
0.7040050029754639,1982-07-12
0.7126438021659851,1982-07-13
0.7083241939544678,1982-07-14
0.7040050029754639,1982-07-15
0.7040050029754639,1982-07-16
0.734238862991333,1982-07-19
0.7731105089187622,1982-07-20
0.7947052717208862,1982-07-21
0.7990250587463379,1982-07-22
0.7990250587463379,1982-07-23
0.7947052717208862,1982-07-26
0.7860672473907471,1982-07-27
0.7860672473907471,1982-07-28
0.7774291038513184,1982-07-29
0.7817482948303223,1982-07-30
0.7860672473907471,1982-08-02
0.7947052717208862,1982-08-03
0.7860672473907471,1982-08-04
0.7774291038513184,1982-08-05
0.7471955418586731,1982-08-06
0.7299198508262634,1982-08-09
0.734238862991333,1982-08-10
0.7083241939544678,1982-08-11
0.686729371547699,1982-08-12
0.6824103593826294,1982-08-13
0.6910482048988342,1982-08-16
0.7126438021659851,1982-08-17
0.7212818264961243,1982-08-18
0.7256008982658386,1982-08-19
0.7428767085075378,1982-08-20
0.816301167011261,1982-08-23
0.816301167011261,1982-08-24
0.8638102412223816,1982-08-25
0.9070006608963013,1982-08-26
0.889723539352417,1982-08-27
0.9329152703285217,1982-08-30
0.9588294625282288,1982-08-31
0.9674676656723022,1982-09-01
0.9761056900024414,1982-09-02
0.9847434759140015,1982-09-03
0.9847434759140015,1982-09-07
0.9847434759140015,1982-09-08
1.0106580257415771,1982-09-09
0.9761056900024414,1982-09-10
0.9847434759140015,1982-09-13
0.9847434759140015,1982-09-14
0.9847434759140015,1982-09-15
0.9890623688697815,1982-09-16
0.9761056900024414,1982-09-17
0.9415531158447266,1982-09-20
0.9156386256217957,1982-09-21
0.9545102715492249,1982-09-22
0.9588294625282288,1982-09-23
0.9674676656723022,1982-09-24
0.9890623688697815,1982-09-27
0.9977012872695923,1982-09-28
1.0063393115997314,1982-09-29
1.0365723371505737,1982-09-30
1.045210838317871,1982-10-01
1.0711250305175781,1982-10-04
1.10135817527771,1982-10-05
1.205015778541565,1982-10-06
1.1575052738189697,1982-10-07
1.1747819185256958,1982-10-08
1.2093350887298584,1982-10-11
1.2222918272018433,1982-10-12
1.2654818296432495,1982-10-13
1.2611629962921143,1982-10-14
1.2654818296432495,1982-10-15
1.2741198539733887,1982-10-18
1.2568442821502686,1982-10-19
1.3000338077545166,1982-10-20
1.3216304779052734,1982-10-21
1.330268144607544,1982-10-22
1.3173106908798218,1982-10-25
1.2352484464645386,1982-10-26
