HCA,Date
23.517887115478516,2011-03-10
23.593706130981445,2011-03-11
23.43449592590332,2011-03-14
23.7605037689209,2011-03-15
23.692264556884766,2011-03-16
24.192644119262695,2011-03-17
25.064516067504883,2011-03-18
24.450420379638672,2011-03-21
24.162321090698242,2011-03-22
24.77642250061035,2011-03-23
24.784000396728516,2011-03-24
24.981130599975586,2011-03-25
25.04935646057129,2011-03-28
25.69378662109375,2011-03-29
25.959142684936523,2011-03-30
25.678632736206055,2011-03-31
25.58006477355957,2011-04-01
25.52699089050293,2011-04-04
25.79235076904297,2011-04-05
25.246479034423828,2011-04-06
25.5194091796875,2011-04-07
25.147918701171875,2011-04-08
24.35186004638672,2011-04-11
23.904550552368164,2011-04-12
24.306367874145508,2011-04-13
24.36701774597168,2011-04-14
24.245718002319336,2011-04-15
24.321533203125,2011-04-18
24.06376075744629,2011-04-19
23.995527267456055,2011-04-20
23.80599021911621,2011-04-21
23.80599021911621,2011-04-25
24.260883331298828,2011-04-26
24.75368309020996,2011-04-27
24.693031311035156,2011-04-28
24.867401123046875,2011-04-29
25.352624893188477,2011-05-02
24.723356246948242,2011-05-03
25.43601417541504,2011-05-04
26.034955978393555,2011-05-05
25.966726303100586,2011-05-06
26.1486759185791,2011-05-09
26.22449493408203,2011-05-10
26.186588287353516,2011-05-11
26.163841247558594,2011-05-12
26.23207664489746,2011-05-13
25.966726303100586,2011-05-16
26.186588287353516,2011-05-17
26.588407516479492,2011-05-18
26.5732364654541,2011-05-19
26.254823684692383,2011-05-20
26.088027954101562,2011-05-23
26.1486759185791,2011-05-24
26.292734146118164,2011-05-25
26.40645408630371,2011-05-26
26.338212966918945,2011-05-27
26.451940536499023,2011-05-31
26.3609619140625,2011-06-01
26.050119400024414,2011-06-02
25.88332748413086,2011-06-03
25.58006477355957,2011-06-06
26.171428680419922,2011-06-07
26.35337257385254,2011-06-08
26.717296600341797,2011-06-09
25.70136070251465,2011-06-10
25.511829376220703,2011-06-13
25.428434371948242,2011-06-14
25.132761001586914,2011-06-15
25.678632736206055,2011-06-16
26.22449493408203,2011-06-17
25.95155906677246,2011-06-20
25.70136070251465,2011-06-21
25.337451934814453,2011-06-22
25.178239822387695,2011-06-23
24.450420379638672,2011-06-24
24.62479591369629,2011-06-27
24.829490661621094,2011-06-28
24.837074279785156,2011-06-29
25.019033432006836,2011-06-30
25.064516067504883,2011-07-01
25.147918701171875,2011-07-05
25.76959991455078,2011-07-06
25.997045516967773,2011-07-07
25.64830207824707,2011-07-08
25.064516067504883,2011-07-11
24.867401123046875,2011-07-12
25.20099449157715,2011-07-13
25.185829162597656,2011-07-14
25.185829162597656,2011-07-15
