KR,Date
0.03343503549695015,1962-01-02
0.03413745015859604,1962-01-03
0.03399699926376343,1962-01-04
0.03315405547618866,1962-01-05
0.03301358222961426,1962-01-08
0.032311178743839264,1962-01-09
0.03259212523698807,1962-01-10
0.03203018754720688,1962-01-11
0.03245164453983307,1962-01-12
0.032170653343200684,1962-01-15
0.03245164453983307,1962-01-16
0.032170653343200684,1962-01-17
0.03245164453983307,1962-01-18
0.03203018754720688,1962-01-19
0.032311178743839264,1962-01-22
0.032197706401348114,1962-01-23
0.03205588087439537,1962-01-24
0.031772181391716,1962-01-25
0.03205588087439537,1962-01-26
0.031914014369249344,1962-01-29
0.03233954310417175,1962-01-30
0.03205588087439537,1962-01-31
0.03262324258685112,1962-02-01
0.03233954310417175,1962-02-02
0.03233954310417175,1962-02-05
0.033048711717128754,1962-02-06
0.0324813649058342,1962-02-07
0.03233954310417175,1962-02-08
0.031914014369249344,1962-02-09
0.031772181391716,1962-02-12
0.03163035586476326,1962-02-13
0.03148850426077843,1962-02-14
0.03134665638208389,1962-02-15
0.03120480664074421,1962-02-16
0.031062999740242958,1962-02-19
0.0306374654173851,1962-02-20
0.03035377897322178,1962-02-21
0.03049563616514206,1962-02-23
0.0306374654173851,1962-02-26
0.030070094391703606,1962-02-27
0.03035377897322178,1962-02-28
0.03049563616514206,1962-03-01
0.0306374654173851,1962-03-02
0.03035377897322178,1962-03-05
0.03035377897322178,1962-03-06
0.0306374654173851,1962-03-07
0.0306374654173851,1962-03-08
0.03092116303741932,1962-03-09
0.03092116303741932,1962-03-12
0.030779285356402397,1962-03-13
0.03035377897322178,1962-03-14
0.03092116303741932,1962-03-15
0.031062999740242958,1962-03-16
0.0306374654173851,1962-03-19
0.030211925506591797,1962-03-20
0.03035377897322178,1962-03-21
0.030211925506591797,1962-03-22
0.030211925506591797,1962-03-23
0.03035377897322178,1962-03-26
0.03035377897322178,1962-03-27
0.030211925506591797,1962-03-28
0.030211925506591797,1962-03-29
0.0306374654173851,1962-03-30
0.030070094391703606,1962-04-02
0.030211925506591797,1962-04-03
0.030070094391703606,1962-04-04
0.03035377897322178,1962-04-05
0.030211925506591797,1962-04-06
0.029928255826234818,1962-04-09
0.0306374654173851,1962-04-10
0.029786434024572372,1962-04-11
0.02950272150337696,1962-04-12
0.029786434024572372,1962-04-13
0.02907721698284149,1962-04-16
0.02950272150337696,1962-04-17
0.030070094391703606,1962-04-18
0.02907721698284149,1962-04-19
0.029360907152295113,1962-04-23
0.0298196692019701,1962-04-24
0.02953294850885868,1962-04-25
0.029963025823235512,1962-04-26
0.02953294850885868,1962-04-27
0.028672756627202034,1962-04-30
0.029246211051940918,1962-05-01
0.028959505259990692,1962-05-02
0.029676295816898346,1962-05-03
0.029246211051940918,1962-05-04
0.029102858155965805,1962-05-07
0.028816109523177147,1962-05-08
0.028242677450180054,1962-05-09
0.02852940373122692,1962-05-10
0.0280993040651083,1962-05-11
0.028242677450180054,1962-05-14
0.02852940373122692,1962-05-15
0.027812590822577477,1962-05-16
0.0280993040651083,1962-05-17
0.028242677450180054,1962-05-18
0.027669193223118782,1962-05-21
0.02637893334031105,1962-05-22
0.02623557485640049,1962-05-23
0.02580546960234642,1962-05-24
0.02566210739314556,1962-05-25
0.025232035666704178,1962-05-28
0.02566210739314556,1962-05-29
0.026952384039759636,1962-05-31
0.027382509782910347,1962-06-01
0.027095746248960495,1962-06-04
0.02637893334031105,1962-06-05
0.026952384039759636,1962-06-06
0.027382509782910347,1962-06-07
0.02666568197309971,1962-06-08
0.02652229368686676,1962-06-11
0.02666568197309971,1962-06-12
0.025375382974743843,1962-06-13
0.02566210739314556,1962-06-14
0.02637893334031105,1962-06-15
0.02637893334031105,1962-06-18
0.026952384039759636,1962-06-19
0.027239123359322548,1962-06-20
0.02680905908346176,1962-06-21
0.025088666006922722,1962-06-22
0.02379840984940529,1962-06-25
0.024658573791384697,1962-06-26
0.024945303797721863,1962-06-27
0.02580546960234642,1962-06-28
0.02594885043799877,1962-06-29
0.02580546960234642,1962-07-02
0.026092233136296272,1962-07-03
0.02580546960234642,1962-07-05
0.025375382974743843,1962-07-06
0.02566210739314556,1962-07-09
0.02580546960234642,1962-07-10
0.02480192668735981,1962-07-11
0.024658573791384697,1962-07-12
0.024085108190774918,1962-07-13
0.024515226483345032,1962-07-16
0.024371862411499023,1962-07-17
0.024371862411499023,1962-07-18
0.024515226483345032,1962-07-19
0.024658573791384697,1962-07-20
0.024228468537330627,1962-07-23
0.024085108190774918,1962-07-24
0.023655008524656296,1962-07-25
0.024085108190774918,1962-07-26
0.024371862411499023,1962-07-27
0.024658573791384697,1962-07-30
0.024371862411499023,1962-07-31
0.024085108190774918,1962-08-01
0.024371862411499023,1962-08-02
0.024085108190774918,1962-08-03
0.023941777646541595,1962-08-06
0.024085108190774918,1962-08-07
0.024085108190774918,1962-08-08
0.024085108190774918,1962-08-09
0.024228468537330627,1962-08-10
0.023655008524656296,1962-08-13
0.024085108190774918,1962-08-14
0.024085108190774918,1962-08-15
0.02379840984940529,1962-08-16
0.023941777646541595,1962-08-17
0.023655008524656296,1962-08-20
0.023655008524656296,1962-08-21
0.023941777646541595,1962-08-22
0.023941777646541595,1962-08-23
0.023655008524656296,1962-08-24
0.023511655628681183,1962-08-27
0.023511655628681183,1962-08-28
0.023511655628681183,1962-08-29
0.02322494052350521,1962-08-30
0.023368319496512413,1962-08-31
0.023655008524656296,1962-09-04
0.023941777646541595,1962-09-05
0.023941777646541595,1962-09-06
0.023511655628681183,1962-09-07
0.023511655628681183,1962-09-10
0.023655008524656296,1962-09-11
0.023511655628681183,1962-09-12
0.023368319496512413,1962-09-13
0.023655008524656296,1962-09-14
0.023655008524656296,1962-09-17
0.02322494052350521,1962-09-18
0.02322494052350521,1962-09-19
0.023368319496512413,1962-09-20
0.02322494052350521,1962-09-21
0.02322494052350521,1962-09-24
0.023081563413143158,1962-09-25
0.023081563413143158,1962-09-26
0.02293819934129715,1962-09-27
0.02293819934129715,1962-09-28
0.023368319496512413,1962-10-01
0.023368319496512413,1962-10-02
0.023081563413143158,1962-10-03
0.02322494052350521,1962-10-04
0.023941777646541595,1962-10-05
0.024515226483345032,1962-10-08
0.02551877684891224,1962-10-09
0.02580546960234642,1962-10-10
0.025232035666704178,1962-10-11
0.02551877684891224,1962-10-12
0.02594885043799877,1962-10-15
0.025375382974743843,1962-10-16
0.025232035666704178,1962-10-17
