TFX,Date
0.9119582176208496,1980-03-17
0.9119582176208496,1980-03-18
0.9161028861999512,1980-03-19
0.9119582176208496,1980-03-20
0.7668730616569519,1980-03-21
0.7295659184455872,1980-03-24
0.7005488276481628,1980-03-25
0.6881136298179626,1980-03-26
0.6632418036460876,1980-03-27
0.7337112426757812,1980-03-28
0.8166168928146362,1980-03-31
0.8331970572471619,1980-04-01
0.8497787117958069,1980-04-02
0.8373426198959351,1980-04-03
0.7875997424125671,1980-04-07
0.8124711513519287,1980-04-08
0.8249064683914185,1980-04-09
0.8207618594169617,1980-04-10
0.8083259463310242,1980-04-11
0.7917450666427612,1980-04-14
0.7875997424125671,1980-04-15
0.7751639485359192,1980-04-16
0.7502918839454651,1980-04-17
0.7420018315315247,1980-04-18
0.6964041590690613,1980-04-21
0.7627286314964294,1980-04-22
0.7461471557617188,1980-04-23
0.7834545969963074,1980-04-24
0.7627286314964294,1980-04-25
0.7834545969963074,1980-04-28
0.8041805028915405,1980-04-29
0.8124711513519287,1980-04-30
0.8000357747077942,1980-05-01
0.7917450666427612,1980-05-02
0.7751639485359192,1980-05-05
0.7668730616569519,1980-05-06
0.7668730616569519,1980-05-07
0.7378566265106201,1980-05-08
0.7378566265106201,1980-05-09
0.7295659184455872,1980-05-12
0.7420018315315247,1980-05-13
0.7502918839454651,1980-05-14
0.7378566265106201,1980-05-15
0.7420018315315247,1980-05-16
0.7171300053596497,1980-05-19
0.7254208326339722,1980-05-20
0.7337112426757812,1980-05-21
0.7627286314964294,1980-05-22
0.7627286314964294,1980-05-23
0.8124711513519287,1980-05-27
0.8705042600631714,1980-05-28
0.8539243340492249,1980-05-29
0.845633864402771,1980-05-30
0.8249064683914185,1980-06-02
0.8166168928146362,1980-06-03
0.8290528059005737,1980-06-04
0.8373426198959351,1980-06-05
0.845633864402771,1980-06-06
0.8373426198959351,1980-06-09
0.8331970572471619,1980-06-10
0.8414875864982605,1980-06-11
0.8414875864982605,1980-06-12
0.845633864402771,1980-06-13
0.8539243340492249,1980-06-16
0.8331970572471619,1980-06-17
0.8249064683914185,1980-06-18
0.8207618594169617,1980-06-19
0.8083259463310242,1980-06-20
0.8083259463310242,1980-06-23
0.8083259463310242,1980-06-24
0.8249064683914185,1980-06-25
0.8041805028915405,1980-06-26
0.8207618594169617,1980-06-27
0.8166168928146362,1980-06-30
0.8207618594169617,1980-07-01
0.8124711513519287,1980-07-02
0.8373426198959351,1980-07-03
0.8414875864982605,1980-07-07
0.8331970572471619,1980-07-08
0.8290528059005737,1980-07-09
0.8124711513519287,1980-07-10
0.8166168928146362,1980-07-11
0.8912315368652344,1980-07-14
0.9409744739532471,1980-07-15
0.9617007970809937,1980-07-16
0.9699916243553162,1980-07-17
0.9492653608322144,1980-07-18
0.9782821536064148,1980-07-21
0.9865718483924866,1980-07-22
0.9990077018737793,1980-07-23
1.0031533241271973,1980-07-24
0.9948627352714539,1980-07-25
0.9990077018737793,1980-07-28
1.0653321743011475,1980-07-29
1.1275110244750977,1980-07-30
1.098494529724121,1980-07-31
1.1192203760147095,1980-08-01
1.0902034044265747,1980-08-04
1.0736228227615356,1980-08-05
1.0943485498428345,1980-08-06
1.1358017921447754,1980-08-07
1.1565272808074951,1980-08-08
1.1731094121932983,1980-08-11
1.1399470567703247,1980-08-12
1.1399470567703247,1980-08-13
1.1316560506820679,1980-08-14
1.1109296083450317,1980-08-15
1.0902034044265747,1980-08-18
1.0694770812988281,1980-08-19
1.0819129943847656,1980-08-20
1.1399470567703247,1980-08-21
1.1855448484420776,1980-08-22
1.1772541999816895,1980-08-25
1.1606725454330444,1980-08-26
1.1606725454330444,1980-08-27
1.1358017921447754,1980-08-28
1.1399470567703247,1980-08-29
1.1358017921447754,1980-09-02
1.152382731437683,1980-09-03
1.1399470567703247,1980-09-04
1.1399470567703247,1980-09-05
1.1275110244750977,1980-09-08
1.1399470567703247,1980-09-09
1.1565272808074951,1980-09-10
1.1689636707305908,1980-09-11
1.2269973754882812,1980-09-12
1.2352871894836426,1980-09-15
1.3223389387130737,1980-09-16
1.442551612854004,1980-09-17
1.4218237400054932,1980-09-18
1.4218237400054932,1980-09-19
1.4218237400054932,1980-09-22
1.3803719282150269,1980-09-23
1.2933213710784912,1980-09-24
1.3099019527435303,1980-09-25
1.256014108657837,1980-09-26
1.210416316986084,1980-09-29
1.2933213710784912,1980-09-30
1.3099019527435303,1980-10-01
1.3472098112106323,1980-10-02
1.3264836072921753,1980-10-03
1.3555001020431519,1980-10-06
1.3720813989639282,1980-10-07
1.3555001020431519,1980-10-08
1.3347737789154053,1980-10-09
1.3264836072921753,1980-10-10
1.3306289911270142,1980-10-13
1.3223389387130737,1980-10-14
1.3637912273406982,1980-10-15
1.3762272596359253,1980-10-16
1.3679369688034058,1980-10-17
1.3928076028823853,1980-10-20
1.4135342836380005,1980-10-21
1.3928076028823853,1980-10-22
1.3928076028823853,1980-10-23
1.4135342836380005,1980-10-24
1.4632773399353027,1980-10-27
1.4259707927703857,1980-10-28
1.4342600107192993,1980-10-29
1.4466956853866577,1980-10-30
1.4549872875213623,1980-10-31
1.4674216508865356,1980-11-03
1.4715672731399536,1980-11-05
1.4342600107192993,1980-11-06
1.4259707927703857,1980-11-07
1.4259707927703857,1980-11-10
1.4798587560653687,1980-11-11
1.4674216508865356,1980-11-12
1.4549872875213623,1980-11-13
1.4674216508865356,1980-11-14
1.4798587560653687,1980-11-17
1.5710539817810059,1980-11-18
1.5544726848602295,1980-11-19
1.5461822748184204,1980-11-20
1.5503278970718384,1980-11-21
