SYF,Date
19.097843170166016,2014-07-31
19.097843170166016,2014-08-01
19.097843170166016,2014-08-04
19.097843170166016,2014-08-05
19.081233978271484,2014-08-06
19.039718627929688,2014-08-07
19.056325912475586,2014-08-08
19.039718627929688,2014-08-11
19.097843170166016,2014-08-12
19.24730110168457,2014-08-13
19.106149673461914,2014-08-14
19.097843170166016,2014-08-15
19.239002227783203,2014-08-18
20.26862907409668,2014-08-19
20.916290283203125,2014-08-20
21.082359313964844,2014-08-21
21.057449340820312,2014-08-22
20.858169555664062,2014-08-25
20.800048828125,2014-08-26
21.14878273010254,2014-08-27
21.331457138061523,2014-08-28
21.414501190185547,2014-08-29
21.414501190185547,2014-09-02
21.414501190185547,2014-09-03
21.33976936340332,2014-09-04
21.397891998291016,2014-09-05
20.625673294067383,2014-09-08
20.79174041748047,2014-09-09
20.50942611694336,2014-09-10
20.467910766601562,2014-09-11
20.343360900878906,2014-09-12
20.052738189697266,2014-09-15
20.185588836669922,2014-09-16
20.384870529174805,2014-09-17
20.48451042175293,2014-09-18
21.098968505859375,2014-09-19
20.625673294067383,2014-09-22
20.40978240966797,2014-09-23
20.692100524902344,2014-09-24
20.4512996673584,2014-09-25
20.567550659179688,2014-09-26
20.50942611694336,2014-09-29
20.384870529174805,2014-09-30
20.110858917236328,2014-10-01
20.40978240966797,2014-10-02
20.617366790771484,2014-10-03
20.75852394104004,2014-10-06
20.633975982666016,2014-10-07
20.775131225585938,2014-10-08
20.384870529174805,2014-10-09
20.094255447387695,2014-10-10
20.31014060974121,2014-10-13
20.633975982666016,2014-10-14
20.359960556030273,2014-10-15
20.426389694213867,2014-10-16
20.575849533081055,2014-10-17
20.51772689819336,2014-10-20
20.89968490600586,2014-10-21
21.074060440063477,2014-10-22
21.431102752685547,2014-10-23
21.68021011352539,2014-10-24
22.02894401550293,2014-10-27
22.294660568237305,2014-10-28
22.419214248657227,2014-10-29
22.24483871459961,2014-10-30
22.43581771850586,2014-10-31
22.70152473449707,2014-11-03
22.427515029907227,2014-11-04
22.809467315673828,2014-11-05
22.900806427001953,2014-11-06
23.374101638793945,2014-11-07
23.888916015625,2014-11-10
24.171228408813477,2014-11-11
24.104801177978516,2014-11-12
24.07158851623535,2014-11-13
24.12140464782715,2014-11-14
24.187835693359375,2014-11-17
24.038375854492188,2014-11-18
24.03006935119629,2014-11-19
24.27916717529297,2014-11-20
24.221052169799805,2014-11-21
24.054981231689453,2014-11-24
23.797574996948242,2014-11-25
23.9138240814209,2014-11-26
24.08819580078125,2014-11-28
23.980247497558594,2014-12-01
24.12140464782715,2014-12-02
24.079891204833984,2014-12-03
24.204444885253906,2014-12-04
24.2874755859375,2014-12-05
24.503368377685547,2014-12-08
24.511674880981445,2014-12-09
24.61961555480957,2014-12-10
24.511674880981445,2014-12-11
24.079891204833984,2014-12-12
23.772663116455078,2014-12-15
23.614896774291992,2014-12-16
23.996854782104492,2014-12-17
24.702646255493164,2014-12-18
24.910236358642578,2014-12-19
24.785682678222656,2014-12-22
24.910236358642578,2014-12-23
25.001569747924805,2014-12-24
25.32540512084961,2014-12-26
25.29218864440918,2014-12-29
24.910236358642578,2014-12-30
24.702646255493164,2014-12-31
24.47845458984375,2015-01-02
24.2874755859375,2015-01-05
23.955341339111328,2015-01-06
24.245960235595703,2015-01-07
24.893625259399414,2015-01-08
24.661130905151367,2015-01-09
