DXC,Date
0.6693885326385498,1981-12-31
0.6693885326385498,1982-01-04
0.6566377878189087,1982-01-05
0.6693885326385498,1982-01-06
0.6885138750076294,1982-01-07
0.7395148277282715,1982-01-08
0.7076393961906433,1982-01-11
0.6948887705802917,1982-01-12
0.6948887705802917,1982-01-13
0.7458894848823547,1982-01-14
0.7458894848823547,1982-01-15
0.7522650361061096,1982-01-18
0.7331395149230957,1982-01-19
0.7650152444839478,1982-01-20
0.7650152444839478,1982-01-21
0.7522650361061096,1982-01-22
0.720389187335968,1982-01-25
0.7267642617225647,1982-01-26
0.7267642617225647,1982-01-27
0.7841406464576721,1982-01-28
0.7650152444839478,1982-01-29
0.7395148277282715,1982-02-01
0.7267642617225647,1982-02-02
0.7267642617225647,1982-02-03
0.7140143513679504,1982-02-04
0.720389187335968,1982-02-05
0.6885138750076294,1982-02-08
0.6693885326385498,1982-02-09
0.6757634878158569,1982-02-10
0.6693885326385498,1982-02-11
0.6693885326385498,1982-02-12
0.6757634878158569,1982-02-16
0.6885138750076294,1982-02-17
0.7140143513679504,1982-02-18
0.7140143513679504,1982-02-19
0.7267642617225647,1982-02-22
0.7012636065483093,1982-02-23
0.7076393961906433,1982-02-24
0.720389187335968,1982-02-25
0.7140143513679504,1982-02-26
0.720389187335968,1982-03-01
0.720389187335968,1982-03-02
0.7012636065483093,1982-03-03
0.7012636065483093,1982-03-04
0.7012636065483093,1982-03-05
0.6693885326385498,1982-03-08
0.6566377878189087,1982-03-09
0.6566377878189087,1982-03-10
0.6566377878189087,1982-03-11
0.6183875799179077,1982-03-12
0.6183875799179077,1982-03-15
0.6375122666358948,1982-03-16
0.6375122666358948,1982-03-17
0.643887996673584,1982-03-18
0.643887996673584,1982-03-19
0.6757634878158569,1982-03-22
0.682138204574585,1982-03-23
0.6630132794380188,1982-03-24
0.6757634878158569,1982-03-25
0.6757634878158569,1982-03-26
0.6693885326385498,1982-03-29
0.6630132794380188,1982-03-30
0.6502631902694702,1982-03-31
0.6566377878189087,1982-04-01
0.6630132794380188,1982-04-02
0.6630132794380188,1982-04-05
0.6630132794380188,1982-04-06
0.6566377878189087,1982-04-07
0.6566377878189087,1982-04-08
0.6630132794380188,1982-04-12
0.6630132794380188,1982-04-13
0.6502631902694702,1982-04-14
0.6311375498771667,1982-04-15
0.6375122666358948,1982-04-16
0.6311375498771667,1982-04-19
0.6120120882987976,1982-04-20
0.5865114331245422,1982-04-21
0.5737617611885071,1982-04-22
0.5737617611885071,1982-04-23
0.6120120882987976,1982-04-26
0.6120120882987976,1982-04-27
0.6247624754905701,1982-04-28
0.6183875799179077,1982-04-29
0.6247624754905701,1982-04-30
0.6311375498771667,1982-05-03
0.6183875799179077,1982-05-04
0.6120120882987976,1982-05-05
0.6375122666358948,1982-05-06
0.6502631902694702,1982-05-07
0.6502631902694702,1982-05-10
0.6757634878158569,1982-05-11
0.6757634878158569,1982-05-12
0.6566377878189087,1982-05-13
0.6502631902694702,1982-05-14
0.6247624754905701,1982-05-17
0.6375122666358948,1982-05-18
0.6311375498771667,1982-05-19
0.6056370735168457,1982-05-20
0.6056370735168457,1982-05-21
0.6120120882987976,1982-05-24
0.6120120882987976,1982-05-25
0.6120120882987976,1982-05-26
0.6056370735168457,1982-05-27
0.6120120882987976,1982-05-28
0.6120120882987976,1982-06-01
0.6247624754905701,1982-06-02
0.6247624754905701,1982-06-03
0.6120120882987976,1982-06-04
0.6120120882987976,1982-06-07
0.599261999130249,1982-06-08
0.599261999130249,1982-06-09
0.6056370735168457,1982-06-10
0.6375122666358948,1982-06-11
0.6311375498771667,1982-06-14
0.6120120882987976,1982-06-15
0.6056370735168457,1982-06-16
0.599261999130249,1982-06-17
0.5865114331245422,1982-06-18
0.580136775970459,1982-06-21
0.5928864479064941,1982-06-22
0.6183875799179077,1982-06-23
0.599261999130249,1982-06-24
0.599261999130249,1982-06-25
0.6183875799179077,1982-06-28
0.6183875799179077,1982-06-29
0.6247624754905701,1982-06-30
0.6120120882987976,1982-07-01
0.6183875799179077,1982-07-02
0.6120120882987976,1982-07-06
0.6056370735168457,1982-07-07
0.6056370735168457,1982-07-08
0.6247624754905701,1982-07-09
0.6566377878189087,1982-07-12
0.6693885326385498,1982-07-13
0.6566377878189087,1982-07-14
0.643887996673584,1982-07-15
0.6502631902694702,1982-07-16
0.6566377878189087,1982-07-19
0.6502631902694702,1982-07-20
0.6630132794380188,1982-07-21
0.6630132794380188,1982-07-22
0.6502631902694702,1982-07-23
0.6630132794380188,1982-07-26
0.6757634878158569,1982-07-27
0.6630132794380188,1982-07-28
0.6693885326385498,1982-07-29
0.6757634878158569,1982-07-30
0.6630132794380188,1982-08-02
0.6502631902694702,1982-08-03
0.643887996673584,1982-08-04
0.643887996673584,1982-08-05
0.6311375498771667,1982-08-06
0.5928864479064941,1982-08-09
0.5865114331245422,1982-08-10
0.599261999130249,1982-08-11
0.599261999130249,1982-08-12
0.5928864479064941,1982-08-13
0.599261999130249,1982-08-16
0.6183875799179077,1982-08-17
0.6502631902694702,1982-08-18
0.6502631902694702,1982-08-19
0.7140143513679504,1982-08-20
0.7267642617225647,1982-08-23
0.6757634878158569,1982-08-24
0.6885138750076294,1982-08-25
0.682138204574585,1982-08-26
0.7012636065483093,1982-08-27
0.7076393961906433,1982-08-30
0.6885138750076294,1982-08-31
0.6885138750076294,1982-09-01
0.7267642617225647,1982-09-02
0.7650152444839478,1982-09-03
0.7586401700973511,1982-09-07
0.7586401700973511,1982-09-08
0.7650152444839478,1982-09-09
