Date,IDTI
2019-03-29,48.99
2019-03-28,48.99
2019-03-27,48.98
2019-03-26,48.98
2019-03-25,48.97
2019-03-22,47.79
2019-03-21,47.84
2019-03-20,48.16
2019-03-19,47.99
2019-03-18,48.21
2019-03-15,48.3
2019-03-14,48.27
2019-03-13,48.35
2019-03-12,48.43
2019-03-11,48.37
2019-03-08,48.35
2019-03-07,48.3
2019-03-06,48.4
2019-03-05,48.46
2019-03-04,48.42
2019-03-01,48.34
2019-02-28,48.33
2019-02-27,48.37
2019-02-26,48.43
2019-02-25,48.49
2019-02-22,48.53
2019-02-21,48.54
2019-02-20,48.57
2019-02-19,48.5
2019-02-15,48.5
2019-02-14,48.52
2019-02-13,48.56
2019-02-12,48.46
2019-02-11,48.36
2019-02-08,48.37
2019-02-07,48.29
2019-02-06,48.77
2019-02-05,48.78
2019-02-04,48.79
2019-02-01,48.79
2019-01-31,48.85
2019-01-30,48.77
2019-01-29,48.59
2019-01-28,48.35
2019-01-25,48.54
2019-01-24,48.43
2019-01-23,48.31
2019-01-22,48.31
2019-01-18,48.24
2019-01-17,48.34
2019-01-16,48.39
2019-01-15,48.33
2019-01-14,48.15
2019-01-11,48.43
2019-01-10,48.29
2019-01-09,48.25
2019-01-08,48.1
2019-01-07,48.06
2019-01-04,48.39
2019-01-03,48.35
2019-01-02,48.33
2018-12-31,48.43
2018-12-28,48.33
2018-12-27,48.44
2018-12-26,48.32
2018-12-24,48.21
2018-12-21,48.29
2018-12-20,47.75
2018-12-19,47.96
2018-12-18,47.93
2018-12-17,47.92
2018-12-14,48.03
2018-12-13,48.07
2018-12-12,47.92
2018-12-11,47.87
2018-12-10,47.86
2018-12-07,47.96
2018-12-06,48.0
2018-12-04,48.0
2018-12-03,48.12
2018-11-30,47.94
2018-11-29,47.94
2018-11-28,47.9
2018-11-27,47.73
2018-11-26,47.09
2018-11-23,46.86
2018-11-21,46.82
2018-11-20,46.62
2018-11-19,46.86
2018-11-16,46.9
2018-11-15,46.71
2018-11-14,46.34
2018-11-13,46.34
2018-11-12,46.37
2018-11-09,46.75
2018-11-08,46.9
2018-11-07,46.92
2018-11-06,46.89
2018-11-05,46.86
2018-11-02,46.87
2018-11-01,46.64
2018-10-31,46.81
2018-10-30,46.81
2018-10-29,46.21
2018-10-26,46.17
2018-10-25,46.11
2018-10-24,46.17
2018-10-23,46.67
2018-10-22,46.79
2018-10-19,46.91
2018-10-18,46.88
2018-10-17,46.95
2018-10-16,46.86
2018-10-15,46.76
2018-10-12,46.81
2018-10-11,46.51
2018-10-10,46.67
2018-10-09,47.06
2018-10-08,47.09
2018-10-05,47.17
2018-10-04,47.2
2018-10-03,47.33
2018-10-02,47.08
2018-10-01,47.03
2018-09-28,47.01
2018-09-27,46.9
2018-09-26,46.9
2018-09-25,47.0
2018-09-24,47.02
2018-09-21,47.08
2018-09-20,47.11
2018-09-19,47.2
2018-09-18,47.18
2018-09-17,46.98
2018-09-14,47.08
2018-09-13,47.06
2018-09-12,46.69
2018-09-11,46.56
2018-09-10,42.08
2018-09-07,42.66
2018-09-06,43.27
2018-09-05,43.3
2018-09-04,43.0
2018-08-31,42.49
2018-08-30,37.84
2018-08-29,37.71
2018-08-28,37.74
2018-08-27,37.95
2018-08-24,37.67
2018-08-23,37.24
2018-08-22,37.63
2018-08-21,37.3
2018-08-20,36.24
2018-08-17,35.95
2018-08-16,36.11
2018-08-15,35.9
2018-08-14,36.38
2018-08-13,36.19
2018-08-10,35.78
2018-08-09,36.55
2018-08-08,36.47
2018-08-07,36.34
2018-08-06,36.0
2018-08-03,35.63
2018-08-02,35.85
2018-08-01,34.39
2018-07-31,34.43
2018-07-30,33.29
2018-07-27,33.82
2018-07-26,34.48
2018-07-25,34.18
2018-07-24,34.51
2018-07-23,34.98
2018-07-20,34.69
2018-07-19,35.35
2018-07-18,35.12
2018-07-17,34.97
2018-07-16,34.33
2018-07-13,34.19
2018-07-12,34.06
2018-07-11,33.43
2018-07-10,34.48
2018-07-09,34.03
2018-07-06,33.63
2018-07-05,33.23
2018-07-03,31.6
2018-07-02,32.16
2018-06-29,31.88
2018-06-28,31.78
2018-06-27,31.64
2018-06-26,32.9
2018-06-25,32.99
2018-06-22,33.95
2018-06-21,34.15
2018-06-20,34.53
2018-06-19,34.45
2018-06-18,35.11
2018-06-15,34.79
2018-06-14,34.82
2018-06-13,34.29
2018-06-12,34.49
2018-06-11,34.13
2018-06-08,34.05
2018-06-07,34.11
2018-06-06,34.63
2018-06-05,34.63
2018-06-04,34.32
2018-06-01,33.82
2018-05-31,33.24
2018-05-30,33.96
2018-05-29,33.55
2018-05-25,33.52
2018-05-24,33.04
2018-05-23,33.0
2018-05-22,32.47
2018-05-21,32.08
2018-05-18,31.29
2018-05-17,31.67
2018-05-16,31.64
2018-05-15,31.13
2018-05-14,31.01
2018-05-11,30.35
2018-05-10,30.57
2018-05-09,30.22
2018-05-08,29.69
2018-05-07,29.47
2018-05-04,29.26
2018-05-03,28.5
2018-05-02,28.65
2018-05-01,28.39
2018-04-30,27.83
2018-04-27,28.85
2018-04-26,30.03
2018-04-25,29.36
2018-04-24,29.53
2018-04-23,29.56
2018-04-20,29.68
2018-04-19,29.84
2018-04-18,31.89
2018-04-17,32.02
2018-04-16,31.29
2018-04-13,31.39
2018-04-12,31.78
2018-04-11,31.36
2018-04-10,30.77
