FRT,Date
0.47386887669563293,1974-01-10
0.47386887669563293,1974-01-11
0.47386887669563293,1974-01-14
0.47386887669563293,1974-01-15
0.47386887669563293,1974-01-16
0.47386887669563293,1974-01-17
0.47386887669563293,1974-01-18
0.47386887669563293,1974-01-21
0.47386887669563293,1974-01-22
0.47386887669563293,1974-01-23
0.48703211545944214,1974-01-24
0.5001951456069946,1974-01-25
0.5001951456069946,1974-01-28
0.48703211545944214,1974-01-29
0.48703211545944214,1974-01-30
0.48703211545944214,1974-01-31
0.48703211545944214,1974-02-01
0.47386887669563293,1974-02-04
0.4607059359550476,1974-02-05
0.4607059359550476,1974-02-06
0.4607059359550476,1974-02-07
0.4607059359550476,1974-02-08
0.4607059359550476,1974-02-11
0.4541245996952057,1974-02-12
0.4541245996952057,1974-02-13
