ABEV,Date
0.2198304831981659,1997-03-05
0.2198304831981659,1997-03-06
0.2198304831981659,1997-03-07
0.2381497621536255,1997-03-10
0.2381497621536255,1997-03-11
0.2381497621536255,1997-03-12
0.2381497621536255,1997-03-13
0.2381497621536255,1997-03-14
0.2381497621536255,1997-03-17
0.2381497621536255,1997-03-18
0.2381497621536255,1997-03-19
0.2381497621536255,1997-03-20
0.2381497621536255,1997-03-21
0.2381497621536255,1997-03-24
0.2381497621536255,1997-03-25
0.2381497621536255,1997-03-26
0.2381497621536255,1997-03-27
0.2381497621536255,1997-03-31
0.2381497621536255,1997-04-01
0.2381497621536255,1997-04-02
0.2381497621536255,1997-04-03
0.2381497621536255,1997-04-04
0.2381497621536255,1997-04-07
0.2381497621536255,1997-04-08
0.2381497621536255,1997-04-09
0.2381497621536255,1997-04-10
0.2381497621536255,1997-04-11
0.2381497621536255,1997-04-14
0.2381497621536255,1997-04-15
0.21779489517211914,1997-04-16
0.21779489517211914,1997-04-17
0.21779489517211914,1997-04-18
0.21779489517211914,1997-04-21
0.21779489517211914,1997-04-22
0.2289900928735733,1997-04-23
0.2289900928735733,1997-04-24
0.2289900928735733,1997-04-25
0.2289900928735733,1997-04-28
0.2289900928735733,1997-04-29
0.2289900928735733,1997-04-30
0.2289900928735733,1997-05-01
0.2289900928735733,1997-05-02
0.2289900928735733,1997-05-05
0.2289900928735733,1997-05-06
0.2289900928735733,1997-05-07
0.2289900928735733,1997-05-08
0.2289900928735733,1997-05-09
0.2289900928735733,1997-05-12
0.2289900928735733,1997-05-13
0.2289900928735733,1997-05-14
0.2289900928735733,1997-05-15
0.2289900928735733,1997-05-16
0.2289900928735733,1997-05-19
0.2289900928735733,1997-05-20
0.2289900928735733,1997-05-21
0.2289900928735733,1997-05-22
0.2289900928735733,1997-05-23
0.2289900928735733,1997-05-27
0.2289900928735733,1997-05-28
0.2289900928735733,1997-05-29
0.2289900928735733,1997-05-30
0.2289900928735733,1997-06-02
0.2289900928735733,1997-06-03
0.2289900928735733,1997-06-04
0.2289900928735733,1997-06-05
0.2289900928735733,1997-06-06
0.25850462913513184,1997-06-09
0.2605396509170532,1997-06-10
0.2605396509170532,1997-06-11
0.25850462913513184,1997-06-12
0.25850462913513184,1997-06-13
0.2605396509170532,1997-06-16
0.25850462913513184,1997-06-17
0.25850462913513184,1997-06-18
0.2605396509170532,1997-06-19
0.2605396509170532,1997-06-20
0.2605396509170532,1997-06-23
0.2605396509170532,1997-06-24
0.2605396509170532,1997-06-25
0.25239816308021545,1997-06-26
0.25646907091140747,1997-06-27
0.25646907091140747,1997-06-30
0.25850462913513184,1997-07-01
0.24883583188056946,1997-07-02
0.2503625452518463,1997-07-03
0.25443321466445923,1997-07-07
0.24629174172878265,1997-07-08
0.24629174172878265,1997-07-09
