ETR,Date
1.1641062498092651,1972-06-01
1.1710773706436157,1972-06-02
1.1641062498092651,1972-06-05
1.1649540662765503,1972-06-06
1.1649540662765503,1972-06-07
1.1508327722549438,1972-06-08
1.1437726020812988,1972-06-09
1.157893419265747,1972-06-12
1.1437726020812988,1972-06-13
1.1155319213867188,1972-06-14
1.1225922107696533,1972-06-15
1.1225922107696533,1972-06-16
1.1225922107696533,1972-06-19
1.1084707975387573,1972-06-20
1.0943502187728882,1972-06-21
1.1084707975387573,1972-06-22
1.1084707975387573,1972-06-23
1.1014103889465332,1972-06-26
1.1014103889465332,1972-06-27
1.1225922107696533,1972-06-28
1.1225922107696533,1972-06-29
1.1437726020812988,1972-06-30
1.1437726020812988,1972-07-03
1.1790740489959717,1972-07-05
1.2073158025741577,1972-07-06
1.2214362621307373,1972-07-07
1.2284966707229614,1972-07-10
1.1931958198547363,1972-07-11
1.2073158025741577,1972-07-12
1.1931958198547363,1972-07-13
1.2002558708190918,1972-07-14
1.1931958198547363,1972-07-17
1.1649540662765503,1972-07-18
1.157893419265747,1972-07-19
1.1649540662765503,1972-07-20
1.1790740489959717,1972-07-21
1.1790740489959717,1972-07-24
1.1720147132873535,1972-07-25
1.1649540662765503,1972-07-26
1.1508327722549438,1972-07-27
1.1649540662765503,1972-07-28
1.1508327722549438,1972-07-31
1.1508327722549438,1972-08-01
1.1437726020812988,1972-08-02
1.1296522617340088,1972-08-03
1.1296522617340088,1972-08-04
1.1084707975387573,1972-08-07
1.1155319213867188,1972-08-08
1.1084707975387573,1972-08-09
1.1084707975387573,1972-08-10
1.1155319213867188,1972-08-11
1.1225922107696533,1972-08-14
1.1225922107696533,1972-08-15
1.1296522617340088,1972-08-16
1.1367123126983643,1972-08-17
1.1720147132873535,1972-08-18
1.2002558708190918,1972-08-21
1.2214362621307373,1972-08-22
1.2284966707229614,1972-08-23
1.270858883857727,1972-08-24
1.2637982368469238,1972-08-25
1.270858883857727,1972-08-28
1.270858883857727,1972-08-29
1.2849797010421753,1972-08-30
1.2637982368469238,1972-08-31
1.2637982368469238,1972-09-01
1.2426173686981201,1972-09-05
1.2496778964996338,1972-09-06
1.2426173686981201,1972-09-07
1.2577672004699707,1972-09-08
1.2291820049285889,1972-09-11
1.2506210803985596,1972-09-12
1.2577672004699707,1972-09-13
1.2649140357971191,1972-09-14
1.272060513496399,1972-09-15
1.2649140357971191,1972-09-18
1.2506210803985596,1972-09-19
1.2577672004699707,1972-09-20
1.2363277673721313,1972-09-21
1.2291820049285889,1972-09-22
1.2291820049285889,1972-09-25
1.2220356464385986,1972-09-26
1.2506210803985596,1972-09-27
1.2577672004699707,1972-09-28
1.2649140357971191,1972-09-29
1.2506210803985596,1972-10-02
1.2577672004699707,1972-10-03
1.2792068719863892,1972-10-04
1.2649140357971191,1972-10-05
1.2863537073135376,1972-10-06
1.3006460666656494,1972-10-09
1.3006460666656494,1972-10-10
1.2934997081756592,1972-10-11
1.3006460666656494,1972-10-12
1.2934997081756592,1972-10-13
1.3006460666656494,1972-10-16
1.3006460666656494,1972-10-17
1.3149393796920776,1972-10-18
1.3292315006256104,1972-10-19
1.3292315006256104,1972-10-20
1.3578168153762817,1972-10-23
1.3578168153762817,1972-10-24
1.3506700992584229,1972-10-25
1.3721110820770264,1972-10-26
1.4149888753890991,1972-10-27
1.4149888753890991,1972-10-30
1.4364275932312012,1972-10-31
1.4578675031661987,1972-11-01
1.4364275932312012,1972-11-02
1.5007448196411133,1972-11-03
1.5078918933868408,1972-11-06
1.5150387287139893,1972-11-08
1.5436245203018188,1972-11-09
1.5436245203018188,1972-11-10
1.5436245203018188,1972-11-13
1.53647780418396,1972-11-14
1.53647780418396,1972-11-15
1.5293316841125488,1972-11-16
1.5936481952667236,1972-11-17
1.6079415082931519,1972-11-20
1.5793565511703491,1972-11-21
1.5936481952667236,1972-11-22
1.6436731815338135,1972-11-24
1.6007953882217407,1972-11-27
1.5936481952667236,1972-11-28
1.5650625228881836,1972-11-29
1.5650625228881836,1972-11-30
1.6007953882217407,1972-12-01
1.5936481952667236,1972-12-04
1.5793565511703491,1972-12-05
1.5436245203018188,1972-12-06
1.53647780418396,1972-12-07
1.523480772972107,1972-12-08
1.5018196105957031,1972-12-11
1.5018196105957031,1972-12-12
1.5307013988494873,1972-12-13
1.5307013988494873,1972-12-14
1.5379219055175781,1972-12-15
1.5379219055175781,1972-12-18
1.5379219055175781,1972-12-19
1.5379219055175781,1972-12-20
1.545142650604248,1972-12-21
1.559583067893982,1972-12-22
1.5523626804351807,1972-12-26
1.5379219055175781,1972-12-27
1.545142650604248,1972-12-29
1.545142650604248,1973-01-02
1.559583067893982,1973-01-03
1.5523626804351807,1973-01-04
1.559583067893982,1973-01-05
1.5523626804351807,1973-01-08
1.5523626804351807,1973-01-09
1.545142650604248,1973-01-10
1.5668028593063354,1973-01-11
1.5523626804351807,1973-01-12
1.5307013988494873,1973-01-15
1.5018196105957031,1973-01-16
1.4945999383926392,1973-01-17
1.4657180309295654,1973-01-18
1.393515706062317,1973-01-19
1.3862963914871216,1973-01-22
1.357414722442627,1973-01-23
1.3285337686538696,1973-01-24
1.3429738283157349,1973-01-26
1.3429738283157349,1973-01-29
1.3718544244766235,1973-01-30
1.3718544244766235,1973-01-31
1.393515706062317,1973-02-01
1.393515706062317,1973-02-02
1.415177345275879,1973-02-05
1.415177345275879,1973-02-06
1.4512776136398315,1973-02-07
1.4223967790603638,1973-02-08
1.40073561668396,1973-02-09
1.3862963914871216,1973-02-12
1.3862963914871216,1973-02-13
1.393515706062317,1973-02-14
1.40073561668396,1973-02-15
1.4079562425613403,1973-02-16
1.393515706062317,1973-02-20
1.3862963914871216,1973-02-21
1.3862963914871216,1973-02-22
