TSCO,Date
0.36822643876075745,1994-02-17
1.196736454963684,1994-02-18
1.196736454963684,1994-02-22
1.1572835445404053,1994-02-23
1.1046788692474365,1994-02-24
1.144132375717163,1994-02-25
1.130981206893921,1994-02-28
1.144132375717163,1994-03-01
1.130981206893921,1994-03-02
1.144132375717163,1994-03-03
1.2493398189544678,1994-03-04
1.2756415605545044,1994-03-07
1.2624906301498413,1994-03-08
1.2756415605545044,1994-03-09
1.2230374813079834,1994-03-10
1.2493398189544678,1994-03-11
1.2427647113800049,1994-03-14
1.1704339981079102,1994-03-15
1.196736454963684,1994-03-16
1.2361892461776733,1994-03-17
1.2493398189544678,1994-03-18
1.3019431829452515,1994-03-21
1.3150943517684937,1994-03-22
1.3282450437545776,1994-03-23
1.3019431829452515,1994-03-24
1.2493398189544678,1994-03-25
1.2230374813079834,1994-03-28
1.2098866701126099,1994-03-29
1.2361892461776733,1994-03-30
1.2098866701126099,1994-03-31
1.1572835445404053,1994-04-04
1.2230374813079834,1994-04-05
1.2361892461776733,1994-04-06
1.2361892461776733,1994-04-07
1.196736454963684,1994-04-08
1.2361892461776733,1994-04-11
1.2098866701126099,1994-04-12
1.196736454963684,1994-04-13
1.2230374813079834,1994-04-14
1.2230374813079834,1994-04-15
1.196736454963684,1994-04-18
1.1835851669311523,1994-04-19
1.2098866701126099,1994-04-20
1.2230374813079834,1994-04-21
1.196736454963684,1994-04-22
1.1572835445404053,1994-04-25
1.1507079601287842,1994-04-26
1.1835851669311523,1994-04-28
1.2756415605545044,1994-04-29
1.2756415605545044,1994-05-02
1.2493398189544678,1994-05-03
1.2427647113800049,1994-05-04
1.2427647113800049,1994-05-05
1.2427647113800049,1994-05-06
1.2230374813079834,1994-05-09
1.2098866701126099,1994-05-10
1.196736454963684,1994-05-11
1.2361892461776733,1994-05-12
1.2098866701126099,1994-05-13
1.2098866701126099,1994-05-16
1.2493398189544678,1994-05-17
1.203311800956726,1994-05-18
1.196736454963684,1994-05-19
1.2230374813079834,1994-05-20
1.2098866701126099,1994-05-23
1.2230374813079834,1994-05-24
1.196736454963684,1994-05-25
1.2296139001846313,1994-05-26
1.2230374813079834,1994-05-27
1.2624906301498413,1994-05-31
1.2624906301498413,1994-06-01
1.3150943517684937,1994-06-02
1.3150943517684937,1994-06-03
1.3742740154266357,1994-06-06
1.3348212242126465,1994-06-07
1.2887924909591675,1994-06-08
1.2822171449661255,1994-06-09
1.2756415605545044,1994-06-10
1.3150943517684937,1994-06-13
1.3282450437545776,1994-06-14
1.3150943517684937,1994-06-15
