CFG,Date
16.959335327148438,2014-09-24
16.937286376953125,2014-09-25
17.084251403808594,2014-09-26
17.069551467895508,2014-09-29
17.20917510986328,2014-09-30
17.223867416381836,2014-10-01
17.150386810302734,2014-10-02
17.069551467895508,2014-10-03
16.636014938354492,2014-10-06
16.547842025756836,2014-10-07
16.716848373413086,2014-10-08
16.518449783325195,2014-10-09
16.37149429321289,2014-10-10
16.496408462524414,2014-10-13
16.496408462524414,2014-10-14
16.055519104003906,2014-10-15
16.018779754638672,2014-10-16
16.10696029663086,2014-10-17
16.444971084594727,2014-10-20
16.768281936645508,2014-10-21
16.606626510620117,2014-10-22
16.922597885131836,2014-10-23
17.032821655273438,2014-10-24
16.790332794189453,2014-10-27
17.106298446655273,2014-10-28
17.253259658813477,2014-10-29
17.223867416381836,2014-10-30
17.356136322021484,2014-10-31
17.635358810424805,2014-11-03
17.413997650146484,2014-11-04
17.635351181030273,2014-11-05
17.930511474609375,2014-11-06
17.687007904052734,2014-11-07
17.672256469726562,2014-11-10
17.664871215820312,2014-11-11
17.60584259033203,2014-11-12
17.576322555541992,2014-11-13
17.67963218688965,2014-11-14
17.70914649963379,2014-11-17
17.509918212890625,2014-11-18
17.502540588378906,2014-11-19
17.495162963867188,2014-11-20
17.539432525634766,2014-11-21
17.893617630004883,2014-11-24
17.731277465820312,2014-11-25
17.878856658935547,2014-11-26
18.174007415771484,2014-11-28
17.69439125061035,2014-12-01
17.85671615600586,2014-12-02
17.878856658935547,2014-12-03
18.004297256469727,2014-12-04
18.557706832885742,2014-12-05
18.47654151916504,2014-12-08
18.565088272094727,2014-12-09
18.18876838684082,2014-12-10
18.218286514282227,2014-12-11
18.048572540283203,2014-12-12
18.070711135864258,2014-12-15
17.893617630004883,2014-12-16
18.122358322143555,2014-12-17
18.506052017211914,2014-12-18
18.4470272064209,2014-12-19
18.520814895629883,2014-12-22
18.77169418334961,2014-12-23
18.823347091674805,2014-12-24
18.675769805908203,2014-12-26
18.720041275024414,2014-12-29
18.587221145629883,2014-12-30
18.343727111816406,2014-12-31
18.269933700561523,2015-01-02
17.84196662902832,2015-01-05
17.642736434936523,2015-01-06
17.70914649963379,2015-01-07
17.84196662902832,2015-01-08
17.627979278564453,2015-01-09
17.62059783935547,2015-01-12
17.613222122192383,2015-01-13
17.295934677124023,2015-01-14
16.941747665405273,2015-01-15
17.11146354675293,2015-01-16
17.04505729675293,2015-01-20
17.177873611450195,2015-01-21
17.81244468688965,2015-01-22
17.495162963867188,2015-01-23
17.775556564331055,2015-01-26
17.819833755493164,2015-01-27
17.60584259033203,2015-01-28
17.8862361907959,2015-01-29
17.635351181030273,2015-01-30
17.70914649963379,2015-02-02
17.998119354248047,2015-02-03
17.79065704345703,2015-02-04
18.042573928833008,2015-02-05
18.15372657775879,2015-02-06
17.975894927978516,2015-02-09
18.390838623046875,2015-02-10
18.501985549926758,2015-02-11
18.768733978271484,2015-02-12
18.85765266418457,2015-02-13
18.939157485961914,2015-02-17
18.679811477661133,2015-02-18
18.539030075073242,2015-02-19
18.709449768066406,2015-02-20
18.457521438598633,2015-02-23
18.472341537475586,2015-02-24
18.494571685791016,2015-02-25
18.413068771362305,2015-02-26
18.40565299987793,2015-02-27
18.413068771362305,2015-03-02
18.553850173950195,2015-03-03
18.45011329650879,2015-03-04
18.74650764465332,2015-03-05
18.894697189331055,2015-03-06
18.69463348388672,2015-03-09
18.52420997619629,2015-03-10
18.605716705322266,2015-03-11
18.88728141784668,2015-03-12
18.353792190551758,2015-03-13
18.7539119720459,2015-03-16
18.96879768371582,2015-03-17
18.66499137878418,2015-03-18
18.376014709472656,2015-03-19
18.376014709472656,2015-03-20
18.34637451171875,2015-03-23
18.020349502563477,2015-03-24
17.783241271972656,2015-03-25
17.872159957885742,2015-03-26
18.138912200927734,2015-03-27
18.020349502563477,2015-03-30
17.87957000732422,2015-03-31
18.04999351501465,2015-04-01
18.242639541625977,2015-04-02
18.338970184326172,2015-04-06
18.45011329650879,2015-04-07
18.52420997619629,2015-04-08
18.553850173950195,2015-04-09
18.605716705322266,2015-04-10
18.85765266418457,2015-04-13
18.62795066833496,2015-04-14
18.96879768371582,2015-04-15
18.88728141784668,2015-04-16
18.61313247680664,2015-04-17
18.605716705322266,2015-04-20
18.553850173950195,2015-04-21
18.88728141784668,2015-04-22
18.998430252075195,2015-04-23
18.946565628051758,2015-04-24
18.879878997802734,2015-04-27
19.102169036865234,2015-04-28
19.331865310668945,2015-04-29
19.302227020263672,2015-04-30
19.324542999267578,2015-05-01
19.56256675720215,2015-05-04
19.517942428588867,2015-05-05
19.227848052978516,2015-05-06
19.302228927612305,2015-05-07
19.19809341430664,2015-05-08
19.3914852142334,2015-05-11
19.45099449157715,2015-05-12
19.510496139526367,2015-05-13
19.696449279785156,2015-05-14
19.287351608276367,2015-05-15
19.56256675720215,2015-05-18
19.979110717773438,2015-05-19
19.897287368774414,2015-05-20
19.9642276763916,2015-05-21
20.02373504638672,2015-05-22
19.86009407043457,2015-05-26
19.912166595458984,2015-05-27
19.956789016723633,2015-05-28
19.9642276763916,2015-05-29
20.046052932739258,2015-06-01
20.22456932067871,2015-06-02
20.54441261291504,2015-06-03
20.6411075592041,2015-06-04
21.065088272094727,2015-06-05
20.85681915283203,2015-06-08
20.886573791503906,2015-06-09
20.82706642150879,2015-06-10
20.470035552978516,2015-06-11
20.484907150268555,2015-06-12
20.76012420654297,2015-06-15
21.01302146911621,2015-06-16
20.76012420654297,2015-06-17
20.87913703918457,2015-06-18
20.968393325805664,2015-06-19
21.02790069580078,2015-06-22
20.968393325805664,2015-06-23
20.864255905151367,2015-06-24
20.365894317626953,2015-06-25
20.484907150268555,2015-06-26
20.031171798706055,2015-06-29
20.313825607299805,2015-06-30
20.410524368286133,2015-07-01
20.19481658935547,2015-07-02
20.090681076049805,2015-07-06
19.889846801757812,2015-07-07
19.815465927124023,2015-07-08
20.0683650970459,2015-07-09
20.306394577026367,2015-07-10
20.26919937133789,2015-07-13
20.492345809936523,2015-07-14
20.678298950195312,2015-07-15
20.908885955810547,2015-07-16
20.76012420654297,2015-07-17
20.797319412231445,2015-07-20
19.874971389770508,2015-07-21
20.11299705505371,2015-07-22
19.67413902282715,2015-07-23
19.45099449157715,2015-07-24
19.294788360595703,2015-07-27
19.46586799621582,2015-07-28
19.339414596557617,2015-07-29
19.77996826171875,2015-07-30
19.466360092163086,2015-07-31
19.436492919921875,2015-08-03
19.61570167541504,2015-08-04
19.906904220581055,2015-08-05
19.899438858032227,2015-08-06
19.936771392822266,2015-08-07
20.302656173706055,2015-08-10
20.041311264038086,2015-08-11
19.436492919921875,2015-08-12
19.563430786132812,2015-08-13
19.697832107543945,2015-08-14
19.623165130615234,2015-08-17
19.832237243652344,2015-08-18
19.608234405517578,2015-08-19
18.913801193237305,2015-08-20
18.3463134765625,2015-08-21
17.196407318115234,2015-08-24
17.248672485351562,2015-08-25
18.062572479248047,2015-08-26
18.27911376953125,2015-08-27
18.4359130859375,2015-08-28
18.53298568725586,2015-08-31
17.68922233581543,2015-09-01
18.01776695251465,2015-09-02
18.294038772583008,2015-09-03
17.987905502319336,2015-09-04
18.391117095947266,2015-09-08
18.21937370300293,2015-09-09
18.24924659729004,2015-09-10
18.159635543823242,2015-09-11
18.22684097290039,2015-09-14
18.68979263305664,2015-09-15
18.57778549194336,2015-09-16
17.950565338134766,2015-09-17
17.73402976989746,2015-09-18
17.846027374267578,2015-09-21
17.622018814086914,2015-09-22
17.42787742614746,2015-09-23
17.353206634521484,2015-09-24
17.629486083984375,2015-09-25
16.897724151611328,2015-09-28
17.33827018737793,2015-09-29
17.816158294677734,2015-09-30
17.54734992980957,2015-10-01
17.480144500732422,2015-10-02
17.711624145507812,2015-10-05
17.442811965942383,2015-10-06
17.502548217773438,2015-10-07
17.562286376953125,2015-10-08
17.517475128173828,2015-10-09
17.592151641845703,2015-10-12
17.517475128173828,2015-10-13
17.106801986694336,2015-10-14
17.562286376953125,2015-10-15
17.33827018737793,2015-10-16
17.34574317932129,2015-10-19
17.4652099609375,2015-10-20
17.300941467285156,2015-10-21
17.076934814453125,2015-10-22
18.084970474243164,2015-10-23
17.622018814086914,2015-10-26
17.569751739501953,2015-10-27
18.055103302001953,2015-10-28
18.002836227416992,2015-10-29
18.144704818725586,2015-10-30
18.256710052490234,2015-11-02
18.309194564819336,2015-11-03
18.39166831970215,2015-11-04
18.451650619506836,2015-11-05
19.291385650634766,2015-11-06
19.396347045898438,2015-11-09
19.493818283081055,2015-11-10
19.561294555664062,2015-11-11
19.126432418823242,2015-11-12
19.14143180847168,2015-11-13
19.253894805908203,2015-11-16
19.193912506103516,2015-11-17
19.64377784729004,2015-11-18
19.583786010742188,2015-11-19
19.508811950683594,2015-11-20
19.298873901367188,2015-11-23
19.591283798217773,2015-11-24
19.688758850097656,2015-11-25
19.786224365234375,2015-11-27
19.96616554260254,2015-11-30
19.868698120117188,2015-12-01
19.97366714477539,2015-12-02
19.846202850341797,2015-12-03
20.333553314208984,2015-12-04
19.876197814941406,2015-12-07
19.801218032836914,2015-12-08
19.568788528442383,2015-12-09
19.71874237060547,2015-12-10
19.2014102935791,2015-12-11
19.283885955810547,2015-12-14
19.898691177368164,2015-12-15
20.176097869873047,2015-12-16
19.85370445251465,2015-12-17
19.418846130371094,2015-12-18
19.516311645507812,2015-12-21
19.681257247924805,2015-12-22
19.883697509765625,2015-12-23
19.943675994873047,2015-12-24
19.801218032836914,2015-12-28
19.958669662475586,2015-12-29
19.71874237060547,2015-12-30
19.636268615722656,2015-12-31
19.3438663482666,2016-01-04
19.253894805908203,2016-01-05
18.953990936279297,2016-01-06
18.436655044555664,2016-01-07
17.859338760375977,2016-01-08
17.9193172454834,2016-01-11
17.9193172454834,2016-01-12
17.40947723388672,2016-01-13
17.169553756713867,2016-01-14
16.73468780517578,2016-01-15
16.667217254638672,2016-01-19
16.194866180419922,2016-01-20
15.992436408996582,2016-01-21
15.580063819885254,2016-01-22
14.837794303894043,2016-01-25
15.212677001953125,2016-01-26
15.902458190917969,2016-01-27
16.299827575683594,2016-01-28
15.932441711425781,2016-01-29
15.580063819885254,2016-02-01
15.225968360900879,2016-02-02
15.105422973632812,2016-02-03
15.241032600402832,2016-02-04
14.954748153686523,2016-02-05
14.465044021606445,2016-02-08
14.728729248046875,2016-02-09
14.208890914916992,2016-02-10
13.666454315185547,2016-02-11
14.231497764587402,2016-02-12
14.585585594177246,2016-02-16
14.804070472717285,2016-02-17
14.397238731384277,2016-02-18
14.495182037353516,2016-02-19
14.917078018188477,2016-02-22
14.593125343322754,2016-02-23
14.314366340637207,2016-02-24
14.449975967407227,2016-02-25
14.871875762939453,2016-02-26
14.487648010253906,2016-02-29
15.271170616149902,2016-03-01
15.791008949279785,2016-03-02
16.152637481689453,2016-03-03
16.521793365478516,2016-03-04
16.22043800354004,2016-03-07
15.76087760925293,2016-03-08
15.595126152038574,2016-03-09
15.828682899475098,2016-03-10
16.506729125976562,2016-03-11
16.6423397064209,2016-03-14
