ASML,Date
1.3070662021636963,1995-03-15
1.4377731084823608,1995-03-16
1.3869421482086182,1995-03-17
1.3796813488006592,1995-03-20
1.4450340270996094,1995-03-21
1.6193090677261353,1995-03-22
1.5830024480819702,1995-03-23
1.590263843536377,1995-03-24
1.6120483875274658,1995-03-27
1.6628787517547607,1995-03-28
1.6701403856277466,1995-03-29
1.575740933418274,1995-03-30
1.6338329315185547,1995-03-31
1.5975253582000732,1995-04-03
1.5031256675720215,1995-04-04
1.4668190479278564,1995-04-05
1.4668190479278564,1995-04-06
1.4668190479278564,1995-04-07
1.5394331216812134,1995-04-10
1.5394331216812134,1995-04-11
1.568479299545288,1995-04-12
1.5394331216812134,1995-04-13
1.488603115081787,1995-04-17
1.4595574140548706,1995-04-18
1.4450340270996094,1995-04-19
1.4450340270996094,1995-04-20
1.4740798473358154,1995-04-21
1.655617117881775,1995-04-24
1.590263843536377,1995-04-25
1.6483553647994995,1995-04-26
1.655617117881775,1995-04-27
1.590263843536377,1995-04-28
1.5830024480819702,1995-05-01
1.590263843536377,1995-05-02
1.6338329315185547,1995-05-03
1.7354934215545654,1995-05-04
1.7572780847549438,1995-05-05
1.78632390499115,1995-05-08
1.7354934215545654,1995-05-09
1.6774013042449951,1995-05-10
1.6410945653915405,1995-05-11
1.7354934215545654,1995-05-12
1.78632390499115,1995-05-15
1.78632390499115,1995-05-16
1.9678603410720825,1995-05-17
2.0259523391723633,1995-05-18
1.9605995416641235,1995-05-19
1.9315534830093384,1995-05-22
2.0041677951812744,1995-05-23
2.0622599124908447,1995-05-24
1.9969061613082886,1995-05-25
1.9823839664459229,1995-05-26
1.9070459604263306,1995-05-30
1.873461365699768,1995-05-31
1.8988763093948364,1995-06-01
1.9315534830093384,1995-06-02
1.9533371925354004,1995-06-05
1.9097684621810913,1995-06-06
1.9242918491363525,1995-06-07
1.9388147592544556,1995-06-08
1.9605995416641235,1995-06-09
1.9533371925354004,1995-06-12
1.9605995416641235,1995-06-13
1.9315534830093384,1995-06-14
1.9388147592544556,1995-06-15
1.9388147592544556,1995-06-16
1.9605995416641235,1995-06-19
1.9678603410720825,1995-06-20
1.9533371925354004,1995-06-21
1.9242918491363525,1995-06-22
1.9242918491363525,1995-06-23
1.975122094154358,1995-06-26
1.9388147592544556,1995-06-27
1.9097684621810913,1995-06-28
2.040475845336914,1995-06-29
2.0840439796447754,1995-06-30
2.1493980884552,1995-07-03
2.2437965869903564,1995-07-05
2.2437965869903564,1995-07-06
2.301888942718506,1995-07-07
2.3527190685272217,1995-07-10
2.3091509342193604,1995-07-11
2.4253342151641846,1995-07-12
2.7956697940826416,1995-07-13
2.6940088272094727,1995-07-14
2.708531379699707,1995-07-17
2.621393918991089,1995-07-18
2.599609375,1995-07-19
2.817453384399414,1995-07-20
