RITM,Date
4.744203567504883,2013-05-02
4.737186908721924,2013-05-03
4.849475383758545,2013-05-06
4.982819557189941,2013-05-07
4.954747200012207,2013-05-08
4.898601055145264,2013-05-09
4.891583442687988,2013-05-10
4.807367324829102,2013-05-13
4.793330192565918,2013-05-14
4.596826076507568,2013-05-15
4.912637710571289,2013-05-16
4.85649299621582,2013-05-17
4.835439682006836,2013-05-20
4.8424577713012695,2013-05-21
4.744203567504883,2013-05-22
4.8705291748046875,2013-05-23
4.863511562347412,2013-05-24
4.596826076507568,2013-05-28
4.73016881942749,2013-05-29
4.793330192565918,2013-05-30
4.800348281860352,2013-05-31
4.765257835388184,2013-06-03
4.73016881942749,2013-06-04
4.716132164001465,2013-06-05
4.73016881942749,2013-06-06
4.596826076507568,2013-06-07
4.624897003173828,2013-06-10
4.5539631843566895,2013-06-11
4.440469264984131,2013-06-12
4.6036176681518555,2013-06-13
4.674550533294678,2013-06-14
4.7525787353515625,2013-06-17
4.738390922546387,2013-06-18
4.660365104675293,2013-06-19
4.582337379455566,2013-06-20
4.596523284912109,2013-06-21
4.4617486000061035,2013-06-24
4.5894293785095215,2013-06-25
4.575243949890137,2013-06-26
4.646178245544434,2013-06-27
4.7809529304504395,2013-06-28
4.610710620880127,2013-07-01
4.575243949890137,2013-07-02
4.582337379455566,2013-07-03
4.809327602386475,2013-07-05
4.773858547210693,2013-07-08
4.660365104675293,2013-07-09
4.7029242515563965,2013-07-10
4.73129940032959,2013-07-11
4.880259990692139,2013-07-12
4.823513984680176,2013-07-15
4.7809529304504395,2013-07-16
4.7809529304504395,2013-07-17
4.816418647766113,2013-07-18
4.7029242515563965,2013-07-19
4.710018157958984,2013-07-22
4.7029242515563965,2013-07-23
4.624897480010986,2013-07-24
4.646178245544434,2013-07-25
4.5539631843566895,2013-07-26
4.546870708465576,2013-07-29
4.710018157958984,2013-07-30
4.7029242515563965,2013-07-31
4.809327602386475,2013-08-01
4.788046360015869,2013-08-02
4.724204063415527,2013-08-05
4.830604553222656,2013-08-06
4.858980178833008,2013-08-07
4.887353897094727,2013-08-08
4.816418647766113,2013-08-09
4.7525787353515625,2013-08-12
4.717111110687256,2013-08-13
4.6319899559021,2013-08-14
4.483029365539551,2013-08-15
4.405001640319824,2013-08-16
4.326974868774414,2013-08-19
4.326974868774414,2013-08-20
4.45465612411499,2013-08-21
4.440469264984131,2013-08-22
4.596523284912109,2013-08-23
4.5539631843566895,2013-08-26
4.45465612411499,2013-08-27
4.397908687591553,2013-08-28
4.5255913734436035,2013-08-29
4.504310131072998,2013-08-30
4.575243949890137,2013-09-03
4.5539631843566895,2013-09-04
4.546870708465576,2013-09-05
4.5255913734436035,2013-09-06
4.546870708465576,2013-09-09
4.468843460083008,2013-09-10
4.440469264984131,2013-09-11
4.49721622467041,2013-09-12
4.532681941986084,2013-09-13
4.539776802062988,2013-09-16
4.532681941986084,2013-09-17
4.788046360015869,2013-09-18
4.816418647766113,2013-09-19
4.7525787353515625,2013-09-20
4.809327602386475,2013-09-23
4.837700366973877,2013-09-24
4.746697425842285,2013-09-25
4.85590124130249,2013-09-26
4.885019779205322,2013-09-27
4.819499492645264,2013-09-30
4.790378570556641,2013-10-01
4.739416599273682,2013-10-02
4.695735454559326,2013-10-03
4.7030158042907715,2013-10-04
4.681174278259277,2013-10-07
4.652052879333496,2013-10-08
4.688455104827881,2013-10-09
4.812220096588135,2013-10-10
4.804937839508057,2013-10-11
4.841338634490967,2013-10-14
4.797657489776611,2013-10-15
4.834059238433838,2013-10-16
4.870460510253906,2013-10-17
5.008784294128418,2013-10-18
4.986944675445557,2013-10-21
5.088866233825684,2013-10-22
5.037904739379883,2013-10-23
5.023344993591309,2013-10-24
4.986944675445557,2013-10-25
4.972383499145508,2013-10-28
4.979662895202637,2013-10-29
4.870460510253906,2013-10-30
4.812220096588135,2013-10-31
4.804937839508057,2013-11-01
4.761256694793701,2013-11-04
4.877740859985352,2013-11-05
4.804937839508057,2013-11-06
4.528290748596191,2013-11-07
4.4627685546875,2013-11-08
4.295324325561523,2013-11-11
4.448207855224609,2013-11-12
4.535571098327637,2013-11-13
4.433648109436035,2013-11-14
4.4190874099731445,2013-11-15
4.32444429397583,2013-11-18
4.295324325561523,2013-11-19
4.273482322692871,2013-11-20
4.258923053741455,2013-11-21
4.397246837615967,2013-11-22
4.331725597381592,2013-11-25
4.32444429397583,2013-11-26
4.3681254386901855,2013-11-27
4.397246837615967,2013-11-29
4.331725597381592,2013-12-02
4.38996696472168,2013-12-03
4.593813419342041,2013-12-04
4.564691066741943,2013-12-05
4.506449222564697,2013-12-06
4.615653038024902,2013-12-09
4.695735454559326,2013-12-10
4.5865325927734375,2013-12-11
4.622933864593506,2013-12-12
4.615653038024902,2013-12-13
4.681174278259277,2013-12-16
4.695735454559326,2013-12-17
4.914141654968262,2013-12-18
4.943262577056885,2013-12-19
5.052465438842773,2013-12-20
5.0597453117370605,2013-12-23
5.067025184631348,2013-12-24
5.051923751831055,2013-12-26
5.082128524780273,2013-12-27
5.0217156410217285,2013-12-30
5.044370651245117,2013-12-31
5.029266834259033,2014-01-02
5.029266834259033,2014-01-03
5.0066142082214355,2014-01-06
4.931099891662598,2014-01-07
4.923549175262451,2014-01-08
4.855585098266602,2014-01-09
4.931099891662598,2014-01-10
4.946203708648682,2014-01-13
4.938650131225586,2014-01-14
4.870687961578369,2014-01-15
4.8480329513549805,2014-01-16
4.840482234954834,2014-01-17
4.87824010848999,2014-01-21
4.810276031494141,2014-01-22
4.817829608917236,2014-01-23
4.719659805297852,2014-01-24
4.659246921539307,2014-01-27
4.772519111633301,2014-01-28
4.7347612380981445,2014-01-29
4.840482234954834,2014-01-30
4.795173168182373,2014-01-31
4.742313861846924,2014-02-03
4.674350738525391,2014-02-04
4.629042148590088,2014-02-05
4.576181888580322,2014-02-06
4.666798114776611,2014-02-07
4.704556465148926,2014-02-10
4.787622451782227,2014-02-11
4.8480329513549805,2014-02-12
4.87824010848999,2014-02-13
4.863136291503906,2014-02-14
4.893342018127441,2014-02-18
4.825377941131592,2014-02-19
4.674350738525391,2014-02-20
4.727210998535156,2014-02-21
4.87824010848999,2014-02-24
4.9008941650390625,2014-02-25
4.840482234954834,2014-02-26
4.802724361419678,2014-02-27
4.825377941131592,2014-02-28
4.893342018127441,2014-03-03
5.029266834259033,2014-03-04
5.0066142082214355,2014-03-05
4.863136291503906,2014-03-06
4.810276031494141,2014-03-07
4.87824010848999,2014-03-10
4.855585098266602,2014-03-11
4.908446311950684,2014-03-12
4.893342018127441,2014-03-13
4.915997505187988,2014-03-14
5.051923751831055,2014-03-17
5.119887351989746,2014-03-18
5.082128524780273,2014-03-19
5.082128524780273,2014-03-20
5.180297374725342,2014-03-21
5.119887351989746,2014-03-24
5.029266834259033,2014-03-25
4.991513252258301,2014-03-26
4.972119331359863,2014-03-27
4.941091537475586,2014-03-28
5.018659591674805,2014-03-31
5.15052604675293,2014-04-01
5.088471412658691,2014-04-02
5.026416778564453,2014-04-03
4.995389461517334,2014-04-04
4.972119331359863,2014-04-07
4.902307987213135,2014-04-08
4.871281147003174,2014-04-09
4.84025239944458,2014-04-10
4.816983222961426,2014-04-11
4.8867950439453125,2014-04-14
4.902307987213135,2014-04-15
4.910065650939941,2014-04-16
4.9333343505859375,2014-04-17
4.84025239944458,2014-04-21
4.816983222961426,2014-04-22
4.832496643066406,2014-04-23
4.84025239944458,2014-04-24
4.770442485809326,2014-04-25
4.739414691925049,2014-04-28
4.716145038604736,2014-04-29
4.731657981872559,2014-04-30
4.809226036071777,2014-05-01
4.848011016845703,2014-05-02
4.910065650939941,2014-05-05
4.941091537475586,2014-05-06
4.948850154876709,2014-05-07
4.9255781173706055,2014-05-08
4.824739456176758,2014-05-09
4.964363098144531,2014-05-12
4.910065650939941,2014-05-13
4.871281147003174,2014-05-14
4.78595495223999,2014-05-15
4.879036903381348,2014-05-16
4.902307987213135,2014-05-19
4.84025239944458,2014-05-20
4.816983222961426,2014-05-21
4.816983222961426,2014-05-22
4.809226036071777,2014-05-23
4.910065650939941,2014-05-27
4.879036903381348,2014-05-28
4.902307987213135,2014-05-29
4.917821884155273,2014-05-30
4.9333343505859375,2014-06-02
4.9255781173706055,2014-06-03
4.979874610900879,2014-06-04
5.04193115234375,2014-06-05
5.057445049285889,2014-06-06
5.0652008056640625,2014-06-09
5.034173965454102,2014-06-10
4.995389461517334,2014-06-11
4.948850154876709,2014-06-12
4.964363098144531,2014-06-13
4.964363098144531,2014-06-16
5.04193115234375,2014-06-17
5.026416778564453,2014-06-18
5.010903835296631,2014-06-19
5.034173965454102,2014-06-20
5.04193115234375,2014-06-23
5.026416778564453,2014-06-24
5.058688640594482,2014-06-25
5.082894802093506,2014-06-26
5.066758155822754,2014-06-27
5.082894802093506,2014-06-30
5.058688640594482,2014-07-01
5.0909624099731445,2014-07-02
5.074824810028076,2014-07-03
5.0909624099731445,2014-07-07
5.082894802093506,2014-07-08
5.074824810028076,2014-07-09
5.123233795166016,2014-07-10
5.1555047035217285,2014-07-11
5.1958465576171875,2014-07-14
5.131300926208496,2014-07-15
5.018348217010498,2014-07-16
5.010280609130859,2014-07-17
5.018348217010498,2014-07-18
5.026417255401611,2014-07-21
4.969940185546875,2014-07-22
5.026417255401611,2014-07-23
4.978007793426514,2014-07-24
4.937668323516846,2014-07-25
4.945736408233643,2014-07-28
4.913464069366455,2014-07-29
4.905396461486816,2014-07-30
4.824714183807373,2014-07-31
4.824714183807373,2014-08-01
4.856988430023193,2014-08-04
4.816647052764893,2014-08-05
5.034483432769775,2014-08-06
5.066758155822754,2014-08-07
5.074824810028076,2014-08-08
5.0909624099731445,2014-08-11
5.066758155822754,2014-08-12
4.986075401306152,2014-08-13
5.0425543785095215,2014-08-14
5.0022125244140625,2014-08-15
5.066758155822754,2014-08-18
5.0909624099731445,2014-08-19
5.058688640594482,2014-08-20
5.115166664123535,2014-08-21
5.0909624099731445,2014-08-22
5.0425543785095215,2014-08-25
5.082894802093506,2014-08-26
5.066758155822754,2014-08-27
5.0425543785095215,2014-08-28
5.058688640594482,2014-08-29
5.123233795166016,2014-09-02
5.0909624099731445,2014-09-03
5.058688640594482,2014-09-04
5.107098579406738,2014-09-05
5.0909624099731445,2014-09-08
5.058688640594482,2014-09-09
5.058688640594482,2014-09-10
5.074824810028076,2014-09-11
5.026417255401611,2014-09-12
4.961872577667236,2014-09-15
5.05062198638916,2014-09-16
5.058688640594482,2014-09-17
4.994144439697266,2014-09-18
5.058688640594482,2014-09-19
4.994144439697266,2014-09-22
4.921531677246094,2014-09-23
4.921531677246094,2014-09-24
4.942298889160156,2014-09-25
4.925684452056885,2014-09-26
4.892459869384766,2014-09-29
4.842621326446533,2014-09-30
4.8260087966918945,2014-10-01
4.809396266937256,2014-10-02
4.86754035949707,2014-10-03
5.008748531341553,2014-10-06
5.025362014770508,2014-10-07
5.041975975036621,2014-10-08
5.017055988311768,2014-10-09
4.975523471832275,2014-10-10
5.000444412231445,2014-10-13
5.033668041229248,2014-10-14
5.000444412231445,2014-10-15
5.083507537841797,2014-10-16
5.041975975036621,2014-10-17
5.133344650268555,2014-10-20
5.083507537841797,2014-10-21
5.066893100738525,2014-10-22
5.0212082862854,2014-10-23
5.029515743255615,2014-10-24
4.992135524749756,2014-10-27
5.071046829223633,2014-10-28
5.066893100738525,2014-10-29
5.120884895324707,2014-10-30
5.141651630401611,2014-10-31
5.162417411804199,2014-11-03
5.170724868774414,2014-11-04
5.203948974609375,2014-11-05
5.216409206390381,2014-11-06
5.228869438171387,2014-11-07
5.324391841888428,2014-11-10
5.291165828704834,2014-11-11
5.2787065505981445,2014-11-12
5.28701114654541,2014-11-13
5.282858848571777,2014-11-14
5.245480060577393,2014-11-17
5.299473285675049,2014-11-18
5.266246795654297,2014-11-19
5.291165828704834,2014-11-20
5.28701114654541,2014-11-21
5.303624629974365,2014-11-24
5.382535934448242,2014-11-25
5.386690139770508,2014-11-26
5.382535934448242,2014-11-28
5.411609172821045,2014-12-01
5.4946722984313965,2014-12-02
5.515438556671143,2014-12-03
5.482212543487549,2014-12-04
5.4074554443359375,2014-12-05
5.40330171585083,2014-12-08
5.5403594970703125,2014-12-09
5.482212543487549,2014-12-10
5.490521430969238,2014-12-11
5.415761947631836,2014-12-12
5.3285441398620605,2014-12-15
5.291165828704834,2014-12-16
5.428220748901367,2014-12-17
5.444833755493164,2014-12-18
5.610961437225342,2014-12-19
5.590194225311279,2014-12-22
5.54866361618042,2014-12-23
5.482212543487549,2014-12-24
5.529250621795654,2014-12-26
5.524975299835205,2014-12-29
5.4907636642456055,2014-12-30
5.4608306884765625,2014-12-31
5.524975299835205,2015-01-02
5.45655632019043,2015-01-05
5.4608306884765625,2015-01-06
5.524975299835205,2015-01-07
5.512146949768066,2015-01-08
5.3924102783203125,2015-01-09
5.375304698944092,2015-01-12
5.221358299255371,2015-01-13
5.2641215324401855,2015-01-14
5.2812275886535645,2015-01-15
5.371029376983643,2015-01-16
5.383859157562256,2015-01-20
5.559186935424805,2015-01-21
5.619053840637207,2015-01-22
5.53780460357666,2015-01-23
5.584843635559082,2015-01-26
5.53780460357666,2015-01-27
5.542080402374268,2015-01-28
5.5206990242004395,2015-01-29
5.452277660369873,2015-01-30
5.400962829589844,2015-02-02
5.516422748565674,2015-02-03
5.49504280090332,2015-02-04
5.576291561126709,2015-02-05
5.512146949768066,2015-02-06
5.503595352172852,2015-02-09
5.477935791015625,2015-02-10
5.503595352172852,2015-02-11
5.572015762329102,2015-02-12
5.606225490570068,2015-02-13
5.576291561126709,2015-02-17
5.593395709991455,2015-02-18
5.593395709991455,2015-02-19
5.597672939300537,2015-02-20
6.093723773956299,2015-02-23
6.179248332977295,2015-02-24
6.243393421173096,2015-02-25
6.358853340148926,2015-02-26
6.461484909057617,2015-02-27
6.461484909057617,2015-03-02
6.482865810394287,2015-03-03
6.568390846252441,2015-03-04
6.538459300994873,2015-03-05
6.316090106964111,2015-03-06
6.422998428344727,2015-03-09
6.405893325805664,2015-03-10
6.388786792755127,2015-03-11
6.388786792755127,2015-03-12
6.286155700683594,2015-03-13
6.4144439697265625,2015-03-16
6.4315505027771,2015-03-17
6.555562973022461,2015-03-18
6.542733669281006,2015-03-19
6.623983860015869,2015-03-20
6.598326206207275,2015-03-23
6.580788612365723,2015-03-24
