BBY,Date
0.10116205364465714,1985-04-18
0.10209856927394867,1985-04-19
0.10116205364465714,1985-04-22
0.09928827732801437,1985-04-23
0.09928827732801437,1985-04-24
0.09460495412349701,1985-04-25
0.09273181855678558,1985-04-26
0.08992154151201248,1985-04-29
0.08992154151201248,1985-04-30
0.08523815870285034,1985-05-01
0.08430162072181702,1985-05-02
0.08711189031600952,1985-05-03
0.08898498862981796,1985-05-06
0.08992154151201248,1985-05-07
0.08992154151201248,1985-05-08
0.09460495412349701,1985-05-09
0.09741519391536713,1985-05-10
0.09835174679756165,1985-05-13
0.09835174679756165,1985-05-14
0.09835174679756165,1985-05-15
0.10116205364465714,1985-05-16
0.10865507274866104,1985-05-17
0.1067819893360138,1985-05-20
0.10209856927394867,1985-05-21
0.10397172719240189,1985-05-22
0.10209856927394867,1985-05-23
0.10209856927394867,1985-05-24
0.10397172719240189,1985-05-28
0.10397172719240189,1985-05-29
0.10397172719240189,1985-05-30
0.10865507274866104,1985-05-31
0.10959228128194809,1985-06-03
0.10959228128194809,1985-06-04
0.10959228128194809,1985-06-05
0.11146534234285355,1985-06-06
0.11427559703588486,1985-06-07
0.11427559703588486,1985-06-10
0.11521218717098236,1985-06-11
0.11427559703588486,1985-06-12
0.10397172719240189,1985-06-13
0.1067819893360138,1985-06-14
0.10397172719240189,1985-06-17
0.10397172719240189,1985-06-18
0.10397172719240189,1985-06-19
0.10397172719240189,1985-06-20
0.09741519391536713,1985-06-21
0.09460495412349701,1985-06-24
0.10116205364465714,1985-06-25
0.09928827732801437,1985-06-26
0.09741519391536713,1985-06-27
0.09460495412349701,1985-06-28
0.09460495412349701,1985-07-01
0.09460495412349701,1985-07-02
0.09741519391536713,1985-07-03
0.09741519391536713,1985-07-05
0.09928827732801437,1985-07-08
0.09928827732801437,1985-07-09
0.09741519391536713,1985-07-10
0.1067819893360138,1985-07-11
0.10959228128194809,1985-07-12
0.10865507274866104,1985-07-15
0.11427559703588486,1985-07-16
0.11802186816930771,1985-07-17
0.11427559703588486,1985-07-18
0.10959228128194809,1985-07-19
0.10959228128194809,1985-07-22
0.10865507274866104,1985-07-23
0.10865507274866104,1985-07-24
0.10865507274866104,1985-07-25
0.10865507274866104,1985-07-26
0.10865507274866104,1985-07-29
0.10865507274866104,1985-07-30
0.10959228128194809,1985-07-31
0.11146534234285355,1985-08-01
0.11146534234285355,1985-08-02
0.10959228128194809,1985-08-05
0.10865507274866104,1985-08-06
0.1067819893360138,1985-08-07
0.10865507274866104,1985-08-08
0.10959228128194809,1985-08-09
0.10959228128194809,1985-08-12
0.10959228128194809,1985-08-13
0.11427559703588486,1985-08-14
0.11614871770143509,1985-08-15
0.11146534234285355,1985-08-16
0.11146534234285355,1985-08-19
0.11427559703588486,1985-08-20
0.11427559703588486,1985-08-21
0.11427559703588486,1985-08-22
