SYK,Date
0.07723484188318253,1980-03-17
0.07661665976047516,1980-03-18
0.07661665976047516,1980-03-19
0.07661665976047516,1980-03-20
0.07661665976047516,1980-03-21
0.07661665976047516,1980-03-24
0.07414552569389343,1980-03-25
0.07414552569389343,1980-03-26
0.06734857708215714,1980-03-27
0.0704379603266716,1980-03-28
0.07414552569389343,1980-03-31
0.07538110017776489,1980-04-01
0.07661665976047516,1980-04-02
0.0778522714972496,1980-04-03
0.07661665976047516,1980-04-07
0.07723484188318253,1980-04-08
0.08712033182382584,1980-04-09
0.08588477969169617,1980-04-10
0.08464918285608292,1980-04-11
0.08464918285608292,1980-04-14
0.08897411823272705,1980-04-15
0.08959230780601501,1980-04-16
0.08588477969169617,1980-04-17
0.08712033182382584,1980-04-18
0.08217718452215195,1980-04-21
0.08526657521724701,1980-04-22
0.08526657521724701,1980-04-23
0.08526657521724701,1980-04-24
0.08464918285608292,1980-04-25
0.08464918285608292,1980-04-28
0.08526657521724701,1980-04-29
0.08526657521724701,1980-04-30
0.08526657521724701,1980-05-01
0.08526657521724701,1980-05-02
0.08526657521724701,1980-05-05
0.08464918285608292,1980-05-06
0.08712033182382584,1980-05-07
0.08650293946266174,1980-05-08
0.08650293946266174,1980-05-09
0.08650293946266174,1980-05-12
0.08650293946266174,1980-05-13
0.08712033182382584,1980-05-14
0.08712033182382584,1980-05-15
0.08712033182382584,1980-05-16
0.08712033182382584,1980-05-19
0.08650293946266174,1980-05-20
0.08650293946266174,1980-05-21
0.08712033182382584,1980-05-22
0.0877385288476944,1980-05-23
0.0877385288476944,1980-05-27
0.0877385288476944,1980-05-28
0.0877385288476944,1980-05-29
0.0877385288476944,1980-05-30
0.0877385288476944,1980-06-02
0.08897411823272705,1980-06-03
0.08897411823272705,1980-06-04
0.08897411823272705,1980-06-05
0.08959230780601501,1980-06-06
0.09020967036485672,1980-06-09
0.09020967036485672,1980-06-10
0.09020967036485672,1980-06-11
0.09020967036485672,1980-06-12
0.09020967036485672,1980-06-13
0.09020967036485672,1980-06-16
0.09020967036485672,1980-06-17
0.08959230780601501,1980-06-18
0.0877385288476944,1980-06-19
0.08712033182382584,1980-06-20
0.08712033182382584,1980-06-23
0.08712033182382584,1980-06-24
0.08650293946266174,1980-06-25
0.08650293946266174,1980-06-26
0.08712033182382584,1980-06-27
0.08650293946266174,1980-06-30
