WMB,Date
0.6817372441291809,1981-12-31
0.6848497986793518,1982-01-04
0.6537203788757324,1982-01-05
0.6350423693656921,1982-01-06
0.6319299936294556,1982-01-07
0.6412686705589294,1982-01-08
0.6070262789726257,1982-01-11
0.6039134860038757,1982-01-12
0.5821224451065063,1982-01-13
0.5758967399597168,1982-01-14
0.6474948525428772,1982-01-15
0.6474948525428772,1982-01-18
0.6039134860038757,1982-01-19
0.6506071090698242,1982-01-20
0.6786242723464966,1982-01-21
0.6692853569984436,1982-01-22
0.6506071090698242,1982-01-25
0.6568335890769958,1982-01-26
0.6786242723464966,1982-01-27
0.7190924882888794,1982-01-28
0.7066408395767212,1982-01-29
0.7004146575927734,1982-02-01
0.7190924882888794,1982-02-02
0.7315441966056824,1982-02-03
0.7097539305686951,1982-02-04
0.6910759806632996,1982-02-05
0.6225910186767578,1982-02-08
0.6319299936294556,1982-02-09
0.6568335890769958,1982-02-10
0.6568335890769958,1982-02-11
0.6848497986793518,1982-02-12
0.666172444820404,1982-02-16
0.6474948525428772,1982-02-17
0.6319299936294556,1982-02-18
0.6225910186767578,1982-02-19
0.5634449124336243,1982-02-22
0.5821224451065063,1982-02-23
0.6070262789726257,1982-02-24
0.5821224451065063,1982-02-25
0.5790091156959534,1982-02-26
0.5834248065948486,1982-03-01
0.5487348437309265,1982-03-02
0.5171982049942017,1982-03-03
0.4919690489768982,1982-03-04
0.4919690489768982,1982-03-05
0.4698934853076935,1982-03-08
0.4698934853076935,1982-03-09
0.4825078547000885,1982-03-10
0.4888152480125427,1982-03-11
0.4856618046760559,1982-03-12
0.4982762038707733,1982-03-15
0.4888152480125427,1982-03-16
0.4919690489768982,1982-03-17
0.4856618046760559,1982-03-18
0.5266591310501099,1982-03-19
0.5392737984657288,1982-03-22
0.5140442848205566,1982-03-23
0.5014302134513855,1982-03-24
0.5045834183692932,1982-03-25
0.5014302134513855,1982-03-26
0.5140442848205566,1982-03-29
0.5014302134513855,1982-03-30
0.4982762038707733,1982-03-31
0.5140442848205566,1982-04-01
0.5171982049942017,1982-04-02
0.5108906030654907,1982-04-05
0.5140442848205566,1982-04-06
0.5140442848205566,1982-04-07
0.5298129916191101,1982-04-08
0.5171982049942017,1982-04-12
0.5014302134513855,1982-04-13
0.49512264132499695,1982-04-14
0.4982762038707733,1982-04-15
0.4982762038707733,1982-04-16
0.4888152480125427,1982-04-19
0.4825078547000885,1982-04-20
0.4856618046760559,1982-04-21
0.4856618046760559,1982-04-22
0.4856618046760559,1982-04-23
