RTX,Date
0.09467573463916779,1962-04-02
0.09248530119657516,1962-04-03
0.09029476344585419,1962-04-04
0.09053824096918106,1962-04-05
0.08761773258447647,1962-04-06
0.08761773258447647,1962-04-09
0.08761773258447647,1962-04-10
0.08834770321846008,1962-04-11
0.08761773258447647,1962-04-12
0.09053824096918106,1962-04-13
0.0893213301897049,1962-04-16
0.08907799422740936,1962-04-17
0.09029476344585419,1962-04-18
0.09078172594308853,1962-04-19
0.09297212213277817,1962-04-23
0.09321556985378265,1962-04-24
0.08907799422740936,1962-04-25
0.08956477791070938,1962-04-26
0.08956477791070938,1962-04-27
0.08761773258447647,1962-04-30
0.08883453905582428,1962-05-01
0.09199845790863037,1962-05-02
0.09248530119657516,1962-05-03
0.09151183068752289,1962-05-04
0.09102495014667511,1962-05-07
0.09272866696119308,1962-05-08
0.09151183068752289,1962-05-09
0.09029476344585419,1962-05-10
0.08859115839004517,1962-05-11
0.09228241443634033,1962-05-14
0.09302058815956116,1962-05-15
0.09326670318841934,1962-05-16
0.09277471899986267,1962-05-17
0.09523551911115646,1962-05-18
0.09449727088212967,1962-05-21
0.0925285741686821,1962-05-22
0.09006766974925995,1962-05-23
0.08982148766517639,1962-05-24
0.09055987745523453,1962-05-25
0.07776327431201935,1962-05-28
0.08465380221605301,1962-05-29
0.09055987745523453,1962-05-31
0.0890832245349884,1962-06-01
0.0866224467754364,1962-06-04
0.0866224467754364,1962-06-05
0.0866224467754364,1962-06-06
0.0851459801197052,1962-06-07
0.08489985764026642,1962-06-08
0.08317729830741882,1962-06-11
0.08047032356262207,1962-06-12
0.0802241787314415,1962-06-13
0.08071645349264145,1962-06-14
0.08219289034605026,1962-06-15
0.08366934955120087,1962-06-18
0.08366934955120087,1962-06-19
0.0802241787314415,1962-06-20
0.0787476897239685,1962-06-21
0.07702511548995972,1962-06-22
0.07776327431201935,1962-06-25
0.07923983782529831,1962-06-26
0.0802241787314415,1962-06-27
0.08366934955120087,1962-06-28
0.08465380221605301,1962-06-29
0.08489985764026642,1962-07-02
0.08539185672998428,1962-07-03
0.08539185672998428,1962-07-05
0.08293120563030243,1962-07-06
0.08366934955120087,1962-07-09
0.08637640625238419,1962-07-10
0.08760678023099899,1962-07-11
0.08613026142120361,1962-07-12
0.08613026142120361,1962-07-13
0.08613026142120361,1962-07-16
0.0866224467754364,1962-07-17
0.08465380221605301,1962-07-18
0.0851459801197052,1962-07-19
0.0858841985464096,1962-07-20
0.08539185672998428,1962-07-23
0.0851459801197052,1962-07-24
0.08440763503313065,1962-07-25
0.08440763503313065,1962-07-26
0.08563802391290665,1962-07-27
0.08686857670545578,1962-07-30
0.08859117329120636,1962-07-31
0.08736064285039902,1962-08-01
0.0890832245349884,1962-08-02
0.09006766974925995,1962-08-03
0.09055987745523453,1962-08-06
0.09105193614959717,1962-08-07
0.08982148766517639,1962-08-08
0.08859117329120636,1962-08-09
0.08957544714212418,1962-08-10
0.09256119281053543,1962-08-13
0.09256119281053543,1962-08-14
0.09355656802654266,1962-08-15
0.09480055421590805,1962-08-16
0.09554720669984818,1962-08-17
0.09604467451572418,1962-08-20
0.096791110932827,1962-08-21
0.0995282381772995,1962-08-22
0.09853292256593704,1962-08-23
0.09903053194284439,1962-08-24
0.0987817645072937,1962-08-27
0.09704001992940903,1962-08-28
0.09704001992940903,1962-08-29
0.09604467451572418,1962-08-30
0.09554720669984818,1962-08-31
0.09554720669984818,1962-09-04
0.09405410289764404,1962-09-05
0.09305881708860397,1962-09-06
0.09355656802654266,1962-09-07
0.09455172717571259,1962-09-10
0.09604467451572418,1962-09-11
0.09654223918914795,1962-09-12
0.09704001992940903,1962-09-13
0.0972888246178627,1962-09-14
0.0997769758105278,1962-09-17
0.09853292256593704,1962-09-18
0.09853292256593704,1962-09-19
0.09654223918914795,1962-09-20
0.09430291503667831,1962-09-21
0.09380543977022171,1962-09-24
0.09554720669984818,1962-09-25
0.09405410289764404,1962-09-26
0.09156611561775208,1962-09-27
0.09355656802654266,1962-09-28
0.09106835722923279,1962-10-01
0.09355656802654266,1962-10-02
0.09131714701652527,1962-10-03
0.09106835722923279,1962-10-04
0.09231231361627579,1962-10-05
0.09405410289764404,1962-10-08
0.09380543977022171,1962-10-09
0.09281011670827866,1962-10-10
0.09355656802654266,1962-10-11
0.09654223918914795,1962-10-12
0.09604467451572418,1962-10-15
0.09529832005500793,1962-10-16
0.09704001992940903,1962-10-17
0.09380543977022171,1962-10-18
0.09231231361627579,1962-10-19
0.09156611561775208,1962-10-22
0.0933077335357666,1962-10-23
0.09430291503667831,1962-10-24
0.09305881708860397,1962-10-25
0.09380543977022171,1962-10-26
0.09405410289764404,1962-10-29
0.09480055421590805,1962-10-30
0.0972888246178627,1962-10-31
0.09753762930631638,1962-11-01
0.1032605990767479,1962-11-02
0.10425577312707901,1962-11-05
0.10574863106012344,1962-11-07
0.10450462251901627,1962-11-08
0.1057606041431427,1962-11-09
0.10475566983222961,1962-11-12
0.10249485820531845,1962-11-13
0.10375098139047623,1962-11-14
0.10626308619976044,1962-11-15
0.1057606041431427,1962-11-16
0.10651418566703796,1962-11-19
0.10751905292272568,1962-11-20
0.1067652702331543,1962-11-21
0.10726789385080338,1962-11-23
0.10550937801599503,1962-11-26
0.1067652702331543,1962-11-27
0.10601182281970978,1962-11-28
0.10601182281970978,1962-11-29
0.10626308619976044,1962-11-30
0.10651418566703796,1962-12-03
0.10802151262760162,1962-12-04
0.10952881723642349,1962-12-05
0.10827271640300751,1962-12-06
0.10550937801599503,1962-12-07
