LUV,Date
0.16613899171352386,1980-01-02
0.1651846319437027,1980-01-03
0.16804851591587067,1980-01-04
0.1642294079065323,1980-01-07
0.15850071609020233,1980-01-08
0.15468156337738037,1980-01-09
0.1623198240995407,1980-01-10
0.1623198240995407,1980-01-11
0.16041027009487152,1980-01-14
0.1623198240995407,1980-01-15
0.1623198240995407,1980-01-16
0.1623198240995407,1980-01-17
0.1756874918937683,1980-01-18
0.17186851799488068,1980-01-21
0.16995814442634583,1980-01-22
0.1623198240995407,1980-01-23
0.1642294079065323,1980-01-24
0.1642294079065323,1980-01-25
0.16041027009487152,1980-01-28
0.1623198240995407,1980-01-29
0.15468156337738037,1980-01-30
0.16041027009487152,1980-01-31
0.1642294079065323,1980-02-01
0.16804851591587067,1980-02-04
0.17282281816005707,1980-02-05
0.17377808690071106,1980-02-06
0.1690037101507187,1980-02-07
0.1642294079065323,1980-02-08
0.16327503323554993,1980-02-11
0.1651846319437027,1980-02-12
0.1642294079065323,1980-02-13
0.16041027009487152,1980-02-14
0.15754559636116028,1980-02-15
0.15754559636116028,1980-02-19
0.15659116208553314,1980-02-20
0.15468156337738037,1980-02-21
0.14990736544132233,1980-02-22
0.14895209670066833,1980-02-25
0.15086166560649872,1980-02-26
0.14799779653549194,1980-02-27
0.1460881531238556,1980-02-28
0.14799779653549194,1980-02-29
0.15148700773715973,1980-03-03
0.15244629979133606,1980-03-04
0.14765210449695587,1980-03-05
0.14381712675094604,1980-03-06
0.139982208609581,1980-03-07
0.14094051718711853,1980-03-10
0.13902296125888824,1980-03-11
0.14477631449699402,1980-03-12
0.14765210449695587,1980-03-13
0.14573459327220917,1980-03-14
0.14477631449699402,1980-03-17
0.1495695561170578,1980-03-18
0.15148700773715973,1980-03-19
0.15436361730098724,1980-03-20
0.15244629979133606,1980-03-21
0.14765210449695587,1980-03-24
0.14285798370838165,1980-03-25
0.1495695561170578,1980-03-26
0.14477631449699402,1980-03-27
0.1495695561170578,1980-03-28
0.1495695561170578,1980-03-31
0.15148700773715973,1980-04-01
0.15148700773715973,1980-04-02
0.15052877366542816,1980-04-03
0.14765210449695587,1980-04-07
0.14573459327220917,1980-04-08
0.14573459327220917,1980-04-09
0.14381712675094604,1980-04-10
0.14477631449699402,1980-04-11
0.14477631449699402,1980-04-14
0.14285798370838165,1980-04-15
0.1418996900320053,1980-04-16
0.13902296125888824,1980-04-17
0.13614726066589355,1980-04-18
0.13614726066589355,1980-04-21
0.13806474208831787,1980-04-22
0.14094051718711853,1980-04-23
0.139982208609581,1980-04-24
0.13806474208831787,1980-04-25
0.13806474208831787,1980-04-28
0.14094051718711853,1980-04-29
0.14381712675094604,1980-04-30
0.14285798370838165,1980-05-01
0.15052877366542816,1980-05-02
0.15244629979133606,1980-05-05
0.1495695561170578,1980-05-06
0.1495695561170578,1980-05-07
0.15148700773715973,1980-05-08
0.15052877366542816,1980-05-09
0.15244629979133606,1980-05-12
0.1610751897096634,1980-05-13
0.17353922128677368,1980-05-14
0.16874513030052185,1980-05-15
0.1783333569765091,1980-05-16
0.17449843883514404,1980-05-19
0.17641577124595642,1980-05-20
0.17737416923046112,1980-05-21
0.18408577144145966,1980-05-22
0.18600325286388397,1980-05-23
0.1879206895828247,1980-05-27
0.1879206895828247,1980-05-28
0.18504491448402405,1980-05-29
0.18408577144145966,1980-05-30
0.19175653159618378,1980-06-02
0.2147669494152069,1980-06-03
0.20901457965373993,1980-06-04
0.21093203127384186,1980-06-05
0.21154725551605225,1980-06-06
0.21154725551605225,1980-06-09
0.21539349853992462,1980-06-10
0.21827849745750427,1980-06-11
0.21635450422763824,1980-06-12
0.2202015519142151,1980-06-13
0.22789378464221954,1980-06-16
0.23173992335796356,1980-06-17
0.23077882826328278,1980-06-18
0.22789378464221954,1980-06-19
0.22308562695980072,1980-06-20
0.22500896453857422,1980-06-23
0.22981710731983185,1980-06-24
0.23077882826328278,1980-06-25
0.2288556843996048,1980-06-26
0.22789378464221954,1980-06-27
0.22981710731983185,1980-06-30
0.2269325852394104,1980-07-01
0.22789378464221954,1980-07-02
0.22981710731983185,1980-07-03
0.22981710731983185,1980-07-07
0.23173992335796356,1980-07-08
0.23462505638599396,1980-07-09
0.23077882826328278,1980-07-10
0.2327016144990921,1980-07-11
0.24808725714683533,1980-07-14
0.25001031160354614,1980-07-15
0.2528952956199646,1980-07-16
0.2557794451713562,1980-07-17
0.27501100301742554,1980-07-18
0.2798191010951996,1980-07-21
0.2884732782840729,1980-07-22
0.2903965413570404,1980-07-23
0.2903965413570404,1980-07-24
0.28270426392555237,1980-07-25
0.28655028343200684,1980-07-28
0.3000127375125885,1980-07-29
0.30674290657043457,1980-07-30
0.30866682529449463,1980-07-31
0.314436137676239,1980-08-01
0.3163589537143707,1980-08-04
0.3250131607055664,1980-08-05
0.3211672306060791,1980-08-06
0.3230902850627899,1980-08-07
0.3327054977416992,1980-08-08
0.32982131838798523,1980-08-11
0.31924399733543396,1980-08-12
0.30674290657043457,1980-08-13
0.3153969943523407,1980-08-14
0.31924399733543396,1980-08-15
0.30674290657043457,1980-08-18
0.29231929779052734,1980-08-19
0.2961655259132385,1980-08-20
0.31347382068634033,1980-08-21
0.31924399733543396,1980-08-22
0.31155091524124146,1980-08-25
0.3240514099597931,1980-08-26
0.3230902850627899,1980-08-27
0.3230902850627899,1980-08-28
0.3230902850627899,1980-08-29
0.3221282362937927,1980-09-02
0.31924399733543396,1980-09-03
0.309627890586853,1980-09-04
0.3000127375125885,1980-09-05
0.30481988191604614,1980-09-08
