IVZ,Date
3.083467721939087,1995-08-25
3.0381219387054443,1995-08-28
3.0381219387054443,1995-08-29
3.049456834793091,1995-08-30
3.0381219387054443,1995-08-31
3.049456834793091,1995-09-01
3.0381219387054443,1995-09-05
3.0267868041992188,1995-09-06
3.004112958908081,1995-09-07
2.845404863357544,1995-09-08
2.9134223461151123,1995-09-11
3.0154507160186768,1995-09-12
3.0267868041992188,1995-09-13
3.0381219387054443,1995-09-14
3.0381219387054443,1995-09-15
3.049456834793091,1995-09-18
3.0267868041992188,1995-09-19
2.970104694366455,1995-09-20
2.99277663230896,1995-09-21
2.924760103225708,1995-09-22
2.9134223461151123,1995-09-25
2.958768129348755,1995-09-26
2.9474315643310547,1995-09-27
2.99277663230896,1995-09-28
3.1288113594055176,1995-09-29
3.185492753982544,1995-10-02
3.1968297958374023,1995-10-03
3.162821054458618,1995-10-04
3.185492753982544,1995-10-05
3.162821054458618,1995-10-06
3.1401474475860596,1995-10-09
3.094801425933838,1995-10-10
3.094801425933838,1995-10-11
3.185492753982544,1995-10-12
3.2875185012817383,1995-10-13
3.344200611114502,1995-10-16
3.2988555431365967,1995-10-17
3.344200611114502,1995-10-18
3.4122183322906494,1995-10-19
3.468899726867676,1995-10-20
3.480236768722534,1995-10-23
3.4235551357269287,1995-10-24
3.4122183322906494,1995-10-25
3.378211259841919,1995-10-26
3.378211259841919,1995-10-27
3.366872549057007,1995-10-30
3.468899726867676,1995-10-31
3.400883197784424,1995-11-01
3.44622802734375,1995-11-02
3.593599319458008,1995-11-03
3.627607822418213,1995-11-06
3.593599319458008,1995-11-07
3.604935646057129,1995-11-08
3.638944625854492,1995-11-09
3.604935646057129,1995-11-10
3.593599319458008,1995-11-13
3.536918878555298,1995-11-14
3.570927143096924,1995-11-15
3.627607822418213,1995-11-16
3.627607822418213,1995-11-17
3.6616156101226807,1995-11-20
3.6842901706695557,1995-11-21
3.7296335697174072,1995-11-22
3.695626735687256,1995-11-24
3.6502792835235596,1995-11-27
3.6842901706695557,1995-11-28
3.6616156101226807,1995-11-29
3.695626735687256,1995-11-30
3.6842901706695557,1995-12-01
3.6842901706695557,1995-12-04
3.6842901706695557,1995-12-05
3.6502792835235596,1995-12-06
3.706961154937744,1995-12-07
3.672952890396118,1995-12-08
3.6616156101226807,1995-12-11
3.6502792835235596,1995-12-12
3.638944625854492,1995-12-13
3.61627197265625,1995-12-14
3.604935646057129,1995-12-15
3.582261800765991,1995-12-18
3.5142457485198975,1995-12-19
3.480236768722534,1995-12-20
3.468899726867676,1995-12-21
3.468899726867676,1995-12-22
3.4575629234313965,1995-12-26
3.4575629234313965,1995-12-27
3.5142457485198975,1995-12-28
3.5142457485198975,1995-12-29
3.5482535362243652,1996-01-02
3.604935646057129,1996-01-03
3.536918878555298,1996-01-04
3.536918878555298,1996-01-05
3.4915716648101807,1996-01-08
3.44622802734375,1996-01-09
3.378211259841919,1996-01-10
3.378211259841919,1996-01-11
3.344200611114502,1996-01-12
3.344200611114502,1996-01-15
3.3215291500091553,1996-01-16
3.355536937713623,1996-01-17
3.400883197784424,1996-01-18
3.355536937713623,1996-01-19
3.355536937713623,1996-01-22
3.264847993850708,1996-01-23
3.2875185012817383,1996-01-24
3.242173433303833,1996-01-25
3.2195022106170654,1996-01-26
3.2875185012817383,1996-01-29
3.264847993850708,1996-01-30
3.400883197784424,1996-01-31
3.4915716648101807,1996-02-01
3.468899726867676,1996-02-02
3.536918878555298,1996-02-05
3.604935646057129,1996-02-06
3.627607822418213,1996-02-07
3.61627197265625,1996-02-08
3.604935646057129,1996-02-09
3.8089869022369385,1996-02-12
3.7409701347351074,1996-02-13
3.967695713043213,1996-02-14
3.922351121902466,1996-02-15
3.8316619396209717,1996-02-16
3.8316619396209717,1996-02-20
3.8316619396209717,1996-02-21
3.8543319702148438,1996-02-22
3.842998504638672,1996-02-23
3.8316619396209717,1996-02-26
3.842998504638672,1996-02-27
3.7749788761138916,1996-02-28
3.7409701347351074,1996-02-29
3.7182960510253906,1996-03-01
3.7182960510253906,1996-03-04
